Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0696027,0.0617957,0.0591595,0.0340866,0.06944,0.0505569,0.0503317,0.0883261,0.0796945,0.136138,0.178389,0.0179233,0.0426032,0.119807,0.0627405,0.0804333
0.021,0.0705182,0.0749182,0.0551923,0.0328659,0.0541812,0.0606277,0.0362936,0.062081,0.0775583,0.0696097,0.188155,0.0383701,0.0517584,0.127741,0.0526697,0.0874524
0.022,0.0470197,0.062406,0.0768597,0.0731491,0.0535709,0.0490311,0.0323264,0.0675742,0.0574167,0.0485526,0.154891,0.0640048,0.0514532,0.125605,0.0673181,0.106373
0.023,0.052818,0.0440955,0.0551923,0.062468,0.046857,0.0551346,0.0695578,0.0547568,0.0473459,0.023223,0.157943,0.0560703,0.100892,0.111872,0.0413782,0.10027
0.024,0.0537335,0.0498938,0.0780804,0.0533127,0.0480777,0.0639847,0.052468,0.0764243,0.0742014,0.0397025,0.10942,0.048746,0.0761725,0.102717,0.0746423,0.0975232
0.025,0.0454938,0.00716919,0.0631268,0.0633835,0.0636417,0.0499466,0.0515524,0.0825278,0.0363596,0.0705252,0.00840637,0.0548496,0.0374152,0.0987497,0.0746423,0.11736
0.026,0.052818,0.0474524,0.0661786,0.0713181,0.0767642,0.0743607,0.0762717,0.049874,0.0571115,0.0845633,-0.00319031,0.0527133,0.0706793,0.0786081,0.0477869,0.132618
0.027,0.0564801,0.0584387,0.0793011,0.0804733,0.0828677,0.069783,0.0579611,0.0590292,0.0668771,0.0674734,0.0535724,-0.00588043,0.099671,0.105464,0.0450403,0.120411
0.028,0.0491559,0.0456213,0.0759442,0.086882,0.0679141,0.0591019,0.0735251,0.072457,0.0601633,0.0967703,0.0496051,0.0774326,0.087464,0.0972238,0.046261,0.0984387
0.029,0.0586163,0.0611853,0.0731976,0.0700973,0.0645572,0.0404861,0.0530783,0.0703207,0.0589426,0.07022,0.0453326,0.0865878,0.0645758,0.09936,0.0496179,0.147267
0.03,0.0662457,0.0508093,0.0567181,0.0523972,0.0645572,0.0807693,0.0512473,0.0770346,0.0546701,0.0278006,0.0642535,0.0569858,0.0456549,0.0926462,0.0627405,0.148182
0.031,0.0509869,0.0514197,0.0643475,0.0783371,0.0535709,0.0774124,0.064675,0.0654379,0.0809152,0.0229178,0.080733,0.103983,0.0355841,0.0621286,0.063656,0.148793
0.032,0.0726544,0.0389075,0.0588544,0.0536179,0.06944,0.0618485,0.0692526,0.0590292,0.0571115,0.0470267,0.0874469,0.0997104,0.0139166,0.0926462,0.0859338,0.184193
0.033,0.0628888,0.0541663,0.0719769,0.0575851,0.0502139,0.0389603,0.0427023,0.096871,0.0586374,0.0393973,0.0941608,0.0957431,0.0633551,0.0865427,0.0551111,0.153065
0.034,0.0509869,0.0379919,0.0536664,0.05728,0.0648624,0.0667313,0.0671164,0.0889365,0.0534494,-0.0591745,0.112471,0.0737704,0.0661017,0.0816599,0.0587732,0.190297
