Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0634991,0.0721716,0.0753339,0.112822,-0.0346249,0.0536087,0.0515524,0.0391928,0.0778635,0.0522147,0.0853107,0.0810947,-0.0651239,0.021235,0.0505334,0.0599866
0.021,0.0570905,0.0367712,0.0670941,0.101225,-0.0352353,0.0688675,0.0655905,0.0520102,0.0687082,0.0564871,0.0520465,0.0774326,-0.0327753,0.054194,0.0624353,0.045033
0.022,0.0692975,0.060575,0.0503094,0.0884079,0.0224429,0.059407,0.0463644,0.0486533,0.0659616,0.0558768,0.0593707,0.0777377,-0.00378357,0.0450388,0.063656,0.0636487
0.023,0.0555646,0.0297522,0.0539716,0.0704025,0.0996524,0.067952,0.0414816,0.0376669,0.0540598,0.058013,0.0749347,0.0981845,-0.0336908,0.0642648,0.0395471,0.069447
0.024,0.0653302,0.0590491,0.0420697,0.079863,0.127118,0.0700882,0.0539938,0.0587241,0.0760324,0.0699149,0.073714,0.06431,0.148804,0.080134,0.0483972,0.0892834
0.025,0.0668561,0.0584387,0.0289471,0.0807785,0.0975162,0.0737503,0.0512473,0.0584189,0.0738962,0.0812064,0.106368,0.0112094,0.316041,0.0425973,0.0725061,0.069447
0.026,0.0860822,0.0630164,0.0594647,0.0914597,0.0831729,0.0633743,0.0695578,0.0648276,0.0641306,0.0815115,0.0956866,0.0640048,0.164063,0.0529733,0.0615198,0.072804
0.027,0.068382,0.0724768,0.0643475,0.0749802,0.0581485,0.059407,0.0619284,0.0456015,0.0714548,0.122405,0.0663898,0.0493564,0.101197,0.0459543,0.0667078,0.036488
0.028,0.0519025,0.0337195,0.0567181,0.0542282,0.0288516,0.0472,0.0759665,0.0669638,0.0546701,0.112945,0.0554034,0.0777377,0.0105597,0.0612131,0.0612146,0.0532727
0.029,0.0601422,0.0688147,0.0628217,-0.008638,0.00413239,0.0410965,0.0573508,0.0678793,0.0513132,0.107146,0.0776813,0.0542392,0.0227667,0.0355783,0.0657922,0.0447278
0.03,0.052818,0.0639319,0.0533612,0.0298141,-0.0102109,0.052388,0.0552145,0.0669638,0.0540598,0.0717459,0.0785968,0.0728549,0.0529791,0.041987,0.056637,0.0566296
0.031,0.0659406,0.0221228,0.0420697,0.0575851,0.036481,0.057576,0.0283591,0.0459067,0.0732858,0.0244437,0.0108478,0.0731601,0.115235,0.0752512,0.0529749,0.0560193
0.032,0.070213,0.0212073,0.0435956,0.0786423,0.0511295,0.0554398,0.0689474,0.0526205,0.0821359,0.0464163,0.0169513,0.0441684,0.0993658,0.0392404,0.0538904,0.0264172
0.033,0.0747906,0.0376868,0.0652631,0.103667,0.102399,0.0822952,0.0555197,0.0492636,0.0699289,0.0647269,0.0651691,0.0115146,0.0807501,0.0520578,0.068844,0.0709729
0.034,0.0607526,0.0718665,0.0588544,0.0762009,0.160993,0.0746658,0.0604025,0.0816122,0.0565012,0.0479422,0.0770709,0.0545444,0.0676276,0.0114694,0.0746423,0.0529675
