Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0567853,0.0331091,0.0728925,0.036528,0.00871002,0.0639847,0.0460593,0.0810019,0.0638254,0.0802908,0.0557086,-0.0147305,0.0447394,0.0554147,0.0606042,0.0557141
0.021,0.0821149,0.0541663,0.0475629,0.0319504,0.0706607,0.0829056,0.0561301,0.0507895,0.0418527,0.0717459,0.0673053,-0.0461636,0.0709845,0.0374094,0.0389368,-0.00318481
0.022,0.0613629,0.0532507,0.0262006,0.0609421,0.097211,0.0661209,0.0515524,0.0489584,0.0589426,0.0638113,0.0731036,0.00998871,0.0709845,0.0596872,0.0416833,0.0731091
0.023,0.0543439,0.072782,0.0515302,0.05728,0.0496036,0.0496414,0.0323264,0.0700156,0.0784738,0.0665579,0.0538776,0.0228061,0.0520636,0.0694528,0.0554163,0.0441174
0.024,0.0369489,0.05203,0.0539716,0.0783371,0.00260651,0.0603226,0.0683371,0.0416342,0.0540598,0.0540457,0.0578448,0.0722446,0.0520636,0.0505319,0.0554163,0.0581555
0.025,0.0451886,0.0544714,0.0469525,0.102141,0.0883609,0.0484207,0.0564352,0.0788657,0.0668771,0.0537405,0.0782916,0.0600375,0.0743414,0.0642648,0.0392419,0.0496106
0.026,0.0552594,0.072782,0.0692303,0.0771164,0.135663,0.0755814,0.0677267,0.0541464,0.0629098,0.0656424,0.0758502,0.0829257,0.100892,0.0834909,0.0450403,0.0764661
0.027,0.0488507,0.0428748,0.0432904,0.0801682,0.129865,0.0462845,0.0652853,0.0471274,0.0467355,0.0412283,0.0715778,0.079874,0.0532843,0.062739,0.0413782,0.045033
0.028,0.0461041,0.0508093,0.0466473,0.0844406,0.101178,0.0673416,0.0381247,0.0513998,0.063215,0.0512991,0.0886676,0.0121249,0.0694586,0.0670114,0.0520593,0.062428
0.029,0.0479352,0.0447058,0.0652631,0.0636887,0.0660831,0.0548294,0.042092,0.0459067,0.0775583,0.0516043,0.0520465,0.0908603,0.0541998,0.0612131,0.0621301,0.0453381
0.03,0.0659406,0.0340247,0.0295575,0.0231003,0.0560123,0.0481155,0.0417868,0.0510947,0.0659616,0.0326834,0.0621173,0.117411,0.0569464,0.0429025,0.0541956,0.0605969
0.031,0.052818,0.0550818,0.0597699,0.0374435,0.0569278,0.0758865,0.0564352,0.0327841,0.058027,0.0238333,0.0593707,0.1168,0.0468756,0.0215402,0.0569421,0.0749402
0.032,0.0552594,0.0489783,0.0371869,0.0514816,0.0456363,0.0615433,0.0192038,0.0571982,0.035444,0.0625906,0.0749347,0.0810947,0.0395514,0.0502267,0.0520593,0.0438123
0.033,0.0601422,0.0587439,0.0521405,0.0734543,0.0438052,0.0725296,0.0741354,0.0538412,0.0659616,0.0711356,0.0636432,0.0453891,0.066712,0.081965,0.0642664,0.0541882
0.034,0.0726544,0.0712561,0.0612958,0.0505661,0.0352603,0.0578812,0.0640646,0.0459067,0.0507028,0.0397025,0.0630328,0.0636996,0.087464,0.0566354,0.0361902,0.0633435
