Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z
0.01,4.47551,0.529078,8.39708,0.0613961,0.0538052,0.0297133,0.276477,9.65767,0.421677,-0.00395586,-0.0540901,0.0661567,0.462995,-9.95424,-0.368465,-0.0694054,0.192668,0.0615151,10.9847,-0.209273,3.06563,0.0722028,-0.0970957,0.0207434,5.3431,0.0964625,8.17643,-0.0834656,0.0399594,0.0402023,1.3832,-9.52773,-2.08015,0.0357263,0.079003,0.281705,0.335672,9.24558,-1.99753,0.115588,0.338069,-0.362195
0.011,4.49363,0.552273,8.38573,0.0627863,0.0503855,0.0357294,0.290139,9.62691,0.444422,-0.00564923,-0.0626896,0.0623366,0.478243,-9.96163,-0.399154,-0.0696957,0.1985,0.0632072,10.9458,-0.221499,3.08321,0.0752124,-0.0992953,0.0180781,5.34376,0.162718,8.19293,-0.0870742,0.0383528,0.0408099,1.3907,-9.5202,-2.06001,0.0320684,0.105305,0.28579,0.255808,9.2186,-1.94037,0.112384,0.345717,-0.359318
0.012,4.51175,0.575467,8.37439,0.0641764,0.0469658,0.0417455,0.3038,9.59615,0.467167,-0.00734259,-0.071289,0.0585164,0.493492,-9.96903,-0.429843,-0.0699861,0.204332,0.0648994,10.907,-0.233725,3.1008,0.0782221,-0.101495,0.0154129,5.34443,0.228974,8.20942,-0.0906828,0.0367463,0.0414175,1.3982,-9.51267,-2.03987,0.0284104,0.131607,0.289875,0.175945,9.19163,-1.88322,0.10918,0.353364,-0.356442
0.013,4.52986,0.598661,8.36304,0.0655666,0.0435461,0.0477617,0.317462,9.56538,0.489912,-0.00903596,-0.0798885,0.0546963,0.50874,-9.97643,-0.460532,-0.0702765,0.210165,0.0665915,10.8681,-0.245951,3.11838,0.0812317,-0.103695,0.0127477,5.34509,0.295229,8.22592,-0.0942914,0.0351397,0.0420251,1.4057,-9.50514,-2.01973,0.0247524,0.157909,0.29396,0.0960814,9.16465,-1.82606,0.105976,0.361011,-0.353565
0.014,4.51924,0.612788,8.36959,0.0661224,0.0420908,0.0526201,0.324232,9.55179,0.502517,-0.0088439,-0.0876742,0.0511341,0.544829,-9.97604,-0.503354,-0.0721362,0.215785,0.0684123,10.8113,-0.277505,3.10658,0.0829789,-0.103011,0.00952589,5.32251,0.369787,8.23915,-0.0989343,0.0344019,0.0445519,1.41033,-9.50974,-2.02576,0.0190324,0.186961,0.297323,-0.00201239,9.15966,-1.77074,0.104988,0.367514,-0.349621
0.015,4.49425,0.622381,8.3851,0.0662609,0.0416177,0.0568996,0.327555,9.54679,0.510053,-0.00770912,-0.095053,0.0477008,0.591339,-9.97176,-0.552243,-0.0747807,0.221298,0.0702975,10.7454,-0.318721,3.08008,0.0840948,-0.100886,0.00602579,5.2883,0.448496,8.25075,-0.104094,0.0340986,0.0480384,1.41354,-9.52041,-2.04488,0.0122813,0.217387,0.300326,-0.109221,9.16565,-1.71634,0.10511,0.373445,-0.345142
0.016,4.46926,0.631974,8.4006,0.0663994,0.0411446,0.0611791,0.330879,9.54179,0.517589,-0.00657434,-0.102432,0.0442676,0.637849,-9.96749,-0.601132,-0.0774251,0.226811,0.0721827,10.6795,-0.359938,3.05359,0.0852107,-0.0987603,0.0025257,5.2541,0.527204,8.26235,-0.109255,0.0337952,0.0515249,1.41674,-9.53108,-2.06399,0.00553015,0.247813,0.303329,-0.21643,9.17165,-1.66194,0.105231,0.379376,-0.340663
0.017,4.44427,0.641567,8.41611,0.066538,0.0406715,0.0654586,0.334202,9.53679,0.525124,-0.00543957,-0.109811,0.0408343,0.684359,-9.96321,-0.65002,-0.0800695,0.232324,0.0740679,10.6136,-0.401155,3.02709,0.0863267,-0.096635,-0.000974401,5.2199,0.605913,8.27396,-0.114415,0.0334918,0.0550114,1.41995,-9.54174,-2.08311,-0.00122096,0.27824,0.306332,-0.323639,9.17765,-1.60754,0.105352,0.385306,-0.336184
0.018,4.42314,0.650867,8.43039,0.0666772,0.0398289,0.0701747,0.341713,9.53012,0.530647,-0.00439505,-0.116834,0.0369302,0.726561,-9.96007,-0.709171,-0.0824381,0.237094,0.0753317,10.5332,-0.43891,2.99887,0.0864269,-0.0942219,-0.00434446,5.19358,0.683223,8.27882,-0.119789,0.0340377,0.0588581,1.42176,-9.55112,-2.10328,-0.00768847,0.308991,0.3088,-0.420514,9.18184,-1.55645,0.106378,0.390993,-0.331624
0.019,4.41554,0.65914,8.44039,0.0668187,0.0376931,0.0764184,0.363879,9.51757,0.529124,-0.00366646,-0.122615,0.031378,0.753682,-9.96094,-0.804235,-0.0838412,0.239261,0.074421,10.4018,-0.46455,2.96464,0.0829722,-0.0908013,-0.00725937,5.19484,0.755635,8.26009,-0.125911,0.0375558,0.0639652,1.41872,-9.55599,-2.12717,-0.0131634,0.34088,0.309394,-0.481221,9.17969,-1.51694,0.110571,0.395825,-0.326777
