Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z
0.0,0.179891,-0.52887,9.64955,-0.0221691,0.0109823,0.00705455,-0.286871,-0.220816,9.80088,-0.00314682,0.015975,0.00503423,0.0372288,-0.14678,9.76034,-0.0597695,0.0315806,-0.0101942,1.20922,9.37076,2.22025,-0.00369409,0.010001,0.011016,-0.0391813,0.184083,10.0294,-0.0186976,0.0125762,0.00446379,-0.0574956,-0.262771,-9.95868,-0.02982,-0.00332909,-0.0107815,-0.072184,-0.0252253,9.8015,-0.00844039,0.0213631,0.00554732
0.001,0.176609,-0.520612,9.64706,-0.0211698,0.0106827,0.00653285,-0.276894,-0.223555,9.7932,-0.00107758,0.0164549,0.00614032,0.0324214,-0.161925,9.75434,-0.0607483,0.0310802,-0.00815294,1.20313,9.35186,2.1959,-0.00514831,0.0102454,0.0114988,-0.0398806,0.192224,10.045,-0.0173546,0.0108783,0.00608378,-0.0600778,-0.264845,-9.94832,-0.0289091,-0.00351474,-0.0119903,-0.0758472,-0.0157516,9.80301,-0.00868586,0.0198482,0.00619203
0.002,0.173328,-0.512354,9.64456,-0.0201706,0.0103832,0.00601116,-0.266917,-0.226294,9.78552,0.000991654,0.0169347,0.00724641,0.0276139,-0.17707,9.74835,-0.061727,0.0305798,-0.00611163,1.19703,9.33297,2.17156,-0.00660252,0.0104898,0.0119815,-0.0405798,0.200366,10.0606,-0.0160116,0.00918032,0.00770377,-0.0626601,-0.266918,-9.93795,-0.0279982,-0.00370039,-0.013199,-0.0795104,-0.0062779,9.80451,-0.00893132,0.0183334,0.00683674
0.003,0.170046,-0.504096,9.64207,-0.0191714,0.0100836,0.00548946,-0.25694,-0.229033,9.77783,0.00306089,0.0174146,0.00835249,0.0228064,-0.192215,9.74235,-0.0627057,0.0300794,-0.00407032,1.19093,9.31408,2.14721,-0.00805673,0.0107341,0.0124642,-0.0412791,0.208507,10.0762,-0.0146686,0.00748238,0.00932376,-0.0652423,-0.268992,-9.92759,-0.0270873,-0.00388605,-0.0144077,-0.0831736,0.0031958,9.80601,-0.00917679,0.0168185,0.00748145
0.004,0.166765,-0.495838,9.63957,-0.0181721,0.00978408,0.00496777,-0.246963,-0.231772,9.77015,0.00513013,0.0178945,0.00945858,0.017999,-0.20736,9.73636,-0.0636844,0.029579,-0.00202901,1.18484,9.29518,2.12286,-0.00951094,0.0109785,0.012947,-0.0419783,0.216648,10.0918,-0.0133256,0.00578443,0.0109438,-0.0678245,-0.271066,-9.91722,-0.0261764,-0.0040717,-0.0156165,-0.0868368,0.0126695,9.80751,-0.00942225,0.0153036,0.00812616
0.005,0.166181,-0.499877,9.64453,-0.0178638,0.00955488,0.00418922,-0.239359,-0.233633,9.77039,0.0058581,0.0191404,0.00953718,0.016373,-0.221395,9.74632,-0.0635939,0.0293112,-0.000429565,1.18125,9.29479,2.10961,-0.00997275,0.0115093,0.0129048,-0.0459203,0.219458,10.0852,-0.0132677,0.00458083,0.0117982,-0.0779189,-0.275611,-9.91916,-0.0254789,-0.00421504,-0.0163976,-0.0886146,0.0199074,9.80363,-0.0093456,0.0147479,0.00894976
0.006,0.167755,-0.513755,9.65544,-0.0181082,0.00938196,0.00320519,-0.233651,-0.234791,9.77695,0.00551304,0.0209991,0.00879379,0.0172923,-0.234541,9.76904,-0.062648,0.0292297,0.000816398,1.17967,9.3092,2.10523,-0.00964064,0.0122692,0.0124429,-0.0524564,0.218004,10.0608,-0.0142377,0.00377269,0.0120402,-0.0940231,-0.282132,-9.93094,-0.024952,-0.00432453,-0.0168366,-0.0888843,0.0253568,9.79546,-0.00901126,0.0149596,0.00991647
0.007,0.169329,-0.527632,9.66635,-0.0183526,0.00920905,0.00222115,-0.227944,-0.235948,9.78352,0.00516798,0.0228579,0.0080504,0.0182116,-0.247687,9.79176,-0.0617021,0.0291481,0.00206236,1.17809,9.3236,2.10086,-0.00930853,0.0130291,0.0119809,-0.0589925,0.216549,10.0365,-0.0152077,0.00296455,0.0122822,-0.110127,-0.288654,-9.94271,-0.0244252,-0.00443402,-0.0172757,-0.0891539,0.0308061,9.78728,-0.00867692,0.0151713,0.0108832
0.008,0.170903,-0.54151,9.67726,-0.018597,0.00903613,0.00123712,-0.222236,-0.237106,9.79008,0.00482293,0.0247166,0.007307,0.0191309,-0.260833,9.81448,-0.0607562,0.0290665,0.00330833,1.17651,9.33801,2.09648,-0.00897641,0.013789,0.0115189,-0.0655287,0.215094,10.0121,-0.0161777,0.00215642,0.0125242,-0.126231,-0.295176,-9.95449,-0.0238983,-0.00454351,-0.0177147,-0.0894235,0.0362555,9.7791,-0.00834259,0.015383,0.0118499
0.009,0.170554,-0.553402,9.68686,-0.0188149,0.00897706,0.000530552,-0.216749,-0.23939,9.79393,0.00439349,0.0262729,0.00677858,0.0220816,-0.270022,9.83487,-0.0598411,0.0291454,0.00423019,1.17546,9.35061,2.09231,-0.00872109,0.0144955,0.0111594,-0.0697704,0.213986,9.99225,-0.0170307,0.00150862,0.0126551,-0.140869,-0.300996,-9.96486,-0.0235687,-0.00470067,-0.0180703,-0.0891706,0.0406735,9.77012,-0.00790961,0.0156169,0.0124032
0.01,0.154821,-0.549417,9.68596,-0.0188207,0.00982875,0.0020437,-0.213024,-0.250681,9.77604,0.00328899,0.0254095,0.00796991,0.0412841,-0.247558,9.83661,-0.0591727,0.0305087,0.00255927,1.17863,9.34871,2.08982,-0.00908013,0.0147754,0.0116194,-0.0556571,0.215654,10.0083,-0.0169469,0.00214355,0.0118972,-0.143772,-0.301202,-9.96396,-0.0248172,-0.00523923,-0.0177582,-0.0847375,0.0368413,9.75469,-0.00668756,0.0160283,0.00964947
0.011,0.139088,-0.545432,9.68506,-0.0188265,0.0106804,0.00355685,-0.209298,-0.261973,9.75815,0.0021845,0.0245462,0.00916123,0.0604866,-0.225093,9.83835,-0.0585043,0.0318719,0.00088834,1.18181,9.34681,2.08733,-0.00943917,0.0150552,0.0120795,-0.0415439,0.217322,10.0244,-0.016863,0.00277849,0.0111392,-0.146676,-0.301409,-9.96307,-0.0260657,-0.00577778,-0.0174461,-0.0803044,0.033009,9.73925,-0.00546551,0.0164397,0.00689571
