Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0717389,0.0627112,0.0158246,0.064299,0.0550967,0.0661209,0.0600974,0.0834433,0.0775583,0.0473318,0.080733,0.0356235,0.0459601,0.0572458,0.0233728,-0.0160022
0.021,0.0638043,0.0834631,0.0100262,0.0612473,0.0566226,0.0673416,0.0549094,0.0886313,0.0833566,0.0567923,0.0792072,0.0472202,0.0432135,0.0609079,0.0386316,-0.0144763
0.022,0.0595319,0.0651526,0.0432904,0.0734543,0.041669,0.052388,0.0527731,0.0828329,0.0604684,0.0686942,0.0618121,0.0658359,0.0496222,0.0551096,0.0490076,-0.0169177
0.023,0.075401,0.0782751,0.0548871,0.081694,0.0975162,0.0377396,0.0469748,0.0767294,0.0500925,0.0747977,0.0349567,0.0737704,0.0603033,0.0633493,0.0401575,-0.00135376
0.024,0.0470197,0.0703406,0.0326093,0.0691818,0.0544864,0.0478104,0.0469748,0.0956503,0.0595529,0.0583182,0.0645587,0.0691928,0.0471808,0.0578561,0.0343591,0.0181775
0.025,0.0656354,0.103605,0.0414594,0.0414108,0.0544864,0.0603226,0.0454489,0.113351,0.0464304,0.0595389,0.0416705,0.0505771,0.061524,0.0654855,0.0493127,0.000477295
0.026,0.0534283,0.097196,0.0908978,0.0615524,0.0584537,0.0459793,0.052468,0.101449,0.0449045,0.0659476,0.0126788,0.0447787,0.0541998,0.0798288,0.0520593,0.0279431
0.027,0.059837,0.0550818,0.0670941,0.026152,0.0727969,0.0533035,0.0390402,0.104195,0.0650461,0.0766287,0.0248859,0.0759067,0.0551154,0.0548044,0.0377161,0.0313
0.028,0.059837,0.0248694,0.0155194,0.0484299,0.0697452,0.0633743,0.0365988,0.115487,0.0790842,0.0564871,0.0367877,0.0575961,0.0569464,0.0429025,0.0538904,0.00352905
0.029,0.0900494,0.0111365,0.000565796,0.062468,0.0648624,0.0569656,0.0478903,0.122811,0.0546701,0.0680838,0.0535724,0.0810947,0.0654913,0.0596872,0.0593835,0.0135999
0.03,0.0497662,0.00991577,0.0667889,0.0292038,0.0679141,0.0493362,0.0488058,0.111825,0.0650461,-0.00821014,0.0535724,0.071329,0.0496222,0.0673166,0.048092,0.0322156
0.031,0.0589215,0.0550818,0.0439008,0.0368332,0.0734073,0.0578812,0.0536887,0.118539,0.0522287,0.0088797,0.0465533,0.0420322,0.038941,0.0468698,-0.0199622,0.00566528
0.032,0.0863873,0.0581335,0.0695355,0.0493454,0.0712711,0.0545242,0.042092,0.112435,0.0745065,0.0131522,0.0492999,0.0337924,0.0560309,0.0828806,-0.0556677,0.0328259
0.033,0.0555646,0.12222,0.0970013,0.0429367,0.0648624,0.0557449,0.0466696,0.104806,0.0699289,-0.00851532,0.0618121,0.0359287,0.0731207,0.0807443,-0.075199,0.0404553
0.034,0.0662457,0.159147,0.0957806,0.0548386,0.0865298,0.0542191,0.0488058,0.120675,0.073591,0.0390921,0.0419757,0.0569858,0.0719,0.0670114,-0.0425452,0.0471692
0.035,0.0656354,0.0791907,0.056413,0.0682663,0.0831729,0.0542191,0.0509421,0.0980917,0.0680978,0.03543,0.0535724,0.0270786,0.0780035,0.0554147,-0.0114172,0.0538831
0.036,0.0616681,-0.000765381,0.0551923,0.0350021,0.0740176,0.0661209,0.0561301,0.11213,0.0592477,0.0415335,0.0468585,0.0511874,0.0761725,0.0679269,0.0178796,0.059071
0.037,0.0811993,0.00259155,0.030473,0.0771164,0.0712711,0.0456741,0.042092,0.106331,0.0534494,0.047637,0.0593707,0.0627841,0.0825812,0.0615182,0.0468713,0.069447
0.038,0.0592267,0.0257849,0.0442059,0.0755905,0.0862247,0.0551346,0.0536887,0.118844,0.0558908,0.0848685,0.061507,0.0304355,0.0712897,0.0465646,0.0883752,0.0578503
0.039,0.0653302,0.00137085,0.0432904,0.0688766,0.0749332,0.0505569,0.0597922,0.0941245,0.0494821,0.0607596,0.0834796,0.0453891,0.0749518,0.0441232,0.112179,0.0795178
0.04,0.0729596,0.0169348,0.0750287,0.0401901,0.0673038,0.0426224,0.0536887,0.105416,0.0604684,0.106841,0.0834796,0.0621738,0.0761725,0.0331369,0.134457,0.0828748
