Time,EMGs.RTibialisA,EMGs.2,EMGs.3,EMGs.4,EMGs.5,EMGs.6,EMGs.7,EMGs.8,EMGs.9,EMGs.10,EMGs.11,EMGs.12,EMGs.13,EMGs.14,EMGs.15,EMGs.16
0.043,0.0577008,0.0260901,0.0658734,0.0734543,0.0648624,0.0636795,0.0558249,0.0633017,0.0653513,0.0543509,0.0547931,0.0420322,0.0496222,0.0496164,0.0511438,0.0441174
0.044,0.0677716,0.0511145,0.0661786,0.0780319,0.0502139,0.0551346,0.0378195,0.0401083,0.0714548,0.0799857,0.068526,0.0414218,0.0346686,0.0529733,0.0664026,0.0566296
0.045,0.0689923,0.108793,0.0603803,0.0710129,0.029462,0.0615433,0.0393454,0.0428549,0.0738962,0.0601492,0.0929401,0.0225009,0.0126959,0.0743356,0.0535852,0.0654797
0.046,0.0775372,0.128324,0.0805219,0.0514816,0.0499088,0.0481155,0.0457541,0.0352255,0.0668771,0.0656424,0.178389,0.0154819,0.0334479,0.0670114,0.0490076,0.0532727
0.047,0.0793683,0.135648,0.0832684,0.0755905,0.0370914,0.0484207,0.0527731,0.0657431,0.0595529,0.0775442,0.159163,0.02952,0.042298,0.0374094,0.0718957,0.0587659
0.048,0.0561749,0.152128,0.0722821,0.0704025,0.0560123,0.0600174,0.0365988,0.0831381,0.0558908,0.0314627,0.0889728,0.0383701,0.101197,0.047175,0.0606042,0.062428
0.049,0.04763,0.0987219,0.0451215,0.0340866,0.0602847,0.0652054,0.0396506,0.0382773,0.0445993,-0.027131,-0.113359,0.0905551,0.116151,0.0514474,0.0593835,0.0578503
0.05,0.0561749,0.0102209,0.0591595,0.0356125,0.0938541,0.0633743,0.0445334,0.0556723,0.0601633,0.0400076,-0.177446,0.0969638,0.104554,0.0602975,0.061825,0.0493054
0.051,0.0613629,-0.0199915,0.047868,0.0618576,0.0807315,0.0551346,0.0365988,0.0523154,0.0619943,0.132781,-0.0233319,0.0554599,0.0740363,0.0569406,0.058468,0.0551038
0.052,0.058006,0.0105261,0.0667889,0.0655197,0.0767642,0.0685623,0.0573508,0.0462119,0.0528391,0.101043,0.0810382,0.0328769,0.0572516,0.0544992,0.0651819,0.0718884
0.053,0.0601422,0.0349402,0.0658734,0.0523972,0.0837833,0.0536087,0.0549094,0.0425497,0.0616891,0.0162039,0.0670001,0.0414218,0.0310065,0.0578561,0.0496179,0.0670056
0.054,0.0396954,0.0144934,0.0673993,0.0667404,0.0251895,0.0676468,0.0558249,0.0556723,0.0757272,0.0421439,0.045943,0.0600375,0.0456549,0.0633493,0.0654871,0.0651746
0.055,0.0375592,-0.000155029,0.0735028,0.0566696,0.0212222,0.0563553,0.0436179,0.0364462,0.0540598,0.0360403,0.0306842,0.0551547,0.0361945,0.0447336,0.0670129,0.045033
0.056,0.0445782,0.0154089,0.0493939,0.0679611,0.0718814,0.0630691,0.0579611,0.0623862,0.00187469,-0.00729462,0.0123737,0.0551547,0.0871588,0.0447336,0.0624353,0.0444226
0.057,0.0400006,0.0312781,0.0472577,0.0673508,0.0673038,0.0554398,0.0558249,0.0562827,0.0412424,0.00369171,0.0221393,0.0829257,0.0410773,0.0551096,0.0526697,0.05724
0.058,0.0461041,0.0654578,0.0506146,0.0588058,0.0795108,0.062764,0.0362936,0.0535361,0.038801,-0.0237741,0.0520465,0.0801791,0.102418,0.0374094,0.0386316,0.0581555
0.059,0.0451886,0.0599646,0.0506146,0.0386642,0.102094,0.0661209,0.0433127,0.0486533,0.061384,0.0113211,0.0929401,0.0670566,0.0670172,0.0529733,0.0496179,0.0547986
0.06,0.063194,0.0645422,0.0631268,0.0472092,0.0779849,0.0685623,0.0353781,0.044686,0.0317819,0.0363455,0.0941608,0.0731601,0.0563361,0.0450388,0.0654871,0.0761609
