Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z
0.01,3.37984,-3.05468,10.3244,0.744343,-0.380603,-0.444604,1.77714,11.9003,-1.0427,-0.27862,1.12299,-1.47428,-3.93994,8.70261,6.16311,0.122203,1.82527,1.72773,4.70364,1.40855,8.90678,0.0435333,0.109425,-0.0437663,-0.0293957,-10.463,-2.22943,-0.259203,-0.519802,0.025741,8.01649,-2.25787,3.5356,-0.640457,0.639849,0.220213,0.659593,-10.2103,-0.930156,-0.219746,-0.0452997,0.00311483
0.011,3.20413,-2.79725,10.594,0.721178,-0.41665,-0.453655,1.71996,11.858,-0.93536,-0.27194,1.11671,-1.45227,-4.65845,8.56608,5.99767,0.187716,1.68454,1.65379,4.69677,1.41512,8.92321,0.0430202,0.107062,-0.0452558,-0.0629545,-10.4364,-2.25574,-0.253458,-0.518244,0.0201274,7.96653,-2.30685,3.45793,-0.637669,0.645943,0.200522,0.706257,-10.1999,-0.884405,-0.217307,-0.0507587,0.00186714
0.012,3.02842,-2.53982,10.8635,0.698013,-0.452697,-0.462706,1.66278,11.8157,-0.828016,-0.26526,1.11044,-1.43026,-5.37697,8.42955,5.83222,0.253229,1.54381,1.57986,4.68989,1.42168,8.93965,0.042507,0.104699,-0.0467452,-0.0965133,-10.4099,-2.28204,-0.247712,-0.516685,0.0145137,7.91658,-2.35584,3.38025,-0.634881,0.652037,0.180831,0.752921,-10.1894,-0.838655,-0.214867,-0.0562177,0.000619453
0.013,2.85271,-2.28239,11.1331,0.674848,-0.488744,-0.471758,1.6056,11.7733,-0.720672,-0.25858,1.10416,-1.40826,-6.09548,8.29302,5.66678,0.318742,1.40308,1.50592,4.68302,1.42825,8.95609,0.0419939,0.102337,-0.0482347,-0.130072,-10.3833,-2.30834,-0.241966,-0.515127,0.00890009,7.86663,-2.40482,3.30258,-0.632092,0.658131,0.161141,0.799585,-10.1789,-0.792904,-0.212428,-0.0616767,-0.000628235
0.014,2.52579,-2.1921,11.1103,0.721191,-0.505026,-0.488317,1.56276,11.6693,-0.613126,-0.256057,1.09598,-1.38199,-6.8401,8.25537,5.26018,0.343342,1.29136,1.43046,4.68087,1.42477,8.96249,0.0411871,0.0990815,-0.0475901,-0.155078,-10.3566,-2.33008,-0.237398,-0.513169,0.00379613,7.84468,-2.45422,3.24223,-0.630786,0.661943,0.145613,0.811585,-10.1624,-0.782377,-0.210869,-0.0674812,-0.00222683
0.015,2.12328,-2.18536,10.9414,0.802288,-0.511425,-0.508632,1.52709,11.5343,-0.505481,-0.255613,1.08685,-1.35359,-7.59777,8.26717,4.73299,0.347486,1.19416,1.35423,4.68108,1.41627,8.96389,0.0402335,0.0953802,-0.0458785,-0.175807,-10.3298,-2.34954,-0.233418,-0.511011,-0.001053,7.83674,-2.50383,3.19055,-0.63022,0.664614,0.132167,0.806253,-10.1427,-0.789462,-0.20975,-0.0734586,-0.00400087
0.016,1.72076,-2.17863,10.7724,0.883385,-0.517825,-0.528946,1.49142,11.3993,-0.397835,-0.255168,1.07772,-1.32519,-8.35544,8.27896,4.20581,0.35163,1.09695,1.27801,4.68129,1.40777,8.96528,0.0392799,0.0916788,-0.0441669,-0.196537,-10.303,-2.369,-0.229438,-0.508854,-0.00590214,7.8288,-2.55344,3.13887,-0.629655,0.667284,0.118721,0.800921,-10.1231,-0.796547,-0.208631,-0.0794359,-0.00577491
0.017,1.31824,-2.1719,10.6035,0.964482,-0.524224,-0.54926,1.45575,11.2644,-0.290189,-0.254724,1.06859,-1.29679,-9.11311,8.29076,3.67863,0.355774,0.999745,1.20179,4.6815,1.39927,8.96667,0.0383263,0.0879775,-0.0424553,-0.217266,-10.2762,-2.38846,-0.225459,-0.506696,-0.0107513,7.82085,-2.60305,3.08719,-0.629089,0.669955,0.105276,0.795589,-10.1034,-0.803632,-0.207512,-0.0854133,-0.00754895
0.018,1.03856,-2.12154,10.4849,1.03741,-0.535132,-0.561409,1.43747,11.1415,-0.161867,-0.253936,1.05784,-1.26992,-9.80527,8.35712,3.20144,0.347633,0.905951,1.1302,4.68306,1.38385,8.96552,0.037797,0.0839944,-0.0412528,-0.235047,-10.2546,-2.41667,-0.221022,-0.504218,-0.014718,7.81594,-2.65156,3.04379,-0.628869,0.671195,0.0925241,0.790479,-10.0948,-0.815498,-0.206437,-0.0898349,-0.00879485
0.019,1.1888,-1.9185,10.5425,1.08176,-0.56182,-0.54498,1.48011,11.0609,0.0388227,-0.251944,1.04141,-1.24842,-10.2681,8.61444,2.8992,0.296494,0.824096,1.07488,4.68932,1.34424,8.95545,0.0387523,0.0790251,-0.041832,-0.242506,-10.2513,-2.47552,-0.214985,-0.50062,-0.0155964,7.82162,-2.69626,3.0294,-0.629854,0.667428,0.082203,0.786147,-10.1245,-0.844096,-0.205515,-0.0888118,-0.00819225
