Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z
0.01,4.99778,-1.42503,8.04452,0.271076,0.064959,-0.194088,0.295778,9.8586,-1.25637,-0.13614,-0.374167,0.00957501,0.811894,-9.94285,-0.768575,-0.192844,-0.221682,-0.180915,7.71641,-1.25138,2.5936,0.216785,0.0110072,0.109269,5.35153,1.04198,8.02008,0.219709,0.0111344,-0.048151,1.07671,-9.43081,-2.55589,0.0867087,-0.276344,0.109275,0.77325,9.51569,-2.82388,0.396691,-0.715537,0.150939
0.011,4.99446,-1.42986,8.04235,0.283174,0.0673721,-0.196741,0.316858,9.84511,-1.22188,-0.141062,-0.385093,0.00750274,0.862325,-9.94891,-0.788912,-0.194205,-0.207046,-0.179571,7.7623,-1.28284,2.60673,0.221806,0.0155877,0.109385,5.36037,1.06485,8.03774,0.213772,0.0126529,-0.0473056,1.13276,-9.43728,-2.57145,0.0852832,-0.270098,0.110483,0.7476,9.53615,-2.85944,0.39849,-0.713568,0.152553
0.012,4.99114,-1.43469,8.04018,0.295272,0.0697853,-0.199395,0.337938,9.83163,-1.18739,-0.145985,-0.396019,0.00543046,0.912755,-9.95498,-0.809248,-0.195565,-0.19241,-0.178228,7.80818,-1.31431,2.61985,0.226826,0.0201682,0.1095,5.36921,1.08773,8.0554,0.207835,0.0141714,-0.0464601,1.1888,-9.44376,-2.587,0.0838576,-0.263852,0.111691,0.721951,9.55661,-2.89499,0.400289,-0.711599,0.154166
0.013,4.98782,-1.43952,8.03801,0.30737,0.0721984,-0.202048,0.359018,9.81815,-1.1529,-0.150908,-0.406946,0.00335819,0.963186,-9.96104,-0.829584,-0.196925,-0.177774,-0.176884,7.85406,-1.34577,2.63298,0.231846,0.0247487,0.109616,5.37805,1.1106,8.07306,0.201897,0.0156899,-0.0456146,1.24485,-9.45024,-2.60255,0.0824321,-0.257606,0.1129,0.696301,9.57708,-2.93055,0.402089,-0.70963,0.15578
0.014,4.98055,-1.43523,8.03768,0.319766,0.0743092,-0.203823,0.360812,9.80686,-1.12542,-0.155735,-0.416056,0.000636293,1.03119,-9.94939,-0.847245,-0.19683,-0.16099,-0.173251,7.90379,-1.38719,2.64617,0.23759,0.0291185,0.109761,5.34621,1.13355,8.06662,0.193137,0.0174767,-0.0469734,1.30743,-9.44342,-2.61868,0.082745,-0.25223,0.114651,0.670715,9.57322,-2.98776,0.402261,-0.704893,0.156201
0.015,4.97131,-1.42639,8.03828,0.33231,0.0762688,-0.20516,0.352963,9.79666,-1.10143,-0.160514,-0.42426,-0.00241041,1.10797,-9.92887,-0.86357,-0.196007,-0.143132,-0.168472,7.95544,-1.43359,2.65939,0.243696,0.033383,0.109921,5.29405,1.15654,8.04814,0.182966,0.0193976,-0.0494343,1.37327,-9.42994,-2.6351,0.083927,-0.247289,0.116675,0.645162,9.55721,-3.05581,0.401619,-0.698771,0.156025
0.016,4.96207,-1.41755,8.03887,0.344855,0.0782283,-0.206496,0.345114,9.78647,-1.07744,-0.165294,-0.432463,-0.00545711,1.18475,-9.90835,-0.879894,-0.195184,-0.125274,-0.163693,8.00709,-1.47999,2.67262,0.249802,0.0376475,0.110082,5.24188,1.17953,8.02966,0.172794,0.0213185,-0.0518952,1.43912,-9.41647,-2.65151,0.085109,-0.242348,0.118698,0.619608,9.5412,-3.12385,0.400977,-0.692649,0.15585
0.017,4.95283,-1.4087,8.03946,0.357399,0.0801879,-0.207832,0.337265,9.77627,-1.05346,-0.170073,-0.440666,-0.00850381,1.26154,-9.88783,-0.896218,-0.19436,-0.107416,-0.158914,8.05874,-1.52639,2.68584,0.255907,0.0419119,0.110242,5.18972,1.20252,8.01118,0.162623,0.0232394,-0.0543561,1.50496,-9.403,-2.66793,0.086291,-0.237407,0.120722,0.594054,9.52519,-3.1919,0.400335,-0.686528,0.155674
0.018,4.94586,-1.39574,8.03837,0.3701,0.0824457,-0.20908,0.333513,9.76898,-1.03159,-0.174313,-0.448425,-0.0110576,1.33312,-9.87313,-0.913715,-0.19397,-0.0899438,-0.154418,8.11241,-1.56533,2.70162,0.261293,0.0457951,0.110834,5.14544,1.22201,8.00337,0.153407,0.0247747,-0.0562342,1.57084,-9.3924,-2.67862,0.0870607,-0.232119,0.122756,0.571432,9.51146,-3.26026,0.399065,-0.679439,0.155677
0.019,4.94688,-1.36836,8.03139,0.38335,0.0857473,-0.210025,0.344103,9.77185,-1.01711,-0.176664,-0.454629,-0.0118862,1.38647,-9.87878,-0.935314,-0.195094,-0.0738239,-0.150914,8.17316,-1.57816,2.72636,0.264157,0.0483434,0.112935,5.1288,1.22926,8.03286,0.147539,0.0249607,-0.0560727,1.63682,-9.39184,-2.66929,0.0863873,-0.225618,0.124826,0.55907,9.50574,-3.32971,0.395599,-0.668969,0.156302
