Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z
0.0,6.85496,-3.82671,5.66446,-0.00806706,0.0148241,-0.0630429,-0.646434,9.62164,0.607976,-0.0177744,-0.0688944,0.0129202,0.754138,-9.77584,-1.37876,-0.113976,-0.00304948,-0.0149308,9.456,-0.764792,2.2004,-0.290444,0.0777125,0.0913867,6.93435,3.6995,6.39832,0.0447098,-0.0230204,-0.0288985,-0.787824,-9.67959,-1.95848,-0.0448007,-0.0134166,0.1464,-2.02375,8.88805,-3.56928,0.0683221,-0.178577,0.0994328
0.001,6.86327,-3.84554,5.66843,-0.0065707,0.0140888,-0.0608395,-0.652705,9.61522,0.615968,-0.0156744,-0.0672128,0.0122699,0.727617,-9.80577,-1.42899,-0.114233,-0.00140485,-0.0151582,9.45102,-0.742541,2.22105,-0.287278,0.0779594,0.088938,6.89995,3.72474,6.37347,0.0401615,-0.0224917,-0.0268713,-0.776026,-9.70142,-2.00422,-0.0452364,-0.012596,0.147192,-2.00925,8.87602,-3.50841,0.069461,-0.183601,0.10063
0.002,6.87157,-3.86437,5.6724,-0.00507435,0.0133534,-0.0586361,-0.658975,9.6088,0.623959,-0.0135745,-0.0655312,0.0116197,0.701096,-9.83569,-1.47922,-0.114491,0.000239786,-0.0153857,9.44603,-0.72029,2.24171,-0.284111,0.0782064,0.0864892,6.86555,3.74998,6.34861,0.0356131,-0.0219631,-0.0248441,-0.764229,-9.72326,-2.04996,-0.0456721,-0.0117753,0.147984,-1.99475,8.86399,-3.44754,0.0705999,-0.188626,0.101828
0.003,6.87988,-3.8832,5.67637,-0.003578,0.012618,-0.0564327,-0.665245,9.60237,0.63195,-0.0114745,-0.0638497,0.0109694,0.674575,-9.86562,-1.52946,-0.114748,0.00188442,-0.0156131,9.44104,-0.698039,2.26236,-0.280945,0.0784533,0.0840404,6.83115,3.77523,6.32376,0.0310648,-0.0214344,-0.0228169,-0.752431,-9.74509,-2.0957,-0.0461077,-0.0109547,0.148775,-1.98024,8.85196,-3.38667,0.0717388,-0.193651,0.103026
0.004,6.88819,-3.90203,5.68034,-0.00208164,0.0118827,-0.0542293,-0.671516,9.59595,0.639941,-0.0093746,-0.0621681,0.0103192,0.648054,-9.89555,-1.57969,-0.115006,0.00352905,-0.0158406,9.43606,-0.675788,2.28302,-0.277779,0.0787002,0.0815917,6.79676,3.80047,6.29891,0.0265165,-0.0209057,-0.0207897,-0.740633,-9.76692,-2.14144,-0.0465434,-0.0101341,0.149567,-1.96574,8.83992,-3.3258,0.0728778,-0.198675,0.104223
0.005,6.89776,-3.90408,5.67926,-0.00145237,0.0128475,-0.053012,-0.672211,9.60044,0.644301,-0.00915192,-0.0600194,0.00926729,0.65214,-9.89664,-1.59367,-0.115461,0.00431163,-0.0158299,9.44841,-0.662972,2.29873,-0.272952,0.0798292,0.0799732,6.80178,3.80667,6.30363,0.0242541,-0.0221495,-0.0195647,-0.725368,-9.76486,-2.1576,-0.0464992,-0.00911338,0.14919,-1.94723,8.82823,-3.29862,0.0716305,-0.205438,0.10459
0.006,6.90834,-3.8927,5.67415,-0.00151675,0.0151724,-0.0525835,-0.668447,9.61366,0.645756,-0.010431,-0.057497,0.00789408,0.680713,-9.87468,-1.57864,-0.116075,0.00440458,-0.0156288,9.47464,-0.657705,2.31048,-0.266796,0.0816639,0.079019,6.83833,3.79763,6.332,0.0238204,-0.0248113,-0.0189816,-0.707328,-9.74369,-2.15009,-0.0460711,-0.0079325,0.147878,-1.92551,8.81679,-3.2984,0.0684743,-0.213589,0.104291
0.007,6.91892,-3.88133,5.66904,-0.00158113,0.0174974,-0.0521551,-0.664683,9.62689,0.64721,-0.0117102,-0.0549746,0.00652086,0.709285,-9.85272,-1.56361,-0.116689,0.00449752,-0.0154276,9.50087,-0.652438,2.32224,-0.260641,0.0834985,0.0780648,6.87488,3.7886,6.36038,0.0233868,-0.0274732,-0.0183985,-0.689289,-9.72252,-2.14258,-0.045643,-0.00675163,0.146566,-1.90379,8.80536,-3.29818,0.065318,-0.221741,0.103993
0.008,6.9295,-3.86996,5.66393,-0.00164552,0.0198223,-0.0517267,-0.660919,9.64011,0.648665,-0.0129893,-0.0524522,0.00514765,0.737858,-9.83076,-1.54858,-0.117302,0.00459046,-0.0152265,9.5271,-0.647171,2.33399,-0.254485,0.0853331,0.0771106,6.91144,3.77956,6.38876,0.0229531,-0.030135,-0.0178153,-0.671249,-9.70135,-2.13507,-0.045215,-0.00557075,0.145254,-1.88208,8.79393,-3.29796,0.0621618,-0.229893,0.103694
0.009,6.93817,-3.85934,5.65957,-0.00196525,0.0219474,-0.0512991,-0.656935,9.65106,0.651206,-0.0140081,-0.0499667,0.00386072,0.761547,-9.81122,-1.53412,-0.11764,0.0049053,-0.0151227,9.54972,-0.643822,2.34265,-0.248588,0.0872435,0.0758842,6.94295,3.77078,6.41409,0.0222342,-0.0323614,-0.0173084,-0.651783,-9.68263,-2.13133,-0.0448574,-0.0042846,0.143825,-1.86224,8.78624,-3.30336,0.0592193,-0.237662,0.10374
0.01,6.93155,-3.85476,5.66126,-0.00432771,0.0224731,-0.0508788,-0.651197,9.6439,0.66244,-0.012944,-0.0477769,0.00326402,0.746167,-9.81114,-1.52425,-0.115766,0.00699529,-0.0157974,9.54347,-0.655812,2.32658,-0.24476,0.0897599,0.0724796,6.93417,3.76408,6.41501,0.0192327,-0.0311045,-0.0174114,-0.620901,-9.68353,-2.15768,-0.0450638,-0.00215622,0.141455,-1.85747,8.8085,-3.35369,0.0579861,-0.242363,0.106544
