Time,EMGs.RTibialisA,EMGs.2,EMGs.3,EMGs.4,EMGs.5,EMGs.6,EMGs.7,EMGs.8,EMGs.9,EMGs.10,EMGs.11,EMGs.12,EMGs.13,EMGs.14,EMGs.15,EMGs.16
0.044,0.0644147,0.0770544,0.0649579,0.0575851,0.0499088,0.0737503,0.0713889,0.0593344,0.0766428,0.00460724,0.0706622,0.0594272,0.0419928,0.0483957,0.0502283,0.0645642
0.045,0.0613629,0.0471472,0.0625165,0.0472092,0.0297672,0.0856522,0.0423972,0.0407187,0.0409372,0.00857452,0.0639484,0.0640048,0.0606085,0.0850168,0.0490076,0.0499158
0.046,0.0613629,0.0444006,0.096391,0.0398849,0.0428897,0.0505569,0.0570456,0.0901572,0.0616891,0.0482474,0.0663898,0.0899448,0.0340582,0.0459543,0.0355798,0.0331311
0.047,0.0515973,0.0617957,0.0527509,0.0588058,0.0422794,0.0551346,0.0561301,0.0660483,0.0702341,0.065032,0.068526,0.0603427,0.0743414,0.0255075,0.0682336,0.0712781
0.048,0.0625836,0.083158,0.0640424,0.0566696,0.059064,0.0755814,0.0399558,0.062081,0.043989,0.0522147,0.0627277,0.0670566,0.0480963,0.0618234,0.0398523,0.0612073
0.049,0.065025,0.0895666,0.0692303,0.0215744,0.0599796,0.0499466,0.0652853,0.0477377,0.0351389,0.0482474,0.0584552,0.0575961,0.0627448,0.052363,0.0569421,0.0480847
0.05,0.0641095,0.112455,0.0652631,0.0630783,0.0492984,0.0548294,0.064675,0.0675742,0.0409372,0.050994,0.0630328,0.0557651,0.0569464,0.0538889,0.0545007,0.046864
0.051,0.0540387,0.084989,0.0493939,0.0414108,0.046857,0.0591019,0.0533835,0.0541464,0.0558908,0.0830374,0.061507,0.0652255,0.0670172,0.0618234,0.0581628,0.0523572
0.052,0.0769269,0.0654578,0.0606854,0.0472092,0.0465518,0.0392654,0.0448386,0.0489584,0.0754221,0.0732718,0.0526569,0.0688876,0.0560309,0.0459543,0.0612146,0.0471692
0.053,0.0564801,0.0700354,0.0463422,0.0612473,0.0529605,0.0404861,0.0402609,0.044686,0.0696237,0.0616751,0.0599811,0.0826205,0.0831915,0.0572458,0.0743372,0.0578503
0.054,0.0509869,0.0721716,0.0625165,0.0664352,0.0480777,0.0755814,0.0509421,0.0510947,0.0711496,0.0924979,0.0468585,0.0505771,0.0245978,0.0609079,0.0520593,0.0505261
0.055,0.0616681,0.0486731,0.0826581,0.0392746,0.0547916,0.0468948,0.0713889,0.0388876,0.0638254,0.112334,0.0654742,0.0347079,0.0444342,0.0606027,0.0673181,0.0602917
0.056,0.0610577,0.0340247,0.0646527,0.0563644,0.0343448,0.0508621,0.0607077,0.055062,0.0503976,0.101958,0.0526569,0.0426425,0.0548102,0.0673166,0.0627405,0.0541882
0.057,0.0717389,0.00381226,0.0475629,0.0551437,0.0447208,0.0716141,0.0433127,0.072457,0.0836618,0.14041,0.0560138,0.0490512,0.0435187,0.0435129,0.0425989,0.0612073
0.058,0.0610577,0.00228638,0.0661786,0.0633835,0.0685245,0.0606277,0.0915305,0.0407187,0.0760324,0.0931082,0.052962,0.0279941,0.0368048,0.0560251,0.0654871,0.0554089
0.059,0.0619733,0.0157141,0.0554974,0.064299,0.0306827,0.0716141,0.0292746,0.0520102,0.0616891,0.101043,0.0618121,0.0801791,0.0523688,0.0392404,0.0722009,0.0236707
0.06,0.0448834,0.0480627,0.0503094,0.0255417,0.0441104,0.0572708,0.0689474,0.0449912,0.0668771,0.0516043,0.045943,0.0386752,0.0609137,0.054194,0.0685388,0.045033
0.061,0.0567853,0.0514197,0.0722821,0.0371384,0.03465,0.0597122,0.0509421,0.0523154,0.0919015,0.0326834,0.0764606,0.0496616,0.0676276,0.0715891,0.0764734,0.0685315
0.062,0.0439679,0.0660681,0.040849,0.0710129,0.0489932,0.0630691,0.0347678,0.0529257,0.0696237,0.0314627,0.0282428,0.0112094,0.0456549,0.0563303,0.0725061,0.0605969
0.063,0.0708234,0.0666785,0.046037,0.05728,0.074628,0.0612381,0.0585715,0.0510947,0.085798,0.0213919,0.0541827,0.0502719,0.0566412,0.0786081,0.0718957,0.0496106
0.064,0.0570905,0.0782751,0.0319989,0.0484299,0.031293,0.0636795,0.0521628,0.0437704,0.056196,0.00643829,0.0627277,0.0600375,0.0654913,0.0572458,0.0368005,0.0386243
0.065,0.0668561,0.0736975,0.0481732,0.052092,0.0334293,0.0713089,0.0512473,0.0629965,0.0745065,0.0488577,0.0505206,0.0423373,0.0743414,0.0596872,0.0285608,0.0554089
0.066,0.0732648,0.0584387,0.0606854,0.0594162,0.062421,0.0328568,0.0707785,0.0513998,0.0635202,0.000945129,0.0264117,0.0289096,0.0325323,0.0462595,0.0535852,0.0456433
0.067,0.0677716,0.0950598,0.0793011,0.05728,0.0438052,0.059407,0.0631491,0.051705,0.066572,-0.00698944,0.0657794,0.0527133,0.0676276,0.0892892,0.0438196,0.0316052
0.068,0.0555646,0.0621008,0.0411542,0.0646042,0.0544864,0.0630691,0.0460593,0.0636069,0.0592477,-0.0161447,0.0492999,0.0835361,0.052674,0.0581613,0.063656,0.0648694
0.069,0.0705182,0.0517249,0.0713666,0.062468,0.0395328,0.0462845,0.0649802,0.0810019,0.0720651,0.0357352,0.0651691,0.0795688,0.0508429,0.0554147,0.0630457,0.045033
0.07,0.0287091,0.0547766,0.0603803,0.0588058,0.03465,0.0685623,0.036904,0.055062,0.0400217,0.0470267,0.0364825,0.0661411,0.0630499,0.0706735,0.0441248,0.067616
0.071,0.0525128,0.0599646,0.0793011,0.0588058,0.0462466,0.0569656,0.0784079,0.0636069,0.0601633,0.00979523,0.0578448,0.0691928,0.0352789,0.0551096,0.058468,0.0331311
0.072,0.0418317,0.0425696,0.0466473,0.0600265,0.0489932,0.0496414,0.0463644,0.056893,0.0601633,-0.0118723,0.0700519,0.0627841,0.0654913,0.0499216,0.0673181,0.0615125
0.073,0.0665509,0.0471472,0.0609906,0.0603317,0.0496036,0.0859573,0.0549094,0.0373618,0.0711496,0.030242,0.0624225,0.0438632,0.0294806,0.0642648,0.0654871,0.0645642
0.074,0.0808942,0.057218,0.051225,0.0459885,0.0554019,0.0490311,0.04728,0.0364462,0.0677927,0.0326834,0.051131,0.0585117,0.066712,0.0673166,0.0615198,0.0535779
0.075,0.0586163,0.074613,0.061601,0.069487,0.0660831,0.0612381,0.0622336,0.051705,0.0854929,0.0574026,0.0810382,0.0707187,0.0447394,0.0450388,0.0331384,0.0486951
0.076,0.0491559,0.0666785,0.0310834,0.0700973,0.0358707,0.0600174,0.0494162,0.0504843,0.0616891,0.0506888,0.0367877,0.0731601,0.0477911,0.062739,0.0596887,0.0538831
0.077,0.0595319,0.0782751,0.0539716,0.0581955,0.0685245,0.0630691,0.0628439,0.0584189,0.0586374,0.025054,0.056319,0.0929965,0.00262512,0.0654855,0.0578577,0.0569348
0.078,0.058006,0.0599646,0.0490887,0.0462936,0.046857,0.0352982,0.0518576,0.0459067,0.078779,0.0311575,0.0630328,0.0676669,0.0499274,0.0584665,0.0563318,0.0593762
0.079,0.0390851,0.0621008,0.058244,0.0581955,0.0605899,0.08199,0.0747458,0.0813071,0.0549753,0.0549612,0.0798175,0.052103,0.0114752,0.0358835,0.0560266,0.0557141
0.08,0.0369489,0.0550818,0.0783856,0.0411057,0.0413638,0.0618485,0.0729147,0.0709311,0.0720651,0.0522147,0.0801227,0.0398959,0.0810553,0.0709787,0.0667078,0.0459485
0.081,0.0686871,0.0602698,0.0518353,0.0545334,0.0340396,0.0557449,0.0497214,0.0541464,0.0656564,0.0421439,0.05815,0.0331821,0.047486,0.0599924,0.0520593,0.0447278
0.082,0.0717389,0.0550818,0.0640424,0.0423264,0.0459415,0.0606277,0.0399558,0.0880209,0.0540598,0.0766287,0.0761554,0.043558,0.0511481,0.0752512,0.0767786,0.0578503
0.083,0.0833356,0.0297522,0.056413,0.0499557,0.0608951,0.0456741,0.0469748,0.0715414,0.0598581,0.0461111,0.0694415,0.0377597,0.0252081,0.054194,0.0581628,0.0770764
0.084,0.0906598,0.0752234,0.0655682,0.064299,0.0660831,0.062764,0.0478903,0.0907675,0.0503976,0.0635062,0.0630328,0.0777377,0.0487067,0.057551,0.0685388,0.0569348
0.085,0.0641095,0.0465369,0.053056,0.0453781,0.0319034,0.0551346,0.0460593,0.0297324,0.0491769,0.0641165,0.0645587,0.0551547,0.03711,0.0383249,0.0569421,0.0535779
0.086,0.0549542,0.0587439,0.0487836,0.0652145,0.0706607,0.0545242,0.0613181,0.0422446,0.083967,0.0604544,0.0621173,0.0484409,0.0227667,0.0657907,0.0633508,0.0325208
0.087,0.054649,0.074613,0.051225,0.0679611,0.0550967,0.0752762,0.0411765,0.0456015,0.0534494,0.068389,0.0453326,0.0301303,0.0325323,0.0612131,0.0709802,0.0779919
0.088,0.0543439,0.0678992,0.0323041,0.0603317,0.0557071,0.0667313,0.0600974,0.0468222,0.0638254,0.0604544,0.0932452,0.0456943,0.066712,0.0700632,0.0722009,0.0523572
0.089,0.0519025,0.0672888,0.0445111,0.0490402,0.0496036,0.0722244,0.0570456,0.0605551,0.0656564,0.0574026,0.0648639,0.0530185,0.0618292,0.0743356,0.0621301,0.0599866
0.09,0.00978821,0.0477576,0.0536664,0.0752853,0.0450259,0.0737503,0.0506369,0.0828329,0.0452097,0.0766287,0.0578448,0.0344028,0.0603033,0.0578561,0.0718957,0.0914197
0.091,0.0830304,0.0196814,0.0591595,0.0490402,0.046857,0.0511673,0.0536887,0.0367514,0.0519235,0.0564871,0.0373981,0.0133456,0.0581671,0.0572458,0.0624353,0.0709729
0.092,0.0784528,0.0239539,0.0667889,0.0774216,0.059064,0.0700882,0.0549094,0.0730673,0.0680978,0.103484,0.0621173,0.0374545,0.0841071,0.0676218,0.0337488,0.0404553
0.093,0.0351178,-0.00595337,0.0417645,0.0661301,0.0480777,0.0688675,0.0494162,0.0608603,0.0558908,0.100738,0.0557086,0.0447787,0.0487067,0.0599924,0.061825,0.0941663
0.094,0.0787579,0.0392126,0.0600751,0.0719284,0.0349551,0.040181,0.0625388,0.0507895,0.0662668,0.0897513,0.0605914,0.0649204,0.0642706,0.0508371,0.0548059,0.0709729
0.095,0.0802838,0.0440955,0.0857098,0.0551437,0.0166446,0.0450638,0.0497214,0.0538412,0.0421579,0.0943289,0.0578448,0.0588168,0.0444342,0.0776926,0.0615198,0.0645642
0.096,0.0448834,0.0587439,0.0661786,0.0380539,0.0575381,0.0508621,0.0640646,0.0904623,0.0449045,0.0873099,0.075545,0.0597324,0.0599982,0.0810495,0.0441248,0.0865369
0.097,0.0387799,0.0404334,0.0493939,0.0166916,0.0566226,0.069783,0.0515524,0.0340048,0.0522287,0.0711356,0.0648639,0.0551547,0.0416876,0.0639597,0.0746423,0.0731091
0.098,0.0708234,0.0529456,0.0570233,0.0414108,0.0303775,0.0615433,0.0320212,0.0626913,0.0543649,0.0613699,0.035567,0.0707187,0.0432135,0.0371042,0.0599939,0.0761609
0.099,0.04763,0.0395178,0.0271161,0.0246262,0.0303775,0.0752762,0.059487,0.0324789,0.0546701,0.058013,0.0627277,0.0704135,0.0581671,0.0670114,0.0737268,0.0691418
0.1,0.025047,-0.00656372,0.0628217,0.0395798,0.0483829,0.0850418,0.0552145,0.0434653,0.0571115,0.0696097,0.0880572,0.0298251,0.059693,0.0285593,0.0154382,0.0538831
0.101,0.032066,0.0117468,0.0545819,0.0581955,0.0502139,0.0587967,0.0445334,0.0678793,0.0656564,0.058013,0.0727985,0.0426425,0.0929572,0.0694528,0.0596887,0.0605969
0.102,0.0540387,0.0663733,0.0658734,0.0804733,0.0456363,0.0429276,0.0512473,0.0474326,0.0626047,0.0479422,0.0514362,0.0450839,0.049317,0.0410715,0.0639612,0.0538831
0.103,0.0561749,0.055387,0.06862,0.0856613,0.0657779,0.0624588,0.0414816,0.0626913,0.0848825,0.0738821,0.0819537,0.0682773,0.0719,0.0587717,0.0596887,0.0786023
0.104,0.0537335,0.0447058,0.0640424,0.05728,0.0511295,0.0658157,0.0680319,0.0523154,0.0525339,0.0604544,0.0309894,0.0594272,0.0606085,0.0444284,0.0416833,0.0514417
0.105,0.0705182,0.0291418,0.0988324,0.0841354,0.0547916,0.0609329,0.0634543,0.0556723,0.056196,0.0680838,0.0776813,0.0569858,0.0709845,0.0578561,0.0523645,0.0560193
0.106,0.0827252,0.00747437,0.0731976,0.0865768,0.029462,0.0566605,0.0475851,0.044686,0.0851877,0.058013,0.0731036,0.0618686,0.0468756,0.0544992,0.0642664,0.0563245
0.107,0.0613629,0.0456213,0.0429852,0.0835251,0.0328189,0.0850418,0.0692526,0.0773398,0.0742014,0.0653372,0.0410602,0.0762119,0.03711,0.0526682,0.0453455,0.0502209
0.108,0.080589,0.0355505,0.0579388,0.0206589,0.0727969,0.0734451,0.0652853,0.00928558,0.0604684,0.0638113,0.0496051,0.0624789,0.0224615,0.0737253,0.0526697,0.0496106
