Time,RTibialisAnterior,RSoleus,RBicepsFemoris,RGastrocnemiusMedialis,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0.043,0.0555646,0.0645422,0.061601,0.0478195,0.0895816,0.0743607,0.0628439,0.0596396,0.0586374,0.0601492,0.0825641,0.0743808,0.0502325,0.0581613,0.0606042,0.0612073
0.044,0.0284039,0.0703406,0.0481732,0.0581955,0.0386172,0.0472,0.0454489,0.0541464,0.0516183,0.078765,0.0694415,0.0398959,0.052674,0.0572458,0.0502283,0.0554089
0.045,0.0552594,0.0669836,0.0594647,0.0368332,0.0599796,0.0633743,0.0427023,0.0681845,0.0449045,0.130645,0.0645587,0.0664462,0.0502325,0.0566354,0.0746423,0.0538831
0.046,0.0519025,0.0813269,0.0658734,0.0600265,0.0544864,0.0673416,0.0512473,0.09504,0.0607736,0.102263,0.0767657,0.0658359,0.0490118,0.0398508,0.0541956,0.036488
0.047,0.0531232,0.0627112,0.0249799,0.0359177,0.076459,0.0844315,0.0552145,0.0544516,0.0549753,0.132781,0.0679156,0.108866,0.0480963,0.0660959,0.0374109,0.0343518
0.048,0.0628888,0.0483679,0.0313886,0.0768112,0.0575381,0.0636795,0.0652853,0.0883261,0.0772531,0.141326,0.0523517,0.079874,0.0590826,0.0450388,0.0425989,0.0456433
0.049,0.0418317,0.067594,0.0301678,0.0511765,0.0563174,0.0630691,0.0341574,0.0523154,0.0626047,0.0751028,0.0676105,0.057291,0.0633551,0.0688425,0.0642664,0.0609021
0.05,0.0366437,0.0749182,0.0548871,0.0533127,0.0325137,0.0520828,0.0326315,0.0956503,0.0604684,0.0155936,0.0587604,0.06431,0.0429083,0.0676218,0.070675,0.0566296
0.051,0.0552594,0.0627112,0.0536664,0.0609421,0.0392276,0.0533035,0.04728,0.0462119,0.0497873,0.0278006,0.0517413,0.0463046,0.0453497,0.0624338,0.058468,0.0499158
0.052,0.0564801,0.0514197,0.0570233,0.0609421,0.03465,0.0472,0.0259177,0.0501791,0.0503976,0.0290213,0.0673053,0.053934,0.0520636,0.0648752,0.0578577,0.0660901
0.053,0.0625836,0.0642371,0.0667889,0.0444626,0.0892764,0.0475052,0.0527731,0.041329,0.0766428,0.0497733,0.0486896,0.0490512,0.0694586,0.0932565,0.061825,0.0541882
0.054,0.0625836,0.0807166,0.051225,0.0566696,0.0627261,0.0557449,0.0192038,0.0504843,0.051008,0.025054,0.0544879,0.0441684,0.0508429,0.0508371,0.0685388,0.0636487
0.055,0.0451886,0.0425696,0.0509198,0.0426315,0.0563174,0.0728348,0.0536887,0.0443808,0.0720651,0.0366507,0.0413654,0.0560703,0.0520636,0.0654855,0.0523645,0.0538831
0.056,0.0711285,0.0547766,0.0554974,0.0530075,0.0749332,0.069783,0.0744406,0.0510947,0.0629098,0.0320731,0.0618121,0.0621738,0.0487067,0.0615182,0.0337488,0.0795178
0.057,0.0415265,0.0474524,0.061601,0.0618576,0.0700504,0.036824,0.0362936,0.049874,0.0638254,0.058013,0.0413654,0.0524081,0.0447394,0.0636545,0.0709802,0.0715832
0.058,0.063194,0.0422644,0.0591595,0.069487,0.0639468,0.0606277,0.0823752,0.0559775,0.0784738,0.0729666,0.0441119,0.0585117,0.0554205,0.0612131,0.0456506,0.067616
0.059,0.0515973,0.0358557,0.0628217,0.0905441,0.0514346,0.0563553,0.0539938,0.0816122,0.0598581,0.0390921,0.0377032,0.0569858,0.059693,0.0532785,0.0474817,0.0532727
0.06,0.0641095,0.0379919,0.0579388,0.0661301,0.0270206,0.0572708,0.0411765,0.049874,0.061384,0.0378714,0.0502155,0.0548496,0.0541998,0.0630441,0.0450403,0.0511365
0.061,0.0638043,0.0456213,0.0548871,0.0710129,0.0727969,0.0578812,0.0414816,0.0575034,0.068403,0.0229178,0.05815,0.071329,0.0480963,0.0447336,0.0386316,0.0526624
0.062,0.0589215,0.0733923,0.0588544,0.0563644,0.0251895,0.0508621,0.0512473,0.0468222,0.0589426,0.0577078,0.0682208,0.0640048,0.0484015,0.0587717,0.0569421,0.0493054
0.063,0.058006,0.0621008,0.0240643,0.0502609,0.0340396,0.0673416,0.0414816,0.0697104,0.0821359,0.0442801,0.0480792,0.0279941,0.0584723,0.0670114,0.0496179,0.05724
0.064,0.0503766,0.0361609,0.051225,0.0465988,0.0349551,0.0615433,0.0503317,0.0633017,0.0452097,0.0281058,0.0590656,0.0344028,0.0401617,0.0270334,0.056637,0.0459485
0.065,0.0577008,0.0590491,0.0487836,0.0551437,0.0413638,0.0468948,0.0286642,0.0593344,0.0644357,0.03543,0.0450275,0.0511874,0.0517584,0.0502267,0.0575525,0.0599866
0.066,0.0628888,0.0608801,0.0664838,0.0597214,0.0578433,0.0716141,0.071694,0.0538412,0.0751169,0.0375662,0.0596759,0.053934,0.0484015,0.034968,0.0523645,0.0267224
0.067,0.058006,0.0416541,0.0405438,0.0685715,0.0428897,0.0612381,0.0353781,0.0462119,0.0323923,0.0552664,0.0673053,0.0316562,0.044129,0.0517526,0.0499231,0.0444226
0.068,0.059837,0.0273108,0.0628217,0.0819992,0.0373965,0.10732,0.04728,0.0452963,0.0574167,0.0653372,0.0706622,0.0490512,0.0453497,0.0636545,0.0474817,0.0496106
0.069,0.0482404,0.0566077,0.0637372,0.0575851,0.0477725,0.0578812,0.0460593,0.049874,0.0503976,0.0943289,0.0517413,0.0386752,0.0429083,0.0447336,0.0554163,0.0587659
0.07,0.0607526,0.0688147,0.0527509,0.0600265,0.0505191,0.0682571,0.0500266,0.0404135,0.0616891,0.0866995,0.0663898,0.0569858,0.052674,0.0511423,0.0444299,0.0615125
