Time,RTibialisAnterior,RSoleus,RBicepsFemoris,RGastrocnemiusMedialis,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0461041,0.0709509,0.0771649,0.0575851,0.0505191,0.0389603,0.0408713,0.0614706,0.056196,0.0345145,0.0825641,0.0453891,0.0654913,0.054194,0.0447351,0.0547986
0.021,0.0512921,0.113676,0.0570233,0.0667404,0.0566226,0.0407913,0.0515524,0.0663535,0.0558908,0.0641165,0.0682208,0.0475253,0.0541998,0.0465646,0.0319177,0.0303845
0.022,0.0525128,0.0752234,0.0680096,0.0661301,0.0492984,0.0591019,0.0500266,0.0581137,0.0491769,0.058013,0.080733,0.0569858,0.0520636,0.0505319,0.0587732,0.0560193
0.023,0.0644147,0.0645422,0.0927289,-0.00192413,0.0547916,0.0493362,0.0643698,0.0602499,0.0363596,0.0638113,0.0822589,0.0566806,0.0413824,0.049006,0.0590784,0.0514417
0.024,0.0616681,0.0599646,0.0316937,0.0585007,0.0486881,0.0862625,0.0680319,0.0593344,0.0693185,0.0790701,0.0505206,0.0444736,0.0630499,0.0740305,0.0667078,0.072804
0.025,0.0619733,0.0480627,0.0548871,0.0563644,0.0615054,0.0465897,0.0509421,0.0602499,0.0372751,0.0955496,0.0514362,0.0548496,0.052674,0.0499216,0.0474817,0.0538831
0.026,0.0613629,0.0297522,0.0716718,0.0493454,0.0514346,0.0639847,0.036904,0.0681845,0.0629098,0.117217,0.0676105,0.052103,0.0432135,0.0828806,0.074032,0.0526624
0.027,0.0674664,0.0566077,0.0323041,0.0887131,0.0584537,0.0652054,0.0713889,0.0571982,0.066572,0.0555716,0.0700519,0.0496616,0.0496222,0.0560251,0.0612146,0.0706677
0.028,0.0567853,0.0544714,0.0365765,0.0343918,0.0663882,0.0600174,0.0442282,0.0614706,0.0638254,0.0784598,0.0596759,0.0588168,0.0603033,0.0779977,0.0560266,0.0486951
0.029,0.0403058,0.0740027,0.107682,0.0688766,0.0514346,0.0615433,0.0469748,0.0645224,0.0482614,0.080596,0.0428912,0.0325717,0.0511481,0.034968,0.0633508,0.0544934
0.03,0.04763,0.0395178,0.0368817,0.0780319,0.0459415,0.0581863,0.0500266,0.0709311,0.0528391,0.0653372,0.0596759,0.0618686,0.0657965,0.0654855,0.0575525,0.0389294
0.031,0.0567853,0.0581335,0.0725873,0.0719284,0.059064,0.0398758,0.0448386,0.0617758,0.0821359,0.0717459,0.0560138,0.0472202,0.0749518,0.0679269,0.0325281,0.0715832
0.032,0.0342023,0.0678992,0.0445111,0.0710129,0.0560123,0.0475052,0.0628439,0.0977866,0.0629098,0.0866995,0.0532672,0.0661411,0.0532843,0.0602975,0.0602991,0.0435071
0.033,0.0644147,0.105436,0.0484784,0.0588058,0.0309879,0.0581863,0.0457541,0.0529257,0.0403268,0.0546561,0.0258014,0.052103,0.0419928,0.0465646,0.0725061,0.0673108
0.034,0.0589215,0.0721716,0.0503094,0.0383591,0.0691348,0.0606277,0.0753561,0.0648276,0.0583322,0.0473318,0.0444171,0.0682773,0.049317,0.0532785,0.0413782,0.0551038
0.035,0.0381696,0.0392126,0.0503094,0.0319504,0.0541812,0.0569656,0.0567404,0.0602499,0.056196,0.0238333,0.0367877,0.0371494,0.0548102,0.0487009,0.0606042,0.0535779
0.036,0.0570905,0.062406,0.0597699,0.0551437,0.0584537,0.0636795,0.0533835,0.0730673,0.0699289,0.0226126,0.0624225,0.0459995,0.0459601,0.0465646,0.05328,0.0627332
0.037,0.0488507,0.0267004,0.0393231,0.0444626,0.0529605,0.0529984,0.0600974,0.0578085,0.0598581,0.0686942,0.0688312,0.048746,0.0682379,0.0511423,0.0685388,0.0535779
0.038,0.0775372,0.055387,0.0548871,0.0502609,0.0584537,0.0716141,0.0552145,0.0687949,0.0793893,0.0714407,0.0828693,0.0466098,0.0331427,0.0496164,0.075863,0.067616
0.039,0.042442,0.0471472,0.0316937,0.0350021,0.0569278,0.0676468,0.0585715,0.0526205,0.0641306,0.052825,0.0608966,0.0585117,0.0490118,0.0606027,0.0648767,0.0660901
0.04,0.0647198,0.0538611,0.0561078,0.0398849,0.0581485,0.0694778,0.0591818,0.0617758,0.0650461,0.0299368,0.0428912,0.0463046,0.0691534,0.0584665,0.0554163,0.0544934
