Time,RTibialisAnterior,RSoleus,RBicepsFemoris,RGastrocnemiusMedialis,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0677716,0.0184607,0.0323041,0.069487,0.0474673,0.0380447,0.0399558,0.0526205,0.0772531,0.0729666,0.0483844,0.0395908,0.0496222,0.0606027,0.0523645,0.0621228
0.021,0.0802838,-0.00747925,0.0829633,0.0462936,0.0438052,0.0572708,0.0631491,0.0333945,0.0500925,0.0836478,0.0630328,0.0472202,0.0563361,0.0651804,0.0602991,0.0453381
0.022,0.0607526,0.00442261,0.063432,0.0615524,0.052045,0.0728348,0.0375143,0.0471274,0.0507028,0.0894461,0.0517413,0.052103,0.0661017,0.0538889,0.0606042,0.0560193
0.023,0.0470197,-0.00534302,0.0588544,0.0505661,0.0477725,0.0658157,0.0341574,0.0529257,0.0491769,0.0989066,0.051131,0.0698032,0.0484015,0.0700632,0.0660974,0.067616
0.024,0.0659406,-0.00992065,0.0600751,0.0566696,0.0740176,0.0664261,0.0549094,0.0510947,0.0931223,0.0894461,0.0593707,0.0563754,0.054505,0.0624338,0.0795251,0.0813489
0.025,0.0525128,0.0871252,0.0469525,0.0560593,0.0395328,0.0655106,0.0353781,0.0578085,0.0543649,0.0213919,0.0569293,0.0411166,0.0575568,0.0572458,0.0572473,0.0645642
0.026,0.04763,0.118558,0.0722821,0.046904,0.0462466,0.0706985,0.0564352,0.0666586,0.0601633,0.0207816,0.056319,0.052103,0.061524,0.0569406,0.063656,0.0712781
0.027,0.0583112,0.0788855,0.0496991,0.0301193,0.0474673,0.0520828,0.0509421,0.0736777,0.0482614,0.0265799,0.0517413,0.0481357,0.0496222,0.0569406,0.0490076,0.059071
0.028,0.0442731,0.0523352,0.0661786,0.0551437,0.0471622,0.0667313,0.0887839,0.0660483,0.0601633,0.0308524,0.052962,0.0478305,0.0603033,0.0679269,0.0612146,0.0819592
0.029,0.0357281,0.0511145,0.056413,0.0517868,0.0596744,0.067952,0.0878683,0.0617758,0.0864084,0.0238333,0.0682208,0.0505771,0.0419928,0.0483957,0.0563318,0.062428
0.03,0.0454938,0.0105261,0.0719769,0.0536179,0.0428897,0.0768021,0.0826804,0.0752036,0.0589426,0.0506888,0.0746295,0.0542392,0.0227667,0.0566354,0.0786096,0.0618176
0.031,0.0607526,0.00869507,0.0536664,0.0514816,0.0615054,0.103963,0.0585715,0.0541464,0.0500925,0.0729666,0.0505206,0.0756015,0.0612189,0.0783029,0.0673181,0.0688367
0.032,0.0378644,0.00747437,0.0558026,0.0606369,0.059064,0.0716141,0.0555197,0.0691,0.0708444,0.0497733,0.0663898,0.0621738,0.0480963,0.0441232,0.0615198,0.0828748
0.033,0.04763,0.0331091,0.0475629,0.0362228,0.0483829,0.0722244,0.0576559,0.0523154,0.0726755,0.0653372,0.0468585,0.0658359,0.061524,0.059382,0.048092,0.0712781
0.034,0.0638043,0.0730872,0.0612958,0.0682663,0.0645572,0.0728348,0.0411765,0.0678793,0.0653513,0.0613699,0.0590656,0.0496616,0.0505377,0.0432077,0.0587732,0.0847058
0.035,0.0412213,0.0630164,0.0536664,0.0371384,0.0563174,0.0703934,0.0527731,0.0382773,0.0601633,0.0561819,0.0499103,0.0597324,0.052674,0.0404611,0.0502283,0.0712781
0.036,0.0525128,0.0920081,0.0585492,0.0594162,0.059064,0.0545242,0.0320212,0.0697104,0.0577219,0.0628958,0.0608966,0.0621738,0.0447394,0.0587717,0.0633508,0.0660901
0.037,0.0769269,0.0678992,0.0637372,0.0441574,0.0517398,0.0621536,0.00974335,0.0691,0.0656564,0.0348196,0.0703571,0.0450839,0.0584723,0.0496164,0.0511438,0.0490002
0.038,0.0641095,0.0477576,0.0579388,0.0649094,0.0419742,0.0444534,0.0185934,0.0416342,0.0757272,0.0293265,0.0670001,0.0252475,0.0847174,0.0670114,0.0673181,0.0599866
0.039,0.0671613,0.0505042,0.0561078,0.0548386,0.0306827,0.0536087,0.0320212,0.0684897,0.0604684,0.0335989,0.040755,0.0756015,0.0612189,0.0538889,0.063656,0.039845
0.04,0.0918805,0.0904822,0.0619061,0.0639938,0.0377017,0.0539139,0.0463644,0.0602499,0.0531442,0.0326834,0.0486896,0.0548496,0.0618292,0.0459543,0.0697595,0.0505261
