Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z
0.01,8.37984,0.982906,4.67156,0.22213,0.021836,0.0556859,-3.26522,9.4507,-1.56762,-0.0739585,0.860814,-0.262928,0.0235144,9.59117,0.208913,0.0360782,-0.00251122,0.111447,-2.40198,-9.42892,-1.10275,-0.111335,-0.247895,-0.0919067,4.91136,3.10823,8.26519,-0.221714,-0.0323088,0.0830692,-0.208849,-9.87311,-0.932753,0.0417461,-0.100028,0.25315,5.20576,-3.57438,7.28108,-0.00581958,0.0434496,0.0107186
0.011,8.35039,0.976219,4.68288,0.223266,0.0203843,0.0565398,-3.29348,9.43785,-1.54087,-0.0718485,0.852215,-0.258071,0.0352193,9.61427,0.224431,0.0358797,-0.00413216,0.111479,-2.42032,-9.45235,-1.10141,-0.108824,-0.24619,-0.0922683,4.89471,3.09751,8.25436,-0.220483,-0.0301389,0.0854338,-0.19324,-9.88288,-0.928651,0.0411238,-0.10153,0.257639,5.19904,-3.38981,7.27261,0.00825115,0.0232869,0.0196187
0.012,8.32093,0.969532,4.69419,0.224402,0.0189327,0.0573936,-3.32173,9.42501,-1.51413,-0.0697384,0.843616,-0.253215,0.0469242,9.63736,0.239949,0.0356812,-0.00575311,0.111511,-2.43866,-9.47578,-1.10006,-0.106313,-0.244485,-0.0926299,4.87807,3.08679,8.24353,-0.219251,-0.0279689,0.0877985,-0.177631,-9.89266,-0.924549,0.0405014,-0.103032,0.262128,5.19232,-3.20525,7.26414,0.0223219,0.0031241,0.0285187
0.013,8.29148,0.962845,4.70551,0.225539,0.017481,0.0582475,-3.34999,9.41216,-1.48738,-0.0676283,0.835016,-0.248359,0.0586292,9.66046,0.255467,0.0354827,-0.00737405,0.111543,-2.45701,-9.49921,-1.09872,-0.103801,-0.24278,-0.0929915,4.86142,3.07607,8.2327,-0.218019,-0.025799,0.0901631,-0.162022,-9.90244,-0.920448,0.0398791,-0.104534,0.266617,5.1856,-3.02068,7.25567,0.0363926,-0.0170387,0.0374188
0.014,8.28321,0.970426,4.70841,0.225455,0.0179702,0.0593536,-3.38722,9.39853,-1.46515,-0.0658436,0.82406,-0.243494,0.0619769,9.6748,0.259793,0.0357008,-0.00824041,0.110549,-2.46183,-9.51864,-1.08983,-0.101128,-0.241824,-0.0939424,4.85647,3.07409,8.24726,-0.218933,-0.0257533,0.0905882,-0.154339,-9.88281,-0.928326,0.0402588,-0.104243,0.267574,5.17992,-3.03226,7.27174,0.0422939,-0.0218984,0.0426745
0.015,8.28553,0.985141,4.70712,0.224762,0.0194298,0.0605857,-3.42893,9.38452,-1.44517,-0.0642215,0.811926,-0.238624,0.061146,9.68476,0.258524,0.0361271,-0.00872948,0.109043,-2.45989,-9.53607,-1.07716,-0.0983727,-0.241242,-0.0951879,4.85735,3.07648,8.27453,-0.220919,-0.0267699,0.0900436,-0.150619,-9.84849,-0.942194,0.0411394,-0.103056,0.266764,5.17475,-3.1419,7.30008,0.0441106,-0.0191065,0.0461079
0.016,8.28785,0.999856,4.70582,0.22407,0.0208894,0.0618179,-3.47064,9.37051,-1.42519,-0.0625994,0.799791,-0.233754,0.0603151,9.69472,0.257255,0.0365535,-0.00921854,0.107537,-2.45794,-9.5535,-1.0645,-0.0956177,-0.24066,-0.0964334,4.85824,3.07887,8.3018,-0.222906,-0.0277864,0.089499,-0.1469,-9.81416,-0.956061,0.0420201,-0.101869,0.265955,5.16958,-3.25155,7.32843,0.0459272,-0.0163147,0.0495413
0.017,8.29017,1.01457,4.70452,0.223377,0.022349,0.06305,-3.51235,9.35649,-1.40522,-0.0609772,0.787657,-0.228885,0.0594842,9.70468,0.255985,0.0369799,-0.00970761,0.10603,-2.456,-9.57094,-1.05183,-0.0928627,-0.240078,-0.0976789,4.85913,3.08126,8.32906,-0.224892,-0.028803,0.0889544,-0.143181,-9.77984,-0.969929,0.0429008,-0.100681,0.265145,5.16442,-3.3612,7.35677,0.0477439,-0.0135229,0.0529747
0.018,8.28942,1.02955,4.70661,0.222687,0.0234038,0.0637245,-3.54146,9.34511,-1.38578,-0.0595249,0.774883,-0.224359,0.0603566,9.71424,0.256688,0.0372559,-0.0106315,0.10455,-2.45511,-9.58576,-1.04236,-0.0898788,-0.239691,-0.099144,4.86286,3.07828,8.34497,-0.226458,-0.0297598,0.0880594,-0.141215,-9.7614,-0.976984,0.0434998,-0.100215,0.264703,5.17311,-3.45909,7.37501,0.0477331,-0.0111749,0.0550742
0.019,8.27791,1.04545,4.72057,0.222008,0.0230419,0.062447,-3.52641,9.34293,-1.36827,-0.0586667,0.759873,-0.221035,0.0671907,9.72244,0.264291,0.0370057,-0.0130775,0.103158,-2.45787,-9.59143,-1.04406,-0.0860939,-0.239985,-0.101378,4.87653,3.05648,8.32114,-0.22655,-0.0305077,0.085938,-0.14539,-9.79855,-0.960192,0.043113,-0.102273,0.265544,5.23029,-3.51583,7.35791,0.0413263,-0.0103804,0.0525047
0.02,8.26641,1.06135,4.73454,0.221329,0.0226801,0.0611694,-3.51137,9.34076,-1.35075,-0.0578085,0.744862,-0.217712,0.0740247,9.73064,0.271895,0.0367555,-0.0155235,0.101766,-2.46062,-9.5971,-1.04575,-0.0823089,-0.24028,-0.103612,4.8902,3.03468,8.29731,-0.226641,-0.0312556,0.0838165,-0.149565,-9.83571,-0.943401,0.0427261,-0.104331,0.266384,5.28748,-3.57257,7.34081,0.0349195,-0.00958589,0.0499352
0.021,8.2549,1.07724,4.7485,0.220651,0.0223183,0.0598919,-3.49633,9.33858,-1.33324,-0.0569503,0.729852,-0.214388,0.0808587,9.73884,0.279498,0.0365053,-0.0179694,0.100374,-2.46338,-9.60277,-1.04745,-0.0785239,-0.240575,-0.105846,4.90387,3.01288,8.27347,-0.226733,-0.0320035,0.0816951,-0.153739,-9.87286,-0.926609,0.0423392,-0.10639,0.267225,5.34467,-3.62932,7.32371,0.0285128,-0.00879139,0.0473657
0.022,8.2434,1.09314,4.76246,0.219972,0.0219564,0.0586144,-3.48129,9.3364,-1.31572,-0.0560922,0.714842,-0.211065,0.0876927,9.74704,0.287101,0.0362552,-0.0204154,0.0989819,-2.46614,-9.60845,-1.04914,-0.0747389,-0.24087,-0.10808,4.91754,2.99109,8.24964,-0.226825,-0.0327514,0.0795737,-0.157914,-9.91002,-0.909817,0.0419524,-0.108448,0.268066,5.40185,-3.68606,7.30661,0.022106,-0.00799689,0.0447962
0.023,8.24293,1.09407,4.75906,0.217933,0.0226041,0.0590035,-3.48056,9.33906,-1.30473,-0.0532176,0.697476,-0.208276,0.0985043,9.76348,0.296405,0.0369524,-0.0207747,0.0982883,-2.47066,-9.61668,-1.04327,-0.0707304,-0.241812,-0.10951,4.90858,2.97008,8.25772,-0.226662,-0.0301907,0.0816122,-0.158405,-9.91305,-0.900096,0.0408138,-0.109033,0.266185,5.43962,-3.71045,7.28354,0.0169315,-0.0104875,0.0432622
0.024,8.24561,1.09072,4.7507,0.215506,0.0235402,0.0598689,-3.48391,9.3431,-1.2956,-0.0497671,0.679438,-0.20564,0.110452,9.78229,0.306195,0.0379203,-0.0205378,0.0977942,-2.47568,-9.62564,-1.03523,-0.0666581,-0.242938,-0.11071,4.89314,2.9493,8.2749,-0.226427,-0.0266846,0.0848392,-0.157844,-9.90633,-0.892394,0.0394606,-0.109198,0.263525,5.47183,-3.72561,7.25876,0.0121091,-0.0139168,0.042024
0.025,8.24828,1.08738,4.74235,0.213079,0.0244763,0.0607342,-3.48727,9.34714,-1.28648,-0.0463165,0.6614,-0.203004,0.1224,9.80109,0.315985,0.0388881,-0.0203009,0.0973001,-2.4807,-9.6346,-1.02719,-0.0625858,-0.244065,-0.11191,4.87771,2.92851,8.29209,-0.226192,-0.0231786,0.0880661,-0.157283,-9.89961,-0.884692,0.0381073,-0.109362,0.260866,5.50405,-3.74076,7.23398,0.00728664,-0.0173461,0.0407858
0.026,8.25096,1.08403,4.73399,0.210652,0.0254123,0.0615996,-3.49063,9.35118,-1.27735,-0.0428659,0.643362,-0.200368,0.134349,9.81989,0.325774,0.039856,-0.020064,0.096806,-2.48572,-9.64356,-1.01915,-0.0585135,-0.245191,-0.11311,4.86227,2.90773,8.30928,-0.225956,-0.0196726,0.0912931,-0.156722,-9.8929,-0.87699,0.036754,-0.109527,0.258207,5.53626,-3.75592,7.20919,0.00246422,-0.0207754,0.0395477
0.027,8.25466,1.07757,4.7263,0.209045,0.026039,0.0623001,-3.49622,9.355,-1.26731,-0.0395163,0.625402,-0.198009,0.147167,9.83505,0.329419,0.0407631,-0.0202257,0.0963502,-2.49312,-9.65055,-1.0079,-0.0545708,-0.246267,-0.115133,4.8608,2.90553,8.31907,-0.224767,-0.0173924,0.0925128,-0.149871,-9.89246,-0.876404,0.0369717,-0.108062,0.256905,5.54903,-3.75726,7.18987,-0.00214822,-0.022011,0.0391174
0.028,8.26041,1.06488,4.71995,0.209076,0.0260466,0.0626708,-3.5063,9.35838,-1.25543,-0.0363689,0.607598,-0.196204,0.161728,9.84293,0.320774,0.0415486,-0.0211846,0.0959711,-2.50529,-9.65358,-0.990212,-0.0508876,-0.247242,-0.118804,4.88726,2.94047,8.31406,-0.221667,-0.0175641,0.0897179,-0.130442,-9.90456,-0.890048,0.0403315,-0.103338,0.258319,5.52288,-3.73099,7.18147,-0.0063407,-0.0188596,0.0403028
0.029,8.26615,1.05219,4.71361,0.209108,0.0260543,0.0630416,-3.51637,9.36176,-1.24355,-0.0332215,0.589794,-0.194398,0.176288,9.8508,0.312129,0.042334,-0.0221435,0.095592,-2.51745,-9.65662,-0.972529,-0.0472043,-0.248217,-0.122474,4.91372,2.97542,8.30904,-0.218568,-0.0177357,0.086923,-0.111012,-9.91667,-0.903692,0.0436912,-0.0986147,0.259734,5.49673,-3.70472,7.17307,-0.0105332,-0.0157081,0.0414883
0.03,8.27189,1.0395,4.70726,0.20914,0.026062,0.0634124,-3.52644,9.36514,-1.23167,-0.0300741,0.571991,-0.192593,0.190849,9.85868,0.303484,0.0431195,-0.0231024,0.0952129,-2.52961,-9.65966,-0.954846,-0.0435211,-0.249192,-0.126145,4.94019,3.01036,8.30403,-0.215468,-0.0179074,0.0841281,-0.0915826,-9.92878,-0.917336,0.047051,-0.0938912,0.261148,5.47058,-3.67845,7.16467,-0.0147257,-0.0125566,0.0426737
0.031,8.27763,1.02681,4.70091,0.209171,0.0260696,0.0637831,-3.53651,9.36853,-1.21979,-0.0269267,0.554187,-0.190788,0.205409,9.86655,0.294839,0.0439049,-0.0240613,0.0948338,-2.54177,-9.6627,-0.937163,-0.0398379,-0.250167,-0.129815,4.96665,3.04531,8.29901,-0.212369,-0.018079,0.0813332,-0.0721531,-9.94089,-0.93098,0.0504108,-0.0891676,0.262562,5.44443,-3.65219,7.15627,-0.0189182,-0.00940512,0.0438592
0.032,8.26983,1.03756,4.71523,0.208136,0.0270891,0.0629088,-3.51413,9.35053,-1.21283,-0.0240339,0.53475,-0.188808,0.216257,9.86461,0.257721,0.0440158,-0.0242952,0.0982603,-2.56881,-9.65209,-0.939533,-0.0370537,-0.251855,-0.131257,4.93452,3.01772,8.29277,-0.207106,-0.0161742,0.0839798,-0.0940649,-9.952,-0.951954,0.0486117,-0.0869791,0.260495,5.4338,-3.65949,7.16547,-0.0196725,-0.00998928,0.0464817
0.033,8.26034,1.05124,4.73213,0.206967,0.0282351,0.0618789,-3.4877,9.32986,-1.20648,-0.021173,0.515108,-0.186806,0.22664,9.86143,0.217044,0.0440424,-0.0244385,0.102163,-2.59772,-9.63979,-0.94441,-0.034382,-0.253632,-0.132419,4.89506,2.98231,8.28637,-0.201574,-0.0140098,0.0873067,-0.121144,-9.96299,-0.973844,0.0461677,-0.0851075,0.257993,5.42511,-3.67099,7.17688,-0.019997,-0.0110404,0.0492839
0.034,8.25085,1.06492,4.74903,0.205798,0.029381,0.0608489,-3.46127,9.30919,-1.20013,-0.018312,0.495467,-0.184804,0.237024,9.85825,0.176367,0.044069,-0.0245818,0.106065,-2.62662,-9.62748,-0.949287,-0.0317102,-0.255408,-0.133582,4.8556,2.9469,8.27998,-0.196041,-0.0118455,0.0906335,-0.148224,-9.97398,-0.995733,0.0437238,-0.0832359,0.255491,5.41642,-3.68249,7.18828,-0.0203215,-0.0120915,0.0520861
0.035,8.24136,1.0786,4.76594,0.204629,0.0305269,0.059819,-3.43484,9.28853,-1.19378,-0.015451,0.475826,-0.182803,0.247407,9.85508,0.13569,0.0440957,-0.0247252,0.109967,-2.65552,-9.61517,-0.954164,-0.0290384,-0.257185,-0.134745,4.81615,2.91149,8.27358,-0.190508,-0.00968107,0.0939604,-0.175303,-9.98497,-1.01762,0.0412798,-0.0813643,0.252989,5.40773,-3.69399,7.19968,-0.020646,-0.0131426,0.0548882
0.036,8.23419,1.08546,4.77057,0.203356,0.0317763,0.0592499,-3.40127,9.27949,-1.18946,-0.0128726,0.455555,-0.181409,0.251495,9.84908,0.106139,0.0446944,-0.0244355,0.111804,-2.6706,-9.59927,-0.962217,-0.0265844,-0.258909,-0.135697,4.81257,2.88548,8.27809,-0.187315,-0.00775972,0.0950542,-0.17881,-9.98837,-1.02171,0.0403814,-0.0787536,0.251715,5.39374,-3.70505,7.20041,-0.0205386,-0.0136449,0.056419
0.037,8.22992,1.0838,4.75987,0.201953,0.0331548,0.059257,-3.3588,9.28498,-1.18768,-0.0106475,0.434497,-0.180775,0.247713,9.83957,0.090496,0.0460084,-0.0236047,0.11106,-2.66839,-9.57888,-0.974241,-0.0244025,-0.260566,-0.136387,4.85385,2.8712,8.29622,-0.187047,-0.00614215,0.0933567,-0.15285,-9.98229,-1.00356,0.041415,-0.075219,0.251976,5.37312,-3.71556,7.18782,-0.0198912,-0.0134611,0.0563606
