Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z
0,9.13283,-0.397936,3.94228,0.180377,0.0431985,0.161731,-2.08989,8.22741,-2.73782,0.219629,0.3549,-0.353072,0.751861,8.15739,1.30734,0.588254,-0.272007,-1.49799,0.180732,-9.93667,-0.982109,0.0213,0.0644447,-0.0943485,4.75441,3.35239,8.21111,0.206018,-0.0241352,-0.0656731,-0.376824,-9.92495,-0.841709,-0.0231054,-0.0390407,-0.355528,2.66343,-3.80936,7.81924,-0.527018,-0.879026,-0.946739
0.001,9.16777,-0.408811,3.94588,0.184372,0.0366151,0.160806,-2.10243,8.22062,-2.63886,0.228081,0.376192,-0.357953,0.827109,8.07775,1.35645,0.575894,-0.277449,-1.48058,0.179296,-9.94734,-1.0163,0.0211032,0.0751989,-0.0911321,4.78172,3.3325,8.23378,0.206592,-0.0240359,-0.0651706,-0.382204,-9.94654,-0.837011,-0.0214999,-0.0422513,-0.357057,2.56122,-3.88213,7.84468,-0.516858,-0.855594,-0.943976
0.002,9.20271,-0.419686,3.94947,0.188367,0.0300318,0.159881,-2.11498,8.21384,-2.5399,0.236533,0.397484,-0.362835,0.902358,7.99812,1.40556,0.563533,-0.282892,-1.46317,0.177859,-9.958,-1.05048,0.0209064,0.085953,-0.0879158,4.80903,3.3126,8.25646,0.207166,-0.0239365,-0.0646681,-0.387584,-9.96812,-0.832312,-0.0198944,-0.045462,-0.358587,2.459,-3.9549,7.87012,-0.506698,-0.832162,-0.941212
0.003,9.23766,-0.430561,3.95306,0.192362,0.0234484,0.158956,-2.12753,8.20706,-2.44094,0.244986,0.418776,-0.367717,0.977607,7.91848,1.45467,0.551173,-0.288334,-1.44575,0.176423,-9.96867,-1.08467,0.0207097,0.0967072,-0.0846995,4.83634,3.29271,8.27914,0.20774,-0.0238372,-0.0641657,-0.392964,-9.98971,-0.827614,-0.0182889,-0.0486727,-0.360117,2.35679,-4.02767,7.89556,-0.496539,-0.80873,-0.938448
0.004,9.2726,-0.441436,3.95666,0.196357,0.0168651,0.158031,-2.14007,8.20027,-2.34198,0.253438,0.440068,-0.372598,1.05286,7.83884,1.50379,0.538813,-0.293777,-1.42834,0.174987,-9.97933,-1.11885,0.0205129,0.107461,-0.0814832,4.86364,3.27281,8.30182,0.208314,-0.0237379,-0.0636632,-0.398344,-10.0113,-0.822915,-0.0166834,-0.0518834,-0.361646,2.25457,-4.10044,7.921,-0.486379,-0.785299,-0.935684
0.005,9.30802,-0.435959,3.94792,0.200538,0.0099814,0.157185,-2.18832,8.20769,-2.24611,0.260675,0.456287,-0.381314,1.13992,7.76874,1.54827,0.526713,-0.297413,-1.40883,0.175027,-9.99121,-1.14756,0.0196585,0.119395,-0.0767007,4.88592,3.25672,8.31806,0.209861,-0.0237086,-0.0637291,-0.407321,-10.0229,-0.816038,-0.0134557,-0.0554642,-0.362833,2.14274,-4.14759,7.9183,-0.482175,-0.764015,-0.932245
0.006,9.34383,-0.4174,3.9293,0.204867,0.0028575,0.156402,-2.26513,8.22647,-2.15271,0.266938,0.46845,-0.393098,1.23643,7.70627,1.58906,0.514821,-0.299606,-1.38765,0.176249,-10.0041,-1.17187,0.018278,0.132273,-0.0706654,4.90416,3.24366,8.32913,0.212186,-0.0237354,-0.0642496,-0.419175,-10.0266,-0.807417,-0.0089302,-0.0593412,-0.363745,2.0232,-4.17425,7.89309,-0.482734,-0.744449,-0.928267
0.007,9.37964,-0.398842,3.91069,0.209197,-0.0042664,0.155619,-2.34194,8.24526,-2.05932,0.273202,0.480612,-0.404882,1.33294,7.64381,1.62984,0.50293,-0.301798,-1.36646,0.177471,-10.0169,-1.19618,0.0168975,0.145151,-0.06463,4.92241,3.2306,8.34021,0.21451,-0.0237622,-0.0647701,-0.431028,-10.0302,-0.798797,-0.00440468,-0.0632182,-0.364657,1.90367,-4.20091,7.86787,-0.483293,-0.724884,-0.924289
0.008,9.41544,-0.380283,3.89208,0.213526,-0.0113903,0.154837,-2.41875,8.26404,-1.96592,0.279466,0.492774,-0.416665,1.42945,7.58134,1.67062,0.491038,-0.30399,-1.34528,0.178692,-10.0298,-1.22049,0.015517,0.158029,-0.0585947,4.94065,3.21754,8.35129,0.216835,-0.0237889,-0.0652907,-0.442882,-10.0339,-0.790176,0.000120838,-0.0670952,-0.365569,1.78414,-4.22757,7.84266,-0.483851,-0.705318,-0.920311
0.009,9.44735,-0.365975,3.87426,0.217854,-0.0187603,0.15413,-2.49537,8.28102,-1.86806,0.285893,0.504605,-0.428403,1.52448,7.51807,1.70948,0.479304,-0.306043,-1.32392,0.178515,-10.0402,-1.24104,0.0141989,0.170792,-0.053009,4.95636,3.20712,8.35992,0.218905,-0.0237548,-0.0657869,-0.451962,-10.0349,-0.78175,0.00458309,-0.0709362,-0.366461,1.6561,-4.24629,7.81654,-0.484154,-0.685951,-0.915923
