Time,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0.012,0.0337812,-9.87614,-0.697776,-0.0338145,-0.275956,0.182759,2.4326,12.9529,0.676981,0.505922,0.212135,0.414037,4.66976,-2.17433,9.48094,0.409306,0.427186,-0.206917,3.44929,12.5169,0.924328,0.160161,0.124399,-0.753908,10.0298,-0.0708684,3.75985,0.25773,-0.507579,-0.002343,0.0,0.0,0.0,0.0,0.0,0.0,4.77578,4.53287,7.64069,0.207596,-0.142391,-0.0108005
0.013,0.0604112,-9.86062,-0.761494,-0.0382169,-0.271692,0.181809,2.41689,13.0794,0.758562,0.496505,0.21372,0.402725,4.62788,-2.11052,9.52228,0.390632,0.400304,-0.197509,3.74087,12.7106,1.03947,0.144825,0.148748,-0.737225,10.0276,-0.0428562,3.76991,0.250275,-0.511093,-0.00378075,0.0,0.0,0.0,0.0,0.0,0.0,4.77319,4.52024,7.61566,0.216587,-0.149492,-0.0100788
0.014,0.102315,-9.83561,-0.828844,-0.041689,-0.26311,0.18117,2.38704,13.1721,0.798698,0.487713,0.212583,0.394023,4.59997,-2.04323,9.56453,0.367216,0.373845,-0.186832,4.0248,12.8968,1.16892,0.123739,0.169237,-0.718209,10.0255,-0.014844,3.77997,0.24282,-0.514608,-0.0052185,0.0,0.0,0.0,0.0,0.0,0.0,4.76397,4.52512,7.57983,0.222737,-0.153086,-0.0110199
0.015,0.151857,-9.80586,-0.898009,-0.044696,-0.252369,0.180687,2.35011,13.2478,0.818114,0.479232,0.210084,0.386626,4.57905,-1.9742,9.60724,0.34143,0.347598,-0.17552,4.30491,13.0791,1.30553,0.0997783,0.187795,-0.698026,10.0233,0.0131681,3.79002,0.235365,-0.518122,-0.00665625,0.0,0.0,0.0,0.0,0.0,0.0,4.75142,4.53875,7.53859,0.227468,-0.154926,-0.0127924
0.016,0.201398,-9.7761,-0.967175,-0.0477029,-0.241628,0.180203,2.31317,13.3235,0.837529,0.470752,0.207586,0.37923,4.55813,-1.90517,9.64995,0.315643,0.321352,-0.164209,4.58503,13.2615,1.44213,0.0758178,0.206354,-0.677844,10.0212,0.0411803,3.80008,0.22791,-0.521637,-0.008094,0.0,0.0,0.0,0.0,0.0,0.0,4.73888,4.55238,7.49736,0.232198,-0.156766,-0.0145648
0.017,0.250939,-9.74634,-1.03634,-0.0507099,-0.230887,0.17972,2.27624,13.3992,0.856944,0.462272,0.205087,0.371833,4.53721,-1.83614,9.69266,0.289856,0.295105,-0.152897,4.86514,13.4438,1.57874,0.0518573,0.224913,-0.657662,10.019,0.0691924,3.81013,0.220455,-0.525151,-0.00953175,0.0,0.0,0.0,0.0,0.0,0.0,4.72633,4.56601,7.45612,0.236929,-0.158606,-0.0163373
0.018,0.29568,-9.73291,-1.09367,-0.0529927,-0.220062,0.179495,2.2377,13.4479,0.867405,0.453353,0.201557,0.363579,4.51751,-1.76617,9.72489,0.264127,0.269892,-0.141008,5.128,13.6149,1.73474,0.026827,0.240452,-0.638474,10.0169,0.0972046,3.82019,0.213,-0.528666,-0.0109695,0.0,0.0,0.0,0.0,0.0,0.0,4.71757,4.58025,7.42105,0.240094,-0.159889,-0.0179435
0.019,0.323617,-9.77663,-1.10958,-0.0527413,-0.208947,0.180176,2.1935,13.4021,0.84653,0.442899,0.194418,0.352324,4.50211,-1.69291,9.72042,0.238598,0.2483,-0.127099,5.3305,13.7468,1.95862,-0.00194754,0.245423,-0.622766,10.0147,0.125217,3.83024,0.205545,-0.53218,-0.0124072,0.0,0.0,0.0,0.0,0.0,0.0,4.72205,4.59666,7.40752,0.237782,-0.159223,-0.0189675
0.02,0.351554,-9.82035,-1.12549,-0.0524898,-0.197833,0.180856,2.14931,13.3562,0.825654,0.432444,0.187279,0.341069,4.48671,-1.61965,9.71594,0.213068,0.226708,-0.113189,5.53299,13.8787,2.18251,-0.0307221,0.250394,-0.607058,10.0126,0.153229,3.8403,0.19809,-0.535695,-0.013845,0.0,0.0,0.0,0.0,0.0,0.0,4.72652,4.61307,7.39399,0.23547,-0.158557,-0.0199916
0.021,0.379492,-9.86407,-1.1414,-0.0522383,-0.186718,0.181537,2.10512,13.3104,0.804778,0.42199,0.180141,0.329814,4.47131,-1.54639,9.71147,0.187539,0.205115,-0.0992799,5.73549,14.0105,2.40639,-0.0594966,0.255365,-0.59135,9.99483,0.183396,3.81205,0.193723,-0.539422,-0.013632,0.0,0.0,0.0,0.0,0.0,0.0,4.731,4.62948,7.38046,0.233159,-0.157891,-0.0210157
0.022,0.407429,-9.90778,-1.15731,-0.0519868,-0.175603,0.182218,2.06093,13.2646,0.783902,0.411536,0.173002,0.318558,4.45592,-1.47314,9.707,0.16201,0.183523,-0.0853705,5.93798,14.1424,2.63028,-0.0882711,0.260336,-0.575642,9.97712,0.213563,3.7838,0.189357,-0.54315,-0.013419,0.0,0.0,0.0,0.0,0.0,0.0,4.73547,4.64589,7.36694,0.230847,-0.157225,-0.0220397
0.023,0.444781,-9.92659,-1.20384,-0.0519415,-0.165131,0.182968,2.00023,13.14,0.783766,0.400753,0.162143,0.309174,4.44586,-1.39786,9.6734,0.133876,0.164549,-0.071878,6.01516,14.2002,2.80158,-0.116448,0.25656,-0.560811,9.9594,0.24373,3.75554,0.18499,-0.546877,-0.013206,0.0,0.0,0.0,0.0,0.0,0.0,4.74481,4.65966,7.35518,0.224065,-0.155596,-0.0242839
0.024,0.484824,-9.93828,-1.25911,-0.0519552,-0.154843,0.183739,1.93481,12.9928,0.789556,0.389877,0.150221,0.300324,4.43733,-1.322,9.63147,0.104998,0.146323,-0.0585046,6.05653,14.2368,2.95785,-0.144455,0.250285,-0.54623,9.94168,0.273897,3.72729,0.180624,-0.550605,-0.012993,0.0,0.0,0.0,0.0,0.0,0.0,4.75555,4.67268,7.34393,0.216007,-0.153691,-0.0268767
