Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,-0.0509418,0.0434851,0.047868,0.0502609,0.0727969,0.0587967,0.106789,0.0608603,0.0583322,0.0442801,0.0950763,0.127176,0.0578619,-0.133184,0.0654871,0.0908093
0.021,-0.0277484,0.034635,0.0689252,0.074675,0.0544864,0.029805,0.0896994,0.0813071,0.0412424,0.052825,0.0584552,0.0911655,0.0465704,-0.136236,0.0660974,0.0963025
0.022,-0.0121844,0.0575232,0.0487836,0.0447678,0.0795108,0.0792435,0.0756613,0.0629965,0.0601633,0.0653372,0.0496051,0.0704135,0.0477911,-0.116399,0.0581628,0.0663953
0.023,0.00215881,0.0395178,0.0622113,0.0670456,0.0477725,0.0984695,0.0198141,0.0571982,0.0952585,0.0708304,0.0575397,0.0685825,0.0581671,-0.114263,0.0755579,0.0636487
0.024,-0.0292743,0.0505042,0.0625165,0.0609421,0.0880557,0.0841263,0.00882782,0.0764243,0.0674875,0.0619803,0.0523517,0.0707187,0.0630499,-0.137762,0.0621301,0.0685315
0.025,-0.00913269,0.0602698,0.0509198,0.0438522,0.0593692,0.108846,0.0485007,0.0571982,0.0619943,0.0567923,0.0746295,0.0731601,0.0694586,-0.183538,0.061825,0.0578503
0.026,0.00582092,0.0474524,0.0728925,0.0514816,0.0355655,0.111592,0.0204245,0.0587241,0.0696237,0.0708304,0.0819537,0.0566806,0.0630499,-0.215276,0.0364954,0.0633435
0.027,-0.0109637,0.0508093,0.0777753,0.0585007,0.0450259,0.0441483,0.0414816,0.0700156,0.078779,0.0445853,0.0636432,0.0325717,0.0792242,-0.233892,0.056637,0.0691418
0.028,-0.0277484,0.0288367,0.0603803,0.0481247,0.0633365,0.0883987,0.0536887,0.0660483,0.0781686,0.0723563,0.052962,0.0368442,0.070069,-0.250371,0.0398523,0.0547986
0.029,-0.014931,0.0361609,0.053056,0.0691818,0.0700504,0.0752762,0.0304953,0.0788657,0.0769479,0.0589285,0.0602863,0.0423373,0.0850226,-0.265325,0.0651819,0.0874524
0.03,-0.0323261,0.0532507,0.0539716,0.0661301,0.0578433,0.0481155,0.0549094,0.0419394,0.0790842,0.0564871,0.063338,0.0630893,0.0728156,-0.303167,0.0477869,0.0551038
0.031,-0.0280536,0.0584387,0.0716718,0.0527023,0.0950748,0.0392654,0.0478903,0.0593344,0.0821359,0.0534354,0.0715778,0.0496616,0.11554,-0.302862,0.0429041,0.0639539
0.032,-0.0604022,0.0413489,0.0515302,0.0603317,0.0630313,0.0557449,0.0423972,0.0678793,0.085798,0.0522147,0.0541827,0.06431,0.0645758,-0.295232,0.0490076,0.0691418
0.033,-0.0485004,0.0486731,0.0655682,0.0499557,0.0688296,0.0386551,0.0582663,0.089852,0.0812204,0.0604544,0.0602863,0.0362338,0.0599982,-0.30042,0.0868494,0.0169568
0.034,-0.0341571,0.0410437,0.0597699,0.0597214,0.0663882,0.0435379,0.0530783,0.0782553,0.0928171,0.0638113,0.0764606,0.0551547,0.0599982,-0.304082,0.0493127,0.0370984
