Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.065025,0.0855994,0.0646527,0.0682663,-0.019061,0.0597122,0.0396506,0.0602499,0.0720651,0.115996,0.00565979,0.0444736,0.0599982,0.0703683,0.061825,0.0758557
0.021,0.0509869,0.0929236,0.0667889,0.0993942,0.0526553,0.0572708,0.0546042,0.0373618,0.0790842,0.0818167,-0.223222,0.076517,0.0627448,0.0435129,0.0831873,0.0401501
0.022,0.0686871,0.109403,0.0298627,0.0362228,0.106366,0.0761917,0.0591818,0.0504843,0.108686,-0.0225534,-0.625749,0.0566806,0.0609137,0.0590768,0.0871545,0.0392346
0.023,0.0744855,0.0889563,0.0313886,0.0575851,0.107282,0.0276688,0.0402609,0.055062,0.0903757,0.00521759,-0.951066,0.0658359,0.0566412,0.0352731,0.0789148,0.0514417
0.024,0.0781476,0.138395,0.0445111,0.0774216,0.0581485,0.0737503,0.0570456,0.0523154,0.0769479,0.0293265,-0.864396,0.0530185,0.104554,0.0572458,0.075863,0.0593762
0.025,0.0665509,0.0996374,0.0606854,0.0777267,0.0428897,0.0502518,0.043923,0.067269,0.0583322,0.00277618,-0.58394,0.0649204,0.059693,0.0584665,0.0841028,0.0612073
0.026,0.0741803,0.0578284,0.0731976,0.076506,0.0349551,0.0612381,0.0561301,0.0669638,0.0949533,0.0479422,-0.765519,0.0496616,0.0484015,0.0606027,0.086239,0.0752454
0.027,0.0534283,0.067594,0.0503094,0.0755905,0.0532657,0.0572708,0.0414816,0.0440756,0.0946481,0.124541,-1.006,0.0319614,0.0477911,0.0548044,0.101803,0.0593762
0.028,0.0592267,0.057218,0.0597699,0.062468,0.0718814,0.0499466,0.0597922,0.0590292,0.0937326,0.130034,-0.949235,0.0395908,0.061524,0.0703683,0.101193,0.0447278
0.029,0.052818,0.0523352,0.0481732,0.0612473,0.0688296,0.0636795,0.0497214,0.046517,0.0772531,0.126067,-0.71486,0.0447787,0.0548102,0.0566354,0.0712854,0.0578503
0.03,0.0741803,0.069425,0.0588544,0.0514816,0.057233,0.0661209,0.0533835,0.0694052,0.0952585,0.114165,-0.565324,0.0472202,0.0587775,0.0795236,0.0602991,0.0477795
0.031,0.0787579,0.0740027,0.0127728,0.0340866,0.092023,0.0877884,0.0640646,0.0510947,0.066572,0.085784,-0.414262,0.0673618,0.0532843,0.0502267,0.0401575,0.0486951
0.032,0.0790631,0.0883459,0.0490887,0.0560593,0.0615054,0.067952,0.0600974,0.0629965,0.073591,0.0863943,-0.288224,0.0575961,0.0484015,0.0654855,0.0346643,0.0535779
0.033,0.0796735,0.0825476,0.0619061,0.0752853,0.0401431,0.057576,0.019509,0.0495688,0.0867136,0.0686942,-0.238176,0.0340976,0.0548102,0.049006,-0.0166052,0.0587659
0.034,0.0686871,0.0630164,0.0762494,0.0652145,0.0648624,0.0771072,0.0430075,0.0755087,0.0894601,0.0888358,-0.140214,0.0490512,0.044129,0.0560251,0.0136072,0.0718884
