Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0607526,0.0825476,0.158342,0.0649094,0.0889712,0.0612381,0.0448386,0.0727621,0.270124,0.0186453,0.0544879,0.0530185,0.0514532,0.0688425,0.0606042,0.0370984
0.021,0.0577008,0.0813269,0.0753339,0.048735,0.106671,0.0597122,0.0463644,0.0739828,0.247541,0.0168143,0.0456378,0.0551547,0.0569464,0.0667062,0.0429041,0.0291638
0.022,0.0482404,0.0630164,0.0496991,0.0285934,0.0645572,0.0572708,0.0454489,0.0645224,0.19322,0.0299368,0.0410602,0.0383701,0.0404669,0.0721994,0.0371057,0.0313
0.023,0.0714337,0.0825476,0.091203,0.0203537,0.0114566,0.0517776,0.0372092,0.0596396,0.0821359,0.0393973,0.0456378,0.0514926,0.0480963,0.0877634,0.0371057,0.0490002
0.024,0.0457989,0.0578284,0.130571,0.0731491,0.0404483,0.0459793,0.0381247,0.0669638,0.08061,0.0467215,0.0587604,0.0432529,0.0273444,0.069758,0.0438196,0.0255017
0.025,0.0464093,0.069425,0.116838,0.0527023,0.0578433,0.0670364,0.0338522,0.0633017,0.135847,0.0537405,0.056319,0.00419037,0.0560309,0.0715891,0.0328333,0.0386243
0.026,0.0558698,0.0486731,0.0802167,0.0484299,0.0355655,0.0572708,0.0436179,0.0587241,0.217329,0.0491629,0.0575397,0.0432529,0.0413824,0.074946,0.0245935,0.0367932
0.027,0.0482404,0.0575232,0.0835736,0.0588058,0.0471622,0.0514725,0.0460593,0.0700156,0.240827,0.0619803,0.0602863,0.0414218,0.0151373,0.0636545,0.0264246,0.036488
0.028,0.0644147,0.0617957,0.0783856,0.0414108,0.0917178,0.0621536,0.042092,0.0675742,0.177351,0.0726614,0.0557086,0.0493564,0.0407721,0.0554147,0.0596887,0.0401501
0.029,0.0351178,0.067594,0.0719769,0.0578903,0.0731021,0.0786331,0.0390402,0.0828329,0.130049,0.075408,0.0502155,0.052103,0.0401617,0.0487009,0.0368005,0.0413709
0.03,0.0512921,0.0447058,0.0454266,0.0676559,0.0529605,0.0621536,0.0573508,0.067269,0.0671823,0.0778494,0.0447223,0.0350131,0.0435187,0.0520578,0.0383264,0.0343518
0.031,0.0744855,0.0303625,0.00758484,0.0603317,0.0352603,0.0691727,0.0619284,0.0578085,-0.0832694,0.0595389,0.0496051,0.0514926,0.0398566,0.0554147,0.051449,0.0392346
0.032,0.0509869,0.00594849,-0.0326984,0.0359177,0.0660831,0.0435379,0.0463644,0.0587241,-0.222429,0.0512991,0.035567,0.0450839,0.0514532,0.069758,0.0520593,0.0361829
0.033,0.0290143,-0.0270105,-0.0314777,0.0423264,0.0438052,0.0728348,0.0436179,0.063912,-0.26607,0.0421439,0.0227496,0.0579013,0.0407721,0.0572458,0.0633508,0.0547986
0.034,0.0280988,-0.0315881,-0.0265948,0.0435471,0.0566226,0.0584915,0.0558249,0.0803915,-0.160174,0.030242,0.0349567,0.0499667,0.0465704,0.0606027,0.0602991,0.039845
0.035,0.0256573,-0.0621057,-0.12242,0.0478195,0.0856143,0.0243118,0.0771872,0.0602499,-0.125994,0.0421439,0.0447223,0.0466098,0.0505377,0.0557199,0.0398523,0.0331311
0.036,0.054649,-0.0877405,-0.261275,0.0478195,0.0724918,0.0240067,0.0869528,0.0691,-0.202898,0.0357352,0.0605914,0.0548496,0.0258185,0.0755563,0.0575525,0.0563245
0.037,0.0259625,-0.0437952,-0.0220172,0.0545334,-0.00593842,0.0414017,0.08207,0.0599448,-0.266985,0.0268851,0.0776813,0.0630893,0.0252081,0.0746408,0.0395471,0.039845
0.038,0.0290143,-0.0349451,0.279496,0.0673508,0.0257999,0.0218704,0.0939719,0.0532309,-0.253557,0.0363455,0.0694415,0.0340976,0.0496222,0.0667062,0.0456506,0.0480847
0.039,0.0403058,0.0361609,0.313981,0.0600265,0.0315982,0.0609329,0.0762717,0.0559775,-0.11928,0.0177298,0.0923297,0.0514926,0.0496222,0.0664011,0.0487024,0.052052
0.04,0.0366437,0.0904822,0.190385,0.0600265,0.0581485,0.0722244,0.0512473,0.0675742,-0.0414603,0.0265799,0.0688312,0.0225009,0.0606085,0.0706735,0.0435144,0.05724
