Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0.024,0.0433575,0.0907874,0.00911072,0.974028,-0.890338,0.062764,0.0335471,0.023934,0.0687082,0.025054,0.0758502,-0.0305997,1.23737,0.0654855,0.153073,-0.178661
0.025,0.0613629,0.124357,0.0265057,0.983488,-0.939471,0.0883987,0.02134,0.0147787,0.0278146,0.00979523,0.0700519,-0.0412808,1.2627,0.0712839,0.157955,-0.149669
0.026,0.0577008,0.125883,0.0661786,0.964262,-0.969073,0.100911,0.0414816,0.00013031,0.0470407,0.00582794,0.052962,-0.0696622,1.25537,0.0783029,0.153988,-0.152721
0.027,0.0317609,0.130155,0.078996,0.975859,-1.05574,0.106404,0.0530783,0.0340048,0.066572,0.068389,0.0660846,-0.0727139,1.26666,0.0499216,0.179928,-0.190868
0.028,0.0644147,0.121305,0.0802167,0.935271,-1.09908,0.113423,0.0506369,0.0257651,0.0488718,0.0543509,0.0361774,-0.0583707,1.25781,0.0578561,0.181454,-0.174694
0.029,0.0723492,0.0840735,0.0713666,0.931609,-1.11586,0.135091,0.0445334,0.0227133,0.0702341,0.0485526,0.0679156,-0.0547086,1.27063,0.0276437,0.195797,-0.178661
0.03,0.0738751,0.0367712,0.0844891,0.936186,-1.07192,0.154317,0.0616232,0.0214926,0.0568063,0.0384817,0.0419757,-0.0672208,1.28131,0.0172678,0.196102,-0.184459
0.031,0.0509869,0.00594849,0.0713666,0.927641,-1.05239,0.150655,0.0817648,0.0138632,0.0598581,0.0171194,0.0816486,-0.0577603,1.31213,-0.00684113,0.20068,-0.159435
0.032,0.0430524,0.0111365,0.0902875,0.896208,-1.07894,0.138753,0.0430075,0.0275961,0.0589426,0.040618,0.0502155,-0.0550137,1.37317,0.00139862,0.217159,-0.170421
0.033,0.0628888,0.0505042,0.116533,0.897734,-1.10854,0.165913,0.0460593,0.0193564,0.0690134,0.0784598,0.0169513,-0.0598965,1.41986,-0.0156912,0.204647,-0.153942
0.034,0.0451886,0.0987219,0.179094,0.91696,-1.10549,0.190327,0.071694,0.0300375,0.0449045,0.116607,0.00535461,-0.0696622,1.43176,-0.0840506,0.164059,-0.175609
0.035,0.0503766,0.00930542,0.255388,0.901396,-1.11708,0.190938,0.0680319,0.0419394,0.0555856,0.0973807,0.0364825,-0.0385342,1.41254,-0.0581107,0.215023,-0.168895
