Time,EMGs.RTibialisA,EMGs.2,EMGs.3,EMGs.4,EMGs.5,EMGs.6,EMGs.7,EMGs.8,EMGs.9,EMGs.10,EMGs.11,EMGs.12,EMGs.13,EMGs.14,EMGs.15,EMGs.16
0.043,0.0430524,0.0459265,0.0594647,0.0569748,0.0569278,0.0557449,0.0536887,0.0425497,0.068403,0.0647269,0.0453326,0.0679721,0.0499274,0.0511423,0.0572473,0.0633435
0.044,0.0433575,0.0578284,0.0573285,0.0328659,0.0474673,0.0615433,0.0475851,0.0529257,0.0522287,0.058013,0.0328204,0.0789584,0.0480963,0.0621286,0.05328,0.064259
0.045,0.0577008,0.0669836,0.0561078,0.00295868,0.0605899,0.0673416,0.036904,0.0489584,0.0540598,0.0448904,0.0636432,0.074686,0.0731207,0.0480905,0.0801355,0.0566296
0.046,0.0564801,0.0660681,0.0558026,0.0102829,0.0480777,0.0566605,0.0311057,0.0510947,0.0571115,0.0558768,0.0718829,0.0273837,0.0346686,0.0517526,0.051449,0.0734143
0.047,0.0461041,0.0532507,0.0536664,0.100005,0.0453311,0.0496414,0.0549094,0.0486533,0.0720651,0.0583182,0.0727985,0.0398959,0.0505377,0.0548044,0.0654871,0.0682263
0.048,0.0836407,0.0526404,0.0701459,0.114653,0.059064,0.069783,0.0686423,0.0871054,0.063215,0.100127,0.0700519,0.0508823,0.0541998,0.0508371,0.0639612,0.0935559
0.049,0.0625836,0.0578284,0.0503094,0.0780319,0.0508243,0.0639847,0.0338522,0.0513998,0.0543649,0.07022,0.0599811,0.0472202,0.0532843,0.0532785,0.0673181,0.0691418
0.05,0.059837,0.0337195,0.0521405,0.0697922,0.0526553,0.0447586,0.0408713,0.0437704,0.0546701,0.0604544,0.0651691,0.0423373,0.0618292,0.0532785,0.0493127,0.0691418
0.051,0.0613629,0.0556921,0.0457318,0.0527023,0.0566226,0.0694778,0.0503317,0.0602499,0.0497873,0.0177298,0.0535724,0.02952,0.0548102,0.0544992,0.0517542,0.0789075
0.052,0.0464093,0.0758337,0.0524457,0.0481247,0.06944,0.0688675,0.0549094,0.0486533,0.0473459,0.068389,0.0435016,0.0292148,0.049317,0.047175,0.0215417,0.0648694
0.053,0.0558698,0.0538611,0.0432904,0.0392746,0.0615054,0.057576,0.0506369,0.0556723,0.0635202,0.0351248,0.052962,0.0182285,0.0462653,0.0511423,-0.00317749,0.0511365
0.054,0.0634991,0.0843787,0.058244,0.00631561,0.0612003,0.07314,0.0652853,0.0431601,0.0565012,-0.0378122,0.0425861,0.0279941,0.0670172,0.0761667,0.0166589,0.0212292
0.055,0.059837,0.0596594,0.0246747,0.0310349,0.0685245,0.0591019,0.0604025,0.0510947,0.056196,0.00796417,0.0404498,0.0395908,0.0764777,0.062739,0.0291711,0.0627332
0.056,0.0525128,0.0404334,0.0628217,0.0218796,0.0395328,0.0661209,0.0533835,0.0437704,0.0690134,0.0531302,0.052962,0.0258578,0.0407721,0.0337473,0.0258142,0.0212292
0.057,0.0659406,0.0654578,0.0762494,0.0316452,0.0563174,0.0398758,0.0503317,0.0694052,0.0622995,0.068389,0.0370929,0.0249423,0.0627448,0.0480905,0.00567261,0.0279431
0.058,0.063194,0.0355505,0.0881512,0.0978683,0.0502139,0.057576,0.0546042,0.0361411,0.0558908,0.0183401,0.0575397,0.0633945,0.0673224,0.0429025,-0.00195679,0.034657
0.059,0.04763,0.0465369,0.0539716,0.090239,0.0483829,0.0478104,0.0616232,0.0513998,0.0690134,0.00552277,0.0297687,0.0795688,0.0590826,0.0548044,0.01849,0.0380139
