Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.115074,0.0657629,0.0554974,0.0484299,0.0413638,0.0661209,0.0536887,0.0666586,0.0568063,0.0381766,0.38713,0.0594272,0.0661017,0.0328317,0.0261194,0.0517468
0.021,0.155662,0.0752234,0.0475629,0.0438522,0.0377017,0.0511673,0.0454489,0.0410239,0.0662668,-0.00912567,0.289778,0.00296967,0.0490118,0.0239816,0.00567261,0.05724
0.022,0.0522076,0.0794958,0.0496991,0.0560593,0.0486881,0.0636795,0.0640646,0.0538412,0.0610788,0.045806,0.107588,0.0481357,0.0450446,0.0255075,0.01849,0.0483899
0.023,-0.0423969,0.0538611,0.0612958,0.0319504,0.0355655,0.0581863,0.0539938,0.0602499,0.0598581,0.0842581,-0.22902,0.0563754,0.0361945,0.0453439,0.0645715,0.0593762
0.024,0.0457989,0.0477576,0.0783856,0.0160812,0.0267154,0.0661209,0.049111,0.0379721,0.0699289,0.0641165,-0.261979,0.0658359,0.052674,0.0578561,0.0880701,0.0389294
0.025,0.0244366,0.0547766,0.0921185,0.00448456,0.0370914,0.0694778,0.0588766,0.0556723,0.0577219,0.0293265,-0.135942,0.0624789,0.0413824,0.0557199,0.111263,0.0410657
0.026,0.0332867,0.0599646,0.0561078,-0.013826,0.0563174,0.0557449,0.0631491,0.0565878,0.0330026,-0.0277414,-0.194841,0.0505771,0.0471808,0.0551096,0.130184,0.0465588
0.027,-0.0591815,0.0721716,0.0420697,-0.00650177,0.0450259,0.0725296,0.0408713,0.0648276,0.0607736,-0.0225534,-0.122209,0.0579013,0.0404669,0.06457,0.121029,0.0380139
0.028,-0.0817645,0.0550818,0.0619061,0.0356125,0.029462,0.0468948,0.0640646,0.0715414,0.0638254,0.052825,-0.077348,0.0459995,0.0685431,0.0734201,0.068844,0.019093
0.029,0.0363385,0.0584387,0.0518353,0.114653,0.0221378,0.0539139,0.0576559,0.0520102,0.0513132,0.117522,-0.0346234,0.0649204,0.0975348,0.0621286,0.0520593,0.0490002
0.03,0.114769,0.0575232,0.0457318,0.143034,0.0505191,0.064595,0.0485007,0.0578085,0.043989,0.0986014,-0.0385907,0.0228061,0.0743414,0.0474802,0.0221521,0.0456433
0.031,0.115379,0.0736975,0.0481732,0.12686,0.0517398,0.0633743,0.049111,0.0602499,0.0549753,0.065032,-0.0233319,0.0579013,0.0789191,0.0429025,0.0294763,0.0453381
0.032,0.119957,0.0752234,0.046037,0.137846,0.0465518,0.0581863,0.0597922,0.0617758,0.068403,0.0531302,-0.00013855,0.0545444,0.059693,0.0377145,0.0371057,0.0441174
0.033,0.0845563,0.0639319,0.0655682,0.12747,0.0563174,0.0569656,0.0436179,0.0623862,0.0854929,0.0705252,-0.00105408,0.0548496,0.0685431,0.0343576,0.0371057,0.0535779
0.034,0.0567853,0.0401282,0.0628217,0.10092,0.074628,0.0462845,0.052468,0.0373618,0.0464304,0.0592337,0.0294635,0.0466098,0.0673224,0.0535837,0.0191003,0.059071
0.035,0.0186383,0.0462317,0.0716718,0.074675,0.0657779,0.0493362,0.0549094,0.0700156,0.0519235,0.0537405,0.0331256,0.0484409,0.0386359,0.0468698,0.0044519,0.0541882
0.036,0.0763165,0.0660681,0.0524457,0.0414108,0.0639468,0.0685623,0.0582663,0.0666586,0.0476511,0.0598441,0.0386188,0.013956,0.0508429,0.0572458,0.0194055,0.0575452
0.037,0.0769269,0.0428748,0.0585492,0.0185226,0.0456363,0.0630691,0.0546042,0.0614706,0.0507028,0.0522147,0.0196979,0.0441684,0.0352789,0.0548044,-0.00104126,0.0377087
0.038,0.134605,0.0483679,0.0588544,0.0633835,0.0401431,0.0472,0.0466696,0.0437704,0.0583322,0.0531302,0.0541827,0.0557651,0.0450446,0.0688425,-0.0367468,0.0236707
0.039,0.129417,0.0340247,0.051225,0.076506,0.0596744,0.0551346,0.0488058,0.0590292,0.0516183,0.045806,0.0599811,0.0459995,0.0676276,0.0709787,-0.0181311,0.0596814
0.04,0.0799786,0.0471472,0.073808,0.0511765,0.0621158,0.0545242,0.0442282,0.0474326,0.0619943,0.0381766,0.0569293,0.0246371,0.0465704,0.0544992,0.028866,0.0627332
