Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0.01,0.101512,9.46548,-2.17534,-0.529183,-1.87551,0.114071,3.08243,-13.368,-7.52564,2.18002,5.10767,-3.92207,7.99913,13.6078,8.52775,-3.27407,4.49615,-5.34957,5.20994,0.355873,8.5325,-0.0786452,-0.191367,0.0023774,8.51959,-0.00572397,3.97134,-1.69167,0.595504,-1.50408,0.946996,9.425,-1.61195,-0.445981,-0.738896,0.437285,-1.32907,-8.88807,-2.9452,-0.117646,5.22623,-0.181967
0.011,0.175035,9.43053,-2.19354,-0.524758,-1.87867,0.125475,3.0064,-13.5021,-7.65359,2.17492,5.15771,-3.92948,8.19495,13.5633,8.38153,-3.28414,4.47449,-5.40896,5.21093,0.34194,8.52236,-0.0817121,-0.192038,0.00431482,8.47625,-0.0499155,3.94212,-1.70749,0.592262,-1.50367,0.956209,9.42229,-1.60875,-0.440881,-0.736959,0.435413,-1.22379,-8.8308,-2.93682,-0.11749,5.40359,-0.218556
0.012,0.248558,9.39558,-2.21174,-0.520334,-1.88183,0.136879,2.93037,-13.6361,-7.78153,2.16982,5.20774,-3.93688,8.39077,13.5188,8.23531,-3.2942,4.45283,-5.46835,5.21192,0.328007,8.51222,-0.084779,-0.192709,0.00625224,8.43291,-0.094107,3.91291,-1.72331,0.589021,-1.50326,0.965422,9.41958,-1.60555,-0.435781,-0.735022,0.43354,-1.11852,-8.77352,-2.92845,-0.117333,5.58094,-0.255145
0.013,0.322082,9.36063,-2.22994,-0.51591,-1.885,0.148282,2.85434,-13.7702,-7.90947,2.16471,5.25778,-3.94428,8.5866,13.4743,8.08909,-3.30427,4.43116,-5.52774,5.21291,0.314074,8.50209,-0.0878459,-0.19338,0.00818966,8.38957,-0.138299,3.88369,-1.73912,0.58578,-1.50285,0.974634,9.41686,-1.60235,-0.430682,-0.733085,0.431668,-1.01325,-8.71624,-2.92008,-0.117177,5.75829,-0.291734
0.014,0.409143,9.3258,-2.25395,-0.513251,-1.88363,0.160241,2.74931,-13.8721,-8.01635,2.15845,5.30924,-3.94648,8.783,13.4244,7.98897,-3.32085,4.40542,-5.58812,5.1964,0.284484,8.48606,-0.0960302,-0.197333,0.00910764,8.37232,-0.181433,3.86453,-1.75306,0.583857,-1.50271,1.00158,9.41766,-1.62894,-0.424846,-0.728769,0.434183,-1.00482,-8.65096,-2.90933,-0.121061,5.922,-0.326373
0.015,0.502974,9.29104,-2.28086,-0.511476,-1.88,0.172476,2.62976,-13.958,-8.11269,2.15161,5.36141,-3.94607,8.97969,13.3716,7.91189,-3.34068,4.37764,-5.649,5.17113,0.247066,8.4671,-0.106773,-0.202927,0.00951592,8.36813,-0.22404,3.85039,-1.76605,0.582593,-1.50271,1.0374,9.42022,-1.67043,-0.418642,-0.723265,0.438891,-1.0448,-8.58167,-2.89741,-0.126965,6.07888,-0.360036
0.016,0.596805,9.25628,-2.30777,-0.5097,-1.87638,0.184712,2.51022,-14.0439,-8.20903,2.14478,5.41358,-3.94565,9.17639,13.3189,7.83481,-3.36052,4.34986,-5.70989,5.14587,0.209649,8.44813,-0.117516,-0.208521,0.00992419,8.36394,-0.266646,3.83625,-1.77904,0.581329,-1.5027,1.07322,9.42277,-1.71191,-0.412439,-0.71776,0.443599,-1.08478,-8.51238,-2.88548,-0.13287,6.23577,-0.3937
0.017,0.690636,9.22152,-2.33468,-0.507924,-1.87275,0.196948,2.39068,-14.1298,-8.30536,2.13794,5.46575,-3.94524,9.37308,13.2662,7.75774,-3.38036,4.32209,-5.77077,5.1206,0.172231,8.42917,-0.128259,-0.214115,0.0103325,8.35974,-0.309253,3.82212,-1.79203,0.580065,-1.5027,1.10904,9.42532,-1.75339,-0.406235,-0.712255,0.448306,-1.12476,-8.44309,-2.87355,-0.138774,6.39265,-0.427364
0.018,0.782635,9.18209,-2.35634,-0.506733,-1.86806,0.208973,2.26044,-14.2046,-8.40726,2.13037,5.51929,-3.94477,9.57806,13.2495,7.67875,-3.40198,4.29429,-5.8309,5.10235,0.141432,8.41359,-0.138735,-0.219683,0.0109513,8.35799,-0.349461,3.80993,-1.80544,0.578266,-1.50261,1.14199,9.42871,-1.80207,-0.399566,-0.704146,0.452701,-1.16504,-8.36233,-2.85329,-0.144444,6.53996,-0.459162
0.019,0.868223,9.1263,-2.35962,-0.507586,-1.85967,0.220261,2.09275,-14.2405,-8.52861,2.12023,5.57762,-3.94406,9.81203,13.3592,7.59307,-3.42983,4.26642,-5.8884,5.10866,0.133802,8.40989,-0.148278,-0.225156,0.0123072,8.36479,-0.381275,3.80456,-1.82037,0.574597,-1.50224,1.16491,9.43499,-1.87589,-0.391268,-0.686923,0.456001,-1.20636,-8.24142,-2.80389,-0.149297,6.65373,-0.484426
0.02,0.953811,9.07051,-2.3629,-0.508439,-1.85127,0.231549,1.92506,-14.2764,-8.64996,2.1101,5.63595,-3.94335,10.046,13.4688,7.50739,-3.45768,4.23855,-5.9459,5.11497,0.126172,8.40618,-0.157821,-0.23063,0.013663,8.3716,-0.413089,3.79919,-1.83529,0.570928,-1.50187,1.18782,9.44127,-1.94972,-0.38297,-0.669699,0.4593,-1.24769,-8.1205,-2.75448,-0.154149,6.7675,-0.509691
0.021,1.0394,9.01473,-2.36618,-0.509293,-1.84288,0.242837,1.75738,-14.3123,-8.77132,2.09997,5.69428,-3.94265,10.28,13.5785,7.42171,-3.48553,4.21069,-6.0034,5.12127,0.118541,8.40247,-0.167363,-0.236103,0.0150189,8.3784,-0.444904,3.79382,-1.85022,0.567258,-1.50149,1.21074,9.44755,-2.02355,-0.374671,-0.652476,0.4626,-1.28902,-7.99959,-2.70507,-0.159001,6.88127,-0.534955
0.022,1.12499,8.95894,-2.36946,-0.510146,-1.83448,0.254125,1.58969,-14.3482,-8.89267,2.08983,5.75261,-3.94194,10.5139,13.6881,7.33603,-3.51337,4.18282,-6.0609,5.12758,0.110911,8.39877,-0.176906,-0.241577,0.0163748,8.38521,-0.476718,3.78845,-1.86514,0.563589,-1.50112,1.23365,9.45383,-2.09738,-0.366373,-0.635253,0.465899,-1.33034,-7.87867,-2.65566,-0.163853,6.99504,-0.56022
0.023,1.20116,8.91995,-2.35219,-0.508862,-1.82691,0.262705,1.46096,-14.3589,-9.07197,2.07473,5.81591,-3.93723,10.7465,13.8766,7.24063,-3.53708,4.15597,-6.12103,5.12109,0.12791,8.39879,-0.184435,-0.241864,0.0172315,8.35317,-0.548322,3.78628,-1.88034,0.55483,-1.49811,1.25564,9.44054,-2.14053,-0.362522,-0.621198,0.466966,-1.36408,-7.81517,-2.60824,-0.169988,7.08137,-0.575292
0.024,1.27463,8.88575,-2.32905,-0.506967,-1.81958,0.270512,1.34336,-14.3624,-9.26784,2.0582,5.88063,-3.93137,10.9787,14.0876,7.14244,-3.55959,4.12942,-6.18193,5.11095,0.151946,8.39988,-0.191388,-0.240669,0.0179456,8.31004,-0.631295,3.78502,-1.89563,0.544616,-1.49435,1.27737,9.42165,-2.17491,-0.359941,-0.608049,0.467395,-1.39564,-7.76808,-2.56139,-0.176489,7.15986,-0.587452
0.025,1.34811,8.85155,-2.30591,-0.505073,-1.81224,0.278318,1.22576,-14.366,-9.4637,2.04168,5.94534,-3.92551,11.2109,14.2986,7.04426,-3.58211,4.10286,-6.24282,5.10081,0.175982,8.40097,-0.198341,-0.239475,0.0186597,8.26691,-0.714268,3.78376,-1.91091,0.534403,-1.49058,1.2991,9.40277,-2.20929,-0.357361,-0.594899,0.467824,-1.42721,-7.72098,-2.51453,-0.182991,7.23835,-0.599612
0.026,1.42159,8.81735,-2.28277,-0.503178,-1.80491,0.286125,1.10816,-14.3695,-9.65956,2.02516,6.01006,-3.91966,11.443,14.5097,6.94607,-3.60463,4.07631,-6.30371,5.09067,0.200017,8.40206,-0.205295,-0.23828,0.0193738,8.22378,-0.797241,3.78251,-1.92619,0.52419,-1.48682,1.32082,9.38388,-2.24368,-0.35478,-0.58175,0.468253,-1.45877,-7.67389,-2.46768,-0.189492,7.31684,-0.611772
