Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RSemitendinosus,LBicepsFemoris,RRectusFemoris,RVastusLateralis,LGluteusMaximus,LTibialisAnterior,LSoleus,RBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,RGluteusMaximus
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0586163,0.0785803,0.0658734,0.026152,0.074628,0.0639847,0.049111,0.067269,0.0583322,0.0592337,0.0670001,-0.0699673,-0.0355218,0.0792184,0.00963989,0.0871472
0.021,0.080589,0.0575232,0.0585492,0.0209641,0.0691348,0.0636795,0.0518576,0.0571982,0.0693185,0.0482474,0.0605914,-0.05715,-0.0523065,0.0728098,0.00933472,0.0752454
0.022,0.0735699,0.0541663,0.0777753,-0.0254227,0.0593692,0.0450638,0.064675,0.0535361,0.0601633,0.037261,0.0764606,-0.0412808,-0.0349115,0.0709787,0.0102502,0.0724988
0.023,0.0522076,0.0508093,0.0600751,0.0276779,0.0795108,0.0484207,0.0314108,0.0306479,0.0543649,0.0360403,0.0782916,-0.0425015,-0.0547479,0.0526682,0.0270349,0.067616
0.024,0.0699078,0.0596594,0.0545819,0.0255417,0.0608951,0.0365189,0.0591818,0.0556723,0.0622995,0.0628958,0.0489947,-0.0229703,-0.0458978,0.0630441,0.0343591,0.0630383
0.025,0.0540387,0.0529456,0.0725873,-0.0284744,0.076459,0.0044754,0.0469748,0.0224081,0.0595529,0.147124,0.0514362,-0.0394498,-0.0800775,0.0685373,0.0755579,0.0782971
0.026,0.0604474,0.0584387,0.0683148,-0.0336624,0.074628,-0.00406952,0.0414816,0.023934,0.0644357,0.128509,0.0419757,-0.0556241,-0.053222,0.0395456,0.10516,0.0688367
0.027,0.0488507,0.0590491,0.0588544,-0.0254227,0.0706607,-0.00651093,0.0485007,0.0132529,0.051008,0.0638113,0.0276324,-0.084921,-0.0520013,0.0480905,0.123165,0.0877576
0.028,0.0628888,0.0663733,0.0625165,-0.0626541,0.0599796,0.00539093,0.0707785,0.0053183,0.0604684,-0.0024118,0.0172565,-0.0968228,-0.0419305,0.0401559,0.124386,0.0847058
0.029,0.0787579,0.057218,0.0680096,-0.101106,0.0651675,0.0389603,0.121133,0.0175253,0.0729806,-0.00210663,0.0315997,-0.079733,-0.0559686,0.0355783,0.119808,0.0645642
0.03,0.0647198,0.046842,0.0591595,-0.112398,0.06944,0.0417068,0.110146,0.006539,0.0497873,0.00552277,0.0517413,-0.0864468,-0.0382684,0.0117746,0.0841028,0.0837903
0.031,0.0497662,0.0422644,0.0463422,-0.0373245,0.0752383,0.0542191,0.122353,0.000435486,0.0650461,0.0113211,0.100569,-0.102011,-0.0730585,0.0453439,0.0557214,0.0993542
0.032,0.0564801,0.0389075,0.0536664,0.121977,0.0584537,0.0685623,0.0662009,0.0233237,0.0571115,0.0134573,0.0688312,-0.0968228,-0.0889276,0.0450388,-0.0236243,0.0776868
0.033,0.0625836,0.0495886,0.061601,0.154936,0.0587589,0.0768021,0.101601,0.00928558,0.066572,0.0601492,0.0828693,-0.098959,-0.0632928,0.0511423,-0.0614661,0.0657849
0.034,0.0515973,0.0444006,0.0744183,0.0661301,0.0541812,0.0774124,0.0668112,0.0105063,0.0766428,0.0430594,0.0703571,-0.108419,-0.079162,0.0429025,-0.11182,0.0770764
0.035,0.0604474,0.0685095,0.040849,0.0276779,0.0608951,0.0938919,0.0533835,0.0111166,0.0607736,0.0393973,0.0697467,-0.116049,-0.0730585,0.0282541,-0.141117,0.0779919
0.036,0.0522076,0.0498938,0.0625165,0.0249313,0.0575381,0.0795486,0.00302948,0.013558,0.068403,0.0689993,0.0947711,-0.0952969,-0.0629877,0.0169626,-0.105411,0.0706677
0.037,0.0430524,0.067594,0.0545819,-0.00375519,0.0593692,0.0716141,0.0103537,0.0156943,0.0424631,0.118438,0.0938556,-0.0785123,-0.0483392,0.0184885,-0.0312537,0.0840955
0.038,0.063194,0.0459265,0.0548871,0.0014328,0.0721866,0.0377396,0.0625388,0.0227133,0.0418527,0.100127,0.0651691,-0.0727139,-0.061767,0.0285593,-0.0108069,0.0813489
0.039,0.0668561,0.0730872,0.0588544,0.000212097,0.0636417,0.0511673,0.0936667,0.0181357,0.0629098,0.0781546,0.103316,-0.0376187,-0.0651239,0.0261179,0.00750366,0.0743298
0.04,0.0589215,0.0712561,0.0707562,-0.0245071,0.0654727,0.0447586,0.0954977,0.0147787,0.0638254,0.0390921,0.0944659,-0.0574551,-0.0535272,0.0364938,0.00353638,0.0511365
