Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RSemitendinosus,LBicepsFemoris,RRectusFemoris,RVastusLateralis,LGluteusMaximus,LTibialisAnterior,LSoleus,RBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,RGluteusMaximus
0.039,0.0696027,-0.0364709,0.0661786,0.0664352,0.0422794,0.0502518,0.0414816,0.0648276,0.0867136,0.0570975,0.0489947,0.0762119,0.0374152,0.0664011,0.0523645,0.0657849
0.04,0.0506818,-0.0297571,0.0893719,0.0578903,0.036481,0.064595,0.0790183,0.0535361,0.08061,-0.077485,0.0679156,0.0768222,0.120423,0.0581613,0.0493127,0.0621228
0.041,0.0647198,0.0096106,0.0625165,0.0737595,0.0422794,0.069783,0.0454489,0.0578085,0.0394113,0.106841,0.051131,0.0603427,0.11493,0.0358835,0.0404626,0.0905041
0.042,0.0744855,0.0505042,0.0359662,0.0719284,0.0492984,0.0777176,0.0561301,0.056893,0.0415475,0.126678,0.0679156,0.0759067,0.0883795,0.0670114,0.0551111,0.0609021
0.043,0.0644147,0.0303625,0.0139935,0.0786423,0.0660831,0.0670364,0.0301901,0.0660483,0.0885446,0.0299368,0.073714,0.0698032,0.0755621,0.0529733,0.0654871,0.0663953
0.044,0.0638043,0.0267004,0.056413,0.0905441,0.0566226,0.0511673,0.0710837,0.0404135,0.0565012,0.0433646,0.0367877,0.0575961,0.0599982,0.0508371,0.0471765,0.0691418
0.045,0.0503766,0.0434851,0.0561078,0.0691818,0.0489932,0.0609329,0.0427023,0.0462119,0.0372751,0.0201712,0.0422809,0.0771274,0.0520636,0.0514474,0.0447351,0.0544934
0.046,0.0686871,0.0444006,0.0731976,0.0856613,0.057233,0.059407,0.0536887,0.0443808,0.0519235,0.0278006,0.0575397,0.0719394,0.0786139,0.0511423,0.0398523,0.05724
0.047,0.0604474,0.0483679,0.0585492,0.0758957,0.053876,0.0649002,0.059487,0.0507895,0.0745065,0.0738821,0.0492999,0.0783481,0.0651862,0.041987,0.0490076,0.0621228
0.048,0.0720441,0.0981116,0.101579,0.0762009,0.0334293,0.0478104,0.0494162,0.0428549,0.0568063,0.0982962,0.102706,0.081705,0.099671,0.041987,0.0538904,0.052052
0.049,0.0418317,0.0703406,0.0881512,0.0978683,0.0370914,0.0636795,0.0338522,0.0456015,0.0726755,0.0900565,0.129866,0.071329,0.0902106,0.0499216,0.0538904,0.0663953
0.05,0.0644147,0.0382971,0.0500043,0.0713181,0.0401431,0.0569656,0.0500266,0.0520102,0.0842722,0.0534354,0.108809,0.0698032,0.0966193,0.0477853,0.0551111,0.05724
0.051,0.0659406,0.103605,0.00819519,0.0700973,0.0422794,0.0642899,0.0634543,0.0437704,0.0674875,0.0564871,0.120406,0.076517,0.0627448,0.0392404,0.0468713,0.0657849
0.052,0.0750958,0.135953,0.00880554,0.0530075,0.0407535,0.0609329,0.0494162,0.0474326,0.0690134,0.00308136,0.0383136,0.0655307,0.00262512,0.0313058,0.0453455,0.0782971
0.053,0.0607526,0.104825,0.0432904,0.0621628,-0.00624359,0.042012,0.0283591,0.0440756,0.0384958,-0.00149628,-0.00746277,0.0762119,0.019715,0.0252023,0.0368005,0.0718884
0.054,0.0543439,0.0654578,0.0774701,0.05728,0.0117618,0.0786331,0.0500266,0.0388876,0.0543649,-0.0307932,0.0190875,0.0896396,0.0563361,0.0343576,0.0508386,0.067616
0.055,0.0863873,0.0315833,0.0271161,0.0722336,0.0142032,0.0676468,0.0567404,0.0626913,0.058027,0.0897513,0.0508258,0.0762119,0.0508429,0.0538889,0.0630457,0.0770764
0.056,0.0863873,0.0422644,0.018266,0.0615524,0.0309879,0.0563553,0.0597922,0.0410239,0.0742014,0.12271,0.0456378,0.0789584,0.059693,0.0319162,0.051449,0.0712781
0.057,0.054649,-0.0187708,0.035661,0.0704025,0.0343448,0.064595,0.0497214,0.0443808,0.0668771,0.141021,0.0602863,0.0807895,0.0624396,0.0514474,0.0502283,0.0703625
0.058,0.0662457,-0.0230432,0.0554974,0.0420212,0.0264102,0.062764,0.0460593,0.0486533,0.061384,0.124541,0.0718829,0.0756015,0.0767828,0.0377145,0.0456506,0.0563245
0.059,0.059837,0.0160193,0.061601,0.0697922,0.0612003,0.0633743,0.0658957,0.0629965,0.0418527,0.107146,0.0682208,0.0774326,0.0865485,0.0413766,0.0578577,0.0560193
