Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0.024,0.063194,0.139615,0.0393231,0.0673508,0.264753,-0.354716,0.231301,0.0651328,0.061384,-0.0210275,0.0276324,0.154032,0.495179,-0.0495657,-0.0394934,0.0770764
0.025,0.0280988,0.194852,0.0347455,0.0713181,0.240644,-0.391032,0.23771,0.0382773,0.0693185,-0.0841989,0.0450275,0.136331,0.472596,-0.0819144,-0.0181311,0.041676
0.026,0.0573956,0.00747437,0.0655682,0.079863,0.254682,-0.351054,0.257851,0.0324789,0.0473459,-0.116853,0.0572345,0.127481,0.415223,-0.0758108,-0.00317749,0.0432019
0.027,0.0442731,-0.0132776,0.0451215,0.0563644,0.217145,-0.401103,0.213296,0.0346152,0.0644357,-0.113191,0.0636432,0.139994,0.447877,-0.0715384,0.0163538,0.0538831
0.028,0.0723492,0.0645422,0.0649579,0.0511765,0.233014,-0.348308,0.220315,0.0288168,0.0528391,-0.0350656,0.02336,0.129923,0.429871,-0.0990042,0.0261194,0.0575452
0.029,0.0662457,0.0288367,0.0490887,0.081694,0.204938,-0.324504,0.215737,0.0526205,0.0442941,0.0628958,0.0612018,0.153421,0.422547,-0.0767264,-0.00958618,0.0612073
0.03,0.0583112,0.00503296,0.0799115,0.0813889,0.19029,-0.382487,0.188882,0.0196616,0.0555856,0.119048,0.0602863,0.121378,0.415528,-0.0779471,0.0407678,0.0615125
0.031,0.0509869,-0.0166345,0.0805219,0.102446,0.200055,-0.346782,0.213296,0.0407187,0.0513132,0.0433646,0.02336,0.13389,0.423463,-0.0907645,0.0575525,0.0737195
0.032,0.052818,-0.101168,0.105851,0.0777267,0.181745,-0.356242,0.216958,0.0507895,0.0742014,0.0326834,0.0306842,0.168375,0.407288,-0.0758108,0.0438196,0.0319104
0.033,0.0638043,-0.0236536,0.115922,0.101225,0.194562,-0.353191,0.191628,0.0156943,0.0272043,0.0503836,0.00291321,0.182413,0.368836,-0.0782523,0.0795251,0.0822644
0.034,0.0348126,0.0367712,0.0655682,0.110381,0.180829,-0.341289,0.212685,0.0605551,0.056196,0.106231,0.0322101,0.137857,0.345032,-0.0550589,0.0899011,0.0477795
0.035,0.0680768,-0.00778442,0.0612958,0.0719284,0.172895,-0.347087,0.211159,0.0428549,0.0400217,0.132781,0.0431964,0.149149,0.345338,-0.0474295,0.107601,0.0596814
0.036,0.0519025,0.000455322,0.0680096,0.0704025,0.196393,-0.29185,0.188882,0.0282065,0.0360544,0.159026,0.0361774,0.15159,0.352967,-0.0871024,0.119503,0.0679211
0.037,0.0235211,-0.00564819,0.0558026,0.0722336,0.182355,-0.337932,0.189492,0.0373618,0.0668771,0.151702,0.085921,0.162577,0.361817,-0.0434622,0.128048,0.0697522
0.038,0.0839459,0.0324988,0.0417645,0.0780319,0.156415,-0.286967,0.188271,0.0364462,0.0531442,0.148345,0.063338,0.156473,0.377991,-0.0434622,0.145748,0.0724988
0.039,0.035423,0.0282263,-0.0290363,0.0658249,0.169843,-0.29948,0.21238,0.0269858,0.0644357,0.0351248,0.0767657,0.143045,0.322449,-0.046514,0.138119,0.0587659
0.04,0.0393903,-0.0154138,-0.0272052,0.0621628,0.154584,-0.283611,0.158669,0.044686,0.0400217,0.040618,0.0721881,0.158609,0.26233,-0.0159964,0.166195,0.0483899
0.041,0.0467145,0.0404334,0.00331238,0.0755905,0.170453,-0.280559,0.194375,0.0419394,0.0473459,0.014678,0.0776813,0.118936,0.250428,-0.0398001,0.143612,0.059071
0.042,0.0540387,0.0279211,0.0167401,0.0563644,0.16435,-0.281474,0.186745,0.0443808,0.0534494,0.0317679,0.0569293,0.122904,0.197327,-0.0101981,0.143917,0.0508313
0.043,0.0140607,0.0718665,0.0030072,0.0606369,0.14787,-0.261333,0.162636,0.013558,0.0363596,-0.0176706,0.0795123,0.0994052,0.194581,-0.000432434,0.16528,0.107594
0.044,0.0537335,0.0648474,0.0481732,0.0633835,0.137494,-0.238445,0.191018,0.0526205,0.0250681,-0.0732126,0.0389239,0.110392,0.142701,0.00200897,0.13934,0.0352673
0.045,0.0491559,0.0312781,0.0164349,0.0636887,0.140546,-0.242107,0.1605,0.0483481,0.0598581,-0.0777902,0.0819537,0.117411,0.15796,0.00139862,0.164059,0.0535779
0.046,0.063194,0.0382971,0.0377972,0.0627731,0.132611,-0.25706,0.167824,0.0077597,0.0369699,-0.032319,0.061507,0.107035,0.133851,0.0578561,0.166195,0.097218
0.047,0.0226056,0.0364661,0.0384076,0.0884079,0.119184,-0.216167,0.15226,0.0355307,0.0464304,-0.000275574,0.0706622,0.102152,0.126526,0.0606027,0.164364,0.0560193
0.048,0.070213,0.0141882,0.0558026,0.0609421,0.117963,-0.196635,0.156838,0.0211874,0.0433786,0.0162039,0.0325153,0.101236,0.125001,0.0700632,0.166195,0.0679211
0.049,0.0653302,0.0505042,0.0481732,0.0984787,0.106977,-0.217998,0.137917,0.0468222,0.0415475,0.127898,0.0319049,0.0762119,0.107606,0.0462595,0.178707,0.0563245
0.05,0.0616681,0.00259155,0.0316937,0.0719284,0.147565,-0.17802,0.120522,0.0468222,0.0748117,0.125152,0.0709674,0.0664462,0.0947882,0.0828806,0.159786,0.0709729
0.051,0.0500714,0.0834631,0.0646527,0.0807785,0.079816,-0.17039,0.0970236,0.0340048,0.033613,-0.0423898,0.0724933,0.0636996,0.0789191,0.0831857,0.181149,0.0706677
0.052,0.0540387,0.0611853,0.0829633,0.0865768,0.113385,-0.181987,0.109231,0.0312582,0.0467355,-0.0610056,0.0819537,0.0389804,0.0273444,0.080134,0.171383,0.097218
0.053,0.0638043,0.0352454,0.0802167,0.069487,0.0743228,-0.148723,0.0967184,0.0544516,0.0662668,0.0158987,0.0822589,0.0579013,-0.00012146,0.0984445,0.179318,0.067616
0.054,0.0592267,0.0523352,0.108293,0.0749802,0.0917178,-0.166118,0.106789,0.0352255,0.0540598,0.0473318,0.0593707,0.000528259,-0.0101923,0.111567,0.185421,0.0859265
0.055,0.0564801,0.0285315,0.0731976,0.0755905,0.0962955,-0.120036,0.105263,0.0547568,0.0467355,0.0970755,0.0596759,0.0374545,-0.0321649,0.114008,0.161007,0.0660901
0.056,0.0577008,0.0602698,0.0994428,0.0676559,0.0956851,-0.116985,0.0753561,0.0312582,0.0516183,0.0564871,0.0734088,-0.00557526,-0.0486444,0.105464,0.149105,0.0853162
0.057,0.0610577,0.0721716,0.125078,0.0813889,0.111249,-0.0849411,0.0884787,0.044686,0.0549753,0.0262747,0.0496051,-0.0299893,-0.0819086,0.124384,0.150936,0.0813489
0.058,0.0625836,0.0358557,0.073808,0.0414108,0.0706607,-0.0809738,0.0704733,0.0608603,0.0421579,0.0854788,0.0416705,0.0328769,-0.0718378,0.136591,0.145748,0.0789075
0.059,0.0595319,0.0495886,0.0649579,0.0847458,0.122846,-0.0663254,0.100381,0.0288168,0.0571115,0.0693045,0.0325153,0.000528259,-0.0968622,0.127741,0.118588,0.0773816
0.06,0.0519025,0.0428748,0.051225,0.0743698,0.0715762,-0.0501511,0.0900046,0.0513998,0.0760324,0.0467215,0.0505206,0.00327484,-0.133178,0.11706,0.103024,0.0847058
0.061,0.0345074,0.0819373,-0.0253741,0.0707077,0.0645572,-0.111797,0.0637595,0.0526205,0.0528391,0.0812064,0.0886676,-0.00679596,-0.112426,0.138117,0.109738,0.0959973
0.062,0.0638043,0.0471472,-0.00736877,0.0829147,0.101483,-0.0351974,0.0765768,0.0501791,0.0479562,0.13919,0.0825641,0.0179233,-0.170104,0.154902,0.0660974,0.102711
0.063,0.0488507,0.0517249,0.0173505,0.0755905,0.0795108,-0.0254318,0.0469748,0.0593344,0.0427683,0.157195,0.0825641,0.0115146,-0.122802,0.141169,0.0752527,0.0795178
0.064,0.0564801,0.0529456,0.0609906,0.0835251,0.0999576,-0.0202438,0.0622336,0.0309531,0.0503976,0.151092,0.0596759,0.0142612,-0.120971,0.154902,0.0490076,0.120106
0.065,0.0494611,0.0227332,0.0426801,0.0581955,0.0758487,0.0191238,0.052468,0.0523154,0.0369699,0.125457,0.0526569,0.0472202,-0.133788,0.133235,0.0526697,0.0847058
0.066,0.0653302,0.0480627,0.0673993,0.0731491,0.0779849,-0.010173,0.0747458,0.00806488,0.0586374,0.0708304,0.0395343,0.00327484,-0.127075,0.204646,0.0313074,0.111866
0.067,0.063194,0.0508093,0.0796063,0.0996994,0.0615054,0.0352982,0.0600974,0.063912,0.0552805,-0.0164499,0.0093219,-0.00191315,-0.177734,0.207087,0.00231567,0.0862317
0.068,0.0485455,0.0871252,0.130876,0.0734543,0.081647,0.0459793,0.0423972,0.0321738,0.0745065,-0.125703,0.035567,0.00541107,-0.128295,0.180842,-0.00714478,0.116749
0.069,0.0744855,0.0770544,0.178788,0.079863,0.0877505,0.0395706,0.0378195,0.0275961,0.0449045,-0.0832834,0.0227496,-0.0226651,-0.159423,0.200984,-0.0239294,0.115529
0.07,0.042442,0.0581335,0.163835,0.0856613,0.0889712,0.0676468,0.064675,0.055062,0.0680978,-0.103425,0.0480792,-0.00954254,-0.160034,0.204035,-0.0568884,0.0975232
