Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.23867,0.0437903,0.0585492,-0.00650177,0.0547916,0.0764969,0.0701682,0.0346152,-0.485186,-0.0835886,0.102401,0.0377597,0.0593878,0.110041,0.0697595,0.141163
0.021,0.154747,0.0111365,0.0692303,0.00234833,0.0254947,0.0502518,0.0558249,0.0263754,-0.467791,-0.114716,0.112166,0.0383701,0.0773932,0.126826,0.0923425,0.17809
0.022,0.0741803,0.0486731,0.047868,0.0227951,0.046857,0.0551346,0.0683371,0.0471274,-0.306048,-0.0637521,0.102401,0.0185336,0.0859381,0.0770822,0.096615,0.185719
0.023,0.141929,0.0984167,0.0609906,0.0240158,0.0404483,0.0710037,0.0466696,0.0510947,0.0980051,0.0299368,0.104232,0.0517978,0.092652,0.0587717,0.0950891,0.186635
0.024,0.169395,0.0801062,0.058244,0.0182175,0.059064,0.0932816,0.0417868,0.0303427,0.195356,0.117522,0.085921,0.0395908,0.0764777,0.0377145,0.136288,0.18816
0.025,0.328697,0.0529456,0.0588544,0.00753632,0.0669986,0.0615433,0.0433127,0.0214926,0.120588,0.162688,0.0535724,0.046915,0.0703741,0.00506073,0.0856287,0.17046
0.026,0.232567,0.0654578,0.0646527,0.0014328,0.0709659,0.0438431,0.0335471,0.0108115,0.232893,0.23532,0.033736,0.0511874,0.0706793,0.00750214,0.0487024,0.186024
0.027,0.0988995,0.0364661,0.040849,0.00845184,0.0392276,0.0529984,0.0396506,0.0327841,0.46208,0.325652,0.00413391,0.0533237,0.0447394,-0.0132498,0.168942,0.160084
0.028,0.135521,0.0462317,0.0335248,0.0200485,0.0471622,0.040181,0.0448386,0.0385825,0.445295,0.351897,0.00749084,0.0698032,0.0465704,-0.00073761,0.197018,0.146046
0.029,0.25637,0.0291418,0.0390179,-0.0129105,0.0517398,0.0450638,0.0591818,0.0336996,0.574384,0.28781,-0.00380066,0.071329,0.049317,0.00902802,0.207394,0.137501
0.03,0.176414,0.0440955,0.0554974,-0.00711212,0.029462,0.062764,0.0463644,0.0388876,0.629621,0.231048,-0.0102094,0.0841464,0.0291754,0.0230661,0.21838,0.122242
0.031,0.0988995,0.0678992,0.053056,-0.00375519,0.0462466,0.0691727,0.0613181,0.0214926,0.496565,0.151702,0.00382874,0.0823154,0.0426032,0.0874582,0.210446,0.0950818
0.032,0.0891339,0.0767493,0.0643475,-0.00375519,0.0352603,0.080159,0.0536887,0.0513998,0.297285,0.0473318,-0.00807312,0.085062,0.0432135,0.0963083,0.151852,0.0673108
0.033,-0.183693,0.0837683,0.06862,-0.00100861,0.0285464,0.0551346,0.0536887,0.0376669,-0.169329,-0.0387277,0.028548,0.0725497,0.0413824,0.0978342,0.0841028,0.0688367
0.034,-0.36863,0.0590491,0.0793011,0.013945,0.0331241,0.0392654,0.0481955,0.0593344,-0.57094,-0.114411,0.0731036,0.0670566,0.0438239,0.106379,0.0371057,0.0477795
0.035,-0.361916,0.0611853,0.06862,-0.00253448,0.0380069,0.0703934,0.0271384,0.0608603,-0.858416,-0.174836,0.103926,0.0542392,0.0380255,0.0773874,-0.0559729,0.0410657
0.036,-0.321022,0.0447058,0.0542767,-0.00070343,0.0370914,0.0658157,0.0127951,0.0666586,-0.876421,-0.193452,0.131087,0.0252475,0.064881,0.0206247,-0.057804,0.02245
0.037,-0.12632,0.0270056,0.0472577,-0.0113846,0.046857,0.0618485,-0.00826202,0.0651328,-0.610918,-0.188569,0.160384,0.0304355,0.0773932,0.0129953,-0.122196,0.0187878
0.038,-0.040871,-0.00137573,0.0472577,-0.008638,0.0648624,0.0591019,0.0182883,0.0633017,-0.254778,-0.140656,0.141463,0.0362338,0.0932623,-0.0105032,-0.125248,0.0334363
0.039,0.090965,-0.0080896,0.0570233,-0.0162674,0.0566226,0.0639847,0.00638641,0.0852744,0.0992258,-0.0637521,0.130172,0.0463046,0.0731207,-0.0214896,-0.0953406,0.0502209
0.04,0.092796,0.0117468,0.0451215,-0.0135208,0.0444156,0.0612381,0.0182883,0.0712363,0.126386,0.0726614,0.075545,0.046915,0.0697638,-0.0346121,-0.0187415,0.0447278
