Time,RTibialisAnterior,RSoleus,RBicepsFemoris,RGastrocnemiusMedialis,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0396954,0.039823,0.0667889,0.0234055,0.0584537,0.067952,0.0860373,0.103585,0.0699289,0.0744925,0.0557086,0.0685825,0.0487067,0.0673166,0.0621301,0.0831799
0.021,0.0522076,0.0431799,0.056413,0.0478195,0.0785953,0.104268,0.0375143,0.103585,0.0565012,0.0296317,0.0575397,0.0551547,0.0450446,0.0657907,0.0471765,0.0950818
0.022,0.0595319,0.0617957,0.0554974,0.0554489,0.0532657,0.0786331,0.0600974,0.102975,0.0482614,0.0393973,0.0688312,0.0398959,0.0514532,0.0468698,0.0487024,0.0947766
0.023,0.0647198,0.0785803,0.0707562,0.0862717,0.064252,0.059407,0.0503317,0.109994,0.0415475,0.0421439,0.0453326,0.0719394,0.0392462,0.0425973,0.0511438,0.0764661
0.024,0.0708234,0.0563025,0.0594647,0.0823044,0.0608951,0.0758865,0.054299,0.0822226,0.0729806,0.0403128,0.0657794,0.076517,0.0548102,0.0609079,0.074032,0.081654
0.025,0.0686871,0.0651526,0.047868,0.079863,0.0596744,0.0716141,0.0304953,0.117623,0.0748117,0.00216583,0.0605914,0.0170078,0.0349738,0.0361887,0.0474817,0.0813489
0.026,0.0479352,0.0938391,0.0741132,0.0511765,0.0813419,0.0533035,0.0573508,0.110299,0.0696237,-0.000275574,0.0474689,0.0463046,0.0505377,0.062739,0.0575525,0.0767712
0.027,0.0360333,0.0886511,0.0707562,0.0618576,0.0615054,0.0725296,0.0280539,0.104195,0.0925119,0.0226126,0.0325153,0.0438632,0.0517584,0.081965,0.0697595,0.0856213
0.028,0.0427472,0.0840735,0.0509198,0.0551437,0.0627261,0.0743607,0.0552145,0.0993124,0.0568063,0.0479422,0.0312946,0.043558,0.0532843,0.0578561,0.0575525,0.0782971
0.029,0.0616681,0.0846838,0.0573285,0.0673508,0.0557071,0.0829056,0.0393454,0.108773,0.0870187,0.0689993,0.0364825,0.0463046,0.0386359,0.069758,0.0642664,0.0776868
0.03,0.0567853,0.0428748,0.0692303,0.0713181,0.085004,0.0844315,0.0463644,0.110299,0.0803049,0.0833426,0.0566241,0.06431,0.0587775,0.0630441,0.0303918,0.0700574
0.031,0.059837,0.034635,0.0673993,0.0398849,0.0630313,0.0752762,0.0549094,0.117013,0.0742014,0.0726614,0.0602863,0.0743808,0.0661017,0.0609079,0.0526697,0.0889783
0.032,0.0674664,0.0709509,0.0597699,0.0670456,0.0605899,0.0789383,0.0570456,0.107857,0.063215,0.078765,0.0727985,0.0542392,0.0584723,0.0346628,0.0300867,0.0529675
0.033,0.0549542,0.074613,0.0335248,0.0600265,0.0685245,0.109456,0.0604025,0.113961,0.0534494,0.0732718,0.0575397,0.0951328,0.0300909,0.0520578,0.0490076,0.10973
0.034,0.0537335,0.0587439,0.0521405,0.0508713,0.0785953,0.0893143,0.0478903,0.1045,0.0738962,-0.00576874,0.0746295,0.0841464,0.0480963,0.0508371,0.0569421,0.123463
0.035,0.0732648,0.0480627,0.0652631,0.0465988,0.0550967,0.0706985,0.043923,0.089852,0.066572,-0.0265207,0.0508258,0.0685825,0.0957037,0.0795236,0.0541956,0.102406
0.036,0.052818,0.0376868,0.0573285,0.0615524,0.0666934,0.0899246,0.043923,0.0785605,0.0714548,0.0119315,0.0456378,0.0533237,0.0465704,0.0538889,0.0361902,0.125599
0.037,0.0549542,0.0105261,0.0631268,0.0856613,0.076459,0.0642899,0.0558249,0.101143,0.0546701,0.0241385,0.0834796,0.0786533,0.0712897,0.0636545,0.0639612,0.120106
0.038,0.0506818,0.00533813,0.0451215,0.0685715,0.0544864,0.0633743,0.0527731,0.0932089,0.0619943,0.00613312,0.0483844,0.0371494,0.0340582,0.0700632,0.0883752,0.11797
0.039,0.0436627,0.0254797,0.0600751,0.0841354,0.0819522,0.0435379,0.0570456,0.0855795,0.0680978,0.00643829,0.0517413,0.0636996,0.0557257,0.0740305,0.0517542,0.132618
0.04,0.0564801,0.0230383,0.0561078,0.0511765,0.0871402,0.0783279,0.0604025,0.0919882,0.051008,0.0104056,0.0358722,0.0579013,0.0578619,0.0691476,0.0624353,0.125905
