Time,RTibialisAnterior,RSoleus,RBicepsFemoris,RGastrocnemiusMedialis,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0.044,0.0555646,0.0752234,0.0545819,0.064299,0.0731021,0.0768021,0.0634543,0.0507895,0.0635202,0.0525198,0.0721881,0.0670566,0.0715948,0.0538889,0.0587732,0.0508313
0.045,0.080589,0.0645422,0.0579388,0.0545334,0.0392276,0.0655106,0.0600974,0.0474326,0.0549753,0.014678,0.0590656,0.0603427,0.0520636,0.0682321,0.0657922,0.0673108
0.046,0.0766217,0.0465369,0.078996,0.0679611,0.0395328,0.036824,0.0503317,0.0373618,0.061384,0.0158987,0.056319,0.0652255,0.0645758,0.0386301,0.068844,0.0557141
0.047,0.0662457,0.0715613,0.0747235,0.0490402,0.0401431,0.0587967,0.0616232,0.0532309,0.0565012,0.0305472,0.0517413,0.0707187,0.0499274,0.0596872,0.0477869,0.0502209
0.048,0.0552594,0.0489783,0.0545819,0.0203537,0.0645572,0.0743607,0.0430075,0.0480429,0.0565012,0.0335989,0.05815,0.0554599,0.0630499,0.0499216,0.0560266,0.0712781
0.049,0.04763,0.039823,0.0515302,0.0758957,0.0529605,0.0496414,0.0533835,0.0523154,0.0604684,0.019866,0.0694415,0.0630893,0.0606085,0.0596872,0.0612146,0.0718884
0.05,0.0549542,0.0547766,0.0542767,0.0588058,0.046857,0.0591019,0.0707785,0.0755087,0.0372751,0.00155548,0.0666949,0.0646152,0.0548102,0.0615182,0.0483972,0.0410657
0.051,0.042442,0.0334143,0.0518353,0.0423264,0.0477725,0.0551346,0.0451437,0.0388876,0.0598581,-0.00821014,0.0666949,0.0423373,0.0706793,0.0694528,0.0520593,0.0370984
0.052,0.08242,0.0712561,0.0545819,0.0734543,0.0254947,0.034993,0.0231711,0.0526205,0.0699289,-0.0167551,0.0538776,0.0496616,0.061524,0.0636545,0.0535852,0.0660901
0.053,0.054649,0.0233435,0.0500043,0.05728,0.0480777,0.0529984,0.0408713,0.0663535,0.0638254,-0.0109567,0.0416705,0.0389804,0.0468756,0.0667062,0.0459558,0.0898938
