Time,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0.0,0.0506878,-9.7064,-1.44298,-0.307417,-0.213368,0.0951089,0.521051,6.6057,-0.373337,0.291743,0.80394,1.01658,2.24505,-3.34726,7.99476,-0.00198341,1.24128,0.741435,-2.69407,8.71076,-2.6155,-0.238814,0.163806,0.32877,9.49062,1.55623,3.64876,-0.341865,-0.028755,0.21513,0.0,0.0,0.0,0.0,0.0,0.0,5.04641,1.46889,8.39944,0.00707078,-0.00502686,4.3e-05
0.001,0.0669111,-9.71574,-1.41586,-0.301752,-0.218879,0.0957851,0.412096,6.6044,-0.342917,0.296217,0.810382,1.03713,2.32035,-3.21206,7.92781,0.0188888,1.26507,0.750368,-2.67889,8.71061,-2.58951,-0.240381,0.197825,0.319613,9.47338,1.54354,3.64182,-0.339948,-0.0295537,0.214118,0.0,0.0,0.0,0.0,0.0,0.0,5.04254,1.46184,8.38527,0.00637416,-0.00526938,0.000863479
0.002,0.0831344,-9.72509,-1.38874,-0.296087,-0.22439,0.0964614,0.303141,6.6031,-0.312497,0.300691,0.816823,1.05769,2.39565,-3.07686,7.86087,0.039761,1.28886,0.759301,-2.66371,8.71046,-2.56351,-0.241948,0.231845,0.310455,9.45614,1.53085,3.63488,-0.338031,-0.0303525,0.213106,0.0,0.0,0.0,0.0,0.0,0.0,5.03866,1.45479,8.37109,0.00567755,-0.0055119,0.00168392
0.003,0.0993577,-9.73443,-1.36161,-0.290422,-0.229901,0.0971376,0.194186,6.6018,-0.282077,0.305165,0.823264,1.07824,2.47095,-2.94166,7.79392,0.0606331,1.31266,0.768233,-2.64853,8.71032,-2.53752,-0.243515,0.265864,0.301298,9.4389,1.51816,3.62793,-0.336114,-0.0311512,0.212095,0.0,0.0,0.0,0.0,0.0,0.0,5.03479,1.44774,8.35692,0.00498093,-0.00575441,0.00250435
0.004,0.115581,-9.74377,-1.33449,-0.284757,-0.235412,0.0978138,0.0852308,6.6005,-0.251657,0.309639,0.829706,1.09879,2.54625,-2.80646,7.72698,0.0815053,1.33645,0.777166,-2.63335,8.71017,-2.51152,-0.245082,0.299884,0.292141,9.42166,1.50547,3.62099,-0.334197,-0.03195,0.211083,0.0,0.0,0.0,0.0,0.0,0.0,5.03091,1.44068,8.34274,0.00428432,-0.00599693,0.00332479
0.005,0.128151,-9.75493,-1.3029,-0.278347,-0.241419,0.0988059,0.00911762,6.61923,-0.231827,0.314849,0.834063,1.11842,2.61322,-2.68497,7.66251,0.0957971,1.35533,0.782207,-2.58136,8.65712,-2.47433,-0.244931,0.332562,0.283578,9.40442,1.49278,3.61405,-0.33228,-0.0327487,0.210071,0.0,0.0,0.0,0.0,0.0,0.0,5.03465,1.43295,8.33405,0.00371316,-0.00564502,0.00356261
0.006,0.1378,-9.76756,-1.26773,-0.271341,-0.247824,0.100051,-0.0407223,6.654,-0.220469,0.320649,0.836752,1.13731,2.67354,-2.57443,7.60002,0.104825,1.37029,0.784133,-2.49994,8.56175,-2.42817,-0.243405,0.364167,0.275491,9.38719,1.4801,3.6071,-0.330363,-0.0335475,0.209059,0.0,0.0,0.0,0.0,0.0,0.0,5.04446,1.42468,8.32976,0.00324237,-0.00481757,0.00333433
0.007,0.147448,-9.78019,-1.23257,-0.264335,-0.254228,0.101296,-0.0905621,6.68876,-0.20911,0.326448,0.839441,1.1562,2.73385,-2.4639,7.53754,0.113852,1.38525,0.78606,-2.41852,8.46638,-2.38201,-0.24188,0.395771,0.267404,9.36995,1.46741,3.60016,-0.328446,-0.0343462,0.208048,0.0,0.0,0.0,0.0,0.0,0.0,5.05427,1.4164,8.32546,0.00277158,-0.00399013,0.00310606
0.008,0.157096,-9.79282,-1.1974,-0.257329,-0.260633,0.102541,-0.140402,6.72352,-0.197752,0.332248,0.84213,1.17508,2.79417,-2.35337,7.47505,0.12288,1.4002,0.787987,-2.33709,8.37101,-2.33586,-0.240354,0.427376,0.259316,9.35271,1.45472,3.59322,-0.326529,-0.035145,0.207036,0.0,0.0,0.0,0.0,0.0,0.0,5.06409,1.40813,8.32116,0.00230079,-0.00316268,0.00287778
0.009,0.169102,-9.8027,-1.16096,-0.25063,-0.266976,0.103592,-0.191663,6.75771,-0.184479,0.337896,0.844547,1.19369,2.84885,-2.25566,7.40994,0.130938,1.41418,0.790003,-2.26237,8.28069,-2.29107,-0.238226,0.459266,0.251495,9.33547,1.44203,3.58627,-0.324612,-0.0359438,0.206024,0.0,0.0,0.0,0.0,0.0,0.0,5.07219,1.39851,8.3191,0.00180146,-0.00247366,0.00302368
