Time,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0.01,-0.678369,-9.91174,-0.718734,0.00074003,-0.150301,0.0556103,0.827328,9.9969,-0.417302,0.0261471,-0.537445,0.0311785,5.35393,-2.36102,8.10927,0.0931762,0.098638,-0.0669829,-0.946933,10.0451,0.200442,0.0758981,-0.041011,-0.155447,9.5373,0.420182,3.45124,0.100376,-0.109961,-0.0889275,0.0,0.0,0.0,0.0,0.0,0.0,4.65248,4.40004,7.49581,0.031875,-0.00415473,0.00873366
0.011,-0.686122,-9.90423,-0.728171,-0.0027454,-0.151892,0.0546039,0.863175,9.97506,-0.486793,0.0233902,-0.536144,0.0305847,5.39395,-2.46804,8.08925,0.0781951,0.09354,-0.0611919,-1.04354,10.0303,0.231999,0.0764521,-0.0410604,-0.155779,9.53563,0.427126,3.46106,0.098832,-0.111399,-0.089886,0.0,0.0,0.0,0.0,0.0,0.0,4.64382,4.40605,7.51213,0.032566,-0.00426005,0.00760785
0.012,-0.693875,-9.89672,-0.737608,-0.00623083,-0.153483,0.0535975,0.899022,9.95323,-0.556284,0.0206332,-0.534844,0.0299908,5.43398,-2.57506,8.06924,0.063214,0.088442,-0.0554008,-1.14014,10.0156,0.263555,0.0770062,-0.0411099,-0.156112,9.53395,0.434069,3.47087,0.0972877,-0.112837,-0.0908445,0.0,0.0,0.0,0.0,0.0,0.0,4.63516,4.41205,7.52845,0.033257,-0.00436537,0.00648204
0.013,-0.701629,-9.88921,-0.747045,-0.00971626,-0.155074,0.0525911,0.93487,9.93139,-0.625776,0.0178763,-0.533543,0.0293969,5.474,-2.68208,8.04922,0.0482329,0.083344,-0.0496098,-1.23674,10.0008,0.295111,0.0775603,-0.0411593,-0.156444,9.53228,0.441012,3.48069,0.0957435,-0.114274,-0.091803,0.0,0.0,0.0,0.0,0.0,0.0,4.6265,4.41806,7.54477,0.0339479,-0.00447069,0.00535623
0.014,-0.690752,-9.88275,-0.7636,-0.0138953,-0.156352,0.050784,0.968364,9.91522,-0.676949,0.019521,-0.525145,0.0268277,5.49042,-2.74645,8.03403,0.0377058,0.0796634,-0.0434787,-1.33079,9.9925,0.309232,0.0773667,-0.0414482,-0.157059,9.5306,0.447955,3.49051,0.0941992,-0.115712,-0.0927615,0.0,0.0,0.0,0.0,0.0,0.0,4.60678,4.42281,7.55018,0.0352335,-0.00460158,0.00518632
0.015,-0.67056,-9.87682,-0.783714,-0.0184213,-0.157473,0.0485764,1.00068,9.90188,-0.718962,0.0233666,-0.5132,0.0232708,5.49505,-2.7895,8.02124,0.0294057,0.0766915,-0.0371775,-1.42355,9.9874,0.314635,0.0767991,-0.0418569,-0.157816,9.52892,0.454898,3.50032,0.092655,-0.11715,-0.09372,0.0,0.0,0.0,0.0,0.0,0.0,4.58153,4.42694,7.55015,0.0368165,-0.00474525,0.00549437
0.016,-0.650369,-9.87089,-0.803828,-0.0229472,-0.158594,0.0463688,1.033,9.88854,-0.760975,0.0272122,-0.501254,0.019714,5.49968,-2.83255,8.00844,0.0211056,0.0737196,-0.0308764,-1.51631,9.9823,0.320038,0.0762316,-0.0422657,-0.158573,9.51935,0.444364,3.48763,0.0934005,-0.118854,-0.092016,0.0,0.0,0.0,0.0,0.0,0.0,4.55628,4.43106,7.55011,0.0383994,-0.00488891,0.00580241
0.017,-0.630177,-9.86496,-0.823942,-0.0274731,-0.159716,0.0441612,1.06532,9.87521,-0.802989,0.0310578,-0.489308,0.0161571,5.50431,-2.8756,7.99565,0.0128055,0.0707477,-0.0245753,-1.60908,9.9772,0.325442,0.0756641,-0.0426744,-0.15933,9.50977,0.433829,3.47494,0.094146,-0.120558,-0.090312,0.0,0.0,0.0,0.0,0.0,0.0,4.53103,4.43519,7.55007,0.0399824,-0.00503258,0.00611046
0.018,-0.609736,-9.86237,-0.844849,-0.0325612,-0.160331,0.0416064,1.09218,9.86237,-0.842232,0.0345128,-0.476809,0.0124755,5.50679,-2.91058,7.98228,0.0050355,0.0686494,-0.0189069,-1.68551,9.97233,0.343421,0.0743373,-0.0433666,-0.15975,9.50019,0.423295,3.46226,0.0948915,-0.122262,-0.088608,0.0,0.0,0.0,0.0,0.0,0.0,4.51389,4.43898,7.54783,0.0415293,-0.00541383,0.00638862
0.019,-0.588418,-9.87148,-0.868529,-0.0396172,-0.159173,0.0378367,1.09996,9.85127,-0.871779,0.0366009,-0.462375,0.00835767,5.50176,-2.91734,7.96688,-0.000879375,0.0696087,-0.0154527,-1.70479,9.96825,0.405417,0.0703529,-0.0450512,-0.158994,9.49062,0.41276,3.44957,0.095637,-0.123966,-0.086904,0.0,0.0,0.0,0.0,0.0,0.0,4.52509,4.44163,7.53786,0.0429498,-0.0066266,0.00656218
0.02,-0.567101,-9.88059,-0.89221,-0.0466731,-0.158016,0.034067,1.10773,9.84018,-0.901327,0.0386889,-0.447941,0.00423982,5.49673,-2.92409,7.95148,-0.00679425,0.070568,-0.0119986,-1.72407,9.96417,0.467413,0.0663686,-0.0467358,-0.158237,9.48104,0.402226,3.43688,0.0963825,-0.12567,-0.0852,0.0,0.0,0.0,0.0,0.0,0.0,4.5363,4.44428,7.52789,0.0443703,-0.00783938,0.00673575
0.021,-0.545784,-9.8897,-0.915891,-0.053729,-0.156858,0.0302973,1.1155,9.82908,-0.930875,0.040777,-0.433507,0.000121962,5.4917,-2.93085,7.93608,-0.0127091,0.0715273,-0.00854441,-1.74335,9.96008,0.529409,0.0623842,-0.0484203,-0.157481,9.47146,0.391691,3.42419,0.097128,-0.127374,-0.083496,0.0,0.0,0.0,0.0,0.0,0.0,4.54751,4.44692,7.51792,0.0457909,-0.00905216,0.00690931
0.022,-0.524467,-9.89881,-0.939571,-0.060785,-0.155701,0.0265276,1.12328,9.81799,-0.960422,0.0428651,-0.419073,-0.00399589,5.48667,-2.9376,7.92068,-0.018624,0.0724866,-0.00509026,-1.76264,9.956,0.591405,0.0583998,-0.0501049,-0.156724,9.46189,0.381157,3.4115,0.0978735,-0.129078,-0.081792,0.0,0.0,0.0,0.0,0.0,0.0,4.55872,4.44957,7.50795,0.0472114,-0.0102649,0.00708288
