Time,RTibialisAnterior,RSoleus,RBicepsFemoris,RGastrocnemiusMedialis,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0.043,0.0583112,0.0166296,0.0567181,0.0505661,0.0508243,0.0710037,0.0564352,0.0422446,0.0400217,0.0223074,0.0624225,0.0658359,0.0459601,0.0410715,0.0541956,0.0526624
0.044,0.0934064,0.0270056,0.058244,0.0508713,0.0425845,0.0618485,0.0738303,0.0355307,0.0595529,0.0143729,0.0828693,0.0499667,0.0245978,0.0615182,0.0615198,0.0581555
0.045,0.0564801,0.0712561,0.0573285,0.0536179,0.0605899,0.0734451,0.0561301,0.0462119,0.0229318,0.037261,0.0612018,0.0624789,0.0484015,0.0401559,0.0322229,0.0529675
0.046,0.0638043,0.0324988,0.0594647,0.0615524,0.0532657,0.0493362,0.049111,0.0694052,0.0711496,0.0485526,0.0721881,0.0542392,0.0523688,0.0551096,0.0715906,0.0605969
0.047,0.0577008,0.0898718,0.0677045,0.0734543,0.041669,0.0572708,0.0445334,0.0477377,0.0452097,0.037261,0.0624225,0.0414218,0.0606085,0.0505319,0.0624353,0.0486951
0.048,0.0604474,0.0865149,0.0417645,0.0337814,0.0547916,0.0685623,0.054299,0.0761191,0.0507028,0.0635062,0.0682208,0.0383701,0.0557257,0.0569406,0.0554163,0.0584607
0.049,0.0628888,0.0990271,0.0524457,0.0426315,0.0407535,0.0533035,0.0185934,0.0507895,0.0491769,0.0833426,0.0596759,0.0383701,0.064881,0.0676218,0.0746423,0.0477795
0.05,0.101951,0.0978064,0.0597699,0.0639938,0.0465518,0.062764,0.0570456,0.0538412,0.0400217,0.0751028,0.0746295,0.0514926,0.0749518,0.0584665,0.0487024,0.0401501
0.051,0.0451886,0.0755286,0.047868,0.0670456,0.0502139,0.0505569,-0.00704132,0.0486533,0.068403,0.0555716,0.0679156,0.0505771,0.0715948,0.0706735,0.0627405,0.0505261
0.052,0.0500714,0.0324988,0.0735028,0.0749802,0.0459415,0.0526932,0.0616232,0.0636069,0.0281198,0.0607596,0.0450275,0.0646152,0.0477911,0.047175,0.0364954,0.0551038
0.053,0.0747906,0.00533813,0.0579388,0.0392746,0.0419742,0.0542191,0.0466696,0.0507895,0.038801,0.0747977,0.0666949,0.0456943,0.0838019,0.0633493,0.0563318,0.0529675
0.054,0.0604474,-0.0218225,0.0551923,0.074675,0.0499088,0.0533035,0.0610129,0.018746,0.0616891,0.0656424,0.0670001,0.0673618,0.0255133,0.0502267,0.048092,0.0703625
0.055,0.0448834,0.0187659,0.0640424,0.0615524,0.062421,0.0630691,0.0607077,0.0468222,0.0693185,0.0955496,0.0740192,0.0762119,0.054505,0.0532785,0.0471765,0.0700574
0.056,0.0479352,0.0318884,0.0597699,0.0618576,0.0560123,0.0621536,0.0427023,0.0623862,0.0864084,0.0827322,0.0605914,0.069498,0.0529791,0.0474802,0.0502283,0.0636487
0.057,0.0522076,0.0529456,0.0735028,0.0560593,0.0511295,0.0685623,0.0283591,0.0501791,0.0705392,0.0595389,0.0804279,0.0438632,0.0581671,0.0532785,0.046261,0.0782971
0.058,0.0564801,0.0761389,0.0341351,0.0398849,0.0431949,0.0603226,0.0445334,0.0340048,0.0690134,0.0393973,0.0608966,0.0429477,0.052674,0.0679269,0.0468713,0.0773816
0.059,0.0708234,0.0834631,0.053056,0.062468,0.0581485,0.097554,0.0515524,0.0419394,0.0699289,0.0110159,0.0550983,0.0441684,0.0426032,0.0670114,0.0520593,0.0486951
