Time,EMGs.RTibialisA,EMGs.2,EMGs.3,EMGs.4,EMGs.5,EMGs.6,EMGs.7,EMGs.8,EMGs.9,EMGs.10,EMGs.11,EMGs.12,EMGs.13,EMGs.14,EMGs.15,EMGs.16
0.044,0.0522076,0.0434851,0.0768597,0.0527023,0.0706607,0.0612381,0.0759665,0.062081,0.0687082,0.0369559,0.0596759,0.0514926,0.0450446,0.0502267,0.0392419,0.052052
0.045,0.0470197,0.0556921,0.0524457,0.069487,0.0566226,0.0688675,0.0640646,0.0629965,0.0534494,0.0387869,0.0569293,0.0582065,0.075257,0.0544992,0.0529749,0.0425916
0.046,0.0589215,0.0407385,0.0402386,0.0322556,0.0535709,0.0548294,0.076882,0.0562827,0.0680978,0.0537405,0.0520465,0.0594272,0.0563361,0.0438181,0.0865442,0.0605969
0.047,0.0677716,0.0291418,0.0649579,0.0743698,0.0578433,0.052388,0.0689474,0.0532309,0.0656564,0.0552664,0.0743243,0.0374545,0.0740363,0.0468698,0.0538904,0.0395398
0.048,0.0515973,0.0239539,0.0551923,0.0731491,0.057233,0.0710037,0.0378195,0.0660483,0.0555856,0.0430594,0.0483844,0.0447787,0.0584723,0.0584665,0.0197107,0.0526624
0.049,0.0747906,-0.0196863,0.0521405,0.036528,0.0383121,0.0472,0.0677267,0.0614706,0.0674875,0.0226126,0.0419757,0.0533237,0.0725104,0.0459543,0.0477869,0.0419812
0.05,0.0558698,0.0251746,0.0402386,0.0353073,0.0648624,0.080159,0.0521628,0.0608603,0.0421579,0.0732718,0.0642535,0.0493564,0.0484015,0.0563303,0.0654871,0.0587659
0.051,0.0604474,0.0331091,0.0606854,0.0273727,0.0630313,0.0652054,0.0561301,0.0495688,0.0586374,0.0516043,0.0663898,0.0151767,0.0426032,0.0480905,0.0691492,0.052052
0.052,0.0619733,0.0465369,0.0548871,0.00845184,0.0612003,0.0526932,0.0668112,0.0282065,0.0491769,0.0400076,0.0554034,0.0414218,0.0453497,0.0425973,0.0291711,0.0465588
0.053,0.0454938,0.0312781,0.0319989,0.0545334,0.0608951,0.0606277,0.0674216,0.0681845,0.0659616,0.0747977,0.068526,0.0463046,0.0685431,0.0493112,0.0490076,0.0569348
0.054,0.0656354,0.0752234,0.0561078,0.0603317,0.0663882,0.064595,0.0430075,0.0571982,0.0677927,0.0616751,0.0688312,0.059122,0.0514532,0.0688425,0.0743372,0.05724
0.055,0.0622784,0.0730872,0.0588544,0.0877975,0.0779849,0.0777176,0.0478903,0.046517,0.0607736,0.0659476,0.0670001,0.0383701,0.0499274,0.0560251,0.0630457,0.0535779
0.056,0.0668561,0.057218,0.058244,0.0932907,0.0270206,0.067952,0.0451437,0.0578085,0.0513132,0.0570975,0.0627277,0.0389804,0.0731207,0.0679269,0.0572473,0.0493054
0.057,0.0616681,0.0379919,0.0673993,0.074675,0.0782901,0.0786331,0.0591818,0.0678793,0.0653513,0.0613699,0.0554034,0.053934,0.0722052,0.062739,0.0764734,0.0639539
0.058,0.0525128,0.0440955,0.047868,0.0618576,0.0593692,0.0764969,0.0549094,0.0532309,0.0616891,0.0555716,0.0651691,0.0374545,0.0447394,0.052363,0.0630457,0.0660901
0.059,0.0549542,0.0340247,0.0216229,0.0270676,0.0700504,0.0774124,0.043923,0.0227133,0.0622995,0.0604544,0.0792072,0.019144,0.0413824,0.0554147,0.0563318,0.0325208
0.06,0.0735699,0.0212073,0.0625165,0.0560593,0.0575381,0.0578812,0.0610129,0.0715414,0.0616891,0.0793753,0.0517413,0.0548496,0.0438239,0.036799,0.0364954,0.0462537
0.061,0.0656354,0.0453162,0.0500043,0.0633835,0.0621158,0.0630691,0.0939719,0.0501791,0.0424631,0.0662527,0.0505206,0.0380649,0.0377203,0.034968,0.0499231,0.0462537
0.062,0.0522076,0.0309729,0.0622113,0.0154709,0.0547916,0.0710037,0.0875632,0.0266806,0.0235422,0.0659476,0.0724933,0.0496616,0.0392462,0.0462595,0.0761682,0.0538831
0.063,0.0583112,0.0321936,0.0426801,0.0530075,0.0657779,0.0972488,0.076882,0.0492636,0.0488718,0.0967703,0.0593707,0.0542392,0.0453497,0.059382,0.0660974,0.0407605
0.064,0.0808942,0.0386023,0.0622113,0.0401901,0.0837833,0.0655106,0.0607077,0.0462119,0.0455148,0.0796805,0.040755,0.0405063,0.0673224,0.059382,0.048092,0.0462537
0.065,0.0519025,0.0715613,0.0368817,0.0594162,0.0544864,0.0414017,0.0692526,0.0489584,0.0677927,0.0863943,0.0547931,0.0405063,0.0453497,0.0319162,0.056637,0.0609021
0.066,0.0638043,0.0440955,0.0442059,0.0792526,0.0450259,0.0700882,0.0390402,0.0449912,0.0595529,0.0888358,0.0758502,0.0618686,0.0587775,0.0731149,0.0718957,0.0435071
0.067,0.0659406,0.0483679,0.0649579,0.0762009,0.0682193,0.062764,0.0579611,0.072457,0.0534494,0.11386,0.0471637,0.0682773,0.0496222,0.0487009,0.0624353,0.0441174
0.068,0.0488507,0.0532507,0.0509198,0.0142502,0.0602847,0.07314,0.0414816,0.0611655,0.061384,0.0973807,0.0474689,0.079874,0.0664069,0.0529733,0.0346643,0.036488
0.069,0.0219952,0.022428,0.0652631,0.0594162,0.0557071,0.0600174,0.0155417,0.0721518,0.0821359,0.0970755,0.0599811,0.0688876,0.0670172,0.0480905,0.061825,0.0456433
0.07,0.0570905,0.0614905,0.0805219,0.0554489,0.0496036,0.0465897,-0.00459991,0.0755087,0.0729806,0.0693045,0.0547931,0.0630893,0.0468756,0.0557199,0.0676233,0.0496106
0.071,0.0830304,0.0578284,0.0262006,0.0481247,0.057233,0.0432327,0.02134,0.051705,0.0540598,0.0451956,0.0447223,0.0667514,0.0523688,0.0337473,0.0477869,0.0432019
0.072,0.0586163,0.0154089,0.0527509,0.0353073,0.0612003,0.0444534,0.0210349,0.0562827,0.0351389,0.0293265,0.061507,0.0579013,0.0575568,0.0636545,0.0572473,0.0483899
