Time,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z
s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s
0.01,9.37998,1.81371,1.99582,-0.164142,0.0403193,0.021485,0.338775,-9.9905,-0.586761,-0.0618488,0.0356186,0.0199053,-1.83907,9.62699,-0.709862,-0.00327018,-0.00113386,0.00521321,4.9484,-2.27289,8.15993,-0.00677067,0.00288608,-0.0103634,-2.37327,9.68078,-1.39213,0.0104093,-0.03405,-0.009066,4.11989,1.08732,9.14633,-0.00769106,-0.0225263,-0.00504279,-1.41672,-9.98611,-0.589815,-0.0376987,0.0901628,0.0296228
0.011,9.37666,1.81412,1.99527,-0.163754,0.0393985,0.0214167,0.335808,-9.98535,-0.584477,-0.0616997,0.0351594,0.0198725,-1.83752,9.62335,-0.709359,-0.00345638,-0.000907361,0.00528849,4.94713,-2.27221,8.15448,-0.00675641,0.00272664,-0.0104136,-2.3746,9.67277,-1.39138,0.0103999,-0.0331349,-0.00897538,4.12012,1.08869,9.13912,-0.00769921,-0.0225429,-0.00497959,-1.42129,-9.98279,-0.591155,-0.0377195,0.0890977,0.0294453
0.012,9.37376,1.8144,1.99485,-0.163398,0.0384631,0.0213795,0.332984,-9.98044,-0.582335,-0.061548,0.0346974,0.0198415,-1.83603,9.61998,-0.70886,-0.00363285,-0.000682612,0.00535061,4.9457,-2.27155,8.14924,-0.0067418,0.00256049,-0.0104674,-2.37611,9.66499,-1.39075,0.0103835,-0.0322458,-0.00886934,4.1205,1.08991,9.13224,-0.00769101,-0.022571,-0.00492213,-1.42584,-9.97963,-0.592538,-0.0377302,0.0880018,0.0292756
0.013,9.37128,1.81456,1.99456,-0.163074,0.0375149,0.021376,0.330337,-9.97574,-0.580307,-0.0613909,0.0342346,0.0198108,-1.83462,9.61685,-0.708369,-0.00379833,-0.00045908,0.00540062,4.94417,-2.27102,8.14422,-0.00672946,0.00238263,-0.0105318,-2.3778,9.6574,-1.39023,0.0103615,-0.0313834,-0.00874587,4.121,1.09095,9.12567,-0.00766659,-0.0226138,-0.00486489,-1.4304,-9.97659,-0.594006,-0.0377353,0.0868797,0.0291123
0.014,9.36918,1.81458,1.99437,-0.162782,0.0365556,0.0214089,0.327896,-9.9712,-0.578366,-0.0612269,0.0337726,0.0197793,-1.83334,9.61394,-0.707889,-0.00395208,-0.000236381,0.0054397,4.94263,-2.27067,8.13943,-0.00672176,0.00218887,-0.0106122,-2.37969,9.64996,-1.38976,0.0103352,-0.0305475,-0.00860404,4.12161,1.09176,9.11942,-0.00762678,-0.0226726,-0.00480331,-1.43499,-9.9736,-0.595583,-0.0377386,0.0857368,0.0289543
0.015,9.36744,1.81451,1.99427,-0.162522,0.0355868,0.0214805,0.325675,-9.9668,-0.576498,-0.0610571,0.033313,0.019746,-1.83218,9.61121,-0.707413,-0.00409463,-1.44881e-005,0.00546932,4.94114,-2.27051,8.13483,-0.00672059,0.0019771,-0.0107091,-2.38176,9.64264,-1.38933,0.0103053,-0.0297362,-0.00844571,4.1223,1.09232,9.11352,-0.00757426,-0.0227444,-0.00473517,-1.43962,-9.97065,-0.597259,-0.0377422,0.0845793,0.0288006
0.016,9.36603,1.81437,1.99425,-0.162292,0.0346106,0.0215925,0.323681,-9.96254,-0.574694,-0.0608846,0.0328569,0.0197107,-1.83115,9.60865,-0.70693,-0.00422753,0.000206331,0.00549119,4.93978,-2.27049,8.13041,-0.00672742,0.00174684,-0.0108194,-2.38398,9.63544,-1.3889,0.0102718,-0.028946,-0.00827499,4.12301,1.09262,9.10797,-0.00751321,-0.0228226,-0.00466014,-1.44426,-9.96772,-0.598992,-0.0377472,0.0834148,0.0286506
0.017,9.36491,1.8142,1.99428,-0.162091,0.0336287,0.0217469,0.321917,-9.95842,-0.572947,-0.060713,0.0324054,0.019673,-1.83024,9.60621,-0.706424,-0.00435255,0.000425737,0.00550708,4.93861,-2.27053,8.12612,-0.00674362,0.00149798,-0.0109391,-2.38632,9.62838,-1.38846,0.010235,-0.0281729,-0.00809653,4.12369,1.09264,9.10282,-0.00744815,-0.0228998,-0.00457836,-1.44889,-9.9648,-0.600732,-0.0377542,0.0822508,0.0285038
0.018,9.36405,1.81404,1.99435,-0.161916,0.0326432,0.0219455,0.320385,-9.95443,-0.571254,-0.0605457,0.0319595,0.0196325,-1.82944,9.60388,-0.705885,-0.00447149,0.000643235,0.00551864,4.93771,-2.27059,8.12192,-0.00677033,0.00123077,-0.0110642,-2.38874,9.62145,-1.38798,0.0101946,-0.0274135,-0.00791504,4.12431,1.09239,9.09808,-0.00738347,-0.0229692,-0.00449009,-1.45348,-9.96187,-0.602434,-0.0377637,0.0810945,0.0283598
0.019,9.36342,1.81391,1.99447,-0.161767,0.0316567,0.0221894,0.319075,-9.95057,-0.569614,-0.0603847,0.0315195,0.0195892,-1.82874,9.60163,-0.705319,-0.00458629,0.000857492,0.00552695,4.93712,-2.2706,8.11779,-0.00680737,0.000947584,-0.0111909,-2.39123,9.61466,-1.38744,0.0101503,-0.0266645,-0.00773581,4.12485,1.09186,9.09375,-0.0073228,-0.023027,-0.00439645,-1.45801,-9.95895,-0.604068,-0.0377759,0.0799518,0.0282189
