Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0,8.92925,-1.11847,4.39086,-0.0820434,0.0162364,0.48505,0.234352,-10.0812,-1.92066,-0.0041805,-0.166643,0.185577,-4.40817,8.66856,0.864653,0.331353,0.642089,2.66511,8.66583,-1.48723,5.5755,-0.0276115,3.67309,1.78549,-2.54121,9.36832,0.329444,0.444615,0.690012,0.500827,4.92361,2.1027,8.98319,0.0287917,-0.0137284,0.040796,-1.56115,-10.2962,-1.38857,-0.0607488,-0.40568,0.162189
0.001,8.91626,-1.11945,4.38353,-0.0794088,0.014227,0.4827,0.235671,-10.0682,-1.9202,-0.00415677,-0.16673,0.184913,-4.43123,8.671,0.867183,0.330904,0.635687,2.66458,8.67573,-1.45765,5.56696,-0.0265526,3.66565,1.77497,-2.53684,9.35802,0.338514,0.4453,0.684649,0.496277,4.91526,2.10081,8.97178,0.0288014,-0.0136333,0.0407804,-1.55028,-10.2831,-1.38553,-0.0604773,-0.404693,0.161954
0.002,8.9035,-1.12056,4.37626,-0.0766894,0.0121606,0.480302,0.237058,-10.0555,-1.91985,-0.00413111,-0.166829,0.184243,-4.45545,8.67417,0.869905,0.330464,0.629097,2.66422,8.68673,-1.42726,5.55856,-0.0254953,3.65823,1.7642,-2.53248,9.34805,0.347818,0.446051,0.679134,0.491605,4.90703,2.09901,8.96067,0.0288134,-0.013535,0.0407674,-1.53914,-10.2703,-1.38253,-0.0602008,-0.403694,0.161725
0.003,8.89098,-1.12181,4.36905,-0.0738874,0.0100418,0.477858,0.238514,-10.0431,-1.91962,-0.00410315,-0.166939,0.183569,-4.4808,8.67806,0.872824,0.330035,0.622317,2.66403,8.69884,-1.3961,5.5503,-0.02445,3.65084,1.7532,-2.52809,9.33839,0.35732,0.446871,0.673465,0.486814,4.89893,2.09731,8.94986,0.0288276,-0.0134334,0.0407571,-1.52777,-10.2578,-1.37959,-0.0599195,-0.402681,0.161501
0.004,8.87869,-1.12321,4.3619,-0.0710049,0.00787545,0.475366,0.240036,-10.0311,-1.91949,-0.00407251,-0.167057,0.182892,-4.50726,8.68265,0.875945,0.329616,0.615348,2.66399,8.71206,-1.36422,5.54217,-0.0234272,3.64347,1.74197,-2.52368,9.32903,0.366983,0.447761,0.667641,0.481905,4.89094,2.0957,8.93935,0.0288439,-0.0133284,0.0407494,-1.51615,-10.2457,-1.37672,-0.0596334,-0.401652,0.161283
0.005,8.86663,-1.12475,4.3548,-0.0680441,0.00566663,0.472827,0.241624,-10.0194,-1.91947,-0.00403881,-0.167184,0.182213,-4.53481,8.68791,0.879273,0.329206,0.60819,2.6641,8.72641,-1.33169,5.53418,-0.0224368,3.63613,1.7305,-2.51923,9.31996,0.37677,0.44872,0.66166,0.476881,4.88309,2.09418,8.92913,0.028862,-0.0132198,0.0407443,-1.5043,-10.2339,-1.37392,-0.0593426,-0.400606,0.161071
0.006,8.8548,-1.12643,4.34775,-0.0650072,0.00342033,0.470242,0.243275,-10.0081,-1.91954,-0.00400166,-0.167316,0.181534,-4.56341,8.69382,0.882814,0.328806,0.600844,2.66435,8.74187,-1.29857,5.52632,-0.0214883,3.6288,1.71881,-2.51472,9.31116,0.386645,0.449752,0.65552,0.471745,4.87537,2.09274,8.9192,0.028882,-0.0131075,0.0407417,-1.49223,-10.2224,-1.37121,-0.059047,-0.399538,0.160865
0.007,8.84319,-1.12825,4.34074,-0.0618962,0.00114163,0.46761,0.244987,-9.99702,-1.91971,-0.00396069,-0.167454,0.180855,-4.59303,8.70037,0.886568,0.328416,0.59331,2.66473,8.75844,-1.2649,5.51859,-0.0205908,3.62151,1.70689,-2.51014,9.30261,0.396572,0.450856,0.64922,0.4665,4.86778,2.09139,8.90956,0.0289036,-0.0129915,0.0407417,-1.47995,-10.2113,-1.36859,-0.0587466,-0.398449,0.160665
0.008,8.83181,-1.13023,4.33377,-0.0587131,-0.00116436,0.464932,0.246756,-9.98628,-1.91996,-0.00391548,-0.167595,0.180177,-4.62365,8.70752,0.89054,0.328035,0.58559,2.66523,8.77614,-1.23077,5.51099,-0.0197525,3.61423,1.69475,-2.50549,9.2943,0.406514,0.452034,0.642758,0.461148,4.86033,2.09012,8.9002,0.0289267,-0.0128717,0.0407441,-1.46746,-10.2005,-1.36607,-0.0584415,-0.397335,0.160472
0.009,8.82065,-1.13235,4.32683,-0.0554598,-0.0034925,0.462207,0.24858,-9.97585,-1.92029,-0.00386564,-0.167738,0.179502,-4.65524,8.71527,0.894729,0.327663,0.577684,2.66584,8.79496,-1.19625,5.50353,-0.0189808,3.60698,1.6824,-2.50074,9.28622,0.416438,0.453287,0.636133,0.455693,4.85303,2.08892,8.89111,0.028951,-0.0127482,0.040749,-1.45478,-10.19,-1.36367,-0.0581315,-0.396196,0.160285
0.01,8.80972,-1.13462,4.31992,-0.0521382,-0.00583765,0.459436,0.250454,-9.96572,-1.9207,-0.00381074,-0.167883,0.17883,-4.68776,8.72358,0.899136,0.327301,0.569595,2.66656,8.81489,-1.1614,5.49619,-0.0182825,3.59975,1.66982,-2.49589,9.27834,0.42631,0.454615,0.629344,0.450138,4.84586,2.08781,8.8823,0.0289764,-0.0126209,0.0407562,-1.44192,-10.1798,-1.36137,-0.0578166,-0.395028,0.160105
0.011,8.799,-1.13704,4.31303,-0.0487501,-0.0081947,0.456617,0.252374,-9.95589,-1.92119,-0.00375035,-0.168028,0.178163,-4.72117,8.73245,0.90376,0.326948,0.561325,2.66738,8.83594,-1.1263,5.48897,-0.0176633,3.59255,1.65703,-2.49094,9.27066,0.436096,0.45602,0.622389,0.444485,4.83884,2.08677,8.87375,0.0290025,-0.0124898,0.0407658,-1.42889,-10.17,-1.35919,-0.0574967,-0.393831,0.159932
0.012,8.78851,-1.1396,4.30617,-0.045297,-0.0105586,0.453752,0.254338,-9.94635,-1.92176,-0.00368403,-0.168171,0.177501,-4.75544,8.74184,0.908599,0.326604,0.552876,2.66828,8.8581,-1.09103,5.48188,-0.0171282,3.58537,1.64404,-2.48586,9.26317,0.445763,0.457501,0.615267,0.43874,4.83195,2.0858,8.86547,0.0290292,-0.0123551,0.0407775,-1.41569,-10.1604,-1.35713,-0.0571718,-0.392602,0.159766
0.013,8.77824,-1.14232,4.29934,-0.0417806,-0.0129242,0.450841,0.256339,-9.93711,-1.92239,-0.00361131,-0.168313,0.176845,-4.79053,8.75175,0.913651,0.32627,0.54425,2.66926,8.88137,-1.05567,5.47492,-0.0166812,3.57821,1.63083,-2.48065,9.25584,0.45528,0.45906,0.607978,0.432904,4.8252,2.0849,8.85743,0.029056,-0.0122167,0.0407913,-1.40234,-10.1511,-1.3552,-0.0568418,-0.391341,0.159606
