Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0.01,9.12224,0.982125,3.39327,0.0459752,-0.0330781,0.0315121,-0.831011,-9.85468,-1.29031,0.0253034,-0.0145081,0.0480583,-1.60849,9.61253,-0.478035,0.029427,-0.0146938,-0.021321,5.14831,-1.33783,8.17779,-0.0196406,0.00902765,-0.016768,1.41044,9.97903,-1.22598,-0.0952806,-0.664978,-0.255094,4.67792,1.87965,8.73355,-0.0289149,-0.0103584,0.0588932,-2.55639,-9.78502,-0.42363,0.0297145,-0.141662,0.105102
0.011,9.13637,0.991427,3.39361,0.0457232,-0.0364188,0.0326566,-0.828385,-9.85101,-1.29024,0.0241579,-0.0157278,0.0478154,-1.61113,9.60552,-0.492758,0.0291574,-0.0150098,-0.0224723,5.14831,-1.34817,8.17191,-0.0179673,0.00986703,-0.0182497,1.37725,9.96422,-1.25381,-0.0973581,-0.659023,-0.255114,4.6771,1.87726,8.72928,-0.0285174,-0.0102152,0.0587835,-2.55601,-9.78228,-0.420669,0.0291842,-0.14279,0.104184
0.012,9.1507,1.00062,3.39366,0.0455016,-0.0398214,0.0337794,-0.825782,-9.84758,-1.29033,0.0230068,-0.0169456,0.0475754,-1.61355,9.59867,-0.50743,0.0288745,-0.0152739,-0.0236274,5.1481,-1.35821,8.1665,-0.0162533,0.0107285,-0.0197778,1.34411,9.94967,-1.28117,-0.0991912,-0.652605,-0.255144,4.67631,1.8751,8.7253,-0.0281125,-0.0100861,0.0586897,-2.55543,-9.77985,-0.41762,0.0286559,-0.143939,0.103254
0.013,9.16518,1.00966,3.39336,0.0453122,-0.043281,0.0348773,-0.823223,-9.84436,-1.2906,0.0218526,-0.0181608,0.0473398,-1.6158,9.5919,-0.521944,0.0285799,-0.0154862,-0.0247863,5.14764,-1.3679,8.16159,-0.0145012,0.011608,-0.0213529,1.31116,9.93546,-1.30795,-0.100778,-0.645712,-0.255168,4.67558,1.87319,8.72161,-0.0277009,-0.00996997,0.0586148,-2.55465,-9.77772,-0.414458,0.0281323,-0.145101,0.102309
0.014,9.17973,1.01852,3.39268,0.0451568,-0.0467921,0.0359465,-0.820715,-9.84134,-1.29104,0.0206973,-0.0193717,0.0471098,-1.61792,9.58514,-0.536199,0.0282742,-0.0156463,-0.0259489,5.1469,-1.37721,8.15719,-0.0127132,0.0125019,-0.0229755,1.27855,9.92167,-1.33409,-0.102115,-0.63833,-0.255172,4.67489,1.87153,8.7182,-0.0272828,-0.00986563,0.0585608,-2.55368,-9.77587,-0.411162,0.0276164,-0.146272,0.10135
0.015,9.19429,1.0272,3.39162,0.0450382,-0.0503479,0.0369811,-0.818227,-9.83849,-1.29162,0.0195424,-0.0205745,0.0468861,-1.61995,9.5784,-0.550118,0.0279564,-0.0157532,-0.0271154,5.14588,-1.3861,8.1533,-0.0108908,0.0134069,-0.0246447,1.24641,9.90832,-1.35948,-0.103203,-0.630453,-0.255145,4.67425,1.87012,8.71507,-0.0268582,-0.00977151,0.0585276,-2.55252,-9.77427,-0.407721,0.0271113,-0.147448,0.100378
0.016,9.20875,1.03575,3.39019,0.0449603,-0.0539404,0.037974,-0.815698,-9.83578,-1.2923,0.0183887,-0.0217635,0.0466691,-1.62194,9.5717,-0.563637,0.0276242,-0.015805,-0.0282858,5.14461,-1.39455,8.14989,-0.00903422,0.0143199,-0.0263585,1.21485,9.89542,-1.38401,-0.104043,-0.622082,-0.255078,4.67365,1.86896,8.7122,-0.0264265,-0.00968579,0.0585131,-2.55116,-9.77287,-0.404134,0.0266204,-0.148626,0.0993964
0.017,9.22303,1.04418,3.38842,0.0449268,-0.0575618,0.0389173,-0.813057,-9.83315,-1.29302,0.0172372,-0.0229325,0.0464594,-1.62393,9.5651,-0.576698,0.0272751,-0.0157998,-0.0294601,5.14311,-1.40254,8.14691,-0.00714385,0.0152381,-0.0281148,1.18399,9.88294,-1.4076,-0.104636,-0.613214,-0.254965,4.67307,1.86805,8.70955,-0.0259871,-0.0096066,0.058515,-2.54962,-9.77164,-0.400402,0.0261472,-0.149806,0.0984083
0.018,9.23704,1.05255,3.38634,0.0449416,-0.0612039,0.0398036,-0.810243,-9.83058,-1.29374,0.0160887,-0.0240757,0.0462574,-1.62598,9.55865,-0.589242,0.0269065,-0.0157356,-0.0306378,5.14142,-1.41007,8.14434,-0.00522002,0.0161589,-0.0299113,1.15393,9.87088,-1.43013,-0.104983,-0.60385,-0.254796,4.6725,1.86738,8.70712,-0.0255395,-0.00953208,0.0585308,-2.5479,-9.77052,-0.396527,0.0256951,-0.150987,0.0974169
0.019,9.25069,1.06088,3.38397,0.0450079,-0.0648596,0.0406272,-0.807224,-9.82804,-1.29441,0.0149443,-0.025189,0.0460645,-1.6281,9.55237,-0.601214,0.0265178,-0.0156115,-0.0318165,5.13957,-1.41711,8.14213,-0.00326411,0.0170803,-0.0317443,1.12476,9.85925,-1.45153,-0.10509,-0.593997,-0.254566,4.67192,1.86695,8.70488,-0.0250839,-0.00946041,0.0585575,-2.546,-9.76949,-0.392517,0.025267,-0.152165,0.096425
