Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0,8.99647,0.684923,2.99033,0.140701,-0.0231724,0.106928,-1.04049,-9.89077,-1.77363,-0.0189844,-0.209269,0.0472658,-1.48634,9.79136,-1.06674,0.00414741,0.0632222,0.0224444,5.14304,-1.19963,8.31064,-0.0872784,-0.043845,0.107889,-0.661365,9.90684,0.181454,0.142153,-0.258204,-0.168454,4.75029,1.95165,8.81179,-0.0078822,-0.00364133,0.134079,-3.13657,-9.72088,-0.544526,-0.109191,-0.499692,-0.019056
0.001,8.9994,0.683774,2.98948,0.141333,-0.0226625,0.106525,-1.03698,-9.88161,-1.7636,-0.0189867,-0.208839,0.0468045,-1.48548,9.78197,-1.06662,0.00427022,0.06284,0.0206832,5.13528,-1.20406,8.30552,-0.0867422,-0.0441106,0.107284,-0.652041,9.89792,0.157222,0.14668,-0.271593,-0.167018,4.74262,1.94068,8.80668,-0.00781441,-0.00378005,0.134212,-3.12944,-9.71281,-0.542172,-0.108914,-0.500146,-0.0190821
0.002,9.00303,0.682764,2.98887,0.141992,-0.0221578,0.106114,-1.03346,-9.87286,-1.75338,-0.0189891,-0.20839,0.0463396,-1.48472,9.77279,-1.06675,0.00438354,0.0624187,0.0188796,5.12784,-1.20876,8.30064,-0.0861876,-0.0443726,0.106651,-0.642146,9.88936,0.13207,0.151268,-0.285303,-0.165529,4.73512,1.92973,8.80193,-0.00774585,-0.00392083,0.134359,-3.12229,-9.70525,-0.5398,-0.108625,-0.500584,-0.0191078
0.003,9.00732,0.681926,2.98852,0.142674,-0.0216644,0.105696,-1.02996,-9.86452,-1.74296,-0.0189914,-0.207916,0.0458736,-1.48406,9.76375,-1.06717,0.00448348,0.0619502,0.0170398,5.12076,-1.21372,8.2959,-0.0856133,-0.0446262,0.105986,-0.631604,9.88116,0.105992,0.155884,-0.299281,-0.163982,4.72783,1.91887,8.79748,-0.00767681,-0.00406275,0.134517,-3.11513,-9.69818,-0.537415,-0.108321,-0.500985,-0.0191325
0.004,9.01222,0.681294,2.98842,0.143378,-0.0211884,0.10527,-1.0265,-9.85656,-1.73237,-0.018993,-0.207412,0.0454094,-1.4835,9.75477,-1.06794,0.0045661,0.0614262,0.0151697,5.11409,-1.21895,8.29125,-0.0850178,-0.0448667,0.105284,-0.620341,9.87326,0.0789817,0.160496,-0.31347,-0.162376,4.72075,1.90819,8.79329,-0.0076076,-0.00420487,0.134687,-3.10796,-9.69162,-0.535026,-0.107998,-0.501328,-0.0191552
0.005,9.01769,0.680898,2.98858,0.1441,-0.0207356,0.104836,-1.02307,-9.84898,-1.7216,-0.0189939,-0.206871,0.044949,-1.48305,9.7458,-1.06908,0.00462866,0.0608399,0.0132748,5.10787,-1.22443,8.28661,-0.0843998,-0.0450903,0.104543,-0.608297,9.86565,0.0510293,0.165072,-0.327817,-0.160705,4.71391,1.89774,8.78932,-0.00753846,-0.00434595,0.134866,-3.10078,-9.68555,-0.532637,-0.107654,-0.501595,-0.0191753
0.006,9.02373,0.680753,2.98898,0.144836,-0.0203107,0.104391,-1.01969,-9.84176,-1.71068,-0.0189947,-0.206292,0.044493,-1.48274,9.73678,-1.07063,0.00467187,0.0601889,0.0113594,5.1021,-1.23016,8.28195,-0.0837585,-0.0452951,0.103757,-0.595465,9.85831,0.0221247,0.169578,-0.342269,-0.158969,4.70734,1.88754,8.78554,-0.00746946,-0.00448393,0.135051,-3.09359,-9.67996,-0.530252,-0.107285,-0.501772,-0.0191918
0.007,9.03032,0.68086,2.9896,0.145579,-0.0199177,0.103932,-1.01635,-9.83488,-1.69961,-0.0189968,-0.205671,0.0440408,-1.48261,9.72766,-1.0726,0.00469964,0.0594744,0.00942704,5.09675,-1.23611,8.27723,-0.0830939,-0.0454816,0.102925,-0.581879,9.85124,-0.00774383,0.173984,-0.356771,-0.157165,4.70106,1.8776,8.78197,-0.00740048,-0.00461596,0.135236,-3.08645,-9.67484,-0.527869,-0.10689,-0.501848,-0.0192037
0.008,9.03746,0.681216,2.9904,0.146322,-0.0195601,0.103455,-1.01304,-9.82831,-1.6884,-0.0190018,-0.205006,0.0435913,-1.48271,9.71841,-1.07498,0.00471682,0.0586989,0.00748051,5.09176,-1.24226,8.27245,-0.0824058,-0.0456506,0.102042,-0.567591,9.84444,-0.0385901,0.178258,-0.371273,-0.155292,4.69512,1.8679,8.77863,-0.00733139,-0.00473895,0.135413,-3.07937,-9.67014,-0.525486,-0.106466,-0.501813,-0.0192101
0.009,9.04514,0.681821,2.99133,0.147058,-0.0192416,0.102957,-1.00976,-9.82204,-1.67709,-0.0190112,-0.204295,0.0431433,-1.4831,9.70897,-1.07779,0.00472825,0.0578649,0.00552269,5.08711,-1.24858,8.26758,-0.0816941,-0.0458031,0.101105,-0.552651,9.8379,-0.0704319,0.182369,-0.385721,-0.153349,4.68954,1.85842,8.77551,-0.00726203,-0.00485002,0.135577,-3.07238,-9.66584,-0.523104,-0.106011,-0.501658,-0.01921
