Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RSemitendinosus,LBicepsFemoris,RRectusFemoris,RVastusLateralis,LGluteusMaximus,LTibialisAnterior,LSoleus,RBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,RGluteusMaximus
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0808942,0.0886511,0.0332196,0.0813889,0.0462466,0.0591019,0.0460593,0.0120322,0.051008,0.0613699,0.0258014,0.111612,0.0538947,0.109126,0.145748,0.0990491
0.021,0.0741803,0.0959753,0.0414594,0.0392746,0.0435001,0.069783,0.0433127,0.0190512,0.0616891,0.0308524,0.0462482,0.100016,0.0657965,0.0807443,0.164059,0.0886731
0.022,0.0863873,0.118253,0.0579388,0.0749802,0.0483829,0.0758865,0.0506369,0.0214926,0.0583322,0.00399689,0.0575397,0.115274,0.0456549,0.0969186,0.168942,0.0856213
0.023,0.0699078,0.0740027,0.0677045,0.0865768,0.041669,0.0533035,0.0271384,0.0336996,0.0647409,0.0558768,0.0660846,0.103678,0.0709845,0.103327,0.187557,0.106373
0.024,0.0552594,0.0721716,0.0817426,0.0563644,0.0477725,0.0746658,0.0527731,0.0361411,0.0394113,-0.0185861,0.0660846,0.113443,0.0429083,0.0764719,0.155514,0.0786023
0.025,0.0515973,0.0575232,0.06862,0.026152,0.0419742,0.057576,0.0356833,0.0306479,0.0528391,0.0122366,0.0853107,0.112223,0.092652,0.0825754,0.134457,0.0856213
0.026,0.0763165,0.0706457,0.0823529,0.0200485,0.0602847,0.052388,0.0756613,0.0419394,0.0482614,0.037261,0.0557086,0.103678,0.0935675,0.0834909,0.0770837,0.0911145
0.027,0.0482404,0.0193762,0.091203,0.0258469,0.0456363,0.0502518,0.059487,0.0483481,0.0500925,0.0485526,0.0502155,0.103678,0.0831915,0.0642648,0.0322229,0.095387
0.028,0.0537335,0.0236487,0.0695355,0.0505661,0.0608951,0.0517776,0.080239,0.0349203,0.0479562,0.065032,0.0654742,0.0997104,0.0477911,0.0569406,-0.0254553,0.0871472
0.029,0.0390851,0.0474524,0.0347455,0.119536,0.0480777,0.042012,0.0762717,0.0605551,0.0519235,0.0711356,0.0560138,0.100016,-0.00561462,0.069758,-0.0355261,0.0782971
0.03,0.0567853,0.0703406,0.0838788,0.0713181,0.0883609,0.0447586,0.0845114,0.0340048,0.0403268,0.00826935,0.0526569,0.0923862,0.0548102,0.0566354,-0.0501746,0.0804333
0.031,0.0503766,0.072782,0.0439008,0.0768112,0.0547916,0.0481155,0.0692526,0.0556723,0.0610788,0.012847,0.0557086,0.0862827,0.0563361,0.074946,-0.0129431,0.0886731
0.032,0.0677716,0.0895666,0.0249799,0.0768112,0.0749332,0.0597122,0.0759665,0.0398032,0.0479562,0.00704865,0.0502155,0.0649204,0.075257,0.0599924,0.0422937,0.0773816
0.033,0.0564801,0.0596594,0.0423749,0.0722336,0.0569278,0.0578812,0.100381,0.0513998,0.058027,0.0757132,0.0679156,0.0740756,0.102418,0.0731149,0.0602991,0.0807385
0.034,0.0686871,0.0407385,0.0362714,0.0792526,0.0737125,0.0591019,0.0732199,0.0217978,0.0369699,0.114165,0.061507,0.0569858,0.144532,0.0612131,0.0587732,0.0490002
0.035,0.063194,0.0285315,0.0280316,0.0621628,0.062421,0.0798538,0.075051,0.0596396,0.0494821,0.0888358,0.012984,0.0383701,0.102112,0.080134,0.05328,0.0724988
0.036,0.0619733,0.0480627,0.0475629,0.0801682,0.0636417,0.0545242,0.0787131,0.0526205,0.0272043,-0.0234689,0.0224445,0.0505771,0.112794,0.0670114,0.0593835,0.0480847
0.037,0.0558698,0.111539,0.0762494,0.10092,0.0593692,0.0813797,0.0774924,0.0654379,0.0717599,0.0418387,0.0825641,0.0463046,0.0453497,0.0783029,0.063656,0.0859265
0.038,0.0793683,0.10452,0.0872357,0.0697922,0.0779849,0.0572708,0.0787131,0.0318686,0.0522287,0.118743,0.0721881,0.0466098,0.019715,0.031611,0.0664026,0.0523572
0.039,0.0775372,0.100553,0.110734,0.0896286,0.0618106,0.0652054,0.110757,0.0617758,0.0650461,0.137054,0.0599811,0.0426425,-0.0291132,0.0709787,0.0648767,0.0612073
0.04,0.0894391,0.0996374,0.123552,0.0609421,0.0651675,0.0365189,0.0518576,0.0532309,0.0378854,0.050994,0.0572345,0.0502719,-0.0837396,0.0618234,0.0541956,0.0523572
