Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RSemitendinosus,LBicepsFemoris,RRectusFemoris,RVastusLateralis,LGluteusMaximus,LTibialisAnterior,LSoleus,RBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,RGluteusMaximus
0.039,0.0522076,0.069425,0.0612958,-0.00589142,0.0660831,0.0771072,0.0964133,0.0492636,0.0574167,0.0317679,0.0602863,0.0719394,0.054505,0.034968,0.0960046,0.0639539
0.04,0.0607526,0.0688147,0.0683148,0.0203537,0.0773746,0.103047,0.127846,0.051705,0.0738962,0.0384817,0.0453326,0.0582065,0.0517584,0.0343576,0.0874597,0.0609021
0.041,0.0564801,0.0480627,0.0704511,0.0200485,0.0731021,0.0929764,0.0903098,0.0523154,0.0604684,-0.0164499,0.0389239,0.0481357,0.0413824,0.0438181,0.0883752,0.0505261
0.042,0.0555646,0.0447058,0.0246747,0.0395798,0.0706607,0.134175,-0.0201639,0.0788657,0.0558908,0.0281058,0.0636432,0.048746,0.0227667,0.0502267,0.0667078,0.0651746
0.043,0.0586163,0.0434851,0.0606854,0.0292038,0.0807315,0.155232,-0.102561,0.0483481,0.0568063,0.0357352,0.0700519,0.0478305,0.0541998,0.0374094,0.0783044,0.0529675
0.044,0.0427472,0.0480627,0.053056,0.0246262,0.0770694,0.153706,-0.096763,0.0834433,0.058027,0.124846,0.0709674,0.0496616,0.0575568,0.0483957,0.0548059,0.0529675
0.045,0.0604474,0.0581335,0.0521405,0.0408005,0.059064,0.087178,-0.0894388,0.0480429,0.0577219,0.0308524,0.0520465,0.0289096,0.0346686,0.0566354,0.0404626,0.0551038
0.046,0.0659406,0.0508093,0.0570233,0.0621628,0.0618106,0.0908401,-0.0955423,0.0819174,0.0363596,0.012847,0.0447223,0.0621738,0.061524,0.0499216,0.0230676,0.0560193
0.047,0.0613629,0.0514197,0.0637372,0.0340866,0.0834781,0.0127151,-0.0158914,0.0526205,0.0516183,-0.0365915,0.0349567,0.0301303,0.0453497,0.052363,0.0581628,0.0538831
0.048,0.0540387,0.0590491,0.0393231,0.0282883,0.0691348,0.0630691,0.0271384,0.0813071,0.030256,-0.0381174,0.0404498,0.0728549,0.0816657,0.0477853,0.0511438,0.0612073
0.049,0.0628888,0.0599646,0.0667889,0.0298141,0.0679141,0.0764969,0.0332419,0.0706259,0.0677927,0.141936,0.0288532,0.0408115,0.0551154,0.0648752,0.0581628,0.0621228
0.05,0.0555646,0.0834631,0.0728925,0.000212097,0.0602847,0.0444534,0.0243918,0.0617758,0.0320871,0.124541,0.052962,0.0737704,0.0563361,0.097529,0.0575525,0.0502209
0.051,0.0671613,0.0645422,0.0545819,0.0594162,0.0563174,0.0487259,0.0222556,0.0547568,0.0641306,0.112029,0.0843951,0.0615634,0.0157477,0.0685373,0.0136072,0.0636487
0.052,0.0561749,0.0599646,0.0628217,0.0420212,0.0608951,0.034993,0.024697,0.0462119,0.0381906,0.0870047,0.0929401,0.0633945,0.0297858,0.0529733,0.0749475,0.0782971
0.053,0.052818,0.0535559,0.0475629,0.0594162,0.0740176,0.0514725,0.0390402,0.0636069,0.0656564,0.0693045,0.0676105,0.0579013,0.0593878,0.054194,0.0908166,0.0660901
0.054,0.0634991,0.0535559,0.0609906,0.0670456,0.0843936,0.0389603,0.0649802,0.016915,0.0290353,0.0589285,0.091109,0.0685825,0.0642706,0.0487009,0.0834924,0.0633435
0.055,0.0583112,0.0663733,0.0432904,0.0667404,0.0578433,0.0536087,0.0732199,0.0736777,0.0449045,-0.0701608,0.0453326,0.0582065,0.0410773,0.0544992,0.0953943,0.0703625
0.056,0.0726544,0.0447058,0.0548871,0.0554489,0.0859195,0.0624588,0.0710837,0.0513998,0.0311716,-0.0393381,0.0560138,0.0780429,0.0432135,0.0590768,0.0670129,0.0688367
0.057,0.0705182,0.05203,0.035661,0.0679611,0.0734073,0.0661209,0.0427023,0.0520102,0.0595529,-0.00759979,0.0764606,0.0588168,0.0590826,0.0389352,0.0578577,0.0569348
0.058,0.0515973,0.0627112,0.0701459,0.0835251,0.0645572,0.097554,0.0756613,0.0764243,0.0592477,-0.125092,0.00688049,0.0658359,0.0297858,0.0422922,0.0224573,0.064259
0.059,0.058006,0.0392126,0.0597699,0.079863,0.0566226,0.0581863,0.0451437,0.0727621,0.0705392,-0.179719,0.0645587,0.0615634,0.0581671,0.0279489,0.0386316,0.052052
0.06,0.0589215,0.0993323,0.0658734,0.0401901,0.0709659,0.0786331,0.0588766,0.0700156,0.0604684,0.186187,0.0413654,0.0542392,0.0328375,0.0410715,0.0383264,0.067616
0.061,0.0583112,0.05203,0.0622113,0.0664352,0.0608951,0.0255325,0.0222556,0.0831381,0.0867136,0.354033,0.0773761,0.046915,0.0551154,0.0621286,0.0483972,0.0648694
0.062,0.0512921,0.0846838,0.0762494,0.0774216,0.0471622,0.0490311,0.0448386,0.077645,0.0610788,0.208465,0.068526,0.0466098,0.049317,0.0667062,0.0438196,0.0764661
0.063,0.0442731,0.0813269,0.0902875,0.0673508,0.0492984,0.0288895,0.0323264,0.0663535,0.0607736,0.146819,0.0770709,0.0350131,0.0291754,0.0340524,0.0722009,0.0630383
0.064,0.0589215,0.0688147,0.0814374,0.101225,0.046857,0.0606277,0.0640646,0.0849692,0.0519235,0.0824271,0.0810382,0.0447787,0.031922,0.0425973,0.0804407,0.0691418
0.065,0.065025,0.0495886,0.0573285,0.111296,0.0422794,0.042012,0.0604025,0.0410239,0.0485666,0.0290213,0.0538776,0.0453891,0.0279547,0.0483957,0.0725061,0.0856213
0.066,0.0601422,0.0614905,0.0689252,0.0881027,0.0334293,0.0493362,0.0689474,0.0559775,0.0854929,0.0479422,0.0718829,0.0722446,0.0477911,0.0465646,0.0563318,0.0691418
0.067,0.0662457,0.0523352,0.0612958,0.116789,0.0380069,0.0609329,0.0375143,0.0669638,0.043989,0.126067,0.0679156,0.0771274,0.0426032,0.0535837,0.0798303,0.067616
0.068,0.0543439,0.0602698,0.0384076,0.0984787,0.0355655,0.0551346,0.0359885,0.0581137,0.0745065,0.138274,0.0630328,0.0789584,0.0374152,0.0429025,0.0956995,0.0755505
0.069,0.0549542,0.0682043,0.0945599,0.124419,0.0419742,0.0328568,0.0466696,0.0691,0.04582,0.0885306,0.0358722,0.0841464,0.0401617,0.054194,0.0764734,0.0755505
0.07,0.0784528,0.0471472,0.0725873,0.107329,0.0453311,0.0410965,0.0649802,0.0700156,0.0687082,0.0796805,0.056319,0.076517,0.0395514,0.0557199,0.0743372,0.0621228
0.071,0.0628888,0.0843787,0.0927289,0.116789,0.053876,0.0499466,0.0616232,0.0452963,0.061384,0.0809012,0.0618121,0.0780429,0.0282599,0.076777,0.0783044,0.069447
0.072,0.0778424,0.0956702,0.0637372,0.10977,0.0422794,0.0395706,0.0637595,0.0761191,0.0809152,0.0601492,0.0550983,0.0777377,0.061524,0.0480905,0.0816614,0.0667004
0.073,0.0592267,0.137479,0.0719769,0.0978683,0.0496036,0.0609329,0.0707785,0.0694052,0.0476511,0.0360403,0.0383136,0.0795688,0.0395514,0.0590768,0.0624353,0.0831799
0.074,0.0741803,0.111234,0.0542767,0.0719284,0.0349551,0.0395706,0.071694,0.0275961,0.051008,0.0210867,0.0502155,0.0652255,0.0484015,0.0459543,0.0776941,0.0834851
