Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RSemitendinosus,LBicepsFemoris,RRectusFemoris,RVastusLateralis,LGluteusMaximus,LTibialisAnterior,LSoleus,RBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,RGluteusMaximus
0.04,0.0775372,0.0596594,0.107377,-0.00253448,0.109723,0.0514725,0.075051,0.0544516,0.0653513,-0.0268259,0.0731036,0.0865878,0.044129,0.0746408,0.0734216,0.0657849
0.041,0.0448834,0.0556921,0.0777753,-0.0300003,0.0834781,0.0603226,0.0713889,0.0492636,0.0650461,-0.0191965,0.0496051,0.0756015,0.0398566,0.0520578,0.0627405,0.062428
0.042,0.0485455,0.0566077,0.0625165,-0.0565506,0.0193912,0.0816849,0.0759665,0.0559775,0.056196,0.0348196,0.0584552,0.0933017,0.0740363,0.0548044,0.0404626,0.0654797
0.043,0.0662457,0.0532507,0.063432,0.00692596,0.031293,0.0612381,0.0719992,0.0684897,0.0601633,0.114165,0.0663898,0.0984897,0.0825812,0.0398508,0.0422937,0.0532727
0.044,0.04763,0.0691199,0.0503094,0.140288,0.0569278,0.0566605,0.0796286,0.0587241,0.0384958,0.11386,0.0456378,0.0969638,0.0557257,0.0606027,0.0477869,0.0529675
0.045,0.0970685,0.0865149,0.0628217,0.111906,0.0636417,0.0511673,0.0662009,0.0657431,0.0619943,0.09616,0.0666949,0.0701083,0.0313116,0.052363,0.0337488,0.059071
0.046,0.0665509,0.0978064,0.0774701,0.0960373,0.0734073,0.0392654,0.071694,0.0529257,0.0745065,0.119048,0.0670001,0.11558,0.0566412,0.0544992,0.0541956,0.052052
0.047,0.0561749,0.108488,0.0719769,0.0862717,0.0721866,0.0606277,0.0552145,0.0611655,0.0507028,0.117522,0.0398395,0.114359,0.0471808,0.0606027,0.0593835,0.0551038
0.048,0.0488507,0.101163,0.0503094,0.0789474,0.0666934,0.0838211,0.0616232,0.0596396,0.051008,0.0912772,0.00871155,0.0633945,0.0642706,0.0590768,0.0615198,0.0587659
0.049,0.0415265,0.125577,0.0548871,0.0725388,0.0456363,0.0584915,0.0576559,0.0449912,0.0470407,0.0390921,-0.0169232,0.0151767,0.070069,0.0441232,0.0694543,0.059071
