Time,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z
s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s
0.01,9.57532,1.62073,2.39497,-0.143687,-0.120866,-0.029768,0.23755,-9.90552,-0.667742,-0.0599666,0.00144861,0.0428179,-1.43408,9.69009,-0.64906,-0.0209477,-0.0281905,-0.0204369,4.99763,-1.96858,8.22164,0.00520151,0.0385895,-0.0456792,-2.79014,9.51248,-1.26513,0.0010735,-0.0658268,0.0103971,4.12405,1.04207,9.18293,-0.00583171,-0.00625915,0.0247529,-1.45257,-9.89847,-1.49901,-0.0359491,0.0221994,0.0152321
0.011,9.57016,1.62065,2.39294,-0.142137,-0.119827,-0.0299759,0.239008,-9.90073,-0.669206,-0.0601237,0.000991665,0.042168,-1.4337,9.68457,-0.650712,-0.0208818,-0.0271696,-0.0205524,4.99459,-1.96852,8.21518,0.00514574,0.0386653,-0.0448064,-2.77952,9.50554,-1.26581,0.00135094,-0.0649414,0.0104666,4.12284,1.04061,9.17786,-0.00586259,-0.00603435,0.0249797,-1.45089,-9.89153,-1.49971,-0.0360042,0.0210512,0.0155537
0.012,9.56535,1.62055,2.39109,-0.140615,-0.118787,-0.0301562,0.24036,-9.89604,-0.670539,-0.0602807,0.000532246,0.0415277,-1.43333,9.67914,-0.652376,-0.0208228,-0.0261282,-0.0206788,4.99171,-1.96859,8.20884,0.00509073,0.0387469,-0.0439445,-2.76891,9.49888,-1.26637,0.00163691,-0.0640208,0.0105409,4.12163,1.03924,9.17301,-0.00588892,-0.00581841,0.0252073,-1.44914,-9.88498,-1.50065,-0.0360385,0.019951,0.0158578
0.013,9.56086,1.62039,2.38936,-0.139132,-0.117745,-0.0303047,0.24164,-9.89142,-0.671728,-0.0604348,7.18831e-005,0.0409004,-1.43296,9.67379,-0.654047,-0.0207721,-0.0250682,-0.0208156,4.98899,-1.96881,8.20262,0.00503772,0.0388366,-0.0430948,-2.75828,9.49249,-1.26681,0.00193149,-0.063064,0.0106181,4.12048,1.03797,9.16838,-0.00591208,-0.00560367,0.025433,-1.44729,-9.87881,-1.50185,-0.0360504,0.0189049,0.0161466
0.014,9.55663,1.62019,2.38774,-0.137693,-0.116697,-0.0304173,0.242876,-9.88688,-0.672772,-0.060583,-0.000387657,0.0402888,-1.43257,9.66856,-0.655718,-0.0207308,-0.0239918,-0.0209626,4.98641,-1.96916,8.19654,0.00498796,0.0389363,-0.0422591,-2.7476,9.48638,-1.26716,0.00223449,-0.0620705,0.010696,4.1194,1.0368,9.16397,-0.00593356,-0.00538426,0.0256543,-1.4453,-9.87302,-1.50332,-0.036039,0.0179184,0.0164225
0.015,9.55263,1.61996,2.38618,-0.136306,-0.115643,-0.0304907,0.244098,-9.88243,-0.673699,-0.0607231,-0.000844025,0.039692,-1.43214,9.66344,-0.657394,-0.0206993,-0.0229002,-0.021121,4.98395,-1.96963,8.19063,0.00494274,0.0390463,-0.0414397,-2.73688,9.48054,-1.26744,0.00254503,-0.0610412,0.0107733,4.11842,1.03571,9.15977,-0.00595517,-0.00515873,0.0258709,-1.44318,-9.86761,-1.50507,-0.036006,0.0169959,0.0166888
0.016,9.54885,1.61973,2.38468,-0.134977,-0.11458,-0.0305219,0.24533,-9.87811,-0.674561,-0.0608533,-0.0012944,0.0391071,-1.43165,9.65842,-0.659079,-0.0206773,-0.0217946,-0.021293,4.98163,-1.97021,8.18487,0.00490339,0.0391657,-0.0406392,-2.72619,9.47498,-1.26765,0.00286162,-0.0599779,0.0108488,4.11753,1.03466,9.15578,-0.00597897,-0.0049292,0.0260835,-1.44091,-9.86257,-1.50711,-0.0359551,0.0161408,0.0169492
0.017,9.54528,1.61955,2.38318,-0.133712,-0.113509,-0.0305082,0.246596,-9.87397,-0.675416,-0.0609718,-0.00173582,0.0385304,-1.43107,9.65351,-0.660783,-0.0206644,-0.0206757,-0.0214808,4.97945,-1.97088,8.17927,0.00487127,0.0392933,-0.0398606,-2.71558,9.4697,-1.26782,0.00318265,-0.0588824,0.0109217,4.11674,1.03361,9.15197,-0.00600708,-0.00469865,0.0262934,-1.43851,-9.85788,-1.50942,-0.0358903,0.0153562,0.0172075
0.018,9.54191,1.61944,2.38168,-0.132515,-0.112429,-0.0304469,0.247916,-9.87004,-0.676315,-0.0610771,-0.00216548,0.0379584,-1.4304,9.6487,-0.662513,-0.0206603,-0.0195446,-0.0216869,4.97742,-1.97161,8.17383,0.00484771,0.0394279,-0.0391063,-2.70511,9.46471,-1.26796,0.0035066,-0.0577566,0.0109913,4.11603,1.03253,9.14832,-0.00604166,-0.00446962,0.0265016,-1.43598,-9.85354,-1.51201,-0.0358157,0.0146455,0.0174673
0.019,9.53873,1.61944,2.38017,-0.131391,-0.111341,-0.0303361,0.249295,-9.86635,-0.677281,-0.0611692,-0.00258143,0.0373898,-1.42961,9.64398,-0.664266,-0.0206649,-0.0184014,-0.0219117,4.97555,-1.9724,8.16857,0.004834,0.0395685,-0.0383754,-2.69483,9.46,-1.26808,0.00383228,-0.0566032,0.0110581,4.11542,1.03139,9.14481,-0.00608486,-0.00424226,0.0267083,-1.43333,-9.84951,-1.51486,-0.0357339,0.0140113,0.0177312
