Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0,9.64488,1.28045,2.07744,0.0111366,-0.000103769,-0.00128639,-1.23252,-9.83678,-1.17323,-0.0605679,0.0205416,-0.0111248,-1.85639,9.73308,-0.775236,0.000224082,0.016276,0.0121251,5.06781,-1.06763,8.33918,-0.0211151,0.00461343,-0.00156594,-0.942745,9.93228,-1.18675,-0.012445,0.0136484,0.0146079,4.69382,1.98273,8.84193,-0.0138513,0.00860027,0.0128251,-2.71136,-9.89575,-0.103027,-0.0445412,-0.0241772,-0.0194538
0.001,9.63671,1.27842,2.07616,0.0111048,0.000341152,-0.000886362,-1.23324,-9.82986,-1.17066,-0.0604921,0.0208772,-0.0113393,-1.85409,9.72298,-0.775537,0.000506852,0.0163774,0.0123628,5.06446,-1.06809,8.33225,-0.0209577,0.00469918,-0.001159,-0.945197,9.92345,-1.18706,-0.0125683,0.0133902,0.0142441,4.68761,1.97711,8.83492,-0.0140362,0.00850848,0.0125378,-2.70796,-9.88451,-0.105478,-0.0444711,-0.0240958,-0.0195741
0.002,9.6289,1.27637,2.07501,0.0110708,0.000789304,-0.000482167,-1.23397,-9.82335,-1.16811,-0.0604181,0.0212199,-0.011546,-1.85182,9.71334,-0.775892,0.000792035,0.0164801,0.0126046,5.06132,-1.06867,8.32568,-0.0208028,0.00478416,-0.000751304,-0.947662,9.91507,-1.18751,-0.0126983,0.0131408,0.0138759,4.6816,1.97158,8.82821,-0.0142137,0.00841992,0.0122551,-2.70458,-9.87371,-0.107906,-0.0443987,-0.0240119,-0.0196923
0.003,9.6214,1.27428,2.07399,0.011034,0.00123702,-7.67452e-005,-1.23467,-9.81722,-1.16558,-0.0603457,0.0215678,-0.0117404,-1.84959,9.70417,-0.776294,0.00107739,0.0165832,0.0128489,5.05836,-1.06937,8.31945,-0.0206521,0.00486719,-0.000346758,-0.950098,9.90713,-1.1881,-0.0128354,0.0129046,0.0135055,4.67582,1.96618,8.82175,-0.0143795,0.00833622,0.0119806,-2.70119,-9.86338,-0.11028,-0.0443232,-0.0239251,-0.0198063
0.004,9.61417,1.27216,2.07311,0.0109938,0.00168062,0.000326974,-1.23531,-9.81144,-1.1631,-0.0602748,0.0219189,-0.0119179,-1.84737,9.69547,-0.776739,0.00136067,0.0166854,0.0130942,5.05555,-1.07021,8.31353,-0.0205076,0.00494706,5.07134e-005,-0.952462,9.89961,-1.18883,-0.0129799,0.0126864,0.0131352,4.67029,1.96097,8.81549,-0.0145294,0.00825899,0.0117184,-2.69778,-9.85353,-0.112565,-0.0442436,-0.023835,-0.0199137
0.005,9.60721,1.27,2.07235,0.0109503,0.00211716,0.000726566,-1.23585,-9.80595,-1.16065,-0.0602054,0.0222715,-0.0120749,-1.84517,9.68726,-0.777223,0.00163999,0.016786,0.0133389,5.05288,-1.07119,8.30792,-0.0203705,0.00502274,0.000437606,-0.954711,9.89251,-1.18972,-0.0131316,0.0124901,0.0127668,4.665,1.95597,8.80939,-0.0146596,0.00818934,0.0114712,-2.69432,-9.84416,-0.114734,-0.0441594,-0.0237409,-0.0200129
0.006,9.60048,1.26781,2.07172,0.0109047,0.00254565,0.00112103,-1.2363,-9.80075,-1.15826,-0.0601383,0.0226247,-0.0122109,-1.84298,9.67951,-0.777749,0.00191441,0.0168842,0.0135821,5.05031,-1.07227,8.3026,-0.0202411,0.00509366,0.000811612,-0.956806,9.88579,-1.19075,-0.0132881,0.0123169,0.0124016,4.65996,1.95119,8.8035,-0.0147678,0.00812687,0.0112387,-2.69083,-9.83526,-0.116775,-0.0440714,-0.0236417,-0.0201032
0.007,9.59401,1.26566,2.07121,0.0108597,0.00296697,0.00151069,-1.23666,-9.7958,-1.15593,-0.0600747,0.0229784,-0.0123277,-1.84081,9.67219,-0.778325,0.00218391,0.0169797,0.0138228,5.04782,-1.07343,8.29759,-0.0201186,0.00515967,0.00117152,-0.958707,9.8794,-1.1919,-0.013446,0.0121658,0.01204,4.65512,1.94666,8.79787,-0.0148527,0.00806978,0.0110177,-2.6873,-9.82679,-0.118689,-0.0439816,-0.0235356,-0.0201852
0.008,9.58783,1.26361,2.07078,0.0108184,0.00338256,0.00189625,-1.23696,-9.79108,-1.15367,-0.0600158,0.0233326,-0.0124284,-1.83863,9.66529,-0.778963,0.00244871,0.0170721,0.0140603,5.04539,-1.07462,8.29289,-0.0200018,0.00522072,0.00151645,-0.960377,9.87329,-1.19316,-0.0136008,0.0120352,0.0116825,4.65045,1.94237,8.79259,-0.0149135,0.00801584,0.0108042,-2.68377,-9.81871,-0.120481,-0.0438923,-0.0234205,-0.0202597
0.009,9.58194,1.26171,2.07044,0.0107837,0.00379376,0.0022784,-1.23722,-9.78658,-1.1515,-0.059963,0.0236874,-0.0125157,-1.83647,9.65875,-0.779673,0.00270904,0.017161,0.014294,5.04298,-1.0758,8.28851,-0.0198896,0.00527676,0.00184555,-0.961778,9.86742,-1.19451,-0.0137486,0.0119235,0.0113294,4.6459,1.93832,8.78776,-0.0149495,0.00796291,0.0105943,-2.68026,-9.81097,-0.122158,-0.0438058,-0.0232946,-0.0203277
