Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0,9.60127,-0.956643,4.86132,-0.520236,0.177195,-0.104114,0.31924,-9.89657,-2.10227,-0.182386,0.136827,0.161835,0.737004,7.22136,-1.41228,0.399786,-1.93721,0.201387,2.33016,-6.01726,9.98558,-0.643621,1.42753,-2.19463,-4.5756,9.80961,-0.0995222,-0.574741,-0.844026,0.621529,4.56001,2.05394,8.82055,-0.0551379,0.00650326,-0.0200733,-2.04841,-10.0392,-1.34823,-0.0577863,0.369633,0.228747
0.001,9.58971,-0.959864,4.85728,-0.514842,0.169208,-0.10273,0.323243,-9.88945,-2.10192,-0.181213,0.135551,0.161745,0.770128,7.19456,-1.38853,0.40008,-1.93035,0.216068,2.30406,-5.90384,9.96359,-0.623863,1.45289,-2.19659,-4.56739,9.79824,-0.138657,-0.563273,-0.849324,0.61722,4.55727,2.06012,8.81271,-0.0549952,0.00674175,-0.0198548,-2.03536,-10.0289,-1.33934,-0.0579328,0.366432,0.228213
0.002,9.57849,-0.963092,4.85338,-0.509355,0.160995,-0.101293,0.327392,-9.88266,-2.10159,-0.180011,0.134258,0.161675,0.803047,7.1678,-1.36425,0.40041,-1.92341,0.231181,2.27784,-5.78782,9.94055,-0.603605,1.47909,-2.19873,-4.55873,9.78697,-0.178743,-0.551527,-0.854823,0.61284,4.55476,2.06624,8.80526,-0.0548628,0.00697937,-0.0196282,-2.02185,-10.019,-1.33021,-0.0580935,0.363143,0.22768
0.003,9.56761,-0.966274,4.84961,-0.503793,0.15257,-0.0998014,0.331677,-9.87617,-2.10123,-0.178779,0.132952,0.161629,0.835349,7.1412,-1.33951,0.400774,-1.91638,0.246689,2.25165,-5.66953,9.91617,-0.582899,1.50607,-2.20102,-4.54947,9.77571,-0.219635,-0.539531,-0.860503,0.608399,4.55247,2.07218,8.79818,-0.0547438,0.0072133,-0.0193931,-2.00783,-10.0095,-1.32086,-0.0582693,0.359766,0.227147
0.004,9.55705,-0.969357,4.84592,-0.498172,0.143951,-0.0982521,0.33609,-9.8699,-2.10083,-0.177517,0.131639,0.161609,0.866624,7.11487,-1.31437,0.40117,-1.90927,0.262554,2.22569,-5.54927,9.89016,-0.561796,1.53376,-2.20345,-4.53949,9.76438,-0.261189,-0.527314,-0.866345,0.603908,4.5504,2.0778,8.79148,-0.0546411,0.00744072,-0.019149,-1.99325,-10.0006,-1.31126,-0.0584613,0.356302,0.226615
0.005,9.54681,-0.972299,4.84228,-0.492511,0.135155,-0.0966436,0.34062,-9.86382,-2.10034,-0.176223,0.130324,0.161619,0.896499,7.08893,-1.2889,0.401595,-1.90207,0.278743,2.20009,-5.4274,9.86225,-0.540355,1.56211,-2.20598,-4.52864,9.75294,-0.30327,-0.514905,-0.872331,0.599377,4.54851,2.083,8.78512,-0.0545566,0.00765913,-0.0188947,-1.97808,-9.99216,-1.30144,-0.05867,0.352752,0.226084
0.006,9.53684,-0.975089,4.83862,-0.486825,0.1262,-0.0949766,0.345252,-9.85789,-2.09979,-0.174899,0.129013,0.161663,0.924715,7.06353,-1.2631,0.402047,-1.89481,0.295227,2.17487,-5.30429,9.83223,-0.518654,1.59102,-2.20861,-4.51683,9.74137,-0.345757,-0.502338,-0.878445,0.594815,4.54677,2.08774,8.7791,-0.0544878,0.00786708,-0.018626,-1.96232,-9.98423,-1.29139,-0.0588951,0.349112,0.225553
0.007,9.52707,-0.977741,4.83486,-0.48113,0.117112,-0.0932541,0.349964,-9.85213,-2.09921,-0.173542,0.127712,0.161746,0.951118,7.03878,-1.23696,0.402525,-1.88747,0.311982,2.14992,-5.18043,9.79994,-0.496796,1.62043,-2.21132,-4.50402,9.72975,-0.388546,-0.48965,-0.884669,0.590227,4.54511,2.09203,8.77337,-0.054429,0.00806401,-0.0183366,-1.94594,-9.97683,-1.28114,-0.0591348,0.345382,0.225023
0.008,9.51743,-0.98028,4.83087,-0.475439,0.107912,-0.0914797,0.354733,-9.84653,-2.09866,-0.172155,0.126427,0.161873,0.975582,7.01484,-1.21045,0.403027,-1.88009,0.328987,2.12514,-5.05628,9.76521,-0.474885,1.65024,-2.21409,-4.49016,9.71815,-0.431537,-0.476877,-0.890986,0.585622,4.54345,2.09588,8.76788,-0.0543732,0.00824963,-0.0180192,-1.92897,-9.96996,-1.27074,-0.0593872,0.341556,0.224493
0.009,9.50784,-0.982731,4.82657,-0.469768,0.0986271,-0.0896569,0.359536,-9.84111,-2.09819,-0.170734,0.125166,0.162048,0.997985,6.99182,-1.18353,0.403551,-1.87266,0.346221,2.10039,-4.93231,9.72789,-0.453028,1.68037,-2.2169,-4.47519,9.70663,-0.474632,-0.464058,-0.897381,0.581004,4.54173,2.09933,8.76261,-0.0543136,0.00842365,-0.0176669,-1.9114,-9.96365,-1.26019,-0.0596504,0.337633,0.223962
