Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0.01,9.46756,1.58706,2.05442,-0.00136761,-0.119205,0.02167,0.723138,-9.91801,-0.244164,-0.0506,0.0286953,0.0233789,-0.996034,9.74751,-0.492228,-0.0109211,0.00821694,-0.00790173,4.98823,-2.4027,8.08042,-0.0211712,0.0119778,0.00268964,-2.40259,9.59967,-1.13425,-0.0186566,0.0132929,0.00710789,4.5642,1.8355,8.81107,-0.0255143,0.0126722,0.016932,-1.41371,-9.96538,-0.580418,0.0178948,0.0315679,-0.0369853
0.011,9.46415,1.58616,2.05534,-0.00123963,-0.119192,0.0217992,0.723683,-9.91332,-0.242916,-0.0506857,0.0286694,0.02347,-0.997754,9.74193,-0.492923,-0.010927,0.00840333,-0.00795681,4.98617,-2.40204,8.0757,-0.0210239,0.0117175,0.00257982,-2.40237,9.59477,-1.13406,-0.0186325,0.0131932,0.00709165,4.56137,1.83783,8.80597,-0.0254704,0.0125923,0.0168419,-1.41185,-9.95782,-0.576691,0.0177791,0.0311497,-0.03708
0.012,9.46091,1.5852,2.05623,-0.00108998,-0.119166,0.0218994,0.724303,-9.90885,-0.241814,-0.0507719,0.0286355,0.0235592,-0.999506,9.73651,-0.493575,-0.0109361,0.0085824,-0.00800526,4.98413,-2.40119,8.07112,-0.0208841,0.0114695,0.00248014,-2.40209,9.58988,-1.13386,-0.0186305,0.0131173,0.00709596,4.55861,1.84014,8.80112,-0.0254283,0.0125174,0.0167481,-1.41003,-9.95056,-0.573184,0.0176551,0.0307002,-0.0371749
0.013,9.45782,1.58414,2.05704,-0.000915714,-0.119123,0.0219753,0.724971,-9.90458,-0.240887,-0.0508605,0.0285949,0.0236459,-1.00129,9.73119,-0.494189,-0.0109487,0.00875567,-0.00805072,4.98211,-2.40016,8.06668,-0.0207502,0.0112377,0.00239339,-2.40171,9.58497,-1.13367,-0.0186496,0.0130705,0.00711396,4.55589,1.84241,8.79652,-0.0253863,0.0124506,0.016652,-1.40819,-9.9436,-0.569907,0.0175246,0.030221,-0.0372674
0.014,9.45485,1.58298,2.05779,-0.000714297,-0.119062,0.0220305,0.725662,-9.90052,-0.240152,-0.050953,0.0285493,0.0237299,-1.00311,9.72593,-0.494764,-0.0109648,0.00892486,-0.00809596,4.98013,-2.39896,8.0624,-0.0206203,0.0110246,0.00232165,-2.40122,9.58007,-1.13351,-0.0186888,0.0130568,0.00714023,4.55319,1.84467,8.79214,-0.0253427,0.0123946,0.0165546,-1.40629,-9.93694,-0.566868,0.0173891,0.0297142,-0.0373553
0.015,9.45198,1.58175,2.05849,-0.000484418,-0.118983,0.0220642,0.726353,-9.89663,-0.239611,-0.0510486,0.0285026,0.0238121,-1.00492,9.72075,-0.4953,-0.0109843,0.0090923,-0.00814162,4.97821,-2.39762,8.05826,-0.0204934,0.0108292,0.00226507,-2.40064,9.57519,-1.13338,-0.018747,0.0130753,0.00717292,4.55052,1.8469,8.78798,-0.0252963,0.0123505,0.0164575,-1.40437,-9.93058,-0.564071,0.0172503,0.0291829,-0.0374369
0.016,9.44921,1.58052,2.05918,-0.00022571,-0.118888,0.022073,0.727022,-9.89285,-0.239246,-0.051145,0.0284598,0.0238939,-1.00671,9.71568,-0.495795,-0.011007,0.0092608,-0.00818662,4.97638,-2.39618,8.05425,-0.0203687,0.0106473,0.00222231,-2.39999,9.5704,-1.13326,-0.0188232,0.013122,0.007213,4.5479,1.84908,8.78403,-0.0252459,0.012318,0.0163619,-1.40246,-9.92453,-0.561515,0.0171094,0.028631,-0.0375104
0.017,9.44654,1.5794,2.0599,6.20066e-005,-0.118776,0.0220523,0.727651,-9.88915,-0.239037,-0.0512393,0.0284267,0.0239769,-1.00841,9.71076,-0.496248,-0.0110326,0.00943327,-0.00822946,4.9747,-2.39467,8.05036,-0.0202455,0.0104745,0.00219166,-2.39932,9.56574,-1.13313,-0.0189166,0.0131919,0.0072622,4.54536,1.85119,8.7803,-0.0251904,0.012297,0.0162691,-1.40063,-9.9188,-0.559201,0.0169681,0.0280627,-0.0375745
0.018,9.44395,1.57847,2.0607,0.000379143,-0.118651,0.0219982,0.72822,-9.88548,-0.238965,-0.0513287,0.0284082,0.0240627,-1.01,9.70604,-0.496655,-0.0110607,0.00961231,-0.00826869,4.97318,-2.39312,8.04658,-0.0201232,0.0103066,0.00217144,-2.39867,9.56126,-1.13297,-0.0190259,0.0132805,0.00732188,4.54291,1.85321,8.77678,-0.0251288,0.0122868,0.0161803,-1.39894,-9.9134,-0.557126,0.0168275,0.0274816,-0.0376278
0.019,9.44145,1.57777,2.06157,0.000727105,-0.11851,0.0219095,0.728727,-9.88183,-0.238999,-0.0514115,0.0284075,0.0241526,-1.01145,9.70153,-0.497014,-0.0110908,0.00979882,-0.00830324,4.97184,-2.39158,8.0429,-0.020002,0.0101427,0.00215989,-2.39806,9.55701,-1.13277,-0.0191502,0.0133865,0.00739154,4.54057,1.85511,8.77347,-0.0250607,0.0122865,0.0160959,-1.39742,-9.90835,-0.555272,0.016689,0.0268897,-0.0376693
