Time,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z
0.0,0.670077,9.95931,-0.447353,-0.401463,0.146038,-0.402896,3.1605,2.45225,8.02921,0.49685,-0.555821,-0.384242,4.0479,9.69746,-1.20238,-0.0903858,-0.974405,-0.22145,8.6787,0.532699,3.1119,0.028133,-0.0651167,0.151976,0.24764,-9.76449,-1.51106,-0.0987716,0.309492,0.053976,5.30527,-2.03048,8.59788,-0.338196,0.587212,0.0380832,-0.0940434,-9.93652,-1.80102,-0.0674768,0.368078,0.516888
0.001,0.687338,9.97719,-0.456593,-0.405658,0.15522,-0.411617,3.32928,2.30335,8.08691,0.495634,-0.556818,-0.385007,4.07813,9.70884,-1.18338,-0.0893796,-0.976415,-0.216388,8.69567,0.519672,3.1178,0.02375,-0.0658651,0.156571,0.262881,-9.72304,-1.591,-0.0993192,0.285894,0.0465512,5.19599,-2.1737,8.45435,-0.376576,0.655861,0.0768011,-0.281764,-9.95458,-1.81644,-0.0638224,0.352675,0.517246
0.002,0.704599,9.99506,-0.465832,-0.409853,0.164402,-0.420338,3.49806,2.15446,8.14461,0.494419,-0.557815,-0.385771,4.10837,9.72023,-1.16438,-0.0883733,-0.978424,-0.211325,8.71263,0.506645,3.1237,0.019367,-0.0666135,0.161166,0.278122,-9.68159,-1.67094,-0.0998668,0.262296,0.0391265,5.0867,-2.31693,8.31082,-0.414956,0.724511,0.115519,-0.469484,-9.97263,-1.83186,-0.0601679,0.337272,0.517605
0.003,0.72186,10.0129,-0.475071,-0.414048,0.173584,-0.429059,3.66684,2.00556,8.20231,0.493204,-0.558812,-0.386536,4.1386,9.73162,-1.14538,-0.0873671,-0.980433,-0.206262,8.7296,0.493617,3.1296,0.0149841,-0.0673619,0.16576,0.293362,-9.64015,-1.75089,-0.100414,0.238698,0.0317017,4.97742,-2.46015,8.16729,-0.453337,0.79316,0.154237,-0.657204,-9.99069,-1.84729,-0.0565135,0.321869,0.517963
0.004,0.73912,10.0308,-0.484311,-0.418243,0.182766,-0.43778,3.83562,1.85667,8.26001,0.491988,-0.559809,-0.3873,4.16883,9.74301,-1.12638,-0.0863608,-0.982443,-0.201199,8.74656,0.48059,3.1355,0.0106011,-0.0681103,0.170355,0.308603,-9.5987,-1.83083,-0.100962,0.2151,0.024277,4.86813,-2.60337,8.02376,-0.491717,0.86181,0.192955,-0.844924,-10.0087,-1.86271,-0.0528591,0.306466,0.518321
0.005,0.766863,10.0451,-0.491135,-0.42165,0.189833,-0.445583,4.00753,1.81804,8.288,0.489066,-0.555273,-0.386253,4.19032,9.75035,-1.11338,-0.0843576,-0.984426,-0.195662,8.76045,0.46457,3.13196,0.00658892,-0.0670806,0.174779,0.308373,-9.56676,-1.91236,-0.0998322,0.192827,0.0191807,4.7652,-2.75665,7.99987,-0.52217,0.904895,0.220536,-0.992677,-10.0238,-1.87404,-0.0488861,0.289432,0.516714
0.006,0.802991,10.0565,-0.496028,-0.424427,0.195206,-0.45265,4.18196,1.86763,8.29222,0.484778,-0.546311,-0.383755,4.20482,9.75445,-1.10517,-0.0815569,-0.986388,-0.189744,8.77189,0.446156,3.12085,0.00287339,-0.0646284,0.179068,0.295766,-9.54242,-1.99515,-0.0973605,0.171616,0.0159472,4.66734,-2.91798,8.07169,-0.546281,0.927529,0.239207,-1.10846,-10.0365,-1.8821,-0.0446583,0.271094,0.513534
0.007,0.83912,10.0679,-0.500921,-0.427204,0.200579,-0.459717,4.35639,1.91722,8.29645,0.480489,-0.537348,-0.381257,4.21931,9.75855,-1.09697,-0.0787562,-0.98835,-0.183827,8.78333,0.427741,3.10975,-0.000842135,-0.0621763,0.183357,0.283159,-9.51808,-2.07795,-0.0948889,0.150404,0.0127137,4.56949,-3.07931,8.14352,-0.570392,0.950162,0.257879,-1.22424,-10.0492,-1.89015,-0.0404305,0.252755,0.510355
0.008,0.875248,10.0793,-0.505814,-0.429981,0.205952,-0.466784,4.53082,1.9668,8.30067,0.476201,-0.528385,-0.37876,4.23381,9.76266,-1.08876,-0.0759555,-0.990313,-0.177909,8.79477,0.409327,3.09865,-0.00455766,-0.0597241,0.187645,0.270551,-9.49374,-2.16074,-0.0924172,0.129192,0.00948018,4.47164,-3.24063,8.21535,-0.594503,0.972796,0.276551,-1.34002,-10.0618,-1.89821,-0.0362028,0.234416,0.507175
0.009,0.913694,10.0859,-0.511162,-0.432602,0.2109,-0.473899,4.69634,2.02621,8.30201,0.471802,-0.519252,-0.375803,4.24628,9.76693,-1.08127,-0.0733441,-0.992203,-0.171579,8.80351,0.390258,3.08654,-0.00844999,-0.0571207,0.191827,0.257124,-9.47001,-2.24227,-0.0895397,0.108509,0.00655969,4.38043,-3.38052,8.28896,-0.614149,0.988693,0.291397,-1.44551,-10.069,-1.90485,-0.0321474,0.215592,0.504175
