Time,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z
0.01,0.425892,9.65074,-1.03887,-0.0205278,0.0194408,-0.0181216,4.73801,3.60631,7.94914,-0.436545,-0.0232172,0.114833,-0.320231,9.74662,-1.23633,-0.00635067,0.0891188,-0.0402103,9.29415,0.421939,2.94052,0.0748435,0.0410075,0.0768192,-0.131867,-9.61303,-2.27985,-0.0604291,-0.111642,-0.00588765,4.67553,-2.57067,8.01254,0.00344953,0.00318251,-0.0084975,-0.00715683,-9.73631,-2.05223,-0.134646,-0.0435846,-0.0282737
0.011,0.422895,9.64526,-1.05216,-0.0192909,0.0232967,-0.0188173,4.73562,3.59997,7.94413,-0.44543,-0.0251167,0.11449,-0.302953,9.74988,-1.26174,-0.00579176,0.0875915,-0.041936,9.31466,0.408514,2.94532,0.0733466,0.039886,0.0780588,-0.142511,-9.60223,-2.26827,-0.060194,-0.110427,-0.00445067,4.702,-2.62552,8.01352,0.00369267,0.00221981,-0.00754689,-0.00725658,-9.72132,-2.05596,-0.135454,-0.0472733,-0.029251
0.012,0.419898,9.63979,-1.06546,-0.0180539,0.0271526,-0.0195129,4.73323,3.59363,7.93912,-0.454314,-0.0270161,0.114147,-0.285675,9.75315,-1.28715,-0.00523284,0.0860641,-0.0436616,9.33518,0.395089,2.95011,0.0718497,0.0387646,0.0792985,-0.153156,-9.59144,-2.25669,-0.0599589,-0.109212,-0.0030137,4.72847,-2.68037,8.0145,0.00393581,0.0012571,-0.00659627,-0.00735633,-9.70632,-2.05969,-0.136262,-0.050962,-0.0302282
0.013,0.416901,9.63431,-1.07876,-0.016817,0.0310085,-0.0202086,4.73084,3.58729,7.93411,-0.463198,-0.0289155,0.113805,-0.268398,9.75641,-1.31256,-0.00467393,0.0845368,-0.0453873,9.35569,0.381663,2.95491,0.0703528,0.0376431,0.0805381,-0.163801,-9.58065,-2.2451,-0.0597238,-0.107997,-0.00157673,4.75494,-2.73522,8.01548,0.00417895,0.0002944,-0.00564566,-0.00745607,-9.69133,-2.06342,-0.13707,-0.0546507,-0.0312054
0.014,0.432686,9.62139,-1.09411,-0.0169827,0.0329523,-0.0189293,4.7357,3.56912,7.93291,-0.473204,-0.0334964,0.113132,-0.264743,9.75883,-1.32854,-0.00447311,0.0845907,-0.0462853,9.36708,0.378816,2.96259,0.0688835,0.0363556,0.0810928,-0.142259,-9.57697,-2.22908,-0.0604529,-0.107573,2.26e-05,4.73479,-2.7607,8.01664,0.00425538,-0.00113385,-0.0054972,-0.0142653,-9.6946,-2.06219,-0.138038,-0.0584142,-0.0308914
0.015,0.457863,9.60474,-1.1105,-0.0178496,0.03394,-0.0166625,4.74419,3.54503,7.93363,-0.48377,-0.039418,0.112294,-0.267901,9.76083,-1.33982,-0.00445133,0.0854352,-0.0467695,9.3739,0.381256,2.97171,0.0674281,0.0349851,0.0813049,-0.104624,-9.57685,-2.21085,-0.061664,-0.107543,0.00170317,4.69134,-2.7715,8.01791,0.00424846,-0.00279488,-0.00574982,-0.0244292,-9.70702,-2.05847,-0.139087,-0.0622152,-0.0299317
0.016,0.483039,9.5881,-1.12689,-0.0187166,0.0349278,-0.0143957,4.75268,3.52093,7.93434,-0.494336,-0.0453396,0.111456,-0.271059,9.76283,-1.35109,-0.00442956,0.0862798,-0.0472537,9.38072,0.383697,2.98083,0.0659728,0.0336146,0.0815171,-0.0669898,-9.57673,-2.19261,-0.0628752,-0.107513,0.00338372,4.64788,-2.7823,8.01917,0.00424154,-0.0044559,-0.00600244,-0.0345932,-9.71944,-2.05476,-0.140135,-0.0660162,-0.028972
0.017,0.508216,9.57145,-1.14328,-0.0195835,0.0359155,-0.0121288,4.76117,3.49684,7.93505,-0.504902,-0.0512612,0.110618,-0.274216,9.76482,-1.36236,-0.00440778,0.0871243,-0.0477379,9.38755,0.386138,2.98995,0.0645174,0.0322441,0.0817293,-0.0293552,-9.57661,-2.17437,-0.0640863,-0.107484,0.00506427,4.60443,-2.79309,8.02043,0.00423461,-0.00611693,-0.00625506,-0.0447571,-9.73185,-2.05104,-0.141183,-0.0698172,-0.0280122
0.018,0.532529,9.55885,-1.15952,-0.0197397,0.0369366,-0.0102875,4.77423,3.47292,7.93747,-0.514785,-0.0566413,0.109853,-0.282945,9.76289,-1.36942,-0.00476746,0.0879718,-0.0479349,9.39089,0.387336,2.99751,0.0628953,0.0305795,0.0820321,-0.0012709,-9.57254,-2.16897,-0.0659227,-0.105959,0.0061054,4.57896,-2.80232,8.0242,0.00411482,-0.0072514,-0.00665472,-0.0562962,-9.74257,-2.04946,-0.141957,-0.0732543,-0.0273448
0.019,0.55382,9.56039,-1.17523,-0.0174082,0.0380748,-0.00993547,4.80328,3.44959,7.94584,-0.522273,-0.0601261,0.109343,-0.311173,9.74719,-1.36172,-0.0064622,0.0888296,-0.0471266,9.38203,0.384184,2.99961,0.0606901,0.0278855,0.0826521,-0.00661288,-9.55465,-2.20845,-0.0699472,-0.0992001,0.00490856,4.61645,-2.80602,8.03678,0.00359999,-0.00654291,-0.00756901,-0.0726484,-9.74734,-2.05533,-0.141769,-0.0754177,-0.0277003
