Time,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0.01,0.1342,-9.77986,-1.67571,-0.288169,-0.100684,0.561915,10.0392,2.08598,5.89566,0.275048,-0.0426335,0.181124,0.445599,8.88626,-3.02914,-0.130121,-2.19878,-0.103562,1.89194,-9.27426,-1.6101,0.0831099,-0.0515463,-0.194597,5.17912,0.836185,8.53278,0.102806,0.255967,-0.0567275,-2.65337,8.47147,-1.91879,-0.0237403,-0.728701,0.0382904,3.69849,4.00547,8.03743,0.078092,-0.087677,-0.0519415
0.011,0.118881,-9.81042,-1.58104,-0.282233,-0.112037,0.560593,10.0233,2.04591,5.9377,0.267575,-0.049814,0.170118,0.385137,8.67742,-3.02596,-0.114015,-2.18633,-0.0815738,1.89649,-9.26213,-1.61969,0.0834716,-0.0489605,-0.191103,4.9361,0.507564,8.52346,0.091226,0.244479,-0.05439,-2.49912,8.41145,-1.88583,-0.0211226,-0.711066,0.0405685,3.69112,4.0308,8.00255,0.0752517,-0.0848367,-0.0504867
0.012,0.103562,-9.84097,-1.48637,-0.276298,-0.123391,0.55927,10.0074,2.00585,5.97973,0.260102,-0.0569945,0.159111,0.324674,8.46859,-3.02279,-0.0979086,-2.17388,-0.0595858,1.90104,-9.24999,-1.62928,0.0838333,-0.0463747,-0.187609,4.69308,0.178943,8.51413,0.0796466,0.232992,-0.0520525,-2.34487,8.35142,-1.85287,-0.0185048,-0.69343,0.0428465,3.68375,4.05613,7.96766,0.0724114,-0.0819964,-0.0490319
0.013,0.088243,-9.87153,-1.39171,-0.270362,-0.134744,0.557948,9.99149,1.96578,6.02177,0.25263,-0.064175,0.148104,0.264212,8.25975,-3.01962,-0.0818022,-2.16144,-0.0375978,1.9056,-9.23785,-1.63886,0.0841951,-0.0437889,-0.184114,4.45006,-0.149678,8.50481,0.0680671,0.221505,-0.049715,-2.19062,8.29139,-1.81991,-0.015887,-0.675795,0.0451246,3.67638,4.08146,7.93278,0.0695712,-0.0791562,-0.0475771
0.014,0.0708185,-9.89139,-1.34041,-0.264948,-0.150431,0.558024,9.95268,1.91689,6.03867,0.246711,-0.0719381,0.137528,0.233244,8.08749,-2.96252,-0.0617915,-2.14247,-0.017697,1.91667,-9.22734,-1.63863,0.0830849,-0.0430258,-0.179602,4.33896,-0.301764,8.52094,0.0516312,0.206927,-0.0488436,-2.03193,8.24679,-1.80983,-0.00837626,-0.659323,0.0457473,3.68986,4.09404,7.91115,0.0676197,-0.0787631,-0.0483041
0.015,0.0523413,-9.9059,-1.3108,-0.259794,-0.168285,0.558799,9.90242,1.86358,6.04299,0.241569,-0.0799925,0.127166,0.217025,7.93352,-2.87847,-0.0398287,-2.12024,0.00116009,1.93101,-9.21764,-1.63348,0.0812388,-0.043174,-0.174582,4.2938,-0.365582,8.54979,0.0327671,0.190805,-0.0487052,-1.87101,8.2099,-1.81119,0.00158105,-0.643434,0.0455423,3.71376,4.10023,7.89616,0.0661127,-0.0795936,-0.0501219
0.016,0.033864,-9.92041,-1.28119,-0.254641,-0.186139,0.559574,9.85217,1.81028,6.04732,0.236428,-0.088047,0.116805,0.200806,7.77955,-2.79442,-0.0178659,-2.09801,0.0200172,1.94534,-9.20794,-1.62834,0.0793927,-0.0433223,-0.169561,4.24865,-0.4294,8.57865,0.013903,0.174683,-0.0485668,-1.71009,8.17302,-1.81255,0.0115384,-0.627545,0.0453374,3.73765,4.10643,7.88116,0.0646057,-0.0804242,-0.0519397
0.017,0.0153868,-9.93492,-1.25158,-0.249488,-0.203993,0.560349,9.80191,1.75698,6.05165,0.231286,-0.0961014,0.106444,0.184586,7.62558,-2.71037,0.00409687,-2.07578,0.0388743,1.95968,-9.19824,-1.62319,0.0775466,-0.0434705,-0.164541,4.2035,-0.493218,8.6075,-0.00496114,0.15856,-0.0484284,-1.54917,8.13613,-1.81391,0.0214957,-0.611655,0.0451324,3.76155,4.11262,7.86617,0.0630986,-0.0812547,-0.0537575
0.018,-0.00578411,-9.95382,-1.22391,-0.244801,-0.222311,0.559968,9.74902,1.70595,6.05322,0.225695,-0.104173,0.0956968,0.159304,7.48581,-2.62098,0.0272827,-2.05229,0.0570984,1.97406,-9.18973,-1.62222,0.0756768,-0.0439995,-0.159736,4.18025,-0.517028,8.63128,-0.0210735,0.144505,-0.0480204,-1.40429,8.09652,-1.83119,0.0319979,-0.596811,0.0440422,3.77673,4.12078,7.85727,0.060762,-0.0811698,-0.0549714
0.019,-0.0363829,-9.98807,-1.20303,-0.241746,-0.242256,0.555543,9.68691,1.66287,6.0451,0.218529,-0.112306,0.0836009,0.102301,7.39575,-2.51293,0.0547492,-2.02441,0.0731069,1.98857,-9.18537,-1.63582,0.0737244,-0.0458611,-0.155689,4.23366,-0.400806,8.63727,-0.0275547,0.137684,-0.046669,-1.31555,8.04738,-1.90418,0.0444072,-0.585627,0.0398536,3.76138,4.1358,7.86969,0.0555217,-0.077881,-0.054072
