Time,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0,-2.35054,-9.91488,-0.501727,0.137165,0.455883,0.012576,8.19606,-0.160452,4.28769,0.367018,0.376019,0.324156,-0.600332,8.78954,-0.863243,0.424562,-0.74385,-0.298221,2.08412,-9.29248,-1.70616,0.0163053,0.413991,0.226515,5.2404,-2.96991,7.48115,-0.117867,0.0235324,0.149704,-0.694242,9.59786,-1.32532,0.0376686,0.272096,0.107142,4.68983,3.27891,7.93078,-0.237055,-0.0734764,-8.80346e-005
0.001,-2.41798,-9.92853,-0.49521,0.121798,0.458359,-0.00210564,8.23495,-0.118438,4.28562,0.36644,0.383394,0.320282,-0.575532,8.83184,-0.922336,0.435679,-0.737529,-0.301447,2.10364,-9.26665,-1.68036,0.0192802,0.410333,0.227242,5.25861,-2.95311,7.51808,-0.115399,0.0272009,0.14727,-0.721769,9.60555,-1.35692,0.0382989,0.284422,0.105259,4.67335,3.24919,7.98462,-0.235148,-0.0736844,0.00327408
0.002,-2.48541,-9.94218,-0.488692,0.106431,0.460835,-0.0167873,8.27384,-0.0764247,4.28355,0.365862,0.390769,0.316408,-0.550733,8.87414,-0.981428,0.446797,-0.731208,-0.304674,2.12316,-9.24081,-1.65457,0.022255,0.406674,0.22797,5.27682,-2.9363,7.55501,-0.11293,0.0308694,0.144836,-0.749297,9.61324,-1.38851,0.0389292,0.296748,0.103375,4.65688,3.21947,8.03845,-0.233242,-0.0738923,0.0066362
0.003,-2.55284,-9.95582,-0.482175,0.0910631,0.463312,-0.031469,8.31273,-0.0344113,4.28149,0.365284,0.398144,0.312534,-0.525934,8.91645,-1.04052,0.457914,-0.724887,-0.3079,2.14268,-9.21497,-1.62877,0.0252299,0.403016,0.228698,5.29502,-2.9195,7.59194,-0.110461,0.0345378,0.142401,-0.776824,9.62093,-1.42011,0.0395596,0.309074,0.101491,4.6404,3.18974,8.09228,-0.231336,-0.0741003,0.00999832
0.004,-2.62028,-9.96947,-0.475657,0.0756957,0.465788,-0.0461507,8.35162,0.00760222,4.27942,0.364705,0.405518,0.30866,-0.501134,8.95875,-1.09961,0.469032,-0.718565,-0.311127,2.1622,-9.18914,-1.60298,0.0282048,0.399358,0.229426,5.31323,-2.90269,7.62887,-0.107993,0.0382063,0.139967,-0.804351,9.62862,-1.45171,0.0401899,0.3214,0.0996075,4.62393,3.16002,8.14611,-0.229429,-0.0743082,0.0133604
0.005,-2.65429,-9.98399,-0.470665,0.0586543,0.469577,-0.0601606,8.39713,0.0441748,4.26661,0.362288,0.411906,0.303887,-0.472348,9.02378,-1.16082,0.474568,-0.707945,-0.316283,2.15476,-9.20529,-1.573,0.0299419,0.395331,0.23187,5.32816,-2.89135,7.63562,-0.107365,0.0406937,0.140127,-0.821772,9.62557,-1.46886,0.0386912,0.334122,0.0968877,4.61199,3.10659,8.17907,-0.224734,-0.0740429,0.015622
0.006,-2.66157,-9.9992,-0.466894,0.0402738,0.474417,-0.073633,8.44794,0.0763947,4.24521,0.3584,0.417504,0.298394,-0.440373,9.107,-1.22371,0.475638,-0.693884,-0.322984,2.12576,-9.25505,-1.53968,0.030689,0.391008,0.235688,5.34046,-2.88437,7.61821,-0.108209,0.0422362,0.142363,-0.831108,9.61393,-1.47447,0.0354893,0.347161,0.0934992,4.60367,3.03419,8.19534,-0.217808,-0.0733991,0.0170032
0.007,-2.66885,-10.0144,-0.463122,0.0218932,0.479256,-0.0871055,8.49875,0.108615,4.22382,0.354511,0.423102,0.292901,-0.408398,9.19022,-1.28661,0.476708,-0.679823,-0.329684,2.09676,-9.30481,-1.50636,0.0314361,0.386685,0.239506,5.35276,-2.87739,7.60081,-0.109053,0.0437787,0.144598,-0.840445,9.60229,-1.48008,0.0322874,0.3602,0.0901106,4.59535,2.96179,8.2116,-0.210882,-0.0727552,0.0183844
0.008,-2.67613,-10.0296,-0.459351,0.0035127,0.484095,-0.100578,8.54956,0.140835,4.20242,0.350623,0.4287,0.287407,-0.376423,9.27344,-1.34951,0.477778,-0.665762,-0.336385,2.06776,-9.35456,-1.47305,0.0321831,0.382363,0.243325,5.36506,-2.87042,7.58341,-0.109898,0.0453212,0.146834,-0.849781,9.59064,-1.48568,0.0290855,0.373239,0.0867221,4.58704,2.88939,8.22786,-0.203956,-0.0721113,0.0197656
0.009,-2.6859,-10.0427,-0.450834,-0.0147539,0.488627,-0.114078,8.59992,0.173899,4.18366,0.346867,0.434096,0.281864,-0.344476,9.35478,-1.41293,0.477479,-0.65076,-0.342987,2.038,-9.40443,-1.43286,0.0330999,0.377563,0.246754,5.37697,-2.8622,7.57106,-0.111149,0.046985,0.148225,-0.858317,9.57623,-1.49574,0.025118,0.387633,0.0833586,4.58028,2.81621,8.23749,-0.197551,-0.0713819,0.0208484
