Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z
0.01,1.55031,-1.77081,8.95777,-2.06581,-1.02851,-1.6578,-2.39802,6.95657,-8.15518,0.498673,-1.34729,0.0327916,-3.09956,-11.4586,-0.471106,-0.282228,0.378013,-0.28554,9.36503,0.68898,3.1997,-0.456854,-0.0637794,0.00568701,7.4523,0.597523,7.4568,-0.0105712,-0.140211,-0.0733145,-1.35807,-10.4813,-2.99367,-0.366443,2.51409,-0.180693,-3.42387,9.43002,-0.263496,0.124915,-0.205716,0.172769
0.011,2.0777,-3.89139,8.50052,-2.04836,-1.00481,-1.66418,-2.28011,7.0397,-8.23297,0.492569,-1.3976,0.0310747,-3.08676,-11.431,-0.352195,-0.27171,0.334997,-0.287982,9.33278,0.785286,3.08917,-0.431357,-0.0570928,-0.0074255,7.66198,0.388834,7.38585,-0.0194968,-0.089735,-0.068909,-1.30639,-10.777,-3.03828,-0.381387,2.40451,-0.178075,-3.52286,9.30057,-0.281127,0.133888,-0.231269,0.179942
0.012,2.60508,-6.01197,8.04328,-2.03092,-0.981109,-1.67056,-2.16221,7.12283,-8.31075,0.486464,-1.44792,0.0293578,-3.07396,-11.4034,-0.233284,-0.261192,0.29198,-0.290423,9.30053,0.881591,2.97864,-0.40586,-0.0504062,-0.020538,7.87167,0.180145,7.3149,-0.0284224,-0.039259,-0.0645035,-1.25471,-11.0726,-3.08289,-0.39633,2.29493,-0.175457,-3.62186,9.17112,-0.298758,0.142861,-0.256823,0.187114
0.013,3.13247,-8.13255,7.58604,-2.01348,-0.95741,-1.67694,-2.0443,7.20596,-8.38854,0.480359,-1.49823,0.0276409,-3.06115,-11.3757,-0.114372,-0.250674,0.248964,-0.292864,9.26828,0.977896,2.86811,-0.380363,-0.0437195,-0.0336505,8.08135,-0.0285438,7.24396,-0.0373481,0.0112171,-0.060098,-1.20303,-11.3682,-3.1275,-0.411274,2.18535,-0.172839,-3.72085,9.04167,-0.316389,0.151834,-0.282376,0.194286
0.014,3.9766,-9.4015,7.15252,-1.95546,-0.895679,-1.69551,-1.92898,7.35443,-8.03409,0.452788,-1.55017,0.0152615,-2.97083,-11.2845,-0.00977127,-0.244157,0.214702,-0.292141,9.25491,1.05543,2.79292,-0.355624,-0.0327116,-0.043354,8.02345,-0.228418,7.25513,-0.038846,0.0381019,-0.0556265,-1.17569,-11.5432,-3.17406,-0.418726,2.06871,-0.157346,-3.77842,8.9418,-0.374738,0.169643,-0.302533,0.199074
0.015,4.9791,-10.2446,6.73087,-1.87716,-0.814933,-1.72017,-1.81494,7.53557,-7.46354,0.414484,-1.60291,-0.00244914,-2.84174,-11.1614,0.0876748,-0.239641,0.184817,-0.289835,9.25099,1.12358,2.7354,-0.331265,-0.0195431,-0.0513529,7.83177,-0.423884,7.30735,-0.03663,0.0531911,-0.051122,-1.16051,-11.6579,-3.22159,-0.422432,1.94856,-0.135415,-3.81529,8.85671,-0.453447,0.191869,-0.319993,0.202669
0.016,5.9816,-11.0878,6.30922,-1.79886,-0.734186,-1.74483,-1.70091,7.7167,-6.89298,0.376179,-1.65566,-0.0201598,-2.71265,-11.0383,0.185121,-0.235124,0.154933,-0.287529,9.24707,1.19173,2.67788,-0.306906,-0.00637457,-0.0593518,7.64009,-0.619351,7.35958,-0.0344141,0.0682803,-0.0466176,-1.14534,-11.7725,-3.26913,-0.426138,1.8284,-0.113485,-3.85215,8.77162,-0.532155,0.214096,-0.337452,0.206265
0.017,6.98409,-11.9309,5.88756,-1.72056,-0.65344,-1.76949,-1.58687,7.89784,-6.32242,0.337875,-1.7084,-0.0378705,-2.58357,-10.9151,0.282567,-0.230608,0.125049,-0.285223,9.24315,1.25987,2.62036,-0.282547,0.00679396,-0.0673507,7.44841,-0.814817,7.41181,-0.0321981,0.0833695,-0.0421131,-1.13017,-11.8872,-3.31667,-0.429845,1.70824,-0.0915541,-3.88902,8.68654,-0.610864,0.236322,-0.354912,0.20986
0.018,7.89489,-12.2939,5.54902,-1.64265,-0.575623,-1.79762,-1.54095,8.08297,-5.74988,0.302341,-1.75376,-0.0560422,-2.44334,-10.7923,0.354094,-0.225807,0.0974137,-0.282518,9.26081,1.31234,2.56596,-0.260223,0.020936,-0.0732894,7.24057,-0.956573,7.46601,-0.0288653,0.0940276,-0.0382593,-1.14007,-11.9757,-3.36414,-0.430159,1.58965,-0.0675321,-3.90359,8.59935,-0.711436,0.259621,-0.371868,0.211979
0.019,8.48474,-10.9765,5.50136,-1.56613,-0.508062,-1.83793,-1.73341,8.28209,-5.17037,0.276504,-1.77325,-0.0758277,-2.26414,-10.6702,0.334905,-0.220008,0.0776517,-0.278419,9.354,1.30993,2.52249,-0.24502,0.0384852,-0.0720173,6.97616,-0.91034,7.52711,-0.0216238,0.0891766,-0.0366828,-1.23775,-11.9727,-3.41141,-0.418601,1.47654,-0.0361901,-3.84017,8.50481,-0.88853,0.286676,-0.387061,0.208929
