Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z
0.0,-9.71296,1.59618,7.35217,-1.11962,-0.658172,0.807122,5.16353,-2.9799,1.42673,0.842645,-0.313351,-0.125622,0.43476,-9.84946,0.48009,-0.34445,0.267711,-0.169895,7.80519,-3.83917,1.09636,0.945584,-0.114438,-0.550956,5.36617,-0.0784835,8.10306,0.0884489,-0.0351116,-0.0535246,0.738353,-9.24484,-1.36626,-0.166926,0.39618,0.260517,-9.83978,3.64732,-4.49166,0.604604,-0.195533,-0.537658
0.001,-8.67252,0.615314,9.00351,-1.17895,-0.158974,0.586205,4.41061,-2.76543,0.621602,0.828444,-0.367419,-0.0277044,0.456896,-9.81842,0.470295,-0.350343,0.27151,-0.169045,7.85745,-3.80864,1.28007,0.967751,-0.118367,-0.552151,5.3601,-0.0707425,8.10688,0.0853768,-0.0333249,-0.0555458,0.665211,-9.22635,-1.43355,-0.172027,0.417484,0.260586,-9.4676,3.71174,-4.45119,0.583262,-0.222523,-0.580033
0.002,-7.63209,-0.365554,10.6548,-1.23827,0.340223,0.365287,3.65769,-2.55095,-0.183521,0.814242,-0.421487,0.0702128,0.479031,-9.78738,0.460501,-0.356236,0.27531,-0.168196,7.90971,-3.77811,1.46378,0.989917,-0.122297,-0.553346,5.35403,-0.0630015,8.1107,0.0823048,-0.0315382,-0.0575671,0.592069,-9.20785,-1.50085,-0.177127,0.438787,0.260655,-9.09541,3.77616,-4.41072,0.56192,-0.249512,-0.622408
0.003,-6.59165,-1.34642,12.3062,-1.2976,0.839421,0.144369,2.90477,-2.33648,-0.988645,0.800041,-0.475555,0.16813,0.501167,-9.75634,0.450706,-0.362129,0.27911,-0.167346,7.96196,-3.74758,1.64749,1.01208,-0.126227,-0.554542,5.34796,-0.0552605,8.11452,0.0792327,-0.0297516,-0.0595884,0.518927,-9.18935,-1.56814,-0.182227,0.46009,0.260725,-8.72323,3.84058,-4.37024,0.540578,-0.276502,-0.664782
0.004,-5.55121,-2.32729,13.9575,-1.35693,1.33862,-0.0765484,2.15185,-2.12201,-1.79377,0.785839,-0.529623,0.266047,0.523302,-9.7253,0.440911,-0.368022,0.282909,-0.166497,8.01422,-3.71705,1.8312,1.03425,-0.130157,-0.555737,5.34189,-0.0475195,8.11833,0.0761606,-0.0279649,-0.0616096,0.445785,-9.17086,-1.63543,-0.187328,0.481394,0.260794,-8.35105,3.905,-4.32977,0.519235,-0.303492,-0.707157
0.005,-4.28299,-2.59131,16.3048,-1.36204,1.87305,-0.430353,1.77266,-1.41985,-1.12954,0.733115,-0.64066,0.388461,0.531414,-9.71192,0.435967,-0.371497,0.287617,-0.165311,8.05305,-3.71181,1.9887,1.04885,-0.14427,-0.550757,5.34517,-0.0572741,8.12079,0.0747131,-0.0254449,-0.0627335,0.404576,-9.17214,-1.68603,-0.192658,0.501557,0.260229,-7.99202,4.05631,-4.36309,0.502173,-0.326567,-0.75224
0.006,-2.83255,-2.28185,19.2088,-1.32379,2.43567,-0.890469,1.69247,-0.327559,0.710168,0.649572,-0.797271,0.530472,0.528308,-9.71265,0.434904,-0.373039,0.293051,-0.163856,8.08113,-3.72681,2.12524,1.05739,-0.166529,-0.540837,5.35595,-0.0810251,8.12216,0.0745652,-0.0223384,-0.0631394,0.388912,-9.18924,-1.72327,-0.198172,0.520809,0.259155,-7.6435,4.27713,-4.45544,0.488535,-0.346512,-0.799489
0.007,-1.38211,-1.9724,22.1128,-1.28554,2.99829,-1.35058,1.61228,0.764735,2.54988,0.56603,-0.953882,0.672483,0.525202,-9.71339,0.43384,-0.374581,0.298485,-0.162402,8.1092,-3.74181,2.26178,1.06594,-0.188789,-0.530917,5.36672,-0.104776,8.12353,0.0744172,-0.0192318,-0.0635454,0.373248,-9.20633,-1.7605,-0.203685,0.540061,0.258082,-7.29499,4.49796,-4.54779,0.474896,-0.366456,-0.846738
0.008,0.0683372,-1.66294,25.0169,-1.24728,3.56091,-1.8107,1.53209,1.85703,4.38959,0.482488,-1.11049,0.814494,0.522096,-9.71412,0.432777,-0.376123,0.303919,-0.160947,8.13728,-3.75681,2.39831,1.07448,-0.211048,-0.520997,5.37749,-0.128527,8.1249,0.0742693,-0.0161252,-0.0639514,0.357585,-9.22343,-1.79774,-0.209199,0.559314,0.257009,-6.94648,4.71879,-4.64014,0.461258,-0.3864,-0.893988
0.009,1.38089,-0.929743,27.6696,-1.22909,4.06709,-2.26644,1.57654,2.90008,6.20119,0.398219,-1.27664,0.957752,0.51677,-9.71909,0.430921,-0.377652,0.309727,-0.159497,8.16588,-3.77954,2.5154,1.0817,-0.231781,-0.512141,5.38803,-0.151722,8.12671,0.0742456,-0.0131807,-0.0644347,0.338154,-9.23849,-1.83094,-0.214202,0.578597,0.25629,-6.60243,4.94317,-4.71718,0.44888,-0.405056,-0.941234
