Time,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z
0.0,0.618725,9.78299,-1.63956,0.00344896,0.169972,-0.0700761,4.8787,2.1074,8.14293,-0.0940584,0.0283668,0.069225,0.18761,9.7497,-1.04804,-0.0460183,0.184806,-0.092823,8.60814,1.75133,2.58452,0.21811,-0.0614769,0.0358094,-0.171283,-9.75632,-1.33952,0.00758471,-0.0785406,-0.0453934,4.0668,-2.25308,8.32748,-0.0570483,-0.0240931,0.0610471,-0.0859357,-10.2307,-0.789371,0.0479705,0.166846,0.141622
0.001,0.513258,9.77077,-1.66575,-0.000702035,0.171492,-0.0724244,4.86621,2.10106,8.14768,-0.0951073,0.029923,0.0700373,0.124747,9.7264,-1.10245,-0.0421783,0.188403,-0.0883989,8.59233,1.75882,2.58549,0.208469,-0.0600579,0.0311492,-0.233699,-9.71993,-1.35293,0.00644509,-0.0797699,-0.0432456,4.09647,-2.24752,8.30751,-0.0499619,-0.0223618,0.0546907,-0.0714631,-10.1898,-0.754106,0.0499608,0.165184,0.140585
0.002,0.407791,9.75855,-1.69194,-0.00485303,0.173012,-0.0747726,4.85371,2.09472,8.15242,-0.0961562,0.0314793,0.0708496,0.0618845,9.70311,-1.15687,-0.0383383,0.191999,-0.0839749,8.57653,1.7663,2.58646,0.198828,-0.0586389,0.0264891,-0.296115,-9.68353,-1.36635,0.00530547,-0.0809991,-0.0410977,4.12613,-2.24196,8.28755,-0.0428756,-0.0206305,0.0483344,-0.0569905,-10.1488,-0.718842,0.0519511,0.163521,0.139548
0.003,0.302324,9.74632,-1.71813,-0.00900402,0.174532,-0.0771209,4.84122,2.08838,8.15716,-0.097205,0.0330355,0.0716618,-0.000978512,9.67981,-1.21129,-0.0344983,0.195596,-0.0795508,8.56072,1.77378,2.58743,0.189187,-0.0572199,0.0218289,-0.358531,-9.64714,-1.37976,0.00416584,-0.0822283,-0.0389498,4.1558,-2.2364,8.26758,-0.0357892,-0.0188991,0.0419781,-0.0425178,-10.1079,-0.683577,0.0539414,0.161858,0.138511
0.004,0.196857,9.7341,-1.74433,-0.013155,0.176053,-0.0794692,4.82872,2.08204,8.1619,-0.0982539,0.0345917,0.0724741,-0.0638415,9.65652,-1.2657,-0.0306583,0.199193,-0.0751268,8.54492,1.78126,2.58841,0.179546,-0.0558009,0.0171688,-0.420948,-9.61075,-1.39317,0.00302622,-0.0834575,-0.0368019,4.18547,-2.23083,8.24761,-0.0287029,-0.0171678,0.0356217,-0.0280452,-10.067,-0.648312,0.0559317,0.160196,0.137475
0.005,0.113566,9.73165,-1.72197,-0.0166136,0.174885,-0.0819466,4.82041,2.07057,8.17896,-0.0995083,0.0360905,0.0725681,-0.129234,9.64005,-1.31719,-0.0255705,0.204502,-0.0701269,8.52513,1.79903,2.59514,0.170377,-0.0547893,0.0142204,-0.471952,-9.59564,-1.40449,0.00229986,-0.0853705,-0.034162,4.21494,-2.20924,8.23872,-0.021516,-0.0156413,0.0287947,-0.0123214,-10.0321,-0.624377,0.0566151,0.157032,0.136927
0.006,0.0480165,9.73702,-1.66076,-0.0195182,0.171568,-0.0845274,4.81545,2.055,8.20586,-0.100927,0.0375433,0.0720875,-0.19665,9.62905,-1.36633,-0.0194846,0.21118,-0.0646663,8.50215,1.82504,2.60649,0.161587,-0.0541038,0.0126414,-0.513828,-9.59757,-1.41413,0.00190409,-0.0878304,-0.0311286,4.24425,-2.17482,8.23869,-0.0142488,-0.0142787,0.0215911,0.00440332,-10.0021,-0.609504,0.0562531,0.152668,0.136771
0.007,-0.017533,9.74238,-1.59956,-0.0224228,0.168251,-0.0871082,4.81048,2.03943,8.23276,-0.102346,0.0389961,0.071607,-0.264066,9.61804,-1.41548,-0.0133987,0.217859,-0.0592058,8.47917,1.85104,2.61783,0.152796,-0.0534182,0.0110625,-0.555703,-9.5995,-1.42378,0.00150833,-0.0902904,-0.0280952,4.27356,-2.14041,8.23866,-0.00698162,-0.0129161,0.0143875,0.021128,-9.97202,-0.594632,0.055891,0.148304,0.136615
0.008,-0.0830826,9.74775,-1.53836,-0.0253274,0.164934,-0.089689,4.80552,2.02386,8.25967,-0.103765,0.0404489,0.0711264,-0.331482,9.60703,-1.46462,-0.00731285,0.224537,-0.0537452,8.45619,1.87704,2.62918,0.144006,-0.0527327,0.00948356,-0.597579,-9.60143,-1.43342,0.00111256,-0.0927503,-0.0250618,4.30288,-2.10599,8.23863,0.000285588,-0.0115535,0.00718385,0.0378528,-9.94198,-0.57976,0.0555289,0.14394,0.136459
0.009,-0.149245,9.75682,-1.4798,-0.0284747,0.161363,-0.0918914,4.80112,2.00907,8.28402,-0.105508,0.041873,0.0706091,-0.394748,9.59917,-1.51388,-0.00139953,0.230959,-0.0487933,8.43466,1.89994,2.64104,0.135308,-0.0523196,0.00768122,-0.642332,-9.60404,-1.43792,0.000845845,-0.0955161,-0.0220588,4.33616,-2.0679,8.23778,0.0073783,-0.0102187,0.000346105,0.0548561,-9.91382,-0.567014,0.0551049,0.139517,0.136201
0.01,-0.220312,9.79557,-1.44238,-0.0335635,0.155759,-0.0910669,4.80118,2.00051,8.28802,-0.109847,0.0430676,0.0697981,-0.424812,9.61646,-1.56411,0.00313323,0.23533,-0.0479111,8.42477,1.89799,2.65701,0.127359,-0.054086,0.00409166,-0.710106,-9.61212,-1.40121,0.00161151,-0.100729,-0.0192992,4.40126,-2.00041,8.23029,0.0130751,-0.00910603,-0.00356471,0.0740886,-9.90073,-0.571287,0.0541853,0.134618,0.135131
0.011,-0.29138,9.83432,-1.40496,-0.0386522,0.150155,-0.0902423,4.80124,1.99195,8.29201,-0.114187,0.0442622,0.0689872,-0.454876,9.63376,-1.61434,0.007666,0.2397,-0.047029,8.41488,1.89605,2.67298,0.119409,-0.0558525,0.0005021,-0.77788,-9.6202,-1.3645,0.00237717,-0.105942,-0.0165395,4.46635,-1.93292,8.2228,0.0187719,-0.00799338,-0.00747553,0.093321,-9.88763,-0.57556,0.0532657,0.129719,0.134061
0.012,-0.362447,9.87306,-1.36755,-0.043741,0.144551,-0.0894178,4.8013,1.98339,8.296,-0.118526,0.0454567,0.0681763,-0.48494,9.65106,-1.66457,0.0121988,0.24407,-0.0461468,8.40499,1.8941,2.68894,0.111459,-0.0576189,-0.00308746,-0.845654,-9.62828,-1.32779,0.00314284,-0.111154,-0.0137799,4.53145,-1.86543,8.21531,0.0244686,-0.00688073,-0.0113863,0.112553,-9.87454,-0.579832,0.0523461,0.12482,0.132991
0.013,-0.433514,9.91181,-1.33013,-0.0488297,0.138947,-0.0885933,4.80137,1.97482,8.3,-0.122865,0.0466513,0.0673653,-0.515004,9.66835,-1.71481,0.0167315,0.24844,-0.0452646,8.39511,1.89215,2.70491,0.103509,-0.0593854,-0.00667702,-0.913429,-9.63636,-1.29108,0.0039085,-0.116367,-0.0110203,4.59654,-1.79794,8.20782,0.0301654,-0.00576808,-0.0152972,0.131786,-9.86145,-0.584105,0.0514265,0.119921,0.131921
0.014,-0.475796,9.90352,-1.29503,-0.0515034,0.134849,-0.0883066,4.80116,1.98044,8.30937,-0.125665,0.0469888,0.067095,-0.543647,9.6555,-1.74747,0.0219859,0.252236,-0.0446134,8.38209,1.87689,2.7009,0.0955817,-0.0600305,-0.00956803,-1.00037,-9.64001,-1.2571,0.00470865,-0.121934,-0.00806697,4.63874,-1.74448,8.20705,0.0373165,-0.00389604,-0.0202858,0.134661,-9.8287,-0.589933,0.0509973,0.11398,0.129747
0.015,-0.503685,9.87172,-1.2611,-0.0529697,0.131505,-0.0882887,4.80082,1.99316,8.32144,-0.127695,0.0468978,0.067095,-0.57158,9.62757,-1.77136,0.027601,0.255744,-0.0440777,8.36752,1.85496,2.68689,0.087665,-0.0601151,-0.0121098,-1.09691,-9.64143,-1.22448,0.00552605,-0.127678,-0.00501674,4.66948,-1.69805,8.20965,0.0451948,-0.00164431,-0.0258132,0.129358,-9.78611,-0.596539,0.0508134,0.107517,0.127022
0.016,-0.531574,9.83993,-1.22717,-0.054436,0.12816,-0.0882709,4.80048,2.00587,8.33351,-0.129726,0.0468067,0.067095,-0.599513,9.59964,-1.79524,0.0332162,0.259253,-0.0435421,8.35295,1.83304,2.67288,0.0797483,-0.0601996,-0.0146515,-1.19344,-9.64285,-1.19185,0.00634344,-0.133422,-0.00196652,4.70022,-1.65161,8.21225,0.0530732,0.000607419,-0.0313407,0.124054,-9.74353,-0.603145,0.0506294,0.101055,0.124297
0.017,-0.559463,9.80813,-1.19323,-0.0559022,0.124816,-0.0882531,4.80013,2.01858,8.34558,-0.131756,0.0467157,0.067095,-0.627447,9.57171,-1.81912,0.0388314,0.262761,-0.0430064,8.33837,1.81111,2.65888,0.0718316,-0.0602842,-0.0171932,-1.28997,-9.64427,-1.15923,0.00716084,-0.139166,0.00108371,4.73097,-1.60517,8.21485,0.0609515,0.00285915,-0.0368682,0.118751,-9.70095,-0.609751,0.0504454,0.0945923,0.121571
0.018,-0.585087,9.78709,-1.1587,-0.0582137,0.121203,-0.0888438,4.80414,2.02827,8.35092,-0.13363,0.0468962,0.0671929,-0.655699,9.54166,-1.83683,0.0444352,0.265565,-0.042334,8.32656,1.79336,2.64446,0.0642604,-0.0603333,-0.0194645,-1.37526,-9.64795,-1.12614,0.00804655,-0.144798,0.00367368,4.75804,-1.55814,8.21758,0.0688539,0.00513052,-0.0418985,0.110487,-9.66752,-0.608431,0.0500892,0.087685,0.118829
0.019,-0.602786,9.80369,-1.12208,-0.0634836,0.11665,-0.0915645,4.82335,2.02739,8.33275,-0.134959,0.0480269,0.0676336,-0.685071,9.50415,-1.8329,0.0499994,0.265907,-0.0411826,8.3244,1.79023,2.62862,0.0578988,-0.0602581,-0.0207895,-1.42119,-9.65949,-1.09143,0.00917137,-0.150034,0.00465271,4.77225,-1.50905,8.22079,0.0768408,0.00747061,-0.0451888,0.0918582,-9.66614,-0.579371,0.0491303,0.0792213,0.116025
0.02,-0.620484,9.82029,-1.08546,-0.0687534,0.112098,-0.0942852,4.84257,2.02651,8.31457,-0.136288,0.0491577,0.0680742,-0.714444,9.46665,-1.82897,0.0555636,0.266249,-0.0400313,8.32225,1.78711,2.61278,0.0515371,-0.0601829,-0.0221145,-1.46712,-9.67104,-1.05672,0.0102962,-0.155271,0.00563174,4.78646,-1.45995,8.22399,0.0848277,0.00981071,-0.0484792,0.0732297,-9.66476,-0.550311,0.0481714,0.0707576,0.113221
0.021,-0.638182,9.83689,-1.04883,-0.0740233,0.107546,-0.0970059,4.86178,2.02564,8.2964,-0.137617,0.0502885,0.0685149,-0.743816,9.42914,-1.82504,0.0611278,0.26659,-0.03888,8.32009,1.78398,2.59693,0.0451755,-0.0601078,-0.0234395,-1.51305,-9.68258,-1.022,0.011421,-0.160508,0.00661077,4.80067,-1.41086,8.2272,0.0928146,0.0121508,-0.0517695,0.0546013,-9.66338,-0.52125,0.0472125,0.0622939,0.110418
0.022,-0.655881,9.85349,-1.01221,-0.0792932,0.102993,-0.0997266,4.881,2.02476,8.27822,-0.138946,0.0514192,0.0689556,-0.773188,9.39164,-1.82111,0.066692,0.266932,-0.0377287,8.31793,1.78085,2.58109,0.0388139,-0.0600326,-0.0247644,-1.55898,-9.69413,-0.987291,0.0125458,-0.165744,0.0075898,4.81488,-1.36176,8.2304,0.100802,0.0144909,-0.0550599,0.0359728,-9.66199,-0.49219,0.0462536,0.0538302,0.107614
0.023,-0.674793,9.85642,-1.01911,-0.0815934,0.0998452,-0.0987183,4.88706,2.02651,8.26249,-0.140035,0.0534845,0.0695029,-0.779051,9.38666,-1.81974,0.0693332,0.265146,-0.0379723,8.30558,1.75445,2.5918,0.0324266,-0.0602059,-0.0267508,-1.58044,-9.71619,-0.962792,0.012155,-0.171044,0.00875646,4.80504,-1.35497,8.23607,0.107203,0.0160654,-0.0578873,0.0245554,-9.67815,-0.48254,0.045328,0.0447497,0.105414
