Time,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus
0.043,0.0692975,0.0517249,0.0173505,0.0118088,0.06944,0.0694778,0.0521628,0.027291,0.083967,0.0931082,0.0596759,0.0225009,0.0734259,0.0667062,0.048092,0.0267224
0.044,0.0473248,0.0608801,0.0222333,0.026152,0.0419742,0.0685623,0.0417868,0.0227133,0.0400217,0.0836478,0.035567,0.0334872,0.0761725,0.0758615,0.0267297,0.0660901
0.045,0.0491559,0.0352454,0.0432904,0.0173019,0.0370914,0.0642899,0.0353781,0.0269858,0.000959167,0.0982962,0.0557086,0.0127353,0.0676276,0.0557199,0.0548059,0.0322156
0.046,0.0616681,0.0587439,0.056413,0.0554489,0.062421,0.0603226,0.0207297,0.0471274,0.0366647,0.100738,0.0489947,0.0356235,0.0654913,0.0642648,0.0413782,0.0978284
0.047,0.0738751,0.060575,0.0521405,0.0478195,0.0697452,0.0835159,0.0713889,0.0306479,0.126997,0.09616,0.0734088,0.0392856,0.0654913,0.0841013,0.0700647,0.0474744
0.048,0.0586163,0.0505042,0.0570233,0.062468,0.0529605,0.0597122,0.0405661,0.0764243,0.208784,0.0760184,0.0663898,0.043558,0.0676276,0.0908151,0.0535852,0.0779919
0.049,0.0491559,0.039823,0.0393231,0.0276779,0.0331241,0.0578812,0.0481955,0.0230185,0.195966,0.0781546,0.0724933,0.0383701,0.0679327,0.0679269,0.0728113,0.0465588
0.05,0.0454938,0.0209021,0.0393231,0.0215744,0.0279361,0.0551346,0.0411765,0.0373618,0.0742014,0.0299368,0.0404498,0.048746,0.0322272,0.049006,0.0123865,0.0630383
0.051,0.0418317,0.0236487,0.0158246,0.00814667,0.0270206,0.0584915,0.0399558,0.0178305,0.0330026,0.0158987,0.0584552,0.0282993,0.0413824,0.052363,0.0612146,0.0413709
0.052,0.0543439,0.0288367,0.0725873,0.024321,0.0380069,0.0499466,0.0573508,0.0349203,-0.00178741,0.0174246,0.0242755,0.0524081,0.0416876,0.0673166,0.0447351,0.0471692
0.053,0.0442731,0.0550818,0.0603803,0.0154709,0.00382721,0.0734451,0.049111,0.0422446,-0.0161307,0.0570975,0.0648639,0.046915,0.0239874,0.0828806,0.0621301,0.0413709
0.054,0.0589215,0.0489783,0.0664838,0.0209641,0.00932037,0.0621536,0.0619284,0.0404135,-0.0545828,0.0552664,0.0746295,0.0609531,0.0728156,0.0642648,0.0413782,0.0709729
0.055,0.0509869,0.0395178,0.035661,-0.00467072,0.0206119,0.0673416,0.0466696,0.0440756,-0.0130789,0.0427542,0.0523517,0.0530185,0.0767828,0.0755563,0.0279504,0.0471692
0.056,0.0232159,0.00442261,0.0710614,0.0179123,0.0535709,0.0441483,0.0356833,0.0422446,-0.0893729,0.0247488,0.0532672,0.0264682,0.0749518,0.0422922,0.0139124,0.029469
0.057,0.035423,0.0202917,0.0539716,0.0414108,0.0999576,0.0685623,0.00241913,0.0156943,-0.116228,0.040618,0.0444171,0.0197543,0.0487067,0.0483957,0.0294763,0.0404553
0.058,0.0442731,-0.000155029,0.0548871,0.114958,0.160993,0.0569656,0.0695578,0.0358359,-0.165056,0.0174246,0.0727985,0.0310458,0.0920416,0.0203195,0.0215417,0.00963257
0.059,0.0659406,0.0141882,0.0747235,0.123503,0.12193,0.0771072,0.0460593,0.0462119,-0.239519,0.0497733,0.0499103,0.0395908,0.110963,0.0587717,0.0660974,0.0169568
0.06,0.052818,0.0389075,0.102495,0.0865768,0.123456,0.0661209,0.0527731,0.0697104,-0.116534,0.0271902,0.0691364,0.0298251,0.0972296,0.0563303,0.0465662,0.0245862
