Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0.043,0.0586163,0.019071,0.0496991,0.0618576,0.057233,0.0639847,0.0390402,0.174691,0.0616891,0.0235281,0.0761554,0.100016,0.0786139,0.161006,-0.0397986,0.064259
0.044,0.0439679,0.0511145,0.0673993,0.0801682,0.0608951,0.0688675,0.0561301,0.190255,0.0699289,0.0461111,0.0627277,0.0844516,0.0661017,0.112788,-0.0498694,0.0447278
0.045,0.0314557,0.0584387,0.0500043,0.0728439,0.0709659,0.0667313,0.054299,0.187813,0.0595529,0.0305472,0.0508258,0.0881137,0.049317,0.103938,0.0221521,0.0584607
0.046,0.0604474,0.0517249,0.0417645,0.062468,0.0544864,0.0490311,0.0756613,0.194222,0.066572,0.0357352,0.052962,0.0441684,0.0252081,0.00261932,0.0645715,0.0621228
0.047,0.0540387,0.0724768,0.0585492,0.05728,0.0593692,0.0261429,0.0759665,0.194832,0.0644357,0.042449,0.0605914,0.0563754,0.0261237,0.0273386,0.134152,0.0844006
0.048,0.0244366,0.0840735,0.0677045,0.0600265,0.0410587,0.0203445,0.0732199,0.209176,0.0754221,0.0586234,0.0727985,0.0667514,0.0557257,0.0389352,0.0865442,0.0749402
0.049,0.0168073,0.0938391,0.0527509,0.0511765,0.0486881,0.0438431,0.080239,0.197274,0.0784738,0.0445853,0.0590656,0.0899448,0.0676276,0.102107,0.107296,0.0822644
0.05,0.0363385,0.0874304,0.06862,0.0719284,0.0230533,0.0468948,0.0207297,0.182015,0.0467355,0.0647269,0.0605914,0.0652255,0.0566412,0.026423,0.11462,0.0889783
0.051,0.0363385,0.0816321,0.0661786,0.0380539,0.026105,0.0481155,-0.00246368,0.16462,0.056196,0.065032,0.0676105,0.0585117,0.0462653,0.00872284,0.153378,0.090199
0.052,0.0442731,0.069425,0.0493939,0.0490402,0.0370914,0.0432327,-0.0244363,0.167367,0.0812204,0.0592337,0.0721881,0.104288,0.0603033,0.00445038,0.171688,0.0721936
0.053,0.0338971,0.0639319,0.0533612,0.05728,0.0200015,0.0282791,-0.0717386,0.160958,0.0702341,0.0561819,0.0621173,0.0624789,0.0688483,0.0764719,0.0856287,0.0712781
0.054,0.0384747,0.0608801,0.0362714,0.0517868,0.0404483,0.0459793,-0.00673614,0.149666,0.0644357,0.0696097,0.0621173,0.0588168,0.0383307,0.0572458,0.0160486,0.0389294
0.055,0.0366437,0.0550818,0.0381024,0.0655197,0.0370914,0.0450638,-0.0409158,0.149056,0.0363596,0.0461111,0.0654742,0.0710239,0.0520636,0.0779977,0.0239832,0.0441174
0.056,0.0479352,-0.00412231,0.035661,0.0441574,0.0435001,0.036824,-0.00490509,0.15516,0.0513132,0.0601492,0.051131,0.02952,0.0279547,0.0831857,0.0606042,0.0236707
0.057,0.0680768,0.0169348,0.0435956,0.034697,0.0410587,0.0398758,0.124489,0.135018,0.0479562,0.0552664,0.0538776,0.0441684,0.0517584,0.0828806,0.051449,0.0483899
0.058,0.0622784,0.00533813,0.073808,0.0557541,0.0438052,0.0505569,0.132119,0.113961,0.058027,0.0705252,0.0731036,0.0557651,0.0361945,0.0755563,0.0218469,0.067616
0.059,0.0720441,0.0157141,0.0710614,0.0533127,0.0282413,0.0734451,0.0915305,0.108773,0.0461252,0.0589285,0.0566241,0.0481357,0.0361945,0.0520578,-0.131351,0.0718884
0.06,0.0418317,0.0169348,0.0545819,0.0420212,0.0212222,0.0621536,0.0845114,0.0938193,0.0699289,0.0534354,0.0608966,0.0536288,0.0346686,-0.000432434,-0.125248,0.0834851
0.061,0.0561749,0.0437903,0.0652631,0.0328659,0.0279361,0.0520828,0.0805441,0.0803915,0.0537546,0.0104056,0.0673053,0.0704135,0.0621344,0.062739,-0.0367468,0.0740247
