Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z
0.011,-0.886261,9.48132,-1.85597,-0.00114931,0.0346886,-0.0785038,-1.75964,9.73873,-0.528017,-0.0428858,0.0420223,-0.0492678,0.641958,-9.98396,-0.904563,-0.0388577,-0.0734395,0.0369211,3.69672,3.08909,8.80336,-0.0162524,0.00430412,0.0138232,-0.819296,-9.79372,-0.243394,-0.0794768,0.00474998,0.0315881,4.5225,-2.80491,8.16879,0.0329869,0.00679338,-0.0261471,4.5225,-2.80491,8.16879,0.0329869,0.00679338,-0.0261471
0.012,-0.894327,9.47915,-1.86704,-0.00248402,0.0367185,-0.076807,-1.74725,9.7361,-0.529844,-0.0427737,0.0427576,-0.0491487,0.620392,-9.97332,-0.918556,-0.0406576,-0.0729383,0.037076,3.71421,3.10201,8.80604,-0.0150424,0.00466328,0.0128531,-0.82073,-9.81685,-0.277163,-0.0801039,0.00496328,0.0335715,4.51911,-2.84199,8.17089,0.0334658,0.00747062,-0.0259269,4.51911,-2.84199,8.17089,0.0334658,0.00747062,-0.0259269
0.013,-0.902393,9.47697,-1.87811,-0.00381874,0.0387484,-0.0751101,-1.73486,9.73347,-0.53167,-0.0426617,0.0434929,-0.0490297,0.598825,-9.96268,-0.932548,-0.0424575,-0.0724371,0.037231,3.73169,3.11492,8.80872,-0.0138324,0.00502244,0.011883,-0.822164,-9.83998,-0.310931,-0.080731,0.00517657,0.0355548,4.51572,-2.87907,8.17299,0.0339448,0.00814785,-0.0257066,4.51572,-2.87907,8.17299,0.0339448,0.00814785,-0.0257066
0.014,-0.897582,9.47883,-1.87234,-0.00474594,0.0418327,-0.0748011,-1.73421,9.74447,-0.538685,-0.0428635,0.0444554,-0.0494051,0.588718,-9.95519,-0.93236,-0.0422155,-0.0714473,0.0371309,3.73273,3.11179,8.80643,-0.0140017,0.00510747,0.0119645,-0.833625,-9.8477,-0.317285,-0.080586,0.00482177,0.0367678,4.509,-2.88659,8.17265,0.0342767,0.00745861,-0.0260853,4.509,-2.88659,8.17265,0.0342767,0.00745861,-0.0260853
0.015,-0.886332,9.48271,-1.85815,-0.00546938,0.045444,-0.075186,-1.73941,9.76229,-0.548294,-0.0432221,0.0455314,-0.0500277,0.584341,-9.94927,-0.925081,-0.0409524,-0.0702133,0.0369033,3.72555,3.10063,8.80166,-0.0148608,0.00505545,0.0125719,-0.850101,-9.84771,-0.309933,-0.080055,0.00418293,0.0375956,4.50061,-2.87933,8.17109,0.034535,0.00608613,-0.0267635,4.50061,-2.87933,8.17109,0.034535,0.00608613,-0.0267635
0.016,-0.875081,9.48659,-1.84396,-0.00619281,0.0490554,-0.0755709,-1.74462,9.7801,-0.557903,-0.0435808,0.0466074,-0.0506503,0.579964,-9.94334,-0.917802,-0.0396894,-0.0689793,0.0366757,3.71837,3.08947,8.7969,-0.0157198,0.00500343,0.0131793,-0.866577,-9.84773,-0.30258,-0.079524,0.00354408,0.0384234,4.49223,-2.87207,8.16953,0.0347934,0.00471365,-0.0274416,4.49223,-2.87207,8.16953,0.0347934,0.00471365,-0.0274416
0.017,-0.863831,9.49047,-1.82977,-0.00691625,0.0526668,-0.0759558,-1.74982,9.79792,-0.567511,-0.0439395,0.0476834,-0.0512729,0.575587,-9.93742,-0.910523,-0.0384264,-0.0677453,0.0364481,3.71118,3.07831,8.79213,-0.0165789,0.0049514,0.0137867,-0.883052,-9.84775,-0.295227,-0.078993,0.00290524,0.0392513,4.48384,-2.86481,8.16797,0.0350518,0.00334117,-0.0281198,4.48384,-2.86481,8.16797,0.0350518,0.00334117,-0.0281198
0.018,-0.853257,9.4938,-1.81873,-0.0078365,0.055545,-0.0766282,-1.75801,9.81258,-0.576835,-0.0441597,0.0484846,-0.051604,0.570019,-9.93141,-0.902161,-0.0371128,-0.066325,0.0359235,3.7062,3.068,8.78782,-0.0174029,0.00501723,0.0144812,-0.896553,-9.84854,-0.285874,-0.0784394,0.00242236,0.0394523,4.47756,-2.85957,8.16352,0.0354143,0.00246998,-0.0284953,4.47756,-2.85957,8.16352,0.0354143,0.00246998,-0.0284953
0.019,-0.845047,9.49517,-1.81874,-0.00944562,0.055857,-0.0783073,-1.77663,9.81621,-0.585161,-0.0438953,0.0483239,-0.0509145,0.560285,-9.92511,-0.89001,-0.0356222,-0.0642528,0.0343597,3.70894,3.06063,8.78516,-0.0181043,0.00549551,0.0154809,-0.899641,-9.85207,-0.269523,-0.0778066,0.00248539,0.0374593,4.47865,-2.86139,8.14894,0.036141,0.00335332,-0.0278113,4.47865,-2.86139,8.14894,0.036141,0.00335332,-0.0278113
0.02,-0.836838,9.49653,-1.81874,-0.0110547,0.0561691,-0.0799863,-1.79525,9.81985,-0.593488,-0.0436309,0.0481633,-0.0502251,0.550552,-9.9188,-0.877858,-0.0341316,-0.0621807,0.0327958,3.71168,3.05325,8.78249,-0.0188057,0.00597379,0.0164806,-0.90273,-9.85559,-0.253172,-0.0771738,0.00254841,0.0354664,4.47974,-2.86321,8.13437,0.0368678,0.00423667,-0.0271274,4.47974,-2.86321,8.13437,0.0368678,0.00423667,-0.0271274
0.021,-0.828629,9.4979,-1.81875,-0.0126639,0.0564811,-0.0816654,-1.81387,9.82348,-0.601814,-0.0433665,0.0480026,-0.0495356,0.540818,-9.9125,-0.865707,-0.032641,-0.0601085,0.0312319,3.71442,3.04588,8.77982,-0.0195071,0.00645208,0.0174803,-0.905818,-9.85912,-0.236821,-0.076541,0.00261144,0.0334734,4.48083,-2.86504,8.11979,0.0375945,0.00512001,-0.0264435,4.48083,-2.86504,8.11979,0.0375945,0.00512001,-0.0264435
0.022,-0.820419,9.49927,-1.81875,-0.014273,0.0567931,-0.0833444,-1.83249,9.82711,-0.61014,-0.0431021,0.0478419,-0.0488462,0.531084,-9.90619,-0.853555,-0.0311504,-0.0580364,0.029668,3.71716,3.03851,8.77715,-0.0202085,0.00693036,0.01848,-0.908906,-9.86264,-0.220469,-0.0759082,0.00267447,0.0314805,4.48192,-2.86686,8.10522,0.0383213,0.00600336,-0.0257596,4.48192,-2.86686,8.10522,0.0383213,0.00600336,-0.0257596
0.023,-0.821218,9.4985,-1.82254,-0.0158096,0.058697,-0.0840642,-1.8378,9.80923,-0.616342,-0.0439784,0.0476541,-0.0472136,0.52537,-9.90259,-0.857352,-0.0311992,-0.0555559,0.0294037,3.72761,3.04616,8.7691,-0.0205281,0.00678773,0.018784,-0.924921,-9.85199,-0.214324,-0.0758208,0.00344276,0.0321159,4.48315,-2.84626,8.10203,0.0389028,0.0054771,-0.0256923,4.48315,-2.84626,8.10203,0.0389028,0.0054771,-0.0256923
0.024,-0.824591,9.49713,-1.8274,-0.0173256,0.0610558,-0.0845099,-1.83931,9.78519,-0.621937,-0.0451807,0.0474585,-0.0453115,0.520803,-9.89975,-0.865705,-0.0316879,-0.0529589,0.0295107,3.74026,3.05809,8.75952,-0.0207386,0.0064677,0.0188893,-0.944629,-9.83729,-0.211095,-0.0758891,0.00441255,0.0335022,4.48442,-2.81925,8.10209,0.0394429,0.00454809,-0.0258012,4.48442,-2.81925,8.10209,0.0394429,0.00454809,-0.0258012
0.025,-0.827964,9.49576,-1.83227,-0.0188415,0.0634145,-0.0849556,-1.84082,9.76116,-0.627532,-0.0463829,0.0472629,-0.0434094,0.516236,-9.89692,-0.874059,-0.0321767,-0.0503618,0.0296178,3.75292,3.07002,8.74993,-0.0209491,0.00614767,0.0189946,-0.964337,-9.82259,-0.207865,-0.0759574,0.00538234,0.0348886,4.48568,-2.79224,8.10214,0.039983,0.00361909,-0.0259102,4.48568,-2.79224,8.10214,0.039983,0.00361909,-0.0259102
0.026,-0.831337,9.49438,-1.83713,-0.0203575,0.0657732,-0.0854013,-1.84233,9.73712,-0.633128,-0.0475851,0.0470673,-0.0415073,0.51167,-9.89409,-0.882412,-0.0326654,-0.0477647,0.0297248,3.76557,3.08196,8.74035,-0.0211596,0.00582764,0.0190998,-0.984046,-9.8079,-0.204636,-0.0760258,0.00635213,0.0362749,4.48695,-2.76523,8.1022,0.0405232,0.00269008,-0.0260191,4.48695,-2.76523,8.1022,0.0405232,0.00269008,-0.0260191
0.027,-0.824194,9.49651,-1.84421,-0.0215295,0.0685521,-0.0858777,-1.83869,9.71749,-0.638617,-0.0487007,0.0472719,-0.0403647,0.511754,-9.89331,-0.888534,-0.0333166,-0.0450136,0.0300809,3.76866,3.08906,8.73496,-0.0211598,0.00550671,0.0187028,-0.996675,-9.79228,-0.20975,-0.0760067,0.00725728,0.0373932,4.48875,-2.7517,8.10285,0.0400588,0.00202723,-0.0254607,4.48875,-2.7517,8.10285,0.0400588,0.00202723,-0.0254607
0.028,-0.796019,9.50561,-1.85571,-0.0220137,0.0721712,-0.0864153,-1.82474,9.70667,-0.643895,-0.0496433,0.0482769,-0.0407413,0.52114,-9.89663,-0.890192,-0.0342927,-0.0419544,0.0309352,3.75264,3.08649,8.73797,-0.0207393,0.00518397,0.0173011,-0.995148,-9.77484,-0.231551,-0.0758126,0.00803314,0.0379753,4.4916,-2.76514,8.10465,0.0375855,0.00189668,-0.0235677,4.4916,-2.76514,8.10465,0.0375855,0.00189668,-0.0235677
