Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z
0.001,-3.09415,9.10283,-1.73972,0.190671,1.79346,-0.287295,-2.58745,9.98305,0.175094,-0.0254551,0.357495,-0.0105881,-3.06974,-11.3027,0.298499,-0.170828,-0.400559,-1.1201,4.86776,3.94992,8.45734,1.81925,-0.808563,2.45015,-1.82223,-9.05483,-1.8515,-0.178918,-2.03283,0.472392,3.90529,-1.85462,8.73055,0.122514,0.0374193,0.00618307,3.90529,-1.85462,8.73055,0.122514,0.0374193,0.00618307
0.002,-3.14435,9.06404,-1.64327,0.178867,1.81439,-0.275547,-2.60156,9.96323,0.20961,-0.0253502,0.349491,-0.00272091,-3.18203,-11.1645,0.520838,-0.178919,-0.467876,-1.12923,4.83689,4.21723,8.44731,1.79189,-0.788737,2.46182,-1.80194,-8.94603,-1.95844,-0.196176,-2.03669,0.465213,3.93923,-1.83112,8.71822,0.123926,0.034533,0.00763331,3.93923,-1.83112,8.71822,0.123926,0.034533,0.00763331
0.003,-3.19456,9.02524,-1.54681,0.167063,1.83533,-0.263799,-2.61567,9.94341,0.244126,-0.0252453,0.341487,0.00514627,-3.29433,-11.0263,0.743177,-0.187009,-0.535193,-1.13837,4.80601,4.48454,8.43729,1.76453,-0.768911,2.4735,-1.78165,-8.83724,-2.06537,-0.213434,-2.04054,0.458034,3.97317,-1.80762,8.70589,0.125338,0.0316467,0.00908355,3.97317,-1.80762,8.70589,0.125338,0.0316467,0.00908355
0.004,-3.24476,8.98645,-1.45035,0.155259,1.85626,-0.252052,-2.62978,9.9236,0.278642,-0.0251404,0.333483,0.0130134,-3.40662,-10.888,0.965516,-0.195099,-0.60251,-1.14751,4.77514,4.75184,8.42727,1.73717,-0.749085,2.48517,-1.76136,-8.72844,-2.17231,-0.230691,-2.04439,0.450855,4.0071,-1.78412,8.69355,0.12675,0.0287604,0.0105338,4.0071,-1.78412,8.69355,0.12675,0.0287604,0.0105338
0.005,-3.29417,8.98114,-1.35571,0.143902,1.87686,-0.244265,-2.66222,9.91545,0.294462,-0.0247115,0.32691,0.0198556,-3.483,-10.7632,1.14507,-0.204421,-0.675648,-1.15184,4.74137,4.99182,8.39552,1.71585,-0.728146,2.49272,-1.73539,-8.63903,-2.26794,-0.249407,-2.04294,0.443136,4.05332,-1.75242,8.69122,0.125538,0.0272379,0.0128729,4.05332,-1.75242,8.69122,0.125538,0.0272379,0.0128729
0.006,-3.34295,9.00262,-1.26251,0.132902,1.8972,-0.239646,-2.70934,9.91663,0.295325,-0.0240235,0.321483,0.0258779,-3.53067,-10.6491,1.2904,-0.214728,-0.753443,-1.15232,4.70528,5.20992,8.34639,1.69937,-0.706315,2.49698,-1.70489,-8.56512,-2.35453,-0.269287,-2.03723,0.434984,4.10937,-1.71416,8.69689,0.122226,0.0268064,0.0159231,4.10937,-1.71416,8.69689,0.122226,0.0268064,0.0159231
0.007,-3.39173,9.0241,-1.16932,0.121902,1.91754,-0.235028,-2.75645,9.91782,0.296187,-0.0233355,0.316055,0.0319001,-3.57833,-10.5349,1.43573,-0.225035,-0.831238,-1.1528,4.66918,5.42802,8.29726,1.68288,-0.684485,2.50124,-1.67439,-8.49121,-2.44111,-0.289168,-2.03152,0.426832,4.16542,-1.6759,8.70256,0.118914,0.026375,0.0189733,4.16542,-1.6759,8.70256,0.118914,0.026375,0.0189733
0.008,-3.44051,9.04558,-1.07612,0.110901,1.93787,-0.230409,-2.80356,9.919,0.297049,-0.0226475,0.310627,0.0379223,-3.62599,-10.4208,1.58106,-0.235342,-0.909033,-1.15329,4.63309,5.64613,8.24813,1.6664,-0.662655,2.5055,-1.64389,-8.41731,-2.5277,-0.309049,-2.02581,0.418679,4.22147,-1.63765,8.70823,0.115602,0.0259435,0.0220235,4.22147,-1.63765,8.70823,0.115602,0.0259435,0.0220235
0.009,-3.48787,9.07237,-0.986961,0.0997793,1.95793,-0.226034,-2.83218,9.9176,0.304535,-0.0219041,0.305126,0.0440593,-3.67125,-10.3118,1.71412,-0.244955,-0.986201,-1.15262,4.59704,5.83892,8.1981,1.6531,-0.640939,2.50903,-1.60735,-8.34723,-2.60244,-0.328447,-2.01993,0.410504,4.26929,-1.60032,8.71478,0.112365,0.0255309,0.0246209,4.26929,-1.60032,8.71478,0.112365,0.0255309,0.0246209
0.01,-3.52389,9.14163,-0.930039,0.0876828,1.9757,-0.223611,-2.71284,9.8955,0.36501,-0.0207177,0.299046,0.0511141,-3.69725,-10.2442,1.74908,-0.249018,-1.05836,-1.1427,4.5613,5.82924,8.14083,1.66533,-0.620141,2.5068,-1.52248,-8.30774,-2.58244,-0.343974,-2.01264,0.402148,4.25126,-1.57048,8.72836,0.10973,0.0252685,0.0235955,4.25126,-1.57048,8.72836,0.10973,0.0252685,0.0235955
