Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z
0.0,-0.428787,9.80487,0.160841,-0.0108831,-0.00296195,-0.00195521,-1.46517,-9.68957,-0.459742,-0.0410178,-0.0553922,-0.015975,0.820041,9.65342,-0.990104,-0.0400139,0.011715,-0.00331678,-0.993449,-9.82551,-1.7519,-0.0983982,0.0259567,-0.00175477,4.41724,-2.81687,8.09123,-0.0237682,-0.00350702,0.00883202,3.99329,0.63411,9.15671,-0.00347435,0.00342195,0.00251994,9.03717,0.705348,3.84726,0.0273669,-0.0144262,0.0207513
0.001,-0.459973,9.83385,0.1401,-0.0110662,-0.00324995,-0.000816691,-1.44983,-9.70584,-0.467948,-0.0414908,-0.0567269,-0.0163428,0.796347,9.65606,-0.990972,-0.040928,0.0114504,-0.0034114,-0.99825,-9.83305,-1.74989,-0.0977139,0.0263833,-0.000309366,4.42168,-2.83253,8.10059,-0.0231243,-0.00134283,0.00703544,3.98067,0.625209,9.15932,-0.00378701,0.00341763,0.00414902,9.03117,0.703023,3.84313,0.0286377,-0.0131486,0.0210515
0.002,-0.491158,9.86283,0.119359,-0.0112493,-0.00353796,0.00032183,-1.43449,-9.72211,-0.476153,-0.0419638,-0.0580616,-0.0167106,0.772654,9.65871,-0.99184,-0.0418421,0.0111858,-0.00350602,-1.00305,-9.84058,-1.74789,-0.0970297,0.0268099,0.00113604,4.42611,-2.84819,8.10994,-0.0224805,0.000821357,0.00523885,3.96805,0.616308,9.16193,-0.00409967,0.0034133,0.0057781,9.02518,0.700697,3.83899,0.0299085,-0.0118709,0.0213518
0.003,-0.522343,9.89181,0.0986178,-0.0114325,-0.00382597,0.00146035,-1.41915,-9.73838,-0.484359,-0.0424369,-0.0593963,-0.0170784,0.74896,9.66135,-0.992707,-0.0427563,0.0109212,-0.00360064,-1.00785,-9.84811,-1.74589,-0.0963454,0.0272366,0.00258145,4.43054,-2.86386,8.11929,-0.0218367,0.00298555,0.00344227,3.95543,0.607407,9.16453,-0.00441232,0.00340898,0.00740719,9.01918,0.698372,3.83485,0.0311794,-0.0105932,0.0216521
0.004,-0.553529,9.92079,0.0778767,-0.0116156,-0.00411397,0.00259887,-1.40381,-9.75465,-0.492565,-0.0429099,-0.060731,-0.0174462,0.725266,9.664,-0.993575,-0.0436704,0.0106566,-0.00369526,-1.01265,-9.85564,-1.74389,-0.0956612,0.0276632,0.00402686,4.43498,-2.87952,8.12865,-0.0211928,0.00514974,0.00164568,3.94282,0.598506,9.16714,-0.00472498,0.00340466,0.00903627,9.01318,0.696046,3.83071,0.0324502,-0.00931552,0.0219524
0.005,-0.56353,9.92146,0.0815384,-0.0111702,-0.00543457,0.00417423,-1.39398,-9.75665,-0.498493,-0.0438171,-0.0616408,-0.0180818,0.71284,9.67332,-1.00491,-0.0433357,0.00955762,-0.00332249,-1.01658,-9.84817,-1.74105,-0.095474,0.0278878,0.0046985,4.43871,-2.88992,8.12502,-0.0207932,0.0056137,0.00016436,3.93347,0.607703,9.18093,-0.0050847,0.00407164,0.00942676,9.01058,0.694072,3.81389,0.032865,-0.008603,0.0218376
0.006,-0.556584,9.8995,0.104722,-0.010222,-0.00758125,0.00609905,-1.38858,-9.74723,-0.502599,-0.0450718,-0.0622105,-0.0189317,0.709427,9.68799,-1.02462,-0.0420019,0.00779121,-0.0025758,-1.01981,-9.82869,-1.73755,-0.0956845,0.0279507,0.00475113,4.4419,-2.89612,8.11102,-0.0205888,0.00471748,-0.00106476,3.92675,0.631377,9.20366,-0.00548207,0.00527567,0.00882637,9.0107,0.69238,3.78694,0.0325949,-0.00834262,0.0213907
0.007,-0.549639,9.87753,0.127906,-0.00927375,-0.00972792,0.00802388,-1.38317,-9.73781,-0.506705,-0.0463264,-0.0627803,-0.0197815,0.706015,9.70266,-1.04433,-0.0406682,0.0060248,-0.0018291,-1.02303,-9.80921,-1.73405,-0.095895,0.0280137,0.00480376,4.44508,-2.90231,8.09702,-0.0203845,0.00382126,-0.00229387,3.92003,0.655051,9.22639,-0.00587944,0.0064797,0.00822599,9.01082,0.690688,3.75998,0.0323248,-0.00808223,0.0209438
0.008,-0.542693,9.85556,0.15109,-0.00832553,-0.0118746,0.00994871,-1.37776,-9.7284,-0.510811,-0.047581,-0.0633501,-0.0206314,0.702603,9.71733,-1.06403,-0.0393345,0.00425839,-0.00108241,-1.02626,-9.78973,-1.73054,-0.0961055,0.0280767,0.00485639,4.44826,-2.90851,8.08302,-0.0201801,0.00292504,-0.00352299,3.91331,0.678725,9.24912,-0.00627681,0.00768373,0.0076256,9.01093,0.688995,3.73302,0.0320547,-0.00782184,0.0204969
0.009,-0.536153,9.83804,0.172065,-0.00793387,-0.0137583,0.0116336,-1.37428,-9.72127,-0.515428,-0.0487381,-0.0637465,-0.0214661,0.700817,9.72746,-1.08083,-0.0379556,0.00276966,-0.000499229,-1.0295,-9.77187,-1.72757,-0.0961958,0.0281227,0.00491967,4.4502,-2.91312,8.07259,-0.0201514,0.00218021,-0.00446525,3.90663,0.702078,9.26849,-0.00656999,0.00862183,0.00708506,9.01219,0.685031,3.70798,0.0317542,-0.00779531,0.0200231
