Time,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z
0.014,-0.0610088,10.1184,-2.34557,-0.0912823,-0.550934,-0.194492,0.260593,9.80314,-0.860868,0.232208,-0.164944,0.0964502,1.28493,-9.68404,-1.61859,0.114391,0.134087,0.0994999,4.08229,-0.480551,8.66322,-0.073185,-0.00636882,0.0643588,3.87212,1.14121,9.14671,-0.0948316,0.0339792,0.0485823,8.37996,-0.956118,5.40524,-0.435004,0.0446959,-0.0471421
0.015,0.0153172,10.1416,-2.3347,-0.0954887,-0.522492,-0.19077,0.284207,9.76311,-0.869787,0.233344,-0.171831,0.10059,1.28699,-9.67463,-1.59415,0.112974,0.138847,0.100419,4.08464,-0.498592,8.66692,-0.0702172,-0.00544668,0.0624357,3.87272,1.15105,9.16438,-0.0949016,0.0355553,0.0477148,8.3378,-0.93544,5.43924,-0.437473,0.0462349,-0.0465439
0.016,0.0916432,10.1647,-2.32382,-0.0996952,-0.494049,-0.187049,0.307821,9.72307,-0.878707,0.234481,-0.178718,0.10473,1.28906,-9.66522,-1.56971,0.111558,0.143606,0.101337,4.08699,-0.516633,8.67062,-0.0672494,-0.00452454,0.0605126,3.87333,1.16088,9.18206,-0.0949716,0.0371313,0.0468473,8.29564,-0.914763,5.47323,-0.439942,0.047774,-0.0459458
0.017,0.167969,10.1879,-2.31294,-0.103902,-0.465607,-0.183327,0.331435,9.68304,-0.887626,0.235618,-0.185604,0.10887,1.29112,-9.65581,-1.54527,0.110141,0.148366,0.102256,4.08934,-0.534675,8.67432,-0.0642816,-0.00360241,0.0585895,3.87394,1.17072,9.19973,-0.0950416,0.0387073,0.0459798,8.25348,-0.894085,5.50722,-0.442411,0.049313,-0.0453477
0.018,0.249051,10.211,-2.30174,-0.10883,-0.437729,-0.179104,0.357598,9.65483,-0.890769,0.23576,-0.192032,0.11232,1.28968,-9.64859,-1.5242,0.109008,0.153322,0.103529,4.08772,-0.552464,8.68203,-0.0613142,-0.00249798,0.0564988,3.87318,1.18031,9.21246,-0.0950365,0.0395131,0.0450356,8.22411,-0.872456,5.53241,-0.445131,0.0503386,-0.044067
0.019,0.346779,10.2339,-2.28939,-0.116286,-0.411827,-0.173123,0.392685,9.66799,-0.873693,0.232423,-0.196852,0.113353,1.27595,-9.64903,-1.51497,0.108863,0.158963,0.106042,4.07218,-0.569368,8.70378,-0.0583481,-0.000755552,0.0538219,3.86761,1.18902,9.20788,-0.0947689,0.037623,0.0438229,8.23949,-0.847495,5.52678,-0.448727,0.049567,-0.0403975
0.02,0.444507,10.2569,-2.27705,-0.123742,-0.385925,-0.167142,0.427771,9.68115,-0.856617,0.229086,-0.201672,0.114387,1.26223,-9.64947,-1.50574,0.108718,0.164605,0.108554,4.05664,-0.586273,8.72552,-0.0553819,0.000986877,0.0511449,3.86205,1.19773,9.2033,-0.0945014,0.0357329,0.0426103,8.25487,-0.822535,5.52115,-0.452324,0.0487955,-0.036728
0.021,0.542235,10.2799,-2.2647,-0.131199,-0.360022,-0.161161,0.462857,9.69431,-0.839541,0.225749,-0.206493,0.115421,1.2485,-9.64991,-1.49651,0.108573,0.170246,0.111066,4.0411,-0.603178,8.74727,-0.0524158,0.00272931,0.0484679,3.85648,1.20644,9.19872,-0.0942338,0.0338428,0.0413977,8.27025,-0.797574,5.51553,-0.455921,0.0480239,-0.0330585
0.022,0.639963,10.3029,-2.25236,-0.138655,-0.33412,-0.15518,0.497944,9.70747,-0.822466,0.222411,-0.211313,0.116455,1.23478,-9.65035,-1.48728,0.108429,0.175888,0.113579,4.02556,-0.620082,8.76902,-0.0494496,0.00447173,0.0457909,3.85092,1.21516,9.19414,-0.0939662,0.0319528,0.0401851,8.28563,-0.772614,5.5099,-0.459517,0.0472524,-0.029389
0.023,0.71956,10.3269,-2.21222,-0.149223,-0.312715,-0.150257,0.526487,9.73209,-0.83851,0.221885,-0.213395,0.118129,1.22683,-9.65654,-1.49795,0.10911,0.180906,0.115491,4.01991,-0.620249,8.77805,-0.0471476,0.00525099,0.0440581,3.85127,1.2226,9.19566,-0.0930107,0.0320868,0.0394439,8.25252,-0.771745,5.49938,-0.462085,0.0475834,-0.0322071
0.024,0.793977,10.3512,-2.16414,-0.160679,-0.292594,-0.145635,0.553161,9.75998,-0.864018,0.222161,-0.214694,0.119986,1.22054,-9.66438,-1.51432,0.110027,0.185747,0.117233,4.01707,-0.615633,8.78346,-0.0450354,0.00575506,0.042595,3.85331,1.22969,9.19893,-0.0918586,0.0327992,0.0388375,8.20556,-0.77776,5.48746,-0.464359,0.0482295,-0.0368788
