Time,RTibialisAnterior,RSoleus,LGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,LVastusLateralis,LGluteusMaximus,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,RGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris
0.044,-0.0811542,0.0535559,0.0597699,0.0826096,0.0676089,0.104268,0.0570456,0.546395,0.0976999,-0.306672,0.0810382,0.0618686,0.0471808,0.0285593,0.0850183,0.830861
0.045,-0.207192,0.0651526,0.0445111,0.0740646,0.0807315,0.112813,0.0662009,0.533883,0.102888,-0.292024,0.075545,0.0774326,0.0419928,0.0261179,0.0322229,0.81316
0.046,-0.287758,0.0599646,0.0515302,0.108855,0.076459,0.0874832,0.0570456,0.553719,0.0925119,-0.261201,0.0914142,0.0548496,0.0352789,0.0389352,0.0795251,0.767994
0.047,-0.236183,0.0669836,0.0558026,0.0914597,0.0874454,0.062764,0.0372092,0.526864,0.0619943,-0.256928,0.052962,0.0493564,0.0514532,0.0325265,0.0779993,0.743886
0.048,-0.0250018,0.0718665,0.0606854,0.147307,0.0892764,0.0465897,0.0408713,0.521676,0.0571115,-0.208711,0.0541827,0.0420322,0.0606085,0.0175729,0.0764734,0.739918
0.049,0.404075,0.0630164,0.0490887,0.0966476,0.0822574,0.0197342,0.042092,0.507332,0.043989,-0.195893,0.0474689,0.053934,0.0532843,0.0508371,0.0722009,0.705433
0.05,0.431541,0.0273108,0.0481732,0.0847458,0.0996524,-0.00406952,0.0393454,0.473458,0.0418527,-0.121736,0.0847003,0.0594272,0.0465704,0.0239816,0.0834924,0.680714
0.051,0.249962,0.0144934,0.051225,0.0673508,0.0819522,-0.0318405,0.0552145,0.461861,0.0708444,-0.0936594,0.0602863,0.0273837,0.0560309,0.0425973,0.0651819,0.661793
0.052,-0.0567401,0.045011,0.0442059,0.0429367,0.0944644,0.00111847,0.0323264,0.452706,0.0922067,-0.0515451,0.061507,0.0426425,0.0557257,0.0206247,0.0596887,0.651417
0.053,-0.122658,0.0254797,0.0414594,0.0484299,0.0804263,0.0233963,0.0478903,0.416695,0.0790842,-0.0335397,0.0712726,0.0505771,0.0612189,0.0355783,0.0773889,0.646534
0.054,0.0326764,0.045011,0.0548871,0.0264572,0.0984317,0.0258377,0.0228659,0.377022,0.0583322,-0.00363251,0.0596759,0.0511874,0.0285651,0.0401559,0.0822717,0.611439
0.055,0.0763165,0.0260901,0.0509198,0.0231003,0.0862247,0.0206497,0.0204245,0.370919,0.0494821,0.0281058,0.0709674,0.0481357,0.0450446,0.0322214,0.0715906,0.589161
0.056,0.0732648,0.034635,0.0744183,0.00540009,0.123151,0.002034,0.0494162,0.343453,0.0540598,0.0421439,0.0868365,0.0319614,0.0392462,0.021235,0.0700647,0.565663
0.057,0.0738751,0.039823,0.040849,-0.00222931,0.145124,0.0105789,0.0701682,0.314461,0.0452097,0.042449,0.063338,0.0237216,0.0276495,0.0227609,0.0776941,0.539418
0.058,0.0699078,0.0367712,0.0576337,0.024321,0.143903,-0.00162811,0.117776,0.292184,0.0272043,0.063201,0.0557086,0.00480072,0.0316168,0.0273386,0.0847131,0.478383
0.059,0.0607526,0.0236487,0.061601,-0.00345001,0.139325,-0.0150558,0.119912,0.297982,0.04582,0.0558768,0.0727985,-0.0193082,0.0419928,0.0276437,0.0917322,0.406666
0.06,0.0726544,0.0770544,0.0207074,-0.0123001,0.148175,-0.0208542,0.106484,0.252511,0.0537546,0.0497733,0.0541827,0.0185336,0.0346686,0.0230661,0.0953943,0.340443
0.061,0.0604474,0.0343298,0.0292523,-0.0162674,0.0688296,-0.0287888,0.0890891,0.232979,0.038801,0.0516043,0.0651691,0.013956,0.0554205,0.0371042,0.0728113,0.20403
0.062,0.0305402,0.00533813,0.0445111,-0.0113846,-0.0227231,0.00539093,0.0726096,0.201852,0.058027,0.0470267,0.0682208,0.0289096,0.0633551,0.0313058,0.0651819,0.113392
0.063,0.0329816,0.0248694,0.0457318,0.0185226,0.0196964,0.031636,0.0759665,0.203377,0.0680978,0.0628958,0.073714,0.052103,0.0407721,0.0487009,0.0346643,0.062428
0.064,0.0558698,0.0688147,0.0341351,-0.00192413,0.110028,0.0224808,0.0771872,0.170418,0.078779,0.0860892,0.0596759,0.0319614,0.038941,0.0404611,0.0657922,0.0340466
0.065,0.100731,0.0489783,0.0496991,0.0328659,0.124372,0.0417068,0.0396506,0.15577,0.0781686,0.108367,0.0569293,0.0432529,0.0450446,0.0596872,0.0569421,0.00352905
0.066,0.0906598,0.0444006,0.0539716,0.00570526,0.0740176,0.0655106,0.0539938,0.136544,0.0214059,0.104095,0.0398395,-0.00679596,0.0563361,0.0563303,0.0645715,0.0657849
0.067,0.0308453,0.0422644,0.0417645,-0.0107742,0.0618106,0.0630691,0.0286642,0.123116,0.0565012,0.113555,0.0386188,0.0536288,0.0532843,0.034968,0.0505334,0.0963025
0.068,0.0464093,0.0218176,0.075639,0.0108932,0.0550967,0.069783,-0.0335916,0.102669,0.0421579,0.108977,0.0471637,0.053934,0.0407721,0.0429025,0.0654871,0.0560193
0.069,0.0763165,0.0285315,0.0973065,-0.0159622,0.0322086,0.0566605,-0.023826,0.0813071,0.051008,0.118743,0.063338,0.0450839,0.0444342,0.0660959,0.061825,-0.0117297
0.07,0.0943219,0.0245642,0.144304,0.00631561,-0.0193661,0.067952,-0.0213846,0.0422446,0.0537546,0.0946341,0.056319,0.046915,0.0310065,0.0602975,0.0361902,-0.0343127
0.071,0.101951,0.0444006,0.177263,-0.0193192,-0.0230283,0.0737503,-0.0131448,0.0327841,0.0851877,0.0870047,0.0486896,0.0502719,0.0331427,0.0837961,0.0371057,-0.0752063
0.072,0.0461041,0.0465369,0.200456,-0.0348831,0.00748932,0.0835159,0.00943817,0.0257651,0.089155,0.0741873,0.0425861,0.0493564,0.044129,0.0660959,0.0645715,-0.0578113
0.073,-0.0158466,0.0654578,0.205644,-0.0159622,0.0517398,0.062764,0.0323264,-0.00780426,0.0568063,0.0622855,0.0569293,0.0557651,0.0361945,0.0718942,0.0117761,-0.0910754
0.074,-0.0448383,0.034635,0.145219,0.00295868,0.0496036,0.0670364,0.0250021,-0.0303873,0.0330026,0.0375662,0.0602863,0.0463046,0.0328375,0.0807443,0.0126917,-0.0791736
0.075,-0.0118793,0.0474524,0.0817426,0.0203537,0.0657779,0.0838211,0.00577606,-0.064567,0.0345285,0.0323782,0.0398395,0.0478305,0.0480963,0.0932565,0.0151331,-0.104808
0.076,0.0439679,0.0428748,0.0417645,0.0325607,0.0648624,0.0710037,0.0359885,-0.076774,0.0348337,0.00308136,0.0474689,0.0679721,0.0407721,0.0938669,0.0230676,-0.100841
0.077,0.0461041,0.0425696,-0.0378864,0.0215744,0.105451,0.067952,0.0314108,-0.0990518,0.0262888,0.00399689,0.0587604,0.0691928,0.0477911,0.0865427,-0.00134644,-0.114879
0.078,0.0665509,0.0532507,-0.113265,-0.00924835,0.102094,0.069783,0.0250021,-0.112174,0.016218,-0.0253,0.0560138,0.0862827,0.0462653,0.0740305,0.0136072,-0.137462
0.079,0.0534283,0.0636267,-0.105635,-0.0074173,0.100873,0.0560501,0.0503317,-0.151542,0.0320871,-0.030488,0.0441119,0.0588168,0.0337531,0.0380197,0.0258142,-0.106334
0.08,0.0555646,0.0584387,-0.0299518,0.00753632,0.0779849,0.0493362,0.0216452,-0.167106,0.0421579,-0.0472726,0.040755,0.057291,0.0557257,0.0816599,0.0157434,-0.091991
0.081,0.0561749,0.046842,-0.0491779,0.0136398,0.0837833,0.0407913,0.0372092,-0.196708,0.0494821,-0.0542917,0.0517413,0.0725497,0.0517584,0.0981393,0.0264246,-0.103893
0.082,0.0619733,0.027616,0.00148132,0.0438522,0.102094,0.0414017,0.0427023,-0.197013,0.0635202,-0.0463571,0.0621173,0.0463046,0.0477911,0.0776926,0.0044519,-0.0837512
0.083,0.0589215,0.0169348,0.00605896,0.05728,0.193952,0.0472,0.0402609,-0.219901,0.0888498,-0.0509348,0.0297687,0.0551547,0.0395514,0.0706735,-0.00836548,-0.076427
0.084,0.0692975,0.0379919,0.00850037,0.086882,0.169232,0.0514725,0.0570456,-0.253166,0.0696237,-0.0332346,0.0398395,0.0752963,0.0456549,0.0883737,0.00994507,-0.0791736
0.085,-0.0488055,0.0324988,0.00972107,0.099089,0.100263,0.0276688,0.0399558,-0.236076,0.0885446,-0.0133981,0.0480792,0.0899448,0.0401617,0.0789133,0.0111658,-0.074596
0.086,-0.0320209,0.0648474,0.00727966,0.0957321,0.0727969,0.0423172,0.0503317,-0.261711,0.096174,0.0278006,0.0492999,0.0997104,0.0477911,0.092341,0.0258142,-0.0669666
0.087,0.00185364,0.101774,0.0536664,0.101225,0.046857,0.0591019,0.059487,-0.247978,0.0912912,0.065032,0.0694415,0.117716,0.0557257,0.06457,0.0123865,-0.0446887
0.088,0.0268781,0.067594,0.0243695,0.107024,0.00626862,0.052388,0.0619284,-0.258048,0.0748117,0.102874,0.0377032,0.144571,0.0456549,0.0725046,0.0233728,-0.0379749
0.089,0.0796735,0.0532507,0.0457318,0.117094,0.0254947,0.0581863,0.049111,-0.264762,0.0653513,0.184966,0.0627277,0.0853671,0.0438239,0.0624338,0.0279504,-0.0306506
0.09,0.13369,0.067594,0.0420697,0.10916,0.0959903,0.0606277,0.0362936,-0.258964,0.0519235,0.249969,0.0483844,0.0527133,0.0587775,0.0776926,0.0294763,-0.0214954
0.091,0.150474,0.0602698,0.0432904,0.0713181,0.0425845,0.0563553,0.0536887,-0.260185,0.0622995,0.269805,0.0386188,0.0438632,0.0435187,0.0920358,0.0487024,0.0029187
0.092,0.136741,0.0599646,0.0442059,0.0258469,-0.0651425,0.0883987,0.167824,-0.284599,0.0418527,0.262786,0.0453326,0.0334872,0.0200201,0.0532785,0.0310022,0.041676
0.093,0.0506818,0.0566077,0.0591595,0.0118088,-0.110003,0.0902298,0.346657,-0.26049,0.0482614,0.254546,0.0148151,0.00358002,0.0444342,0.024592,0.0419885,0.0132947
0.094,0.0473248,0.0907874,0.058244,0.0563644,-0.000140076,0.0685623,0.389382,-0.270255,0.0461252,0.246917,0.0346515,-0.0119839,0.0554205,0.0651804,0.0523645,0.0474744
0.095,0.0479352,0.0868201,0.0387128,0.0606369,0.085004,0.067952,0.296914,-0.272392,0.0708444,0.247832,0.0435016,-0.0226651,0.0688483,0.0804392,0.0416833,0.0523572
0.096,0.085777,0.069425,0.0448163,0.0618576,0.205548,0.0725296,0.179116,-0.270561,0.0757272,0.248443,0.0358722,0.0234164,0.0743414,0.0566354,0.0557214,0.0447278
0.097,0.178245,0.0569128,0.0442059,0.0414108,0.119184,0.067952,0.0851218,-0.256217,0.0635202,0.219451,0.0294635,0.0447787,0.0569464,0.0612131,0.0432092,0.0639539
0.098,0.184349,0.0810217,0.0384076,0.0133347,-0.0202817,0.0493362,-0.00337921,-0.264152,0.0598581,0.438567,0.0438068,0.0609531,0.0541998,0.047175,0.070675,0.0837903
0.099,0.0647198,0.0712561,0.056413,-0.0171829,-0.0584286,0.0713089,-0.089744,-0.254997,0.0616891,0.454742,0.0486896,0.0545444,0.0538947,0.024592,0.0722009,0.0956921
0.1,-0.0329364,0.0639319,0.0884564,-0.0245071,-0.0309628,0.0267532,-0.138267,-0.239433,0.0638254,0.446197,0.0419757,0.0627841,0.0505377,0.0429025,0.0505334,0.0889783
0.101,-0.10862,0.0297522,0.0594647,-0.0196243,-0.0257748,0.0362137,-0.16085,-0.247978,0.0616891,0.441619,0.0532672,0.0774326,0.0606085,0.031611,0.0682336,0.0996594
0.102,-0.207802,0.0300574,0.0527509,-0.0235916,-0.00960052,0.052388,-0.14437,-0.21685,0.0644357,0.448028,0.0425861,0.0664462,0.0541998,0.0328317,0.0609094,0.136891
0.103,-0.236794,0.0163245,0.0551923,-0.0119949,-0.00837982,0.07314,-0.12606,-0.204337,0.0565012,0.472747,0.0496051,0.0731601,0.0487067,0.0709787,0.0526697,0.141469
0.104,-0.113503,0.0129675,0.0481732,0.012114,0.0203067,0.0633743,-0.0961526,-0.193046,0.0497873,0.49472,0.0489947,0.0981845,0.026734,0.0703683,0.0535852,0.129872
0.105,-0.174233,0.0019812,0.0191815,0.0203537,0.026105,0.090535,-0.128501,-0.178398,0.058027,0.496245,0.0532672,0.0740756,0.049317,0.0563303,0.0743372,0.116139
0.106,-0.140969,0.0205969,0.0295575,0.0234055,0.0480777,0.0755814,-0.0781473,-0.162223,0.066572,0.515472,0.0419757,0.0899448,0.0569464,0.0291696,0.0343591,0.129261
0.107,0.210594,0.01724,0.0542767,0.0218796,0.0373965,0.0685623,-0.0226053,-0.145744,0.0626047,0.523406,0.0550983,0.074686,0.0532843,0.0511423,0.0297815,0.147572
0.108,0.275291,0.0486731,0.0432904,0.0319504,0.0502139,0.0395706,-0.00887237,-0.131706,0.0558908,0.529815,0.0312946,0.0579013,0.0484015,0.0599924,0.0212366,0.184193
0.109,0.176109,0.0840735,0.0347455,0.0237106,0.0535709,0.0505569,-0.00337921,-0.111564,0.0751169,0.54721,0.0535724,0.0463046,0.0432135,0.0441232,0.00658813,0.185414
0.11,0.144371,0.0840735,0.152238,0.0340866,0.0401431,0.0459793,0.00699677,-0.132621,0.0796945,0.520354,0.0499103,0.0310458,0.0355841,0.0453439,0.0328333,0.194264
0.111,0.149864,0.0578284,0.274308,0.0292038,0.0605899,0.0328568,-0.0125345,-0.0831827,0.0803049,0.507232,0.05815,0.0429477,0.064881,0.0380197,0.025509,0.159169
0.112,0.1166,0.0444006,0.369218,0.0429367,0.0419742,0.0407913,0.00119843,-0.0453409,0.0708444,0.506316,0.0538776,0.00785248,0.0404669,0.0441232,0.0499231,0.129872
0.113,0.0763165,0.0410437,0.423845,0.0218796,0.0453311,0.0261429,0.00730194,-0.0251993,0.0540598,0.48709,0.0541827,-0.000692444,0.0410773,0.041987,0.0490076,0.0435071
0.114,0.0454938,0.0367712,0.494951,0.0383591,0.0526553,0.0496414,0.00669159,-0.00902496,0.0165231,0.490752,0.0438068,0.0548496,0.0761725,0.0401559,0.0419885,-0.0205798
0.115,-0.0246967,0.0538611,0.593217,0.0166916,0.0688296,0.0609329,0.036904,-0.00963532,0.0333078,0.48648,0.0700519,0.0774326,0.0630499,0.0630441,0.0285608,-0.0861926
0.116,0.0747906,0.0547766,0.63289,0.0227951,0.0789004,0.067952,0.0652853,0.0355307,0.0137766,0.480376,0.056319,0.0945224,0.0554205,0.0618234,0.0279504,-0.0297351
0.117,0.287803,-0.000460205,0.453752,0.0377487,0.0731021,0.0597122,0.0436179,0.023934,0.028425,0.470611,0.0584552,0.112528,0.0471808,0.0306955,0.0310022,0.019093
0.118,0.322288,0.0367712,0.0417645,0.046904,0.0608951,0.0795486,0.0509421,0.0382773,0.0427683,0.443755,0.0697467,0.0905551,0.0258185,0.041987,0.020321,0.0584607
0.119,0.123619,0.0480627,-0.264022,0.0429367,0.0932437,0.0728348,0.0546042,0.0416342,0.0491769,0.417205,0.0767657,0.0749912,0.0239874,0.0682321,0.0319177,0.0404553
0.12,-0.102516,0.0599646,-0.442855,0.0304245,0.0743228,0.0832108,0.0289694,0.0571982,0.0268991,0.38272,0.068526,0.0453891,0.0456549,0.0633493,0.0371057,0.0264172
0.121,-0.147072,0.0309729,-0.45201,0.0377487,0.0740176,0.0655106,0.0341574,0.0611655,0.0699289,0.349151,0.0584552,0.0359287,0.0444342,0.049006,0.0239832,0.00200317
0.122,-0.156533,0.0569128,-0.347335,0.0527023,0.062421,0.0761917,0.0637595,0.09504,0.0790842,0.299407,0.0560138,0.036539,0.0490118,0.0660959,0.0221521,-0.0361438
0.123,-0.153481,0.07797,-0.284774,0.0456833,0.0523502,0.0874832,0.0863425,0.118233,0.0366647,0.263091,0.0352618,0.0249423,0.0438239,0.0633493,0.0282556,-0.0684924
0.124,-0.0921405,0.0404334,-0.08763,0.0331711,0.0666934,0.0993851,0.0726096,0.108773,0.0262888,0.238372,0.0282428,0.036539,0.0413824,0.0602975,0.030697,-0.0404163
0.125,0.0766217,0.0389075,0.0258954,0.0386642,0.0566226,0.0685623,0.0649802,0.140206,0.033613,0.213958,0.0383136,0.0441684,0.0624396,0.0529733,0.025509,-0.0187488
0.126,0.21273,0.0367712,0.0432904,0.012114,0.0706607,0.0694778,0.0558249,0.158211,0.058027,0.177947,0.0441119,0.0542392,0.0535895,0.0410715,0.0120813,-0.0083728
0.127,0.220054,0.0505042,0.028642,0.048735,0.0712711,0.0691727,0.0655905,0.164315,0.0482614,0.169097,0.0312946,0.048746,0.044129,0.0487009,0.0432092,-0.0102039
0.128,0.224327,0.0740027,-0.0201862,0.0441574,0.053876,0.067952,0.0680319,0.178048,0.00279022,0.152923,0.0276324,0.059122,0.0541998,0.0544992,0.0303918,0.0248914
0.129,0.161766,0.0364661,-0.11418,0.0557541,0.0566226,0.0578812,0.0671164,0.193001,0.0268991,0.110198,0.0419757,0.0533237,0.0310065,0.0578561,0.0364954,0.017262
0.13,-0.0350726,0.0370764,-0.23442,0.0453781,0.064252,0.0624588,0.0756613,0.208565,-0.0124686,0.0674734,0.0584552,0.0630893,0.0517584,0.0682321,0.0529749,0.0251965
0.131,-0.326821,0.0538611,-0.245101,0.0484299,0.0657779,0.0270584,0.0372092,0.196664,0.00248505,0.0287161,0.0447223,0.0609531,0.0426032,0.052363,0.0541956,0.0160413
0.132,-0.575234,0.0263953,-0.196273,0.0350021,0.0541812,0.0371292,0.0365988,0.215279,0.040632,-0.00637909,0.0468585,0.0606479,0.047486,0.0285593,0.0471765,0.0258069
0.133,-0.501381,0.0395178,-0.132796,0.0246262,0.0654727,0.0633743,0.0405661,0.247628,0.0732858,-0.0811472,0.0431964,0.0633945,0.0938727,0.0328317,0.068844,0.0157361
0.134,-0.0948871,0.0108313,-0.112349,0.0322556,0.0593692,0.0520828,0.0588766,0.229928,0.0952585,-0.138825,0.0718829,0.0456943,0.054505,0.0465646,0.0715906,0.00536011
0.135,0.292991,0.0111365,-0.0543658,0.0151657,0.0492984,0.059407,0.0555197,0.240609,0.123029,-0.140046,0.0505206,0.048746,0.064881,0.0670114,0.0749475,0.0203137
0.136,0.385154,0.0147986,-0.0543658,0.059111,0.0395328,0.052388,0.0549094,0.214364,0.138899,-0.170869,0.0502155,0.0505771,0.064881,0.0578561,0.0645715,0.017262
0.137,0.554527,0.039823,-0.00553772,0.0710129,0.0331241,0.0301102,0.0155417,0.222909,0.153852,-0.173921,0.0474689,0.0630893,0.0548102,0.047175,0.0651819,0.0279431
0.138,0.479759,0.0663733,0.0210126,0.0704025,0.0419742,0.0392654,0.0234763,0.226876,0.169416,-0.193147,0.0502155,0.0371494,0.0487067,0.054194,0.0902063,0.0291638
0.139,0.405601,0.0907874,0.0439008,0.0768112,0.0428897,0.0563553,0.026528,0.218026,0.168501,-0.195588,0.0505206,0.0514926,0.0355841,0.0642648,0.074032,-0.0083728
0.14,0.242943,0.0840735,0.0393231,0.0884079,0.0499088,0.0462845,0.0015036,0.196969,0.101667,-0.198945,0.0254962,0.0429477,0.0325323,0.06457,0.0660974,-0.0120349
0.141,0.104698,0.0648474,0.0558026,0.0530075,0.0450259,0.0554398,0.0448386,0.201241,0.0357492,-0.215119,0.0599811,0.0408115,0.0401617,0.0505319,0.0773889,-0.0059314
0.142,0.0213849,0.0175452,0.0567181,0.0301193,0.0447208,0.0438431,0.197732,0.211007,0.0168283,-0.211762,0.0602863,0.0496616,0.0587775,0.0606027,0.0819665,0.00261353
0.143,0.112327,0.0257849,0.0466473,0.026152,0.0404483,0.0621536,0.301797,0.197884,-0.00270294,-0.222749,0.056319,0.053934,0.0514532,0.0621286,0.0783044,0.0157361
