Time,RTibialisAnterior,RSoleus,LGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,LVastusLateralis,LGluteusMaximus,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,RGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0665509,0.0654578,0.080827,0.0359177,0.0575381,0.124104,-0.0787576,0.0526205,0.0217111,0.0543509,0.0630328,0.0331821,0.0514532,0.0233713,0.0551111,0.0743298
0.021,0.0879132,0.0300574,0.0558026,0.041716,0.0514346,0.13387,-0.10897,0.0575034,0.0281198,0.0674734,0.0541827,0.0456943,0.0346686,0.0306955,0.0374109,0.0593762
0.022,0.0699078,0.0263953,0.0612958,0.0310349,0.0682193,0.114339,-0.0931009,0.0645224,0.023237,0.0522147,0.0453326,0.0350131,0.0401617,0.0322214,0.0447351,0.0844006
0.023,0.0784528,0.0434851,0.0588544,0.0462936,0.0505191,0.0838211,-0.0738748,0.0849692,0.0528391,0.0375662,0.0569293,0.0527133,0.0401617,0.0422922,0.0538904,0.052052
0.024,0.070213,0.0413489,0.0527509,0.0581955,0.0682193,0.0475052,0.0204245,0.0507895,0.0574167,0.0519095,0.0550983,0.026163,0.0450446,0.0197092,0.0453455,0.0532727
0.025,0.0729596,0.0645422,0.0506146,0.0301193,0.0633365,-0.0107834,0.157754,0.0349203,0.0400217,0.0659476,0.025191,0.0496616,0.0532843,0.0343576,0.0606042,0.0700574
0.026,0.0772321,0.072782,0.0631268,0.0368332,0.0795108,-0.0321457,0.17698,0.0340048,0.0241525,0.068389,0.0578448,0.0414218,0.0722052,0.0441232,0.061825,0.0554089
0.027,0.0525128,0.0755286,0.0585492,0.0475143,0.0935489,-0.0428268,0.149209,0.0407187,-0.00728058,0.0549612,0.0557086,0.0252475,0.0532843,0.0505319,0.0477869,0.0813489
0.028,0.0256573,0.0639319,0.0521405,0.0398849,0.117047,-0.0660202,0.110451,0.044686,-0.00331329,0.0567923,0.0306842,0.00815765,0.0398566,0.0361887,0.0523645,0.0697522
0.029,0.0103986,0.0505042,0.0570233,0.036528,0.13017,-0.0202438,0.0573508,0.0388876,0.0241525,0.0595389,0.0392291,0.0197543,0.0578619,0.0609079,0.0334436,0.0813489
0.03,0.0348126,0.0453162,0.0542767,0.03134,0.122235,0.0117996,0.0375143,0.00837006,0.0412424,0.0952444,0.0557086,0.0420322,0.0398566,0.0462595,0.0487024,0.0343518
0.031,0.0515973,0.0407385,0.0539716,0.0453781,0.118268,0.0475052,0.0207297,0.0254599,0.0598581,0.0613699,0.0370929,0.052103,0.042298,0.0526682,0.046261,0.0609021
0.032,0.0717389,0.0331091,0.0496991,0.0652145,0.086835,0.0478104,-0.0073465,0.0199667,0.0919015,0.0879202,0.0575397,0.0496616,0.0508429,0.0517526,0.0419885,0.0657849
0.033,0.0616681,0.045011,0.063432,0.0316452,0.052045,0.0636795,0.0158469,0.0257651,0.0677927,0.0674734,0.0541827,0.076517,0.049317,0.0508371,0.0395471,0.0627332
0.034,0.0512921,0.032804,0.0637372,0.0392746,0.0114566,0.0655106,-0.0119241,0.0217978,0.0876291,0.0570975,0.0673053,0.0710239,0.0392462,0.0554147,0.0441248,0.0700574
0.035,0.0586163,0.0621008,0.0573285,0.036528,0.0209171,0.0703934,-0.0470193,0.0324789,0.0842722,0.0360403,0.045943,0.0655307,0.0630499,0.0465646,0.0545007,0.0538831
0.036,0.0934064,0.0340247,0.0558026,0.046904,0.0135928,0.0771072,-0.0296243,0.0190512,0.0818307,0.0415335,0.0270221,0.0585117,0.0535895,0.0511423,0.0349695,0.0496106
0.037,0.0992047,0.0434851,0.0451215,0.0380539,0.0300723,0.0877884,-0.0622781,0.0175253,0.0574167,0.0470267,0.0554034,0.0633945,0.0413824,0.0670114,0.0490076,0.0163464
0.038,0.103477,0.055387,0.0368817,0.0264572,0.0422794,0.0600174,-0.0232156,0.0306479,0.038801,0.0360403,0.0492999,0.0438632,0.0279547,0.0496164,0.0459558,0.0502209
0.039,0.102867,0.046842,0.0518353,0.0380539,0.0453311,0.0618485,0.00089325,0.0120322,0.0375803,0.0412283,0.061507,0.0447787,0.0334479,0.0584665,0.048092,0.0355725
0.04,0.0799786,0.0575232,0.0664838,0.0673508,0.0465518,0.0728348,-0.029014,0.0211874,0.0467355,0.0488577,0.0361774,0.0560703,0.049317,0.0480905,0.0438196,0.0499158
