Time,EMGs.RTibialisA,EMGs.2,EMGs.3,EMGs.4,EMGs.5,EMGs.6,EMGs.7,EMGs.8,EMGs.9,EMGs.10,EMGs.11,EMGs.12,EMGs.13,EMGs.14,EMGs.15,EMGs.16
0.043,0.0619733,0.00930542,0.00239685,0.0227951,0.0544864,0.0771072,0.0539938,0.0523154,0.0531442,-0.0246896,0.0547931,0.0563754,0.0886847,0.0444284,0.0529749,0.0581555
0.044,0.0464093,0.022428,-0.0436847,0.0636887,0.0508243,0.0639847,0.0463644,0.0486533,0.0568063,-0.00637909,0.0422809,0.0389804,0.0511481,0.0657907,0.063656,0.0724988
0.045,0.0662457,0.0199866,-0.0491779,0.0536179,0.0492984,0.0658157,0.0570456,0.0452963,0.0622995,0.0290213,-0.0205853,0.0511874,0.0578619,0.0639597,0.0477869,0.0639539
0.046,0.0851666,0.0163245,-0.0925128,0.0630783,0.0505191,0.0691727,0.0521628,0.0520102,0.056196,0.0625906,-0.0681928,0.0575961,0.0734259,0.0612131,0.0505334,0.0523572
0.047,0.0793683,0.0349402,-0.0867145,0.0475143,0.0654727,0.057576,0.0512473,0.0532309,0.0455148,0.0781546,-0.054765,0.0490512,0.0496222,0.0383249,0.0398523,0.074635
0.048,0.0461041,0.0898718,-0.0473468,0.0545334,0.0547916,0.0737503,0.0591818,0.0529257,0.0415475,0.0610648,-0.0224164,0.0414218,0.0651862,0.0587717,0.0639612,0.0667004
0.049,0.0641095,0.136259,0.0683148,0.0441574,0.0550967,0.0615433,0.0497214,0.0352255,0.0589426,0.0882254,-0.00929382,0.0383701,0.0514532,0.0764719,0.0496179,0.05724
0.05,0.0439679,0.152738,0.27614,0.0478195,0.0389224,0.0685623,0.0546042,0.0520102,0.0601633,0.0772391,-0.0294354,0.0176181,0.0581671,0.0493112,0.0404626,0.0569348
0.051,0.0543439,0.137479,0.304216,0.0459885,0.0532657,0.0822952,0.0530783,0.0581137,0.04582,0.0204764,0.0230548,0.0267734,0.0642706,0.0636545,0.0554163,0.045033
0.052,0.0509869,0.0642371,0.212053,0.0676559,0.0477725,0.0661209,0.059487,0.0492636,0.0555856,0.0189505,0.0370929,0.0298251,0.0426032,0.0682321,0.0487024,0.0636487
0.053,0.0412213,0.0117468,0.128434,0.0603317,0.0535709,0.0572708,0.0866476,0.0410239,0.0671823,-0.00454803,0.0538776,0.0652255,0.0444342,0.0587717,0.0685388,0.0547986
