Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z
0.0,4.95347,-2.23861,8.08514,0.0335526,-0.0143885,-0.0686962,0.704862,9.53702,-1.73945,-0.228319,-0.0590322,-0.098733,0.106557,9.82898,-0.66662,-0.0873,-0.328369,0.0467102,4.81728,1.49692,8.71404,-0.0303683,0.0362416,0.00496639,-1.10547,-9.88311,-1.65257,-0.0608312,0.238235,0.24356,9.20141,-2.0902,4.0354,-0.260652,0.250603,0.0489761,1.15518,-9.97648,-0.830527,-0.0830002,-0.0844187,0.0484691
0.001,4.94131,-2.23353,8.08602,0.0357386,-0.0152025,-0.0700299,0.697742,9.53015,-1.75249,-0.227347,-0.0550838,-0.0995291,0.0319213,9.79485,-0.684681,-0.0892226,-0.321334,0.0481856,4.8257,1.47425,8.71174,-0.0311157,0.0367266,0.00637144,-1.10895,-9.87022,-1.64787,-0.0588975,0.233356,0.237939,9.20641,-2.10432,4.00674,-0.260042,0.247408,0.0528668,1.14665,-9.97655,-0.818797,-0.0837681,-0.0829395,0.0520801
0.002,4.92915,-2.22845,8.0869,0.0379246,-0.0160165,-0.0713637,0.690621,9.52327,-1.76553,-0.226376,-0.0511353,-0.100325,-0.0427144,9.76073,-0.702741,-0.0911452,-0.314298,0.049661,4.83412,1.45158,8.70944,-0.0318632,0.0372116,0.00777649,-1.11242,-9.85733,-1.64318,-0.0569637,0.228477,0.232319,9.2114,-2.11844,3.97809,-0.259432,0.244213,0.0567575,1.13811,-9.97663,-0.807068,-0.084536,-0.0814604,0.0556911
0.003,4.91699,-2.22337,8.08778,0.0401106,-0.0168305,-0.0726975,0.6835,9.5164,-1.77858,-0.225405,-0.0471869,-0.101121,-0.11735,9.72661,-0.720802,-0.0930677,-0.307263,0.0511364,4.84255,1.42891,8.70714,-0.0326106,0.0376966,0.00918153,-1.1159,-9.84444,-1.63849,-0.05503,0.223599,0.226699,9.2164,-2.13256,3.94943,-0.258822,0.241018,0.0606482,1.12958,-9.9767,-0.795339,-0.0853039,-0.0799812,0.059302
0.004,4.90483,-2.21829,8.08866,0.0422966,-0.0176445,-0.0740312,0.676379,9.50952,-1.79162,-0.224433,-0.0432384,-0.101917,-0.191986,9.69248,-0.738862,-0.0949903,-0.300227,0.0526117,4.85097,1.40624,8.70484,-0.033358,0.0381815,0.0105866,-1.11938,-9.83156,-1.63379,-0.0530963,0.21872,0.221079,9.22139,-2.14669,3.92078,-0.258212,0.237823,0.0645388,1.12105,-9.97677,-0.78361,-0.0860718,-0.0785021,0.062913
0.005,4.90254,-2.21546,8.08477,0.0437747,-0.0169993,-0.075501,0.662987,9.5059,-1.77848,-0.223326,-0.0407341,-0.103479,-0.241003,9.67025,-0.731194,-0.095054,-0.29175,0.0559131,4.85485,1.38744,8.7058,-0.034579,0.039312,0.0121347,-1.11521,-9.82414,-1.62299,-0.0517474,0.214672,0.215696,9.21565,-2.1593,3.91322,-0.256165,0.236226,0.0671844,1.1168,-9.96542,-0.756809,-0.0855196,-0.0768398,0.0653137
0.006,4.90814,-2.21443,8.07706,0.0446866,-0.0151866,-0.0770796,0.644577,9.50487,-1.7444,-0.222109,-0.039385,-0.105653,-0.269526,9.65752,-0.702944,-0.0936306,-0.28212,0.0606753,4.85509,1.37173,8.70937,-0.0361787,0.0409589,0.0137973,-1.10492,-9.8211,-1.60729,-0.0508665,0.211288,0.210501,9.20131,-2.17072,3.92252,-0.252969,0.235907,0.0688338,1.11597,-9.94493,-0.717949,-0.0839114,-0.0750309,0.0667463
0.007,4.91375,-2.2134,8.06936,0.0455984,-0.0133739,-0.0786582,0.626168,9.50384,-1.71032,-0.220892,-0.038036,-0.107828,-0.298049,9.64479,-0.674694,-0.0922072,-0.27249,0.0654375,4.85534,1.35603,8.71294,-0.0377784,0.0426058,0.0154599,-1.09463,-9.81805,-1.59159,-0.0499855,0.207904,0.205307,9.18697,-2.18213,3.93183,-0.249772,0.235587,0.0704832,1.11515,-9.92444,-0.679089,-0.0823033,-0.0732221,0.0681789
0.008,4.91935,-2.21238,8.06165,0.0465102,-0.0115612,-0.0802368,0.607759,9.50281,-1.67624,-0.219676,-0.0366869,-0.110002,-0.326573,9.63206,-0.646444,-0.0907839,-0.26286,0.0701997,4.85558,1.34033,8.71651,-0.0393782,0.0442526,0.0171224,-1.08435,-9.81501,-1.57589,-0.0491046,0.20452,0.200113,9.17263,-2.19354,3.94113,-0.246575,0.235268,0.0721326,1.11432,-9.90396,-0.640229,-0.0806951,-0.0714132,0.0696115
0.009,4.9229,-2.21085,8.05492,0.0473251,-0.00993196,-0.0818426,0.591513,9.50296,-1.64295,-0.218406,-0.035534,-0.111866,-0.357361,9.62254,-0.618712,-0.0896452,-0.253756,0.0741694,4.85347,1.32473,8.721,-0.0408691,0.0455583,0.0188503,-1.07382,-9.8153,-1.55867,-0.04821,0.201119,0.195047,9.15689,-2.20431,3.94747,-0.243658,0.234703,0.0736225,1.11762,-9.88575,-0.602088,-0.079222,-0.0698485,0.0712758
