Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z
0.0,9.35136,-1.28031,3.30033,-0.171541,0.01704,-0.0502286,4.30033,3.8429,8.01471,0.0572714,0.0427106,0.0744221,4.46039,-3.32122,8.11714,-0.0228953,0.0433451,-0.0463633,0.21107,-9.58621,-2.58726,-0.144801,0.0138057,0.212572,-2.49772,-9.36351,-1.5004,-0.10989,0.0803822,0.0217128,-1.84517,9.6626,-0.960942,-0.0285543,-0.318385,-0.0641007,0.360237,9.43555,-2.95279,-0.130176,-0.198827,0.0260518
0.001,9.38025,-1.31711,3.30769,-0.169,0.0187012,-0.0494228,4.24762,3.80326,8.00877,0.0529716,0.0413215,0.0751487,4.46805,-3.33553,8.12127,-0.0263532,0.0437793,-0.0457034,0.213419,-9.59936,-2.58612,-0.146476,0.0193873,0.210928,-2.51346,-9.34687,-1.50915,-0.108734,0.0813951,0.0229866,-1.8285,9.6393,-0.933002,-0.0276548,-0.318088,-0.0652621,0.3775,9.44814,-2.95819,-0.127988,-0.198206,0.0262595
0.002,9.40914,-1.3539,3.31505,-0.166459,0.0203625,-0.0486171,4.19491,3.76363,8.00283,0.0486719,0.0399323,0.0758754,4.47571,-3.34983,8.1254,-0.0298111,0.0442136,-0.0450435,0.215769,-9.61252,-2.58498,-0.148152,0.024969,0.209285,-2.5292,-9.33023,-1.51791,-0.107577,0.082408,0.0242603,-1.81183,9.61599,-0.905061,-0.0267552,-0.31779,-0.0664236,0.394762,9.46074,-2.9636,-0.1258,-0.197585,0.0264673
0.003,9.43802,-1.3907,3.32241,-0.163918,0.0220237,-0.0478114,4.1422,3.72399,7.99689,0.0443721,0.0385431,0.0766021,4.48337,-3.36414,8.12953,-0.0332691,0.0446479,-0.0443836,0.218118,-9.62567,-2.58384,-0.149828,0.0305507,0.207642,-2.54494,-9.31358,-1.52666,-0.10642,0.0834209,0.025534,-1.79517,9.59269,-0.877121,-0.0258556,-0.317493,-0.0675851,0.412024,9.47333,-2.969,-0.123613,-0.196965,0.026675
0.004,9.46691,-1.42749,3.32977,-0.161377,0.023685,-0.0470056,4.08948,3.68435,7.99095,0.0400724,0.037154,0.0773287,4.49103,-3.37844,8.13366,-0.036727,0.0450822,-0.0437238,0.220468,-9.63882,-2.5827,-0.151503,0.0361324,0.205998,-2.56068,-9.29694,-1.53542,-0.105263,0.0844337,0.0268078,-1.7785,9.56939,-0.849181,-0.0249561,-0.317196,-0.0687465,0.429286,9.48593,-2.97441,-0.121425,-0.196344,0.0268828
0.005,9.47647,-1.44023,3.3474,-0.157693,0.0251553,-0.0452432,4.09897,3.66974,7.99106,0.0380506,0.0348198,0.0786947,4.48598,-3.37835,8.13489,-0.0393697,0.0449382,-0.0427237,0.207058,-9.63146,-2.57966,-0.153801,0.0394684,0.203004,-2.59428,-9.28326,-1.54417,-0.106471,0.0842915,0.028298,-1.75108,9.56197,-0.844463,-0.0246455,-0.316219,-0.0715031,0.443115,9.49327,-2.98213,-0.119362,-0.195074,0.026083
0.006,9.47057,-1.43371,3.37323,-0.153094,0.0264729,-0.0427153,4.15821,3.67515,7.99599,0.0378511,0.0317296,0.0805721,4.47077,-3.36674,8.13379,-0.0413602,0.0443316,-0.0414515,0.18104,-9.6077,-2.5751,-0.156596,0.0410079,0.198928,-2.64216,-9.27194,-1.55293,-0.109571,0.0832252,0.0299615,-1.71504,9.56727,-0.858322,-0.0248063,-0.314699,-0.0755356,0.454196,9.4964,-2.99169,-0.1174,-0.193285,0.0244771
0.007,9.46466,-1.42719,3.39906,-0.148495,0.0277905,-0.0401874,4.21746,3.68057,8.00092,0.0376517,0.0286395,0.0824495,4.45556,-3.35513,8.13269,-0.0433507,0.043725,-0.0401793,0.155022,-9.58393,-2.57054,-0.159392,0.0425473,0.194853,-2.69004,-9.26063,-1.56169,-0.11267,0.082159,0.031625,-1.67901,9.57257,-0.872181,-0.024967,-0.313179,-0.0795682,0.465278,9.49953,-3.00126,-0.115438,-0.191497,0.0228713
0.008,9.45876,-1.42067,3.42489,-0.143896,0.0291081,-0.0376596,4.2767,3.68599,8.00586,0.0374523,0.0255493,0.084327,4.44035,-3.34352,8.13159,-0.0453413,0.0431184,-0.0389071,0.129004,-9.56016,-2.56597,-0.162187,0.0440868,0.190777,-2.73791,-9.24931,-1.57045,-0.115769,0.0810927,0.0332885,-1.64298,9.57786,-0.88604,-0.0251277,-0.311659,-0.0836008,0.47636,9.50267,-3.01082,-0.113475,-0.189708,0.0212655
0.009,9.45466,-1.41296,3.44799,-0.139361,0.0305115,-0.0354757,4.33346,3.68918,8.0112,0.0369617,0.0229482,0.086133,4.42688,-3.33495,8.13042,-0.0471006,0.0425564,-0.0377138,0.0953308,-9.5373,-2.56196,-0.164617,0.044601,0.186733,-2.78247,-9.23908,-1.57782,-0.118288,0.0803167,0.0354142,-1.61309,9.58294,-0.899411,-0.0251922,-0.309688,-0.0871586,0.486478,9.50369,-3.01866,-0.11168,-0.188003,0.0199583
