Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z
0.01,8.36009,-2.2265,3.56463,0.387841,-0.410013,-0.0793889,4.23202,2.91238,8.23976,-0.0311161,-0.00659,0.00623545,9.31997,2.71659,10.2804,-2.77587,1.04178,1.1943,0.450497,-9.57725,-2.10077,0.0439506,-0.249973,0.0286727,-0.80911,-9.77331,-0.491148,0.104536,-0.390524,0.374253,0.847239,7.16969,0.352539,-0.4855,1.3563,0.53564,-3.87127,8.3061,-1.71157,-0.0584388,0.0749184,-0.808077
0.011,8.3647,-2.23791,3.5746,0.393528,-0.412166,-0.0807004,4.22078,2.91164,8.23893,-0.024635,-0.00607074,0.00569727,10.9161,2.33505,11.6528,-2.93354,1.42742,1.41747,0.470563,-9.58376,-2.1239,0.0429848,-0.246848,0.033678,-0.812446,-9.76658,-0.499151,0.106768,-0.401019,0.378181,0.700772,7.08575,0.469878,-0.47135,1.29689,0.514602,-3.79556,8.29969,-1.76681,-0.0627761,0.00495639,-0.799296
0.012,8.3693,-2.24932,3.58458,0.399215,-0.414319,-0.0820119,4.20953,2.91091,8.23809,-0.018154,-0.00555148,0.00515909,12.5122,1.95352,13.0252,-3.09121,1.81307,1.64063,0.490628,-9.59027,-2.14702,0.042019,-0.243723,0.0386833,-0.815782,-9.75985,-0.507153,0.108999,-0.411514,0.382109,0.554304,7.00182,0.587216,-0.457199,1.23748,0.493564,-3.71985,8.29328,-1.82204,-0.0671134,-0.0650056,-0.790515
0.013,8.37391,-2.26074,3.59456,0.404902,-0.416472,-0.0833234,4.19828,2.91018,8.23726,-0.0116729,-0.00503221,0.00462092,14.1083,1.57198,14.3976,-3.24887,2.19872,1.8638,0.510694,-9.59677,-2.17015,0.0410532,-0.240598,0.0436887,-0.819118,-9.75311,-0.515155,0.111231,-0.42201,0.386037,0.407837,6.91789,0.704555,-0.443048,1.17807,0.472525,-3.64414,8.28687,-1.87727,-0.0714508,-0.134968,-0.781734
0.014,8.36481,-2.273,3.61728,0.410589,-0.420379,-0.0846706,4.19525,2.91503,8.24544,-0.00512277,-0.00546654,0.003715,15.0181,0.489899,15.5761,-2.91684,2.25286,1.85989,0.513435,-9.59447,-2.17728,0.0407184,-0.236865,0.047695,-0.818587,-9.72554,-0.533419,0.110966,-0.433777,0.391381,0.245152,6.85079,0.790127,-0.424186,1.11056,0.451018,-3.39908,8.28894,-1.92853,-0.0830573,-0.19958,-0.767251
0.015,8.34886,-2.28569,3.64638,0.416275,-0.425165,-0.0860355,4.19632,2.92268,8.25813,0.00146196,-0.00637767,0.00262522,15.5847,-0.942448,16.6576,-2.33996,2.14124,1.74246,0.507513,-9.58778,-2.17641,0.040699,-0.232829,0.0512019,-0.816123,-9.68755,-0.556814,0.109452,-0.44618,0.397433,0.0743577,6.79211,0.859816,-0.402968,1.03899,0.429276,-3.06935,8.29524,-1.97779,-0.0982983,-0.261518,-0.749916
0.016,8.33291,-2.29838,3.67547,0.421962,-0.42995,-0.0874004,4.1974,2.93033,8.27083,0.00804668,-0.00728879,0.00153545,16.1514,-2.3748,17.739,-1.76308,2.02963,1.62502,0.501591,-9.58107,-2.17555,0.0406797,-0.228792,0.0547087,-0.813658,-9.64957,-0.58021,0.107939,-0.458583,0.403485,-0.0964363,6.73342,0.929505,-0.38175,0.967423,0.407534,-2.73962,8.30154,-2.02706,-0.113539,-0.323456,-0.732581
0.017,8.31697,-2.31108,3.70456,0.427649,-0.434736,-0.0887653,4.19847,2.93798,8.28352,0.0146314,-0.00819992,0.000445667,16.718,-3.80714,18.8205,-1.1862,1.91801,1.50758,0.49567,-9.57437,-2.17468,0.0406603,-0.224755,0.0582156,-0.811194,-9.61158,-0.603605,0.106425,-0.470986,0.409537,-0.26723,6.67474,0.999194,-0.360533,0.895855,0.385792,-2.40988,8.30784,-2.07632,-0.12878,-0.385394,-0.715246
0.018,8.30947,-2.32985,3.72825,0.432844,-0.439542,-0.0891993,4.20392,2.95017,8.28954,0.0204303,-0.00930605,-0.00072472,16.747,-5.1543,19.4074,-0.636322,1.79291,1.35101,0.49092,-9.56923,-2.18324,0.0403356,-0.221052,0.0616182,-0.812386,-9.57416,-0.632595,0.10431,-0.483285,0.416172,-0.437095,6.63216,1.06586,-0.338262,0.822628,0.364436,-2.0371,8.31407,-2.13293,-0.145286,-0.442258,-0.6944
0.019,8.33157,-2.36991,3.73303,0.436315,-0.444423,-0.0863753,4.22468,2.9782,8.2722,0.0234785,-0.0110947,-0.00217724,14.8942,-6.20331,18.2635,-0.18098,1.6206,1.05745,0.49027,-9.56955,-2.22475,0.0389423,-0.218514,0.0646558,-0.826375,-9.53875,-0.68117,0.100092,-0.495221,0.424844,-0.603706,6.64593,1.12193,-0.312306,0.743595,0.34443,-1.51364,8.32004,-2.21527,-0.166216,-0.481362,-0.661266
